Date,fee_to_reward30emaUSD
2017/09/02,1.763
2017/09/03,1.747
2017/09/04,1.79
2017/09/05,1.862
2017/09/06,1.982
2017/09/07,2.08
2017/09/08,2.179
2017/09/09,2.179
2017/09/10,2.168
2017/09/11,2.153
2017/09/12,2.17
2017/09/13,2.176
2017/09/14,2.164
2017/09/15,2.218
2017/09/16,2.279
2017/09/17,2.248
2017/09/18,2.23
2017/09/19,2.207
2017/09/20,2.24
2017/09/21,2.198
2017/09/22,2.172
2017/09/23,2.155
2017/09/24,2.18
2017/09/25,2.19
2017/09/26,2.202
2017/09/27,2.205
2017/09/28,2.208
2017/09/29,2.201
2017/09/30,2.207
2017/10/01,2.198
2017/10/02,2.193
2017/10/03,2.204
2017/10/04,2.213
2017/10/05,2.222
2017/10/06,2.251
2017/10/07,2.234
2017/10/08,2.232
2017/10/09,2.24
2017/10/10,2.253
2017/10/11,2.279
2017/10/12,2.296
2017/10/13,2.326
2017/10/14,2.331
2017/10/15,2.331
2017/10/16,2.307
2017/10/17,2.254
2017/10/18,2.196
2017/10/19,2.137
2017/10/20,2.116
2017/10/21,2.05
2017/10/22,1.976
2017/10/23,1.926
2017/10/24,1.902
2017/10/25,1.864
2017/10/26,1.822
2017/10/27,1.788
2017/10/28,1.74
2017/10/29,1.696
2017/10/30,1.671
2017/10/31,1.652
2017/11/01,1.648
2017/11/02,1.647
2017/11/03,1.621
2017/11/04,1.578
2017/11/05,1.532
2017/11/06,1.505
2017/11/07,1.489
2017/11/08,1.486
2017/11/09,1.479
2017/11/10,1.463
2017/11/11,1.437
2017/11/12,1.427
2017/11/13,1.423
2017/11/14,1.431
2017/11/15,1.453
2017/11/16,1.454
2017/11/17,1.462
2017/11/18,1.442
2017/11/19,1.43
2017/11/20,1.443
2017/11/21,1.453
2017/11/22,1.463
2017/11/23,1.471
2017/11/24,1.465
2017/11/25,1.453
2017/11/26,1.456
2017/11/27,1.471
2017/11/28,1.494
2017/11/29,1.525
2017/11/30,1.544
2017/12/01,1.563
2017/12/02,1.564
2017/12/03,1.58
2017/12/04,1.7
2017/12/05,1.904
2017/12/06,2.183
2017/12/07,2.616
2017/12/08,3.047
2017/12/09,3.413
2017/12/10,3.708
2017/12/11,3.89
2017/12/12,4.058
2017/12/13,4.164
2017/12/14,4.345
2017/12/15,4.454
2017/12/16,4.563
2017/12/17,4.594
2017/12/18,4.616
2017/12/19,4.712
2017/12/20,4.865
2017/12/21,5.022
2017/12/22,5.138
2017/12/23,5.135
2017/12/24,5.092
2017/12/25,4.979
2017/12/26,4.871
2017/12/27,4.792
2017/12/28,4.72
2017/12/29,4.698
2017/12/30,4.665
2017/12/31,4.611
2018/01/01,4.531
2018/01/02,4.529
2018/01/03,4.569
2018/01/04,4.658
2018/01/05,5.07
2018/01/06,5.55
2018/01/07,5.867
2018/01/08,6.191
2018/01/09,6.522
2018/01/10,6.925
2018/01/11,7.196
2018/01/12,7.3
2018/01/13,7.424
2018/01/14,7.498
2018/01/15,7.588
2018/01/16,7.653
2018/01/17,7.687
2018/01/18,7.743
2018/01/19,7.729
2018/01/20,7.687
2018/01/21,7.557
2018/01/22,7.397
2018/01/23,7.298
2018/01/24,7.177
2018/01/25,7.011
2018/01/26,6.83
2018/01/27,6.623
2018/01/28,6.447
2018/01/29,6.374
2018/01/30,6.263
2018/01/31,6.156
2018/02/01,6.167
2018/02/02,6.096
2018/02/03,5.951
2018/02/04,5.807
2018/02/05,5.678
2018/02/06,5.573
2018/02/07,5.453
2018/02/08,5.286
2018/02/09,5.148
2018/02/10,5.03
2018/02/11,4.891
2018/02/12,4.759
2018/02/13,4.633
2018/02/14,4.522
2018/02/15,4.412
2018/02/16,4.301
2018/02/17,4.216
2018/02/18,4.165
2018/02/19,4.084
2018/02/20,4.033
2018/02/21,3.979
2018/02/22,3.899
2018/02/23,3.825
2018/02/24,3.757
2018/02/25,3.676
2018/02/26,3.597
2018/02/27,3.528
2018/02/28,3.512
2018/03/01,3.449
2018/03/02,3.428
2018/03/03,3.355
2018/03/04,3.293
2018/03/05,3.255
2018/03/06,3.194
2018/03/07,3.162
2018/03/08,3.116
2018/03/09,3.061
2018/03/10,2.979
2018/03/11,2.893
2018/03/12,2.856
2018/03/13,2.787
2018/03/14,2.729
2018/03/15,2.668
2018/03/16,2.606
2018/03/17,2.529
2018/03/18,2.474
2018/03/19,2.426
2018/03/20,2.379
2018/03/21,2.356
2018/03/22,2.328
2018/03/23,2.311
2018/03/24,2.273
2018/03/25,2.226
2018/03/26,2.198
2018/03/27,2.163
2018/03/28,2.131
2018/03/29,2.107
2018/03/30,2.074
2018/03/31,2.024
2018/04/01,1.969
2018/04/02,1.934
2018/04/03,1.907
2018/04/04,1.869
2018/04/05,1.889
2018/04/06,1.864
2018/04/07,1.816
2018/04/08,1.784
2018/04/09,1.76
2018/04/10,1.733
2018/04/11,1.718
2018/04/12,1.72
2018/04/13,1.735
2018/04/14,1.717
2018/04/15,1.693
2018/04/16,1.681
2018/04/17,1.678
2018/04/18,1.693
2018/04/19,1.711
2018/04/20,1.73
2018/04/21,1.72
2018/04/22,1.715
2018/04/23,1.718
2018/04/24,1.746
2018/04/25,1.764
2018/04/26,1.782
2018/04/27,1.808
2018/04/28,1.825
2018/04/29,1.862
2018/04/30,1.904
2018/05/01,1.909
2018/05/02,1.92
2018/05/03,1.957
2018/05/04,1.986
2018/05/05,1.981
2018/05/06,1.963
2018/05/07,1.963
2018/05/08,1.972
2018/05/09,1.994
2018/05/10,2.075
2018/05/11,2.143
2018/05/12,2.148
2018/05/13,2.161
2018/05/14,2.212
2018/05/15,2.261
2018/05/16,2.318
2018/05/17,2.388
2018/05/18,2.443
2018/05/19,2.469
2018/05/20,2.481
2018/05/21,2.514
2018/05/22,2.568
2018/05/23,2.617
2018/05/24,2.654
2018/05/25,2.675
2018/05/26,2.672
2018/05/27,2.657
2018/05/28,2.723
2018/05/29,2.777
2018/05/30,2.839
2018/05/31,2.95
2018/06/01,3.006
2018/06/02,2.982
2018/06/03,2.957
2018/06/04,2.97
2018/06/05,2.961
2018/06/06,2.991
2018/06/07,2.974
2018/06/08,2.936
2018/06/09,2.871
2018/06/10,2.812
2018/06/11,2.763
2018/06/12,2.718
2018/06/13,2.682
2018/06/14,2.66
2018/06/15,2.659
2018/06/16,2.598
2018/06/17,2.521
2018/06/18,2.455
2018/06/19,2.431
2018/06/20,2.401
2018/06/21,2.368
2018/06/22,2.394
2018/06/23,2.34
2018/06/24,2.302
2018/06/25,2.301
2018/06/26,2.264
2018/06/27,2.23
2018/06/28,2.194
2018/06/29,2.167
2018/06/30,2.492
2018/07/01,3.098
2018/07/02,4.107
2018/07/03,4.794
2018/07/04,5.224
2018/07/05,5.546
2018/07/06,6.026
2018/07/07,6.396
2018/07/08,6.358
2018/07/09,6.252
2018/07/10,6.059
2018/07/11,5.903
2018/07/12,5.898
2018/07/13,5.941
2018/07/14,6.303
2018/07/15,6.722
2018/07/16,6.458
2018/07/17,6.181
2018/07/18,5.921
2018/07/19,5.665
2018/07/20,5.463
2018/07/21,5.279
2018/07/22,5.044
2018/07/23,4.88
2018/07/24,4.701
2018/07/25,4.525
2018/07/26,4.347
2018/07/27,4.173
2018/07/28,4.03
2018/07/29,3.858
2018/07/30,3.71
2018/07/31,3.574
2018/08/01,3.441
2018/08/02,3.315
2018/08/03,3.202
2018/08/04,3.089
2018/08/05,2.967
2018/08/06,2.898
2018/08/07,3.068
2018/08/08,3.606
2018/08/09,4.018
2018/08/10,4.169
2018/08/11,4.045
2018/08/12,3.889
2018/08/13,3.783
2018/08/14,3.709
2018/08/15,3.64
2018/08/16,3.548
2018/08/17,3.788
2018/08/18,3.666
2018/08/19,3.538
2018/08/20,3.425
2018/08/21,3.315
2018/08/22,3.291
2018/08/23,3.216
2018/08/24,3.223
2018/08/25,3.113
2018/08/26,3.055
2018/08/27,2.966
2018/08/28,2.886
2018/08/29,2.832
2018/08/30,2.775
2018/08/31,2.726
2018/09/01,2.656
2018/09/02,2.582
2018/09/03,2.525
2018/09/04,2.496
2018/09/05,2.443
2018/09/06,2.43
2018/09/07,2.418
2018/09/08,2.382
2018/09/09,2.356
2018/09/10,2.335
2018/09/11,2.335
2018/09/12,2.335
2018/09/13,2.336
2018/09/14,2.302
2018/09/15,2.267
2018/09/16,2.229
2018/09/17,2.213
2018/09/18,2.202
2018/09/19,2.258
2018/09/20,2.259
2018/09/21,2.294
2018/09/22,2.271
2018/09/23,2.236
2018/09/24,2.247
2018/09/25,2.252
2018/09/26,2.264
2018/09/27,2.286
2018/09/28,2.322
2018/09/29,2.359
2018/09/30,2.361
2018/10/01,2.391
2018/10/02,2.427
2018/10/03,2.403
2018/10/04,2.38
2018/10/05,2.356
2018/10/06,2.292
2018/10/07,2.238
2018/10/08,2.222
2018/10/09,2.195
2018/10/10,2.187
2018/10/11,2.185
2018/10/12,2.179
2018/10/13,2.137
2018/10/14,2.086
2018/10/15,2.074
2018/10/16,2.046
2018/10/17,2.029
2018/10/18,2.006
2018/10/19,2.001
2018/10/20,1.98
2018/10/21,1.952
2018/10/22,1.947
2018/10/23,1.941
2018/10/24,1.956
2018/10/25,1.99
2018/10/26,2.004
2018/10/27,1.98
2018/10/28,1.952
2018/10/29,1.953
2018/10/30,1.953
2018/10/31,1.952
2018/11/01,1.948
2018/11/02,1.956
2018/11/03,1.942
2018/11/04,1.923
2018/11/05,1.948
2018/11/06,1.974
2018/11/07,1.984
2018/11/08,2.006
2018/11/09,2
2018/11/10,1.96
2018/11/11,1.918
2018/11/12,1.926
2018/11/13,1.944
2018/11/14,1.991
2018/11/15,2.051
2018/11/16,2.081
2018/11/17,2.071
2018/11/18,2.074
2018/11/19,2.131
2018/11/20,2.188
2018/11/21,2.205
2018/11/22,2.215
2018/11/23,2.231
2018/11/24,2.225
2018/11/25,2.241
2018/11/26,2.254
2018/11/27,2.257
2018/11/28,2.305
2018/11/29,2.372
2018/11/30,2.483
2018/12/01,2.502
2018/12/02,2.5
2018/12/03,2.525
2018/12/04,2.55
2018/12/05,2.585
2018/12/06,2.574
2018/12/07,2.561
2018/12/08,2.506
2018/12/09,2.452
2018/12/10,2.418
2018/12/11,2.382
2018/12/12,2.344
2018/12/13,2.32
2018/12/14,2.298
2018/12/15,2.254
2018/12/16,2.205
2018/12/17,2.19
2018/12/18,2.19
2018/12/19,2.193
2018/12/20,2.196
2018/12/21,2.193
2018/12/22,2.157
2018/12/23,2.136
2018/12/24,2.137
2018/12/25,2.14
2018/12/26,2.126
2018/12/27,2.1
2018/12/28,2.082
2018/12/29,2.052
2018/12/30,2.098
2018/12/31,2.071
2019/01/01,2.035
2019/01/02,2.015
2019/01/03,1.998
2019/01/04,1.992
2019/01/05,1.989
2019/01/06,1.963
2019/01/07,1.945
2019/01/08,1.928
2019/01/09,1.906
2019/01/10,1.908
2019/01/11,1.9
2019/01/12,1.864
2019/01/13,1.836
2019/01/14,1.889
2019/01/15,1.909
2019/01/16,1.918
2019/01/17,1.909
2019/01/18,1.913
2019/01/19,1.903
2019/01/20,1.888
2019/01/21,1.899
2019/01/22,1.936
2019/01/23,1.946
2019/01/24,1.957
2019/01/25,1.955
2019/01/26,1.935
2019/01/27,1.916
2019/01/28,1.942
2019/01/29,1.948
2019/01/30,1.961
2019/01/31,1.989
2019/02/01,2.005
2019/02/02,1.989
2019/02/03,1.965
2019/02/04,1.945
2019/02/05,1.928
2019/02/06,1.918
2019/02/07,1.913
2019/02/08,1.921
2019/02/09,1.915
