Date,size3ema
2018/03/30,17912
2018/03/31,17468
2018/04/01,16681
2018/04/02,16776
2018/04/03,17927
2018/04/04,18301
2018/04/05,18898
2018/04/06,18334
2018/04/07,17082
2018/04/08,17158
2018/04/09,17894
2018/04/10,17738
2018/04/11,18117
2018/04/12,19681
2018/04/13,20408
2018/04/14,19278
2018/04/15,18975
2018/04/16,19871
2018/04/17,21086
2018/04/18,21780
2018/04/19,23493
2018/04/20,24940
2018/04/21,23306
2018/04/22,23190
2018/04/23,23715
2018/04/24,24659
2018/04/25,24902
2018/04/26,24804
2018/04/27,24462
2018/04/28,24508
2018/04/29,24581
2018/04/30,25236
2018/05/01,24927
2018/05/02,25277
2018/05/03,25807
2018/05/04,26787
2018/05/05,25445
2018/05/06,23916
2018/05/07,23502
2018/05/08,23681
2018/05/09,24095
2018/05/10,25423
2018/05/11,25270
2018/05/12,24511
2018/05/13,24016
2018/05/14,24974
2018/05/15,24883
2018/05/16,24813
2018/05/17,24711
2018/05/18,24677
2018/05/19,24568
2018/05/20,24164
2018/05/21,24872
2018/05/22,25099
2018/05/23,25532
2018/05/24,25500
2018/05/25,25215
2018/05/26,24134
2018/05/27,23815
2018/05/28,24615
2018/05/29,24974
2018/05/30,25240
2018/05/31,26338
2018/06/01,25734
2018/06/02,25175
2018/06/03,25126
2018/06/04,25776
2018/06/05,25812
2018/06/06,25094
2018/06/07,24739
2018/06/08,24626
2018/06/09,24395
2018/06/10,24477
2018/06/11,24474
2018/06/12,24078
2018/06/13,24763
2018/06/14,24456
2018/06/15,23535
2018/06/16,24944
2018/06/17,22456
2018/06/18,22265
2018/06/19,23632
2018/06/20,24610
2018/06/21,24068
2018/06/22,24284
2018/06/23,22438
2018/06/24,21703
2018/06/25,23466
2018/06/26,23663
2018/06/27,24122
2018/06/28,24024
2018/06/29,23621
2018/06/30,22853
2018/07/01,22676
2018/07/02,21151
2018/07/03,21599
2018/07/04,20257
2018/07/05,20875
2018/07/06,20048
2018/07/07,19879
2018/07/08,21122
2018/07/09,21742
2018/07/10,22586
2018/07/11,22346
2018/07/12,21792
2018/07/13,21292
2018/07/14,20437
2018/07/15,19557
2018/07/16,21495
2018/07/17,22539
2018/07/18,23065
2018/07/19,23396
2018/07/20,22313
2018/07/21,20741
2018/07/22,20767
2018/07/23,21917
2018/07/24,23072
2018/07/25,23616
2018/07/26,23560
2018/07/27,23163
2018/07/28,21374
2018/07/29,21624
2018/07/30,22737
2018/07/31,23328
2018/08/01,24027
2018/08/02,24315
2018/08/03,23355
2018/08/04,22314
2018/08/05,22260
2018/08/06,22788
2018/08/07,21296
2018/08/08,18779
2018/08/09,17161
2018/08/10,17878
2018/08/11,19082
2018/08/12,19418
2018/08/13,20686
2018/08/14,21274
2018/08/15,20519
2018/08/16,21424
2018/08/17,20969
2018/08/18,21741
2018/08/19,21878
2018/08/20,23506
2018/08/21,24377
2018/08/22,23605
2018/08/23,23956
2018/08/24,23407
2018/08/25,24172
2018/08/26,24183
2018/08/27,24524
2018/08/28,25254
2018/08/29,24903
2018/08/30,24285
2018/08/31,23202
2018/09/01,23475
2018/09/02,23268
2018/09/03,24136
2018/09/04,23612
2018/09/05,24513
2018/09/06,23996
2018/09/07,24554
2018/09/08,24881
2018/09/09,23500
2018/09/10,23512
2018/09/11,22915
2018/09/12,23524
2018/09/13,23784
2018/09/14,25047
2018/09/15,25427
2018/09/16,26306
2018/09/17,26113
2018/09/18,26144
2018/09/19,23084
2018/09/20,23664
2018/09/21,24954
2018/09/22,24988
2018/09/23,25374
2018/09/24,27031
2018/09/25,27621
2018/09/26,28682
2018/09/27,29080
2018/09/28,28575
2018/09/29,24502
2018/09/30,24174
2018/10/01,24384
2018/10/02,24245
2018/10/03,22834
2018/10/04,22744
2018/10/05,21797
2018/10/06,19703
2018/10/07,17552
2018/10/08,17294
2018/10/09,17770
2018/10/10,17318
2018/10/11,17742
2018/10/12,18972
2018/10/13,18145
2018/10/14,16694
2018/10/15,17137
2018/10/16,17392
2018/10/17,17579
2018/10/18,17674
2018/10/19,18109
2018/10/20,16931
2018/10/21,16523
2018/10/22,18047
2018/10/23,17832
2018/10/24,19249
2018/10/25,20563
2018/10/26,20339
2018/10/27,17776
2018/10/28,16675
2018/10/29,18177
2018/10/30,18630
2018/10/31,18249
2018/11/01,18167
2018/11/02,17667
2018/11/03,16735
2018/11/04,16311
2018/11/05,16937
2018/11/06,17915
2018/11/07,17855
2018/11/08,18117
2018/11/09,17793
2018/11/10,17084
2018/11/11,17089
2018/11/12,17754
2018/11/13,17728
2018/11/14,18280
2018/11/15,17963
2018/11/16,17532
2018/11/17,16517
2018/11/18,15599
2018/11/19,17300
2018/11/20,18528
2018/11/21,18240
2018/11/22,18016
2018/11/23,17837
2018/11/24,16729
2018/11/25,16620
2018/11/26,16939
2018/11/27,17424
2018/11/28,18660
2018/11/29,18237
2018/11/30,18440
2018/12/01,17351
2018/12/02,16317
2018/12/03,17169
2018/12/04,17571
2018/12/05,18267
2018/12/06,18716
2018/12/07,18560
2018/12/08,17941
2018/12/09,17408
2018/12/10,17802
2018/12/11,17763
2018/12/12,17219
2018/12/13,17430
2018/12/14,18053
2018/12/15,17425
2018/12/16,16652
2018/12/17,17770
2018/12/18,18721
2018/12/19,19175
2018/12/20,19382
2018/12/21,19522
2018/12/22,18067
2018/12/23,17680
2018/12/24,18365
2018/12/25,17410
2018/12/26,17952
2018/12/27,17758
2018/12/28,17834
2018/12/29,17376
2018/12/30,15960
2018/12/31,16232
2019/01/01,14949
2019/01/02,16537
2019/01/03,17941
2019/01/04,18407
2019/01/05,17879
2019/01/06,16867
2019/01/07,17536
2019/01/08,17726
2019/01/09,17795
2019/01/10,18473
2019/01/11,18578
2019/01/12,17248
2019/01/13,16523
2019/01/14,17487
2019/01/15,17781
2019/01/16,17894
2019/01/17,17897
2019/01/18,17824
2019/01/19,17844
2019/01/20,17838
2019/01/21,19597
2019/01/22,21154
2019/01/23,20932
2019/01/24,20387
2019/01/25,19349
2019/01/26,18385
2019/01/27,18329
2019/01/28,19953
2019/01/29,21028
2019/01/30,21298
2019/01/31,21051
2019/02/01,20712
2019/02/02,19106
2019/02/03,17851
2019/02/04,17089
2019/02/05,16845
2019/02/06,16934
2019/02/07,17183
2019/02/08,18082
2019/02/09,17610
2019/02/10,18104
2019/02/11,19402
2019/02/12,20113
2019/02/13,21740
2019/02/14,22523
2019/02/15,22637
2019/02/16,22075
2019/02/17,22137
2019/02/18,23122
2019/02/19,23851
2019/02/20,24305
2019/02/21,24761
2019/02/22,24865
2019/02/23,23354
2019/02/24,23876
2019/02/25,25283
2019/02/26,25776
2019/02/27,25558
2019/02/28,25338
