Date,activeaddresses
2017/09/24,181358
2017/09/25,200414
2017/09/26,191663
2017/09/27,198637
2017/09/28,213391
2017/09/29,217504
2017/09/30,190044
2017/10/01,176276
2017/10/02,200836
2017/10/03,208468
2017/10/04,191589
2017/10/05,197176
2017/10/06,195345
2017/10/07,184050
2017/10/08,189136
2017/10/09,198809
2017/10/10,231492
2017/10/11,222275
2017/10/12,226229
2017/10/13,256339
2017/10/14,213244
2017/10/15,203610
2017/10/16,206992
2017/10/17,262212
2017/10/18,236121
2017/10/19,227490
2017/10/20,249748
2017/10/21,239061
2017/10/22,254653
2017/10/23,249252
2017/10/24,255459
2017/10/25,230992
2017/10/26,240118
2017/10/27,237031
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,268499
2017/11/01,283850
2017/11/02,319155
2017/11/03,268028
2017/11/04,212259
2017/11/05,207256
2017/11/06,247151
2017/11/07,249729
2017/11/08,272042
2017/11/09,278497
2017/11/10,274759
2017/11/11,235263
2017/11/12,274397
2017/11/13,261901
2017/11/14,288176
2017/11/15,331730
2017/11/16,292710
2017/11/17,312500
2017/11/18,271282
2017/11/19,277180
2017/11/20,316000
2017/11/21,321852
2017/11/22,327822
2017/11/23,327080
2017/11/24,317272
2017/11/25,313369
2017/11/26,316791
2017/11/27,384202
2017/11/28,406223
2017/11/29,444408
2017/11/30,419979
2017/12/01,382970
2017/12/02,391241
2017/12/03,426281
2017/12/04,431939
2017/12/05,421335
2017/12/06,594336
2017/12/07,406948
2017/12/08,467737
2017/12/09,438871
2017/12/10,420596
2017/12/11,519028
2017/12/12,576639
2017/12/13,625388
2017/12/14,672131
2017/12/15,611570
2017/12/16,594374
2017/12/17,593634
2017/12/18,700777
2017/12/19,796059
2017/12/20,757421
2017/12/21,827045
2017/12/22,836504
2017/12/23,654487
2017/12/24,509115
2017/12/25,513275
2017/12/26,571909
2017/12/27,639720
2017/12/28,673465
2017/12/29,816730
2017/12/30,894994
2017/12/31,661295
2018/01/01,647108
2018/01/02,865722
2018/01/03,977025
2018/01/04,1118466
2018/01/05,1035199
2018/01/06,963985
2018/01/07,871747
2018/01/08,939352
2018/01/09,999589
2018/01/10,936280
2018/01/11,943064
2018/01/12,856263
2018/01/13,886452
2018/01/14,801969
2018/01/15,945511
2018/01/16,1008183
2018/01/17,1002757
2018/01/18,940581
2018/01/19,745465
2018/01/20,646790
