Date,median_transaction_fee30trxUSD
2017/09/26,0.621
2017/09/27,0.566
2017/09/28,0.513
2017/09/29,0.459
2017/09/30,0.414
2017/10/01,0.373
2017/10/02,0.333
2017/10/03,0.297
2017/10/04,0.263
2017/10/05,0.23
2017/10/06,0.203
2017/10/07,0.178
2017/10/08,0.155
2017/10/09,0.134
2017/10/10,0.112
2017/10/11,0.091
2017/10/12,0.072
2017/10/13,0.059
2017/10/14,0.052
2017/10/15,0.047
2017/10/16,0.038
2017/10/17,0.02
2017/10/18,-0.006
2017/10/19,-0.042
2017/10/20,-0.085
2017/10/21,-0.136
2017/10/22,-0.195
2017/10/23,-0.253
2017/10/24,-0.309
2017/10/25,-0.368
2017/10/26,-0.43
2017/10/27,-0.503
2017/10/28,-0.586
2017/10/29,-0.674
2017/10/30,-0.768
2017/10/31,-0.865
2017/11/01,-0.945
2017/11/02,-1.008
2017/11/03,-1.063
2017/11/04,-1.115
2017/11/05,-1.165
2017/11/06,-1.218
2017/11/07,-1.266
2017/11/08,-1.3
2017/11/09,-1.318
2017/11/10,-1.325
2017/11/11,-1.32
2017/11/12,-1.304
2017/11/13,-1.278
2017/11/14,-1.241
2017/11/15,-1.196
2017/11/16,-1.143
2017/11/17,-1.088
2017/11/18,-1.034
2017/11/19,-0.972
2017/11/20,-0.904
2017/11/21,-0.831
2017/11/22,-0.753
2017/11/23,-0.669
2017/11/24,-0.578
2017/11/25,-0.489
2017/11/26,-0.393
2017/11/27,-0.29
2017/11/28,-0.183
2017/11/29,-0.075
2017/11/30,0.031
2017/12/01,0.132
2017/12/02,0.226
2017/12/03,0.318
2017/12/04,0.408
2017/12/05,0.516
2017/12/06,0.656
2017/12/07,0.865
2017/12/08,1.128
2017/12/09,1.436
2017/12/10,1.737
2017/12/11,2.004
2017/12/12,2.261
2017/12/13,2.486
2017/12/14,2.732
2017/12/15,2.976
2017/12/16,3.19
2017/12/17,3.335
2017/12/18,3.412
2017/12/19,3.479
2017/12/20,3.547
2017/12/21,3.613
2017/12/22,3.655
2017/12/23,3.68
2017/12/24,3.662
2017/12/25,3.596
2017/12/26,3.497
2017/12/27,3.374
2017/12/28,3.232
2017/12/29,3.079
2017/12/30,2.917
2017/12/31,2.755
2018/01/01,2.595
2018/01/02,2.442
2018/01/03,2.301
2018/01/04,2.19
2018/01/05,2.206
2018/01/06,2.362
2018/01/07,2.609
2018/01/08,2.931
2018/01/09,3.3
2018/01/10,3.766
2018/01/11,4.227
2018/01/12,4.576
2018/01/13,4.867
2018/01/14,5.074
2018/01/15,5.184
2018/01/16,5.203
2018/01/17,5.139
2018/01/18,5.03
2018/01/19,4.881
2018/01/20,4.709
2018/01/21,4.519
2018/01/22,4.295
2018/01/23,4.06
2018/01/24,3.823
2018/01/25,3.585
2018/01/26,3.335
2018/01/27,3.081
2018/01/28,2.831
2018/01/29,2.603
2018/01/30,2.38
2018/01/31,2.164
2018/02/01,1.975
2018/02/02,1.798
2018/02/03,1.626
2018/02/04,1.456
2018/02/05,1.285
2018/02/06,1.117
2018/02/07,0.956
2018/02/08,0.799
2018/02/09,0.648
2018/02/10,0.504
2018/02/11,0.366
2018/02/12,0.234
2018/02/13,0.109
2018/02/14,-0.009
2018/02/15,-0.119
2018/02/16,-0.223
2018/02/17,-0.319
2018/02/18,-0.406
2018/02/19,-0.487
2018/02/20,-0.562
2018/02/21,-0.636
2018/02/22,-0.709
2018/02/23,-0.779
2018/02/24,-0.843
2018/02/25,-0.906
2018/02/26,-0.966
2018/02/27,-1.025
2018/02/28,-1.078
2018/03/01,-1.128
2018/03/02,-1.172
2018/03/03,-1.216
2018/03/04,-1.254
2018/03/05,-1.288
2018/03/06,-1.318
2018/03/07,-1.344
2018/03/08,-1.371
2018/03/09,-1.4
2018/03/10,-1.431
2018/03/11,-1.466
2018/03/12,-1.502
2018/03/13,-1.541
2018/03/14,-1.582
2018/03/15,-1.624
2018/03/16,-1.668
2018/03/17,-1.712
2018/03/18,-1.757
2018/03/19,-1.803
2018/03/20,-1.848
2018/03/21,-1.893
2018/03/22,-1.938
2018/03/23,-1.983
2018/03/24,-2.027
2018/03/25,-2.071
2018/03/26,-2.114
2018/03/27,-2.156
2018/03/28,-2.197
2018/03/29,-2.238
2018/03/30,-2.279
2018/03/31,-2.32
2018/04/01,-2.361
2018/04/02,-2.401
2018/04/03,-2.441
2018/04/04,-2.481
2018/04/05,-2.519
2018/04/06,-2.558
2018/04/07,-2.595
2018/04/08,-2.633
2018/04/09,-2.669
2018/04/10,-2.704
2018/04/11,-2.737
2018/04/12,-2.769
2018/04/13,-2.797
2018/04/14,-2.824
2018/04/15,-2.849
2018/04/16,-2.87
2018/04/17,-2.891
2018/04/18,-2.907
2018/04/19,-2.921
2018/04/20,-2.929
2018/04/21,-2.935
2018/04/22,-2.937
2018/04/23,-2.936
2018/04/24,-2.928
2018/04/25,-2.911
2018/04/26,-2.887
2018/04/27,-2.852
2018/04/28,-2.808
2018/04/29,-2.751
2018/04/30,-2.681
2018/05/01,-2.606
2018/05/02,-2.524
2018/05/03,-2.436
2018/05/04,-2.346
2018/05/05,-2.25
2018/05/06,-2.156
2018/05/07,-2.064
2018/05/08,-1.971
2018/05/09,-1.869
2018/05/10,-1.74
2018/05/11,-1.595
2018/05/12,-1.455
2018/05/13,-1.308
2018/05/14,-1.143
2018/05/15,-0.96
2018/05/16,-0.768
2018/05/17,-0.566
2018/05/18,-0.361
2018/05/19,-0.164
2018/05/20,0.026
2018/05/21,0.211
2018/05/22,0.394
2018/05/23,0.563
2018/05/24,0.716
2018/05/25,0.848
2018/05/26,0.957
2018/05/27,1.038
2018/05/28,1.109
2018/05/29,1.175
2018/05/30,1.239
2018/05/31,1.309
2018/06/01,1.377
2018/06/02,1.424
2018/06/03,1.455
2018/06/04,1.479
2018/06/05,1.492
2018/06/06,1.498
2018/06/07,1.495
2018/06/08,1.479
2018/06/09,1.443
2018/06/10,1.386
2018/06/11,1.315
2018/06/12,1.234
2018/06/13,1.149
2018/06/14,1.065
2018/06/15,0.986
2018/06/16,0.898
2018/06/17,0.799
2018/06/18,0.695
2018/06/19,0.595
2018/06/20,0.496
2018/06/21,0.398
2018/06/22,0.299
2018/06/23,0.194
2018/06/24,0.088
2018/06/25,-0.01
2018/06/26,-0.106
2018/06/27,-0.2
2018/06/28,-0.292
2018/06/29,-0.383
2018/06/30,-0.434
2018/07/01,-0.375
2018/07/02,-0.206
2018/07/03,0.078
2018/07/04,0.382
2018/07/05,0.681
2018/07/06,1.018
2018/07/07,1.366
2018/07/08,1.657
2018/07/09,1.875
2018/07/10,2.019
2018/07/11,2.097
2018/07/12,2.14
2018/07/13,2.16
2018/07/14,2.201
2018/07/15,2.225
2018/07/16,2.197
2018/07/17,2.126
2018/07/18,2.023
2018/07/19,1.893
