Date,size7var
2018/06/24,3398272
2018/06/25,3621469
2018/06/26,3334001
2018/06/27,2847846
2018/06/28,2890679
2018/06/29,2681220
2018/06/30,1842675
2018/07/01,1061750
2018/07/02,2344435
2018/07/03,2212059
2018/07/04,2886028
2018/07/05,2105015
2018/07/06,1998099
2018/07/07,1844538
2018/07/08,1770409
2018/07/09,2017289
2018/07/10,2714892
2018/07/11,1996394
2018/07/12,2006811
2018/07/13,1290322
2018/07/14,1365224
2018/07/15,2326662
2018/07/16,2832087
2018/07/17,2927649
2018/07/18,3520520
2018/07/19,4052843
2018/07/20,3936485
2018/07/21,4240327
2018/07/22,2829824
2018/07/23,2719011
2018/07/24,3030783
2018/07/25,3286810
2018/07/26,3204197
2018/07/27,3020345
2018/07/28,2641657
2018/07/29,2231051
2018/07/30,2378995
2018/07/31,2269386
2018/08/01,2528146
2018/08/02,2868505
2018/08/03,2915083
2018/08/04,1621410
2018/08/05,1505679
2018/08/06,1454039
2018/08/07,2689003
2018/08/08,6360241
2018/08/09,8143254
2018/08/10,7435084
2018/08/11,7074521
2018/08/12,5866074
2018/08/13,4443311
2018/08/14,5502000
2018/08/15,4085394
2018/08/16,1703428
2018/08/17,1028682
2018/08/18,1230058
2018/08/19,895389
2018/08/20,2487387
2018/08/21,3740240
2018/08/22,2493246
2018/08/23,2626657
2018/08/24,1484523
2018/08/25,1479711
2018/08/26,884845
2018/08/27,823399
2018/08/28,1114533
2018/08/29,764119
2018/08/30,854514
2018/08/31,1255627
2018/09/01,1222998
2018/09/02,1369494
2018/09/03,1406225
2018/09/04,807783
2018/09/05,1131774
2018/09/06,1139448
2018/09/07,882620
2018/09/08,984472
2018/09/09,1437391
2018/09/10,1366720
2018/09/11,1638439
2018/09/12,1278753
2018/09/13,1282311
2018/09/14,1913438
2018/09/15,2172982
2018/09/16,2539649
2018/09/17,2396631
2018/09/18,1149485
2018/09/19,5001285
2018/09/20,4947770
2018/09/21,4925605
2018/09/22,4839080
2018/09/23,4187744
2018/09/24,6035160
2018/09/25,7130070
2018/09/26,3612376
2018/09/27,3077633
2018/09/28,2782653
2018/09/29,9083011
2018/09/30,10317838
2018/10/01,10306660
2018/10/02,10173193
2018/10/03,9163489
2018/10/04,5284516
2018/10/05,2422295
2018/10/06,5109341
2018/10/07,9760197
2018/10/08,8883285
2018/10/09,5992730
2018/10/10,5421501
2018/10/11,2406804
2018/10/12,1882569
2018/10/13,1895974
2018/10/14,1999315
2018/10/15,1950588
2018/10/16,1894451
2018/10/17,1811535
2018/10/18,1778345
2018/10/19,904758
2018/10/20,1245978
2018/10/21,854408
2018/10/22,1492837
2018/10/23,1492505
2018/10/24,2668334
2018/10/25,4458096
2018/10/26,4738401
2018/10/27,5244972
2018/10/28,5687217
2018/10/29,5716919
2018/10/30,5535840
2018/10/31,5071841
2018/11/01,3159227
2018/11/02,2396713
2018/11/03,2050768
2018/11/04,1880298
2018/11/05,1203476
2018/11/06,1114062
2018/11/07,1103583
2018/11/08,1178801
2018/11/09,1173694
2018/11/10,952557
2018/11/11,581944
2018/11/12,649704
2018/11/13,442769
2018/11/14,630699
2018/11/15,565344
2018/11/16,600754
2018/11/17,998135
2018/11/18,1971255
2018/11/19,2228017
2018/11/20,3033783
2018/11/21,2794623
2018/11/22,2808287
2018/11/23,2799110
2018/11/24,2734933
2018/11/25,1673388
2018/11/26,1425099
2018/11/27,655781
2018/11/28,1512864
2018/11/29,1514762
2018/11/30,1670966
2018/12/01,1345964
2018/12/02,1968249
2018/12/03,1969267
2018/12/04,1973732
2018/12/05,1494086
2018/12/06,1813290
2018/12/07,1760060
2018/12/08,1454897
2018/12/09,585172
2018/12/10,584848
2018/12/11,603532
2018/12/12,675485
2018/12/13,350883
2018/12/14,426315
2018/12/15,499963
2018/12/16,802757
2018/12/17,1025113
2018/12/18,1631805
2018/12/19,1795857
2018/12/20,1966635
2018/12/21,2150199
2018/12/22,2248145
2018/12/23,1409163
2018/12/24,1418069
2018/12/25,1871998
2018/12/26,1607472
2018/12/27,1285890
2018/12/28,767626
2018/12/29,690984
2018/12/30,1910745
2018/12/31,1414673
2019/01/01,2731742
2019/01/02,2540444
2019/01/03,3490103
2019/01/04,3931595
2019/01/05,3962540
2019/01/06,3285392
2019/01/07,3348197
2019/01/08,1091634
2019/01/09,1087053
2019/01/10,1012054
2019/01/11,963344
2019/01/12,1423741
2019/01/13,1453792
2019/01/14,1500675
2019/01/15,1514267
2019/01/16,1523261
2019/01/17,1205847
2019/01/18,1009697
2019/01/19,641159
2019/01/20,46660
2019/01/21,1469490
2019/01/22,3673205
2019/01/23,3754764
2019/01/24,3358726
2019/01/25,3081991
2019/01/26,3350533
2019/01/27,3133358
2019/01/28,3237070
2019/01/29,2782956
2019/01/30,3108983
2019/01/31,3214117
2019/02/01,2734420
2019/02/02,2671311
2019/02/03,3992527
2019/02/04,5114453
2019/02/05,4453006
2019/02/06,3047867
2019/02/07,1632831
2019/02/08,690862
2019/02/09,676857
2019/02/10,846982
2019/02/11,1793585
2019/02/12,2207512
2019/02/13,4149897
2019/02/14,4773570
2019/02/15,4968551
2019/02/16,2541515
2019/02/17,1061243
2019/02/18,1124569
2019/02/19,966656
2019/02/20,1303032
2019/02/21,1744634
2019/02/22,1815659
2019/02/23,1603545
2019/02/24,1093660
2019/02/25,1792085
2019/02/26,2113862
2019/02/27,2135450
2019/02/28,2129340
2019/03/01,6536713
2019/03/02,13536946
2019/03/03,20789686
2019/03/04,17412197
2019/03/05,13102367
2019/03/06,8503443
2019/03/07,2072484
2019/03/08,2025248
2019/03/09,1780569
2019/03/10,2002319
2019/03/11,1373802
2019/03/12,1115377
2019/03/13,1536982
2019/03/14,1623194
2019/03/15,1436363
2019/03/16,1638490
2019/03/17,1458418
2019/03/18,1885427
2019/03/19,3312618
2019/03/20,3488448
2019/03/21,3942031
2019/03/22,4032998
2019/03/23,3379225
2019/03/24,2013154
2019/03/25,2091894
2019/03/26,1755040
2019/03/27,1857105
2019/03/28,1751260
2019/03/29,2105471
2019/03/30,1556459
2019/03/31,163541
2019/04/01,156077
2019/04/02,1065556
2019/04/03,1682822
2019/04/04,1362676
2019/04/05,1951485
2019/04/06,4144450
2019/04/07,5283109
2019/04/08,5280458
2019/04/09,4018124
2019/04/10,3538995
2019/04/11,5570635
2019/04/12,5464088
2019/04/13,4968479
2019/04/14,5498098
2019/04/15,5695862
2019/04/16,6167724
2019/04/17,5659364
2019/04/18,3759706
2019/04/19,3809388
2019/04/20,2681431
2019/04/21,530634
2019/04/22,512827
2019/04/23,251574
2019/04/24,375331
2019/04/25,415777
2019/04/26,473101
2019/04/27,2673095
2019/04/28,3052220
2019/04/29,2701359
2019/04/30,2047866
2019/05/01,2090837
2019/05/02,4954113
2019/05/03,5528624
2019/05/04,3889443
2019/05/05,3252822
2019/05/06,4964142
2019/05/07,10222066
2019/05/08,9830061
2019/05/09,9643766
2019/05/10,9520862
2019/05/11,6284714
2019/05/12,3917009
2019/05/13,3843814
2019/05/14,873802
2019/05/15,1303061
2019/05/16,2587606
2019/05/17,2861997
2019/05/18,2722907
2019/05/19,2460165
2019/05/20,2228752
2019/05/21,2260968
2019/05/22,2331178
2019/05/23,1838193
2019/05/24,1820052
2019/05/25,1811378
2019/05/26,1857374
2019/05/27,2557129
2019/05/28,2589538
2019/05/29,2710021
2019/05/30,2760938
2019/05/31,2940236
2019/06/01,2532429
2019/06/02,1081977
2019/06/03,741769
2019/06/04,700857
2019/06/05,788342
2019/06/06,755394
2019/06/07,1004454
2019/06/08,2982822
2019/06/09,5268317
2019/06/10,6789974
2019/06/11,7618115
2019/06/12,7348673
2019/06/13,8050723
2019/06/14,7597706
2019/06/15,6134486
2019/06/16,3608418
2019/06/17,2966028
2019/06/18,2140955
2019/06/19,2798858
2019/06/20,2687299
2019/06/21,3153130
2019/06/22,4583455
2019/06/23,5225606
2019/06/24,4595119
2019/06/25,5391804
2019/06/26,5671340
2019/06/27,3981985
2019/06/28,5523780
2019/06/29,6311405
2019/06/30,8021566
2019/07/01,8807794
2019/07/02,8513520
2019/07/03,8281921
2019/07/04,8626459
2019/07/05,5717803
2019/07/06,5304670
2019/07/07,2826179
2019/07/08,6491734
2019/07/09,7049418
2019/07/10,7527442
2019/07/11,7100514
2019/07/12,8686000
2019/07/13,15825164
2019/07/14,18578758
2019/07/15,34624525
2019/07/16,38562315
2019/07/17,37257512
2019/07/18,36348681
2019/07/19,35298069
2019/07/20,35321730
2019/07/21,41660516
2019/07/22,21683192
2019/07/23,12758008
2019/07/24,13709665
2019/07/25,17387377
2019/07/26,16608071
2019/07/27,16608938
2019/07/28,15433714
2019/07/29,14967089
2019/07/30,14440304
2019/07/31,10443383
2019/08/01,6504152
2019/08/02,6976038
2019/08/03,5823603
2019/08/04,5022249
2019/08/05,4770220
2019/08/06,4602287
2019/08/07,4348148
2019/08/08,1919664
2019/08/09,1674783
2019/08/10,2271358
2019/08/11,3119993
2019/08/12,2940389
2019/08/13,2690594
2019/08/14,2731762
2019/08/15,2681947
2019/08/16,2671848
2019/08/17,2398124
2019/08/18,1372641
2019/08/19,1493421
2019/08/20,1558566
2019/08/21,1362149
2019/08/22,1474438
2019/08/23,1466349
2019/08/24,1017337
2019/08/25,461060
