Date,price7rsiUSD
2017/06/04,79.9
2017/06/05,81.764
2017/06/06,84.228
2017/06/07,84.984
2017/06/08,79.775
2017/06/09,82.964
2017/06/10,89.206
2017/06/11,92.961
2017/06/12,94.519
2017/06/13,95.271
2017/06/14,85.94
2017/06/15,58.962
2017/06/16,65.111
2017/06/17,67.489
2017/06/18,68.769
2017/06/19,65.683
2017/06/20,66.659
2017/06/21,50.148
2017/06/22,45.863
2017/06/23,48.119
2017/06/24,44.013
2017/06/25,33.762
2017/06/26,23.603
2017/06/27,20.451
2017/06/28,44.542
2017/06/29,51.019
2017/06/30,45.766
2017/07/01,38.045
2017/07/02,37.646
2017/07/03,43.87
2017/07/04,42.893
2017/07/05,37.357
2017/07/06,39.002
2017/07/07,33.929
2017/07/08,28.844
2017/07/09,31.215
2017/07/10,24.828
2017/07/11,17.429
2017/07/12,24.035
2017/07/13,28.84
2017/07/14,24.685
2017/07/15,21.238
2017/07/16,15.465
2017/07/17,27.785
2017/07/18,45.818
2017/07/19,54.969
2017/07/20,52.751
2017/07/21,55.693
2017/07/22,56.043
2017/07/23,58.088
2017/07/24,56.748
2017/07/25,45.101
2017/07/26,38.674
2017/07/27,40.309
2017/07/28,36.984
2017/07/29,31.259
2017/07/30,43.123
2017/07/31,41.394
2017/08/01,58.941
2017/08/02,61.895
2017/08/03,62.524
2017/08/04,63.181
2017/08/05,72.837
2017/08/06,81.594
2017/08/07,83.044
2017/08/08,86.555
2017/08/09,89.646
2017/08/10,89.964
2017/08/11,89.983
2017/08/12,91.871
2017/08/13,69.52
2017/08/14,71.749
2017/08/15,59.07
2017/08/16,62.439
2017/08/17,68.377
2017/08/18,63.534
2017/08/19,55.29
2017/08/20,56.234
2017/08/21,72.545
2017/08/22,64.564
2017/08/23,68.29
2017/08/24,69.542
2017/08/25,74.65
2017/08/26,72.383
2017/08/27,75.896
2017/08/28,79.14
2017/08/29,85.055
2017/08/30,88.943
2017/08/31,89.853
2017/09/01,90.912
2017/09/02,57.836
2017/09/03,51.18
2017/09/04,35.061
2017/09/05,30.18
2017/09/06,47.774
2017/09/07,47.577
2017/09/08,42.014
2017/09/09,34.891
2017/09/10,31.818
2017/09/11,34.27
2017/09/12,38.822
2017/09/13,27.951
2017/09/14,22.044
2017/09/15,18.511
2017/09/16,33.112
2017/09/17,31.563
2017/09/18,51.691
2017/09/19,51.182
2017/09/20,50.666
2017/09/21,44.938
2017/09/22,37.791
2017/09/23,46.487
2017/09/24,52.809
2017/09/25,56.329
2017/09/26,56.942
2017/09/27,59.959
2017/09/28,64.794
2017/09/29,53.2
2017/09/30,59.224
2017/10/01,58.359
2017/10/02,57.392
2017/10/03,50.151
2017/10/04,50.032
2017/10/05,49.838
2017/10/06,59.393
2017/10/07,68.037
2017/10/08,70.347
2017/10/09,53.961
2017/10/10,50.388
2017/10/11,52.565
2017/10/12,58.639
2017/10/13,74.578
2017/10/14,82.343
2017/10/15,69.446
2017/10/16,73.364
2017/10/17,56.338
2017/10/18,41.344
2017/10/19,45.534
2017/10/20,43.377
2017/10/21,37.417
2017/10/22,36.17
2017/10/23,29.659
2017/10/24,48.398
2017/10/25,42.693
2017/10/26,43.576
2017/10/27,42.953
2017/10/28,41.461
2017/10/29,50.966
2017/10/30,56.558
2017/10/31,57.029
2017/11/01,45.768
2017/11/02,32.545
2017/11/03,45.84
2017/11/04,50.523
2017/11/05,48.586
2017/11/06,49.234
2017/11/07,45.906
2017/11/08,53.712
2017/11/09,70.535
2017/11/10,59.463
2017/11/11,54.737
2017/11/12,56.903
2017/11/13,63.168
2017/11/14,73.072
2017/11/15,77.395
2017/11/16,66.59
2017/11/17,68.535
2017/11/18,70.825
