Date,transactionvalue3rocUSD
2017/10/01,-46.622
2017/10/02,-6.176
2017/10/03,209.268
2017/10/04,200.269
2017/10/05,27.143
2017/10/06,-56.178
2017/10/07,-44.236
2017/10/08,1.895
2017/10/09,7.449
2017/10/10,19.177
2017/10/11,-3.554
2017/10/12,-3.516
2017/10/13,26.302
2017/10/14,19.815
2017/10/15,1.626
2017/10/16,-48.417
2017/10/17,-30.825
2017/10/18,1.669
2017/10/19,25.584
2017/10/20,-10.577
2017/10/21,-28.938
2017/10/22,-18.751
2017/10/23,22.513
2017/10/24,15.216
2017/10/25,3.863
2017/10/26,-20.673
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,0
2017/10/31,0
2017/11/01,0
2017/11/02,0
2017/11/03,0
2017/11/04,-20.325
2017/11/05,-32.365
2017/11/06,-26.082
2017/11/07,-20.898
2017/11/08,25.152
2017/11/09,123.369
2017/11/10,83.094
2017/11/11,37.534
2017/11/12,-2.514
2017/11/13,-13.25
2017/11/14,-22.941
2017/11/15,-15.609
2017/11/16,28.465
2017/11/17,34.094
2017/11/18,-10.051
2017/11/19,-5.496
2017/11/20,13.45
2017/11/21,22.851
2017/11/22,15.453
2017/11/23,4.69
2017/11/24,-1.125
2017/11/25,20.36
2017/11/26,10.415
2017/11/27,36.635
2017/11/28,32.753
2017/11/29,48.247
2017/11/30,10.955
2017/12/01,-14.98
2017/12/02,-15.497
2017/12/03,-16.372
2017/12/04,-10.345
2017/12/05,-60.394
2017/12/06,-44.716
2017/12/07,-48.17
2017/12/08,-18.934
2017/12/09,-43.625
2017/12/10,-43.493
2017/12/11,-30.603
2017/12/12,87.425
2017/12/13,95.314
2017/12/14,148.025
2017/12/15,-10.502
2017/12/16,-17.792
2017/12/17,-27.891
2017/12/18,-13.37
2017/12/19,32.779
2017/12/20,59.647
2017/12/21,54.195
2017/12/22,4.572
2017/12/23,-28.312
2017/12/24,-35.049
2017/12/25,-32.808
2017/12/26,7.396
2017/12/27,28.56
2017/12/28,57.774
2017/12/29,22.67
2017/12/30,21.289
2017/12/31,-26.772
2018/01/01,-31.487
2018/01/02,1.882
2018/01/03,45.332
2018/01/04,109.212
2018/01/05,38.548
2018/01/06,24.96
2018/01/07,-19.127
2018/01/08,0.689
2018/01/09,24.786
2018/01/10,69.071
2018/01/11,14.621
2018/01/12,-11.508
2018/01/13,-43.58
2018/01/14,88.285
2018/01/15,-6.431
2018/01/16,23.296
2018/01/17,-61.412
2018/01/18,-7.579
2018/01/19,-32.198
2018/01/20,-25.541
2018/01/21,-32.706
2018/01/22,2.758
2018/01/23,2.462
2018/01/24,18.982
2018/01/25,-41.01
2018/01/26,19.976
2018/01/27,-12.791
2018/01/28,75.545
2018/01/29,-7.643
2018/01/30,27.934
2018/01/31,5.312
2018/02/01,-9.808
2018/02/02,-1.227
2018/02/03,-28.926
2018/02/04,-36.9
2018/02/05,-39.426
2018/02/06,-6.954
2018/02/07,19.12
2018/02/08,-31.693
2018/02/09,-20.327
2018/02/10,-13.49
2018/02/11,-2.32
2018/02/12,-11.284
2018/02/13,23.257
2018/02/14,35.981
2018/02/15,36.97
