Date,price7varUSD
2018/06/15,1561
2018/06/16,593.352
2018/06/17,211.939
2018/06/18,125.898
2018/06/19,172.781
2018/06/20,190.347
2018/06/21,221.893
2018/06/22,276.241
2018/06/23,462.807
2018/06/24,866.023
2018/06/25,1091
2018/06/26,1084
2018/06/27,939.199
2018/06/28,331.765
2018/06/29,270.767
2018/06/30,169.033
2018/07/01,173.674
2018/07/02,191.966
2018/07/03,298.596
2018/07/04,320.659
2018/07/05,315.651
2018/07/06,65.87
2018/07/07,38.77
2018/07/08,56.862
2018/07/09,52.375
2018/07/10,124.562
2018/07/11,244.729
2018/07/12,366.722
2018/07/13,433.379
2018/07/14,458.932
2018/07/15,245.502
2018/07/16,104.203
2018/07/17,284.874
2018/07/18,534.343
2018/07/19,484.697
2018/07/20,385.19
2018/07/21,243.432
2018/07/22,152.832
2018/07/23,164.051
2018/07/24,144.152
2018/07/25,39.782
2018/07/26,45.464
2018/07/27,37.649
2018/07/28,29.6
2018/07/29,27.139
2018/07/30,27.73
2018/07/31,117.489
2018/08/01,310.881
2018/08/02,419.46
2018/08/03,522.361
2018/08/04,464.886
2018/08/05,323.328
2018/08/06,121.811
2018/08/07,30.425
2018/08/08,239.17
2018/08/09,405.709
2018/08/10,533.867
2018/08/11,951.891
2018/08/12,1051
2018/08/13,965.527
2018/08/14,1148
2018/08/15,1048
2018/08/16,772.235
2018/08/17,354.976
2018/08/18,293.366
2018/08/19,187.79
2018/08/20,145.548
2018/08/21,63.075
2018/08/22,75.614
2018/08/23,114.629
2018/08/24,109.832
2018/08/25,62.315
2018/08/26,31.752
2018/08/27,7.061
2018/08/28,22.808
2018/08/29,46.147
2018/08/30,38.969
2018/08/31,35.061
2018/09/01,42.181
2018/09/02,37.134
2018/09/03,22.107
2018/09/04,22.186
2018/09/05,82.469
2018/09/06,501.819
2018/09/07,838.893
2018/09/08,1090
2018/09/09,1201
2018/09/10,1018
2018/09/11,567.333
2018/09/12,283.369
2018/09/13,194.137
2018/09/14,138.837
2018/09/15,171.296
2018/09/16,217.736
2018/09/17,227.245
2018/09/18,196.903
2018/09/19,51.825
2018/09/20,23.645
2018/09/21,62.492
2018/09/22,147.103
2018/09/23,220.915
2018/09/24,231.664
2018/09/25,179.172
2018/09/26,156.014
2018/09/27,125.62
2018/09/28,125.609
2018/09/29,97.411
2018/09/30,63.209
2018/10/01,47.405
2018/10/02,35.015
2018/10/03,23.31
2018/10/04,15.907
2018/10/05,17.783
2018/10/06,17.83
2018/10/07,10.919
2018/10/08,7.152
2018/10/09,7.101
2018/10/10,3.438
2018/10/11,73.082
2018/10/12,155
2018/10/13,184.773
2018/10/14,189.301
2018/10/15,146.663
2018/10/16,85.736
2018/10/17,30.143
2018/10/18,30.292
2018/10/19,18.62
2018/10/20,11.704
2018/10/21,5.108
2018/10/22,5.276
2018/10/23,4.552
2018/10/24,2.226
2018/10/25,2.476
2018/10/26,2.773
2018/10/27,2.653
2018/10/28,0.8
2018/10/29,1.483
2018/10/30,6.846
2018/10/31,8.784
2018/11/01,9.139
2018/11/02,7.943
2018/11/03,5.867
2018/11/04,5.96
2018/11/05,17.582
