Date,transactions3var
2017/06/02,67916820
2017/06/03,104697061
2017/06/04,67743998
2017/06/05,37614616
2017/06/06,69271762
2017/06/07,48165422
2017/06/08,65357264
2017/06/09,138407040
2017/06/10,161745458
2017/06/11,150049540
2017/06/12,1091237065
2017/06/13,498054696
2017/06/14,318252853
2017/06/15,150029051
2017/06/16,35336328
2017/06/17,67230820
2017/06/18,6160300
2017/06/19,398688744
2017/06/20,668296708
2017/06/21,1366565561
2017/06/22,1348609038
2017/06/23,780333355
2017/06/24,205267529
2017/06/25,337662191
2017/06/26,1344331018
2017/06/27,1320426984
2017/06/28,703465175
2017/06/29,75238737
2017/06/30,77707194
2017/07/01,90744730
2017/07/02,25695478
2017/07/03,745568091
2017/07/04,483906091
2017/07/05,160660316
2017/07/06,86170487
2017/07/07,229918769
2017/07/08,409454868
2017/07/09,854128802
2017/07/10,1054853603
2017/07/11,1170917913
2017/07/12,59474307
2017/07/13,172357813
2017/07/14,205395688
2017/07/15,140123950
2017/07/16,66507198
2017/07/17,63126411
2017/07/18,110082649
2017/07/19,108832935
2017/07/20,93748204
2017/07/21,235512458
2017/07/22,334902034
2017/07/23,502677350
2017/07/24,703468725
2017/07/25,80263398
2017/07/26,268632468
2017/07/27,78993446
2017/07/28,111564530
2017/07/29,381293063
2017/07/30,436505438
2017/07/31,509331858
2017/08/01,336082344
2017/08/02,167809848
2017/08/03,55423388
2017/08/04,126912709
2017/08/05,119990272
2017/08/06,10593469
2017/08/07,73584949
2017/08/08,507351087
2017/08/09,323144833
2017/08/10,579815831
2017/08/11,1058810094
2017/08/12,73916648
2017/08/13,101946702
2017/08/14,1229833110
2017/08/15,1376265494
2017/08/16,2553564
2017/08/17,47211188
2017/08/18,147383813
2017/08/19,793628730
2017/08/20,2967394979
2017/08/21,1297289958
2017/08/22,1186345236
2017/08/23,135820470
2017/08/24,82769046
2017/08/25,109208550
2017/08/26,475865306
2017/08/27,364275371
2017/08/28,575151874
2017/08/29,831849578
2017/08/30,258455198
2017/08/31,42806270
2017/09/01,41990656
2017/09/02,701907684
2017/09/03,1354309419
2017/09/04,3639016278
2017/09/05,4422226122
2017/09/06,620032608
2017/09/07,556076654
2017/09/08,401251290
2017/09/09,1202504315
2017/09/10,3224637633
2017/09/11,597736790
2017/09/12,1060572737
2017/09/13,344397020
2017/09/14,261994195
2017/09/15,1087327243
2017/09/16,938967493
2017/09/17,3878003058
2017/09/18,1398186669
2017/09/19,924148709
2017/09/20,246216708
2017/09/21,72574401
2017/09/22,556226790
2017/09/23,606009075
2017/09/24,72460682
2017/09/25,361797329
2017/09/26,143592340
2017/09/27,1671422
2017/09/28,105603822
2017/09/29,79829487
2017/09/30,229587350
2017/10/01,322487901
2017/10/02,82465302
2017/10/03,323189680
2017/10/04,100158881
2017/10/05,72447668
2017/10/06,26673423
2017/10/07,157462583
2017/10/08,154809682
2017/10/09,265589873
2017/10/10,469673702
2017/10/11,83081909
2017/10/12,64859430
2017/10/13,202834825
2017/10/14,381026364
2017/10/15,526443869
2017/10/16,1345174585
2017/10/17,5221102230
2017/10/18,1618805772
2017/10/19,214476978
2017/10/20,1018979464
2017/10/21,1199554018
2017/10/22,2243758205
2017/10/23,205182185
2017/10/24,541678006
2017/10/25,184161618
2017/10/26,191261695
2017/10/27,47728450730
2017/10/28,48341012630
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,60645996450
