Date,hashrate30rsi
2018/03/05,69.169
2018/03/06,69.372
2018/03/07,71.978
2018/03/08,71.325
2018/03/09,66.947
2018/03/10,67.831
2018/03/11,66.97
2018/03/12,67.607
2018/03/13,67.177
2018/03/14,65.214
2018/03/15,66.39
2018/03/16,69.552
2018/03/17,68.256
2018/03/18,66.711
2018/03/19,67.085
2018/03/20,67.535
2018/03/21,64.98
2018/03/22,64.584
2018/03/23,65.086
2018/03/24,63.767
2018/03/25,64.301
2018/03/26,67.181
2018/03/27,62.661
2018/03/28,62.371
2018/03/29,59.222
2018/03/30,60.583
2018/03/31,58.183
2018/04/01,58.368
2018/04/02,58.453
2018/04/03,54.568
2018/04/04,55.777
2018/04/05,56.559
2018/04/06,59.663
2018/04/07,56.801
2018/04/08,55.653
2018/04/09,50.828
2018/04/10,53.95
2018/04/11,52.601
2018/04/12,51.854
2018/04/13,53.219
2018/04/14,53.369
2018/04/15,53.348
2018/04/16,53.843
2018/04/17,53.659
2018/04/18,49.779
2018/04/19,53.67
2018/04/20,50.184
2018/04/21,54.835
2018/04/22,53.126
2018/04/23,55.014
2018/04/24,52.287
2018/04/25,53.307
2018/04/26,57.366
2018/04/27,52.662
2018/04/28,50.998
2018/04/29,55.536
2018/04/30,54.856
2018/05/01,51.456
2018/05/02,53.586
2018/05/03,53.968
2018/05/04,55.11
2018/05/05,56.72
2018/05/06,56.889
2018/05/07,58.941
2018/05/08,57.547
2018/05/09,55.8
2018/05/10,55.776
2018/05/11,56.911
2018/05/12,59.12
2018/05/13,58.852
2018/05/14,56.071
2018/05/15,54.324
2018/05/16,54.474
2018/05/17,55.652
2018/05/18,54.579
2018/05/19,55.149
2018/05/20,56.798
2018/05/21,57.814
2018/05/22,56.029
2018/05/23,55.611
2018/05/24,50.525
2018/05/25,51.489
2018/05/26,53.453
2018/05/27,50.345
2018/05/28,52.418
2018/05/29,51.966
2018/05/30,50.892
2018/05/31,53.73
2018/06/01,48.652
2018/06/02,51.609
2018/06/03,50.76
2018/06/04,51.295
2018/06/05,50.938
2018/06/06,50.216
2018/06/07,51.336
2018/06/08,51.948
2018/06/09,56.719
2018/06/10,51.78
2018/06/11,53.573
2018/06/12,54.979
2018/06/13,51.647
2018/06/14,51.453
2018/06/15,51.112
2018/06/16,52.252
2018/06/17,51.288
2018/06/18,55.385
2018/06/19,56.35
2018/06/20,54.775
2018/06/21,56.167
2018/06/22,56.847
2018/06/23,54.907
2018/06/24,55.328
2018/06/25,55.75
2018/06/26,54.425
2018/06/27,57.621
2018/06/28,53.409
2018/06/29,52.39
2018/06/30,56.435
2018/07/01,51.508
2018/07/02,53.269
2018/07/03,54.805
2018/07/04,53.792
2018/07/05,56.987
2018/07/06,54.995
2018/07/07,56.123
2018/07/08,53.752
2018/07/09,56.259
2018/07/10,53.368
2018/07/11,50.464
2018/07/12,51.562
2018/07/13,50.549
2018/07/14,50.721
2018/07/15,51.343
2018/07/16,51.449
2018/07/17,53.706
2018/07/18,52.724
2018/07/19,51.365
2018/07/20,49.512
2018/07/21,45.511
2018/07/22,50.291
2018/07/23,53.487
2018/07/24,51.749
2018/07/25,54.106
2018/07/26,53.199
2018/07/27,53.012
2018/07/28,53.458
2018/07/29,53.882
2018/07/30,53.694
2018/07/31,54.141
2018/08/01,52.797
2018/08/02,54.837
2018/08/03,51.91
2018/08/04,54.489
2018/08/05,54.534
2018/08/06,54.642
2018/08/07,54.042
2018/08/08,55.176
2018/08/09,55.517
2018/08/10,53.767
2018/08/11,54.258
2018/08/12,50.655
2018/08/13,50.584
2018/08/14,51.144
2018/08/15,49.758
2018/08/16,47.827
2018/08/17,50.48
2018/08/18,48.532
2018/08/19,49.235
2018/08/20,50.066
2018/08/21,51.11
2018/08/22,52.7
2018/08/23,47.942
2018/08/24,49.655
2018/08/25,49.902
2018/08/26,52.179
2018/08/27,50.594
2018/08/28,49.529
2018/08/29,47.423
2018/08/30,48.154
2018/08/31,48.518
2018/09/01,47.27
2018/09/02,46.089
2018/09/03,46.12
2018/09/04,47.101
2018/09/05,47.219
2018/09/06,47.18
2018/09/07,44.946
2018/09/08,44.453
2018/09/09,38.796
2018/09/10,40.528
2018/09/11,38.585
2018/09/12,37.492
2018/09/13,35.341
2018/09/14,39.509
2018/09/15,39.975
2018/09/16,39.552
2018/09/17,40.107
2018/09/18,39.849
2018/09/19,42.256
2018/09/20,41.816
2018/09/21,41.275
2018/09/22,45.569
2018/09/23,44.442
2018/09/24,45.195
2018/09/25,44.117
2018/09/26,48.114
2018/09/27,47.522
2018/09/28,47.019
2018/09/29,44.89
2018/09/30,46.996
2018/10/01,44.806
2018/10/02,45.045
2018/10/03,44.417
2018/10/04,46.251
2018/10/05,45.583
2018/10/06,46.693
2018/10/07,47.822
2018/10/08,49.132
2018/10/09,47.748
2018/10/10,47.905
2018/10/11,45.648
2018/10/12,45.477
2018/10/13,44.231
2018/10/14,45.749
2018/10/15,44.535
2018/10/16,44.731
2018/10/17,44.015
2018/10/18,47.035
2018/10/19,45.099
2018/10/20,43.487
2018/10/21,41.882
2018/10/22,40.631
2018/10/23,42.687
2018/10/24,43.614
2018/10/25,41.48
2018/10/26,40.923
2018/10/27,42.154
2018/10/28,41.169
2018/10/29,39.995
2018/10/30,40.92
2018/10/31,44.398
2018/11/01,40.769
2018/11/02,38.101
2018/11/03,38.02
2018/11/04,40.961
2018/11/05,40.104
2018/11/06,40.253
2018/11/07,41.518
2018/11/08,42.975
2018/11/09,40.374
2018/11/10,41.982
2018/11/11,45.371
2018/11/12,42.113
2018/11/13,43.376
2018/11/14,43.805
2018/11/15,43.171
2018/11/16,46.081
2018/11/17,41.484
2018/11/18,41.893
2018/11/19,40.597
2018/11/20,38.635
2018/11/21,35.103
2018/11/22,33.001
2018/11/23,34.882
2018/11/24,34.018
2018/11/25,32.694
2018/11/26,32.644
2018/11/27,27.509
2018/11/28,25.66
2018/11/29,27.712
2018/11/30,27.466
2018/12/01,30.622
2018/12/02,28.4
2018/12/03,28.285
2018/12/04,30.905
2018/12/05,29.639
2018/12/06,31.713
2018/12/07,29.421
2018/12/08,28.484
2018/12/09,28.096
2018/12/10,33.96
2018/12/11,32.065
2018/12/12,30.783
2018/12/13,30.38
2018/12/14,29.566
2018/12/15,31.919
2018/12/16,31.237
2018/12/17,30.542
2018/12/18,29.634
2018/12/19,30.783
2018/12/20,30.514
2018/12/21,31.712
2018/12/22,33.085
2018/12/23,33.708
2018/12/24,38.388
2018/12/25,41.37
2018/12/26,44.965
2018/12/27,42.983
2018/12/28,41.853
2018/12/29,42.191
2018/12/30,42.708
2018/12/31,44.006
2019/01/01,39.941
2019/01/02,43.005
2019/01/03,43.191
2019/01/04,42.877
2019/01/05,45.441
2019/01/06,46.255
2019/01/07,47.791
2019/01/08,45.518
2019/01/09,48.029
2019/01/10,46.357
2019/01/11,46.625
2019/01/12,44.274
2019/01/13,44.973
2019/01/14,46.203
2019/01/15,48.061
2019/01/16,44.204
2019/01/17,43.499
2019/01/18,43.503
2019/01/19,46.922
2019/01/20,46.932
2019/01/21,44.233
2019/01/22,45.188
2019/01/23,40.735
2019/01/24,44.081
2019/01/25,44.265
2019/01/26,42.508
2019/01/27,41.648
2019/01/28,37.391
2019/01/29,34.764
2019/01/30,34.33
2019/01/31,36.773
2019/02/01,34.814
2019/02/02,34.792
2019/02/03,33.713
2019/02/04,34.742
2019/02/05,35.034
2019/02/06,34.391
2019/02/07,34.398
2019/02/08,36.149
2019/02/09,35.731
2019/02/10,38.018
2019/02/11,37.02
2019/02/12,40.021
2019/02/13,38.251
2019/02/14,37.481
2019/02/15,37.351
2019/02/16,39.697
2019/02/17,38.417
2019/02/18,40.83
2019/02/19,45.637
2019/02/20,45.16
2019/02/21,44.794
2019/02/22,43.982
2019/02/23,48.868
2019/02/24,47.221
2019/02/25,46.349
2019/02/26,47.488
2019/02/27,47.334
2019/02/28,48.124
2019/03/01,46.008
2019/03/02,46.055
2019/03/03,45.342
2019/03/04,44.844
2019/03/05,46.167
2019/03/06,45.467
2019/03/07,45.785
2019/03/08,46.721
2019/03/09,44.315
2019/03/10,46.471
2019/03/11,44.713
2019/03/12,44.344
2019/03/13,43.611
2019/03/14,44.335
2019/03/15,44.227
2019/03/16,47.822
2019/03/17,46.604
2019/03/18,45.414
2019/03/19,43.17
2019/03/20,46.865
2019/03/21,45.756
2019/03/22,45.109
2019/03/23,45.517
2019/03/24,45.415
2019/03/25,45.28
2019/03/26,42.825
2019/03/27,42.359
2019/03/28,42.268
2019/03/29,42.679
2019/03/30,39.893
2019/03/31,40.67
2019/04/01,45.89
2019/04/02,44.964
2019/04/03,44.233
2019/04/04,47.334
2019/04/05,46.619
2019/04/06,47.413
2019/04/07,46.876
2019/04/08,47.456
2019/04/09,48.27
2019/04/10,50.568
2019/04/11,50.129
2019/04/12,49.376
2019/04/13,51.31
2019/04/14,52.54
2019/04/15,52.875
2019/04/16,50.898
2019/04/17,48.201
2019/04/18,47.915
2019/04/19,50.327
2019/04/20,49.295
2019/04/21,50.153
2019/04/22,51.353
2019/04/23,50.055
2019/04/24,47.936
2019/04/25,48.263
2019/04/26,48.929
2019/04/27,51.058
2019/04/28,49.827
2019/04/29,51.734
2019/04/30,52.892
2019/05/01,52.609
2019/05/02,51.415
2019/05/03,49.282
2019/05/04,54.956
2019/05/05,54.121
2019/05/06,51.013
2019/05/07,53.063
2019/05/08,51.882
2019/05/09,52.254
2019/05/10,52.631
2019/05/11,52.827
2019/05/12,54.882
2019/05/13,53.108
2019/05/14,56.758
2019/05/15,58.145
2019/05/16,56.697
2019/05/17,62.37
2019/05/18,62.781
2019/05/19,59.74
2019/05/20,57.546
2019/05/21,55.605
2019/05/22,56.749
2019/05/23,54.772
2019/05/24,52.727
2019/05/25,54.362
2019/05/26,53.448
2019/05/27,56.461
2019/05/28,53.145
2019/05/29,58.854
2019/05/30,56.409
2019/05/31,56.958
2019/06/01,56.944
2019/06/02,57.734
2019/06/03,52.676
2019/06/04,53.44
2019/06/05,51.851
2019/06/06,55.431
2019/06/07,54.921
2019/06/08,51.925
2019/06/09,49.945
2019/06/10,52.249
2019/06/11,50.918
2019/06/12,50.733
2019/06/13,49.174
2019/06/14,49.87
2019/06/15,50.081
2019/06/16,50.481
2019/06/17,51.092
2019/06/18,49.9
2019/06/19,51.908
2019/06/20,51.279
2019/06/21,49.411
