Date,transactionfees30trxUSD
2018/12/10,-0.883
2018/12/11,-0.913
2018/12/12,-0.945
2018/12/13,-0.979
2018/12/14,-1.009
2018/12/15,-1.042
2018/12/16,-1.078
2018/12/17,-1.114
2018/12/18,-1.14
2018/12/19,-1.165
2018/12/20,-1.187
2018/12/21,-1.206
2018/12/22,-1.224
2018/12/23,-1.239
2018/12/24,-1.246
2018/12/25,-1.248
2018/12/26,-1.241
2018/12/27,-1.235
2018/12/28,-1.23
2018/12/29,-1.224
2018/12/30,-1.2
2018/12/31,-1.177
2019/01/01,-1.155
2019/01/02,-1.133
2019/01/03,-1.113
2019/01/04,-1.09
2019/01/05,-1.055
2019/01/06,-1.02
2019/01/07,-0.987
2019/01/08,-0.958
2019/01/09,-0.932
2019/01/10,-0.908
2019/01/11,-0.888
2019/01/12,-0.874
2019/01/13,-0.864
2019/01/14,-0.848
2019/01/15,-0.831
2019/01/16,-0.809
2019/01/17,-0.792
2019/01/18,-0.775
2019/01/19,-0.762
2019/01/20,-0.753
2019/01/21,-0.747
2019/01/22,-0.738
2019/01/23,-0.731
2019/01/24,-0.724
2019/01/25,-0.718
2019/01/26,-0.715
2019/01/27,-0.716
2019/01/28,-0.718
2019/01/29,-0.724
2019/01/30,-0.729
2019/01/31,-0.732
2019/02/01,-0.733
2019/02/02,-0.735
2019/02/03,-0.739
2019/02/04,-0.742
2019/02/05,-0.745
2019/02/06,-0.748
2019/02/07,-0.748
2019/02/08,-0.747
2019/02/09,-0.741
2019/02/10,-0.732
2019/02/11,-0.717
2019/02/12,-0.699
2019/02/13,-0.678
2019/02/14,-0.65
2019/02/15,-0.616
2019/02/16,-0.579
2019/02/17,-0.54
2019/02/18,-0.487
2019/02/19,-0.099
2019/02/20,0.233
2019/02/21,0.51
2019/02/22,0.736
2019/02/23,0.916
2019/02/24,1.059
2019/02/25,1.167
2019/02/26,1.247
2019/02/27,1.299
2019/02/28,1.333
2019/03/01,1.34
2019/03/02,1.324
2019/03/03,1.29
2019/03/04,1.24
2019/03/05,1.181
2019/03/06,1.117
2019/03/07,1.048
2019/03/08,0.977
2019/03/09,0.903
2019/03/10,0.826
2019/03/11,0.748
2019/03/12,0.67
2019/03/13,0.59
2019/03/14,0.51
2019/03/15,0.43
2019/03/16,0.352
2019/03/17,0.279
2019/03/18,0.335
2019/03/19,0.372
2019/03/20,0.39
2019/03/21,0.403
2019/03/22,0.404
2019/03/23,0.393
2019/03/24,0.372
2019/03/25,0.344
2019/03/26,0.312
2019/03/27,0.281
2019/03/28,0.247
2019/03/29,0.214
2019/03/30,0.176
2019/03/31,0.135
2019/04/01,0.096
2019/04/02,0.062
2019/04/03,0.041
2019/04/04,0.023
2019/04/05,0.005
2019/04/06,-0.014
2019/04/07,-0.033
2019/04/08,-0.048
2019/04/09,-0.063
2019/04/10,-0.068
2019/04/11,-0.074
2019/04/12,-0.084
2019/04/13,-0.098
2019/04/14,-0.114
2019/04/15,-0.131
2019/04/16,-0.148
2019/04/17,-0.163
2019/04/18,-0.174
2019/04/19,-0.188
2019/04/20,-0.207
2019/04/21,-0.228
2019/04/22,-0.249
2019/04/23,-0.27
2019/04/24,-0.29
2019/04/25,-0.312
2019/04/26,-0.332
