Date,hashrate30roc
2018/01/23,31.993
2018/01/24,33.88
2018/01/25,34.314
2018/01/26,33.396
2018/01/27,29.007
2018/01/28,33.271
2018/01/29,37.701
2018/01/30,34.102
2018/01/31,35.431
2018/02/01,38.896
2018/02/02,41.323
2018/02/03,37.646
2018/02/04,34.379
2018/02/05,40.62
2018/02/06,34.135
2018/02/07,37.507
2018/02/08,34.395
2018/02/09,33.608
2018/02/10,30.431
2018/02/11,31.104
2018/02/12,33.151
2018/02/13,30.875
2018/02/14,30.14
2018/02/15,27.412
2018/02/16,27.28
2018/02/17,28.613
2018/02/18,28.992
2018/02/19,23.503
2018/02/20,24.495
2018/02/21,22.639
2018/02/22,23.93
2018/02/23,21.945
2018/02/24,20.156
2018/02/25,22.987
2018/02/26,22.492
2018/02/27,18.818
2018/02/28,18.299
2018/03/01,20.33
2018/03/02,18.11
2018/03/03,17.843
2018/03/04,12.994
2018/03/05,13.735
2018/03/06,14.106
2018/03/07,14.865
2018/03/08,15.855
2018/03/09,10.567
2018/03/10,12.896
2018/03/11,10.761
2018/03/12,10.805
2018/03/13,9.597
2018/03/14,6.375
2018/03/15,6.99
2018/03/16,13.732
2018/03/17,11.956
2018/03/18,8.938
2018/03/19,9.138
2018/03/20,9.664
2018/03/21,8.555
2018/03/22,9.784
2018/03/23,9.391
2018/03/24,7.788
2018/03/25,7.268
2018/03/26,10.842
2018/03/27,5.813
2018/03/28,6.828
2018/03/29,6.776
2018/03/30,4.276
2018/03/31,2.364
2018/04/01,1.807
2018/04/02,-0.233
2018/04/03,0.138
2018/04/04,0.676
2018/04/05,1.04
2018/04/06,0.305
2018/04/07,-1.046
2018/04/08,0.566
2018/04/09,-3.665
2018/04/10,-0.768
2018/04/11,-2.41
2018/04/12,-2.719
2018/04/13,-0.645
2018/04/14,-1.714
2018/04/15,-5.08
2018/04/16,-4.094
2018/04/17,-3.426
2018/04/18,-6.223
2018/04/19,-3.958
2018/04/20,-5.07
2018/04/21,-1.231
2018/04/22,-2.901
2018/04/23,-0.673
2018/04/24,-3.114
2018/04/25,-4.855
2018/04/26,0.972
2018/04/27,-2.456
2018/04/28,-2.134
2018/04/29,1.066
2018/04/30,1.911
2018/05/01,-1.203
2018/05/02,0.848
2018/05/03,3.597
2018/05/04,3.817
2018/05/05,4.886
2018/05/06,2.488
2018/05/07,6.421
2018/05/08,6.093
2018/05/09,8.201
2018/05/10,5.517
2018/05/11,7.689
2018/05/12,10.621
2018/05/13,9.24
2018/05/14,7.006
2018/05/15,5.635
2018/05/16,5.391
2018/05/17,6.616
2018/05/18,8.533
2018/05/19,5.995
2018/05/20,10.198
2018/05/21,7.079
