Date,size30trx
2018/01/18,1.144
2018/01/19,1.127
2018/01/20,1.104
2018/01/21,1.075
2018/01/22,1.041
2018/01/23,1.002
2018/01/24,0.959
2018/01/25,0.912
2018/01/26,0.865
2018/01/27,0.814
2018/01/28,0.763
2018/01/29,0.713
2018/01/30,0.664
2018/01/31,0.617
2018/02/01,0.573
2018/02/02,0.531
2018/02/03,0.488
2018/02/04,0.444
2018/02/05,0.403
2018/02/06,0.363
2018/02/07,0.324
2018/02/08,0.283
2018/02/09,0.242
2018/02/10,0.202
2018/02/11,0.162
2018/02/12,0.124
2018/02/13,0.086
2018/02/14,0.05
2018/02/15,0.015
2018/02/16,-0.019
2018/02/17,-0.05
2018/02/18,-0.08
2018/02/19,-0.109
2018/02/20,-0.132
2018/02/21,-0.152
2018/02/22,-0.171
2018/02/23,-0.189
2018/02/24,-0.207
2018/02/25,-0.224
2018/02/26,-0.24
2018/02/27,-0.255
2018/02/28,-0.268
2018/03/01,-0.281
2018/03/02,-0.291
2018/03/03,-0.301
2018/03/04,-0.309
2018/03/05,-0.316
2018/03/06,-0.321
2018/03/07,-0.324
2018/03/08,-0.326
2018/03/09,-0.329
2018/03/10,-0.334
2018/03/11,-0.34
2018/03/12,-0.345
2018/03/13,-0.348
2018/03/14,-0.352
2018/03/15,-0.356
2018/03/16,-0.36
2018/03/17,-0.366
2018/03/18,-0.372
2018/03/19,-0.376
2018/03/20,-0.379
2018/03/21,-0.381
2018/03/22,-0.384
2018/03/23,-0.388
2018/03/24,-0.395
2018/03/25,-0.405
2018/03/26,-0.416
2018/03/27,-0.426
2018/03/28,-0.437
2018/03/29,-0.448
2018/03/30,-0.456
2018/03/31,-0.465
2018/04/01,-0.475
2018/04/02,-0.485
2018/04/03,-0.491
2018/04/04,-0.496
2018/04/05,-0.497
2018/04/06,-0.498
2018/04/07,-0.5
2018/04/08,-0.502
2018/04/09,-0.502
2018/04/10,-0.502
2018/04/11,-0.5
2018/04/12,-0.492
2018/04/13,-0.481
2018/04/14,-0.47
2018/04/15,-0.458
2018/04/16,-0.444
2018/04/17,-0.425
2018/04/18,-0.403
2018/04/19,-0.374
2018/04/20,-0.338
2018/04/21,-0.303
2018/04/22,-0.268
2018/04/23,-0.23
2018/04/24,-0.19
2018/04/25,-0.148
2018/04/26,-0.106
2018/04/27,-0.065
2018/04/28,-0.025
2018/04/29,0.014
2018/04/30,0.053
2018/05/01,0.09
2018/05/02,0.126
2018/05/03,0.162
2018/05/04,0.199
2018/05/05,0.231
2018/05/06,0.257
2018/05/07,0.279
2018/05/08,0.297
2018/05/09,0.313
2018/05/10,0.33
2018/05/11,0.345
2018/05/12,0.357
2018/05/13,0.366
2018/05/14,0.374
2018/05/15,0.381
2018/05/16,0.387
2018/05/17,0.39
2018/05/18,0.393
2018/05/19,0.394
2018/05/20,0.392
2018/05/21,0.391
2018/05/22,0.39
2018/05/23,0.389
2018/05/24,0.388
2018/05/25,0.386
2018/05/26,0.381
2018/05/27,0.373
2018/05/28,0.367
2018/05/29,0.361
