Date,sentinusd14stdUSD
2018/03/26,681919783
2018/03/27,501251173
2018/03/28,481771326
2018/03/29,477197187
2018/03/30,473861291
2018/03/31,495978648
2018/04/01,478654907
2018/04/02,467641829
2018/04/03,464364080
2018/04/04,464472874
2018/04/05,489772280
2018/04/06,483006471
2018/04/07,523230660
2018/04/08,525988879
2018/04/09,505898194
2018/04/10,440685855
2018/04/11,354631126
2018/04/12,337128967
2018/04/13,406704629
2018/04/14,412392584
2018/04/15,406601567
2018/04/16,407877365
2018/04/17,411455479
2018/04/18,433253905
2018/04/19,454208249
2018/04/20,528453144
2018/04/21,494635090
2018/04/22,465711543
2018/04/23,745138776
2018/04/24,857510753
2018/04/25,883259298
2018/04/26,888204165
2018/04/27,901643241
2018/04/28,830493799
2018/04/29,770550918
2018/04/30,723076465
2018/05/01,664752747
2018/05/02,677096652
2018/05/03,744071124
2018/05/04,795658146
2018/05/05,755410464
2018/05/06,663453032
2018/05/07,711923024
2018/05/08,691228059
2018/05/09,692244350
2018/05/10,676896961
2018/05/11,670754257
2018/05/12,695397720
2018/05/13,763244262
2018/05/14,757125004
2018/05/15,740201924
2018/05/16,754413110
2018/05/17,699369399
2018/05/18,644291108
2018/05/19,704404625
2018/05/20,739945768
2018/05/21,568549873
2018/05/22,557589863
2018/05/23,564480705
2018/05/24,528441825
2018/05/25,505873311
2018/05/26,545733994
2018/05/27,511762633
2018/05/28,496468788
2018/05/29,480072178
2018/05/30,480491778
2018/05/31,484156822
2018/06/01,497044741
2018/06/02,515706803
2018/06/03,562755661
2018/06/04,562808272
2018/06/05,536742987
2018/06/06,470984381
2018/06/07,475516510
2018/06/08,488597634
2018/06/09,506025499
2018/06/10,513534473
2018/06/11,484245936
2018/06/12,527473888
2018/06/13,671742384
2018/06/14,785041312
2018/06/15,828236019
2018/06/16,822046553
2018/06/17,843027347
2018/06/18,880819736
2018/06/19,889584765
2018/06/20,890664895
2018/06/21,897593364
2018/06/22,891358542
2018/06/23,910420808
2018/06/24,918009274
2018/06/25,918691726
2018/06/26,905044566
2018/06/27,781149484
2018/06/28,576839236
2018/06/29,337733011
2018/06/30,377155311
2018/07/01,411911365
2018/07/02,424991105
2018/07/03,414795110
2018/07/04,393569149
2018/07/05,381463904
2018/07/06,318950581
2018/07/07,333581040
2018/07/08,332602844
2018/07/09,273834634
2018/07/10,271477580
2018/07/11,267808926
2018/07/12,273669618
2018/07/13,256602027
2018/07/14,286356874
2018/07/15,311032396
2018/07/16,320937871
2018/07/17,322336912
2018/07/18,369261556
2018/07/19,369972888
2018/07/20,374639727
2018/07/21,377760914
2018/07/22,391120839
2018/07/23,382726722
2018/07/24,376403990
2018/07/25,376902882
2018/07/26,375216534
2018/07/27,369195339
2018/07/28,376094399
2018/07/29,374457510
2018/07/30,368840633
2018/07/31,468284635
2018/08/01,435468279
2018/08/02,430931851
2018/08/03,427023766
2018/08/04,440483963
2018/08/05,456262224
2018/08/06,455356223
2018/08/07,442495295
2018/08/08,445529762
2018/08/09,445606371
2018/08/10,446187859
2018/08/11,430708650
2018/08/12,436357770
2018/08/13,441189931
