Date,difficulty30ema
2017/07/23,1104022548285622
2017/07/24,1.1168280935432E+15
2017/07/25,1.1304766246438E+15
2017/07/26,1.1434431501864E+15
2017/07/27,1154944920463292
2017/07/28,1.1663915642462E+15
2017/07/29,1.1770874851693E+15
2017/07/30,1.1888819365679E+15
2017/07/31,1.2042154426747E+15
2017/08/01,1230184124058661
2017/08/02,1.2544641441062E+15
2017/08/03,1.2739100190767E+15
2017/08/04,1.294346012079E+15
2017/08/05,1.3131423307815E+15
2017/08/06,1.3315803754179E+15
2017/08/07,1.350185996398E+15
2017/08/08,1.368642143383E+15
2017/08/09,1387525541880393
2017/08/10,1404467553104815
2017/08/11,1.4196729681888E+15
2017/08/12,1.437276462571E+15
2017/08/13,1.4536361191473E+15
2017/08/14,1.4713921789928E+15
2017/08/15,1.4883571095351E+15
2017/08/16,1.5028844451156E+15
2017/08/17,1.5180806289226E+15
2017/08/18,1532749333915410
2017/08/19,1549723798284084
2017/08/20,1.5653927838381E+15
2017/08/21,1579566619117075
2017/08/22,1594071840434859
2017/08/23,1.6101353964095E+15
2017/08/24,1.6242033639777E+15
2017/08/25,1.6584272154964E+15
2017/08/26,1.6933678066695E+15
2017/08/27,1.7247720181872E+15
2017/08/28,1.7511272673605E+15
2017/08/29,1.7803510970514E+15
2017/08/30,1.8094349233537E+15
2017/08/31,1.8356350703458E+15
2017/09/01,1.8613082248437E+15
2017/09/02,1.8851760926599E+15
2017/09/03,1.9087317795842E+15
2017/09/04,1930359584675351
2017/09/05,1.9497584174972E+15
2017/09/06,1.9680062605826E+15
2017/09/07,1.9864472489859E+15
2017/09/08,2.0099779791363E+15
2017/09/09,2.0300700526623E+15
2017/09/10,2.0468330404096E+15
2017/09/11,2063988741500382
2017/09/12,2084072689601966
2017/09/13,2.0995607711229E+15
2017/09/14,2.1139101274409E+15
2017/09/15,2.1301802612578E+15
2017/09/16,2.1443696530082E+15
2017/09/17,2.1602736139055E+15
2017/09/18,2.1726206620888E+15
2017/09/19,2.1860499392913E+15
2017/09/20,2.1986245739234E+15
2017/09/21,2.2119638578639E+15
2017/09/22,2.2588201857788E+15
2017/09/23,2.3041093610312E+15
2017/09/24,2345496642404615
2017/09/25,2.3820724308102E+15
2017/09/26,2414655916771114
2017/09/27,2447003476672282
2017/09/28,2.4759756275269E+15
2017/09/29,2497072098226028
2017/09/30,2514931637106864
2017/10/01,2537558580356391
2017/10/02,2.5584367986396E+15
2017/10/03,2576526398414936
2017/10/04,2.5971604566113E+15
2017/10/05,2621133781890097
2017/10/06,2639930228988312
2017/10/07,2.6539629933665E+15
2017/10/08,2670837719820775
2017/10/09,2.6876195206402E+15
2017/10/10,2.702191469819E+15
2017/10/11,2721236285569574
2017/10/12,2733526044866882
2017/10/13,2.7527186765171E+15
2017/10/14,2.7633818763184E+15
2017/10/15,2.7762276329242E+15
2017/10/16,2.7211370461407E+15
2017/10/17,2637889118005266
2017/10/18,2.5588383371453E+15
2017/10/19,2.4879651888152E+15
2017/10/20,2420873782132173
2017/10/21,2359587416233735
2017/10/22,2.3028322680669E+15
2017/10/23,2.2481862970255E+15
2017/10/24,2.1997175409949E+15
2017/10/25,2153555440745704
2017/10/26,2107327194228730
2017/10/27,1971370601052683
2017/10/28,1844185400984768
2017/10/29,1725205697695428
2017/10/30,1613902104295723
2017/10/31,1.5097793878895E+15
2017/11/01,1.509565448746E+15
2017/11/02,1.5052918916349E+15
2017/11/03,1.499761481134E+15
2017/11/04,1.4936621522434E+15
2017/11/05,1.4901699240716E+15
2017/11/06,1486533468310374
2017/11/07,1.4817387335846E+15
2017/11/08,1.479983815681E+15
2017/11/09,1.4761521538565E+15
2017/11/10,1.47314825067E+15
2017/11/11,1.4708640979741E+15
2017/11/12,1.4719264929307E+15
2017/11/13,1470949248210320
2017/11/14,1.4695173627122E+15
2017/11/15,1.4666040019176E+15
2017/11/16,1462122144030101
2017/11/17,1.4583217438243E+15
2017/11/18,1453897001423388
2017/11/19,1.4505692483499E+15
2017/11/20,1453062474196038
2017/11/21,1454249587440920
2017/11/22,1454804316304112
2017/11/23,1.4589391441766E+15
2017/11/24,1.4647724100869E+15
2017/11/25,1471049828124509
2017/11/26,1476361425919130
2017/11/27,1.480286828781E+15
2017/11/28,1482077540061259
2017/11/29,1.4845744992992E+15
2017/11/30,1.4883274965183E+15
2017/12/01,1492109565023956
2017/12/02,1.4971536663844E+15
2017/12/03,1.4979664136751E+15
2017/12/04,1.5000877030655E+15
2017/12/05,1.4986299195836E+15
2017/12/06,1.4966828157198E+15
2017/12/07,1.4956529019213E+15
2017/12/08,1.4993456462455E+15
2017/12/09,1502820259755403
2017/12/10,1505827133227716
2017/12/11,1.5103358451345E+15
2017/12/12,1513298755263790
2017/12/13,1519714158104976
2017/12/14,1527558349429480
2017/12/15,1.5397338982454E+15
2017/12/16,1.5526757400585E+15
2017/12/17,1.5657089391678E+15
2017/12/18,1.5797762964897E+15
2017/12/19,1.5898852435483E+15
2017/12/20,1.5980313231611E+15
2017/12/21,1607289976144746
2017/12/22,1.614935978405E+15
2017/12/23,1.6263824652304E+15
2017/12/24,1.6390445577236E+15
2017/12/25,1.6528629339365E+15
2017/12/26,1666602827033060
2017/12/27,1.6793395456535E+15
2017/12/28,1.6946353047406E+15
2017/12/29,1.7059846841464E+15
2017/12/30,1.716865673585E+15
2017/12/31,1.7299428137816E+15
2018/01/01,1743176937190662
2018/01/02,1.7548900295103E+15
2018/01/03,1.7645321567757E+15
2018/01/04,1.7729784742619E+15
2018/01/05,1.7833065727541E+15
2018/01/06,1790779197176097
2018/01/07,1.801093221492E+15
2018/01/08,1.8143007429295E+15
2018/01/09,1.8268953397353E+15
2018/01/10,1838444380291569
2018/01/11,1.8537332716346E+15
2018/01/12,1.8696019120464E+15
2018/01/13,1.8870987024237E+15
2018/01/14,1.90529675213E+15
2018/01/15,1923624181991598
2018/01/16,1.9415675672584E+15
2018/01/17,1.9619292865099E+15
2018/01/18,1.9821587749967E+15
