Date,sentbyaddress
2018/10/23,177063
2018/10/24,179530
2018/10/25,171018
2018/10/26,176675
2018/10/27,162407
2018/10/28,143445
2018/10/29,192604
2018/10/30,197381
2018/10/31,190073
2018/11/01,170343
2018/11/02,145802
2018/11/03,142395
2018/11/04,149941
2018/11/05,169366
2018/11/06,164016
2018/11/07,145758
2018/11/08,143971
2018/11/09,166806
2018/11/10,151171
2018/11/11,174648
2018/11/12,168474
2018/11/13,157552
2018/11/14,170439
2018/11/15,162047
2018/11/16,152285
2018/11/17,138414
2018/11/18,133266
2018/11/19,205686
2018/11/20,179409
2018/11/21,152401
2018/11/22,151104
2018/11/23,151266
2018/11/24,132710
2018/11/25,147337
2018/11/26,154099
2018/11/27,148349
2018/11/28,153228
2018/11/29,139939
2018/11/30,154881
2018/12/01,133335
2018/12/02,132122
2018/12/03,143838
2018/12/04,137585
2018/12/05,156409
2018/12/06,149322
2018/12/07,166672
2018/12/08,184772
2018/12/09,153463
2018/12/10,158795
2018/12/11,146046
2018/12/12,151945
2018/12/13,148425
2018/12/14,148869
2018/12/15,161896
2018/12/16,161571
2018/12/17,156778
2018/12/18,144162
2018/12/19,166383
2018/12/20,167251
2018/12/21,158889
2018/12/22,128889
2018/12/23,149885
2018/12/24,161392
2018/12/25,151206
2018/12/26,160624
2018/12/27,164942
2018/12/28,164509
2018/12/29,173014
2018/12/30,140079
2018/12/31,155403
2019/01/01,135734
2019/01/02,165887
2019/01/03,183848
2019/01/04,157214
2019/01/05,146872
2019/01/06,150961
2019/01/07,167336
2019/01/08,172132
2019/01/09,169040
2019/01/10,164827
2019/01/11,163141
2019/01/12,122361
2019/01/13,128361
2019/01/14,195302
2019/01/15,172573
2019/01/16,144089
2019/01/17,145169
2019/01/18,146986
2019/01/19,138168
2019/01/20,132806
2019/01/21,143304
2019/01/22,136438
2019/01/23,147626
2019/01/24,145665
2019/01/25,146123
2019/01/26,123843
2019/01/27,140118
2019/01/28,162901
2019/01/29,152733
2019/01/30,139512
2019/01/31,142724
2019/02/01,137469
2019/02/02,116852
2019/02/03,107546
2019/02/04,101681
2019/02/05,104858
2019/02/06,104705
2019/02/07,105025
2019/02/08,123866
2019/02/09,107532
2019/02/10,98713
2019/02/11,117185
2019/02/12,116886
2019/02/13,123583
2019/02/14,126718
2019/02/15,128615
2019/02/16,119855
2019/02/17,117429
2019/02/18,153474
2019/02/19,144299
2019/02/20,136466
2019/02/21,127436
2019/02/22,132887
2019/02/23,127247
2019/02/24,135170
2019/02/25,131925
2019/02/26,139462
2019/02/27,147111
2019/02/28,138333
2019/03/01,157482
2019/03/02,141435
2019/03/03,129596
2019/03/04,150457
2019/03/05,158625
2019/03/06,157212
2019/03/07,155132
2019/03/08,153035
2019/03/09,156984
2019/03/10,124973
2019/03/11,138448
2019/03/12,156167
2019/03/13,150840
2019/03/14,150913
2019/03/15,150049
2019/03/16,127366
2019/03/17,132446
2019/03/18,162048
2019/03/19,169132
2019/03/20,168414
2019/03/21,153596
2019/03/22,158476
2019/03/23,148541
2019/03/24,144864
2019/03/25,187066
2019/03/26,179973
2019/03/27,167735
2019/03/28,171619
2019/03/29,172285
2019/03/30,164481
2019/03/31,158569
2019/04/01,201017
2019/04/02,235324
2019/04/03,217768
2019/04/04,192688
2019/04/05,185488
2019/04/06,159376
2019/04/07,168345
2019/04/08,192401
2019/04/09,196642
2019/04/10,177955
2019/04/11,216582
2019/04/12,233423
2019/04/13,186656
2019/04/14,143346
2019/04/15,176799
2019/04/16,171578
2019/04/17,178250
2019/04/18,189068
2019/04/19,207530
2019/04/20,268390
2019/04/21,202821
2019/04/22,199284
2019/04/23,217898
2019/04/24,198779
2019/04/25,189268
2019/04/26,179995
2019/04/27,154787
2019/04/28,156342
