Date,hashrate
2018/02/14,2.3628240803395E+14
2018/02/15,2.3843285876881E+14
2018/02/16,2.4306492885166E+14
2018/02/17,2.4357497405333E+14
2018/02/18,2.4354127767414E+14
2018/02/19,2.4284348764181E+14
2018/02/20,2.3963235985547E+14
2018/02/21,2.416228103973E+14
2018/02/22,2.4359988002308E+14
2018/02/23,2.4594067060485E+14
2018/02/24,2.4446663387854E+14
2018/02/25,2.5023933602288E+14
2018/02/26,2.4747563876165E+14
2018/02/27,2.432961965673E+14
2018/02/28,2.5204097730728E+14
2018/03/01,2.5320504689979E+14
2018/03/02,2.5497623538598E+14
2018/03/03,2.6036721624631E+14
2018/03/04,2.5348560504719E+14
2018/03/05,2.5447091697883E+14
2018/03/06,2.5508040836576E+14
2018/03/07,2.6340657941829E+14
2018/03/08,2.6254134284135E+14
2018/03/09,2.5650600506566E+14
2018/03/10,2.5911744823167E+14
2018/03/11,2.5790436740027E+14
2018/03/12,2.597214998967E+14
2018/03/13,2.591386692512E+14
2018/03/14,2.5647064502295E+14
2018/03/15,2.5956022415019E+14
2018/03/16,2.6872917896591E+14
2018/03/17,2.6693923023093E+14
2018/03/18,2.6479014632666E+14
2018/03/19,2.658334529665E+14
2018/03/20,2.6707806675714E+14
2018/03/21,2.6361924907963E+14
2018/03/22,2.6307762066502E+14
2018/03/23,2.6431360002210E+14
2018/03/24,2.6257034718882E+14
2018/03/25,2.6381507268206E+14
2018/03/26,2.7097206234681E+14
2018/03/27,2.6478470495571E+14
2018/03/28,2.6437225782071E+14
2018/03/29,2.5978100281419E+14
2018/03/30,2.628173778672E+14
2018/03/31,2.5919094228667E+14
2018/04/01,2.5958417421987E+14
2018/04/02,2.5975929530055E+14
2018/04/03,2.5383480168898E+14
2018/04/04,2.5619084923465E+14
2018/04/05,2.5773197377564E+14
2018/04/06,2.642111948506E+14
2018/04/07,2.5979499900225E+14
2018/04/08,2.5795863796919E+14
2018/04/09,2.4962183758508E+14
2018/04/10,255923340473121
2018/04/11,2.5346308024304E+14
2018/04/12,2.5209229621327E+14
