Date,activeaddresses7sma
2018/04/13,384857
2018/04/14,388471
2018/04/15,388925
2018/04/16,388158
2018/04/17,396417
2018/04/18,400785
2018/04/19,402810
2018/04/20,406911
2018/04/21,421756
2018/04/22,437034
2018/04/23,454823
2018/04/24,469817
2018/04/25,479271
2018/04/26,482242
2018/04/27,478269
2018/04/28,473064
2018/04/29,462873
2018/04/30,454625
2018/05/01,439282
2018/05/02,439442
2018/05/03,446877
2018/05/04,491933
2018/05/05,500834
2018/05/06,508913
2018/05/07,515171
2018/05/08,530459
2018/05/09,540426
2018/05/10,544064
2018/05/11,511264
2018/05/12,517487
2018/05/13,523732
2018/05/14,528102
2018/05/15,527879
2018/05/16,528875
2018/05/17,534101
2018/05/18,540634
2018/05/19,550254
2018/05/20,553140
2018/05/21,551367
2018/05/22,556017
2018/05/23,558738
2018/05/24,555476
2018/05/25,549404
2018/05/26,536921
2018/05/27,538538
2018/05/28,549218
2018/05/29,548850
2018/05/30,546343
2018/05/31,544849
2018/06/01,539449
2018/06/02,538821
2018/06/03,539356
2018/06/04,528130
2018/06/05,520829
2018/06/06,513115
2018/06/07,508347
2018/06/08,504451
2018/06/09,447353
2018/06/10,369227
2018/06/11,366396
2018/06/12,358572
2018/06/13,355727
2018/06/14,349842
2018/06/15,354092
2018/06/16,393346
2018/06/17,454230
2018/06/18,445350
2018/06/19,448946
2018/06/20,451316
2018/06/21,453141
2018/06/22,453813
2018/06/23,461658
2018/06/24,463984
2018/06/25,483661
2018/06/26,480736
2018/06/27,477746
2018/06/28,479133
2018/06/29,476228
2018/06/30,457353
2018/07/01,428539
2018/07/02,387259
2018/07/03,363839
2018/07/04,337008
2018/07/05,312568
2018/07/06,284293
2018/07/07,278019
2018/07/08,291435
2018/07/09,303200
2018/07/10,315418
2018/07/11,324811
2018/07/12,325111
2018/07/13,327510
2018/07/14,327946
2018/07/15,319410
2018/07/16,329099
2018/07/17,339326
2018/07/18,364378
2018/07/19,386947
2018/07/20,405823
2018/07/21,420260
2018/07/22,443515
2018/07/23,451366
2018/07/24,462131
2018/07/25,462783
2018/07/26,462970
2018/07/27,477076
2018/07/28,490887
2018/07/29,496703
2018/07/30,498591
2018/07/31,494270
2018/08/01,488926
2018/08/02,487192
2018/08/03,484935
2018/08/04,481136
2018/08/05,474184
2018/08/06,466445
2018/08/07,454592
2018/08/08,435669
2018/08/09,420693
2018/08/10,348530
2018/08/11,285347
2018/08/12,223951
2018/08/13,223619
2018/08/14,226090
2018/08/15,233117
2018/08/16,245942
2018/08/17,299706
2018/08/18,353531
2018/08/19,406101
2018/08/20,402369
2018/08/21,393938
2018/08/22,389632
2018/08/23,377548
2018/08/24,377111
2018/08/25,376027
2018/08/26,378069
2018/08/27,375950
2018/08/28,380746
2018/08/29,373876
2018/08/30,372835
2018/08/31,370105
2018/09/01,374741
2018/09/02,379942
2018/09/03,381818
2018/09/04,379597
2018/09/05,389066
2018/09/06,391296
2018/09/07,394002
2018/09/08,387046
2018/09/09,377774
2018/09/10,368333
2018/09/11,360891
2018/09/12,352029
2018/09/13,347794
2018/09/14,339636
2018/09/15,328145
2018/09/16,316117
2018/09/17,313190
2018/09/18,308004
2018/09/19,300977
2018/09/20,295067
2018/09/21,295636
2018/09/22,296569
2018/09/23,298127
2018/09/24,290957
2018/09/25,292042
2018/09/26,291609
2018/09/27,290326
2018/09/28,287294
2018/09/29,283680
2018/09/30,285939
2018/10/01,285869
2018/10/02,282109
2018/10/03,290013
2018/10/04,297144
2018/10/05,306633
2018/10/06,325798
2018/10/07,327207
2018/10/08,333900
2018/10/09,342102
2018/10/10,338405
2018/10/11,337004
2018/10/12,330664
2018/10/13,321723
2018/10/14,323176
2018/10/15,327002
2018/10/16,331462
2018/10/17,339655
2018/10/18,341845
2018/10/19,345216
2018/10/20,346605
2018/10/21,346233
2018/10/22,347665
2018/10/23,345683
2018/10/24,342738
2018/10/25,341115
2018/10/26,341359
2018/10/27,338405
2018/10/28,338782
2018/10/29,340980
2018/10/30,345236
2018/10/31,348770
2018/11/01,350324
2018/11/02,344532
2018/11/03,341747
2018/11/04,339327
2018/11/05,334546
2018/11/06,327954
2018/11/07,320045
2018/11/08,314238
2018/11/09,317922
2018/11/10,319355
2018/11/11,325930
2018/11/12,324677
2018/11/13,323537
2018/11/14,326970
2018/11/15,329943
2018/11/16,327562
2018/11/17,325967
2018/11/18,316527
2018/11/19,321944
2018/11/20,326946
2018/11/21,323583
2018/11/22,320110
2018/11/23,319396
2018/11/24,316128
2018/11/25,319469
2018/11/26,310023
2018/11/27,300812
2018/11/28,302683
2018/11/29,300972
2018/11/30,302353
2018/12/01,303493
2018/12/02,298611
2018/12/03,296513
2018/12/04,295363
2018/12/05,293077
2018/12/06,295186
2018/12/07,296068
2018/12/08,304688
2018/12/09,309904
2018/12/10,314695
2018/12/11,315911
2018/12/12,313381
2018/12/13,311888
2018/12/14,307907
2018/12/15,303514
2018/12/16,306625
2018/12/17,304698
2018/12/18,304716
2018/12/19,308850
2018/12/20,312931
2018/12/21,315607
2018/12/22,309446
2018/12/23,304854
2018/12/24,307283
2018/12/25,307034
2018/12/26,304552
2018/12/27,301907
2018/12/28,303327
2018/12/29,310336
2018/12/30,308040
2018/12/31,303334
2019/01/01,299772
2019/01/02,300401
2019/01/03,303818
2019/01/04,299994
2019/01/05,295607
2019/01/06,296569
2019/01/07,299833
2019/01/08,308654
2019/01/09,310982
2019/01/10,309636
2019/01/11,310282
2019/01/12,305094
2019/01/13,302240
2019/01/14,305558
2019/01/15,303361
2019/01/16,297681
2019/01/17,292108
2019/01/18,290012
2019/01/19,293423
2019/01/20,292494
2019/01/21,283765
2019/01/22,277557
2019/01/23,277845
2019/01/24,277729
2019/01/25,277492
2019/01/26,275962
2019/01/27,279167
2019/01/28,284658
2019/01/29,287905
2019/01/30,287274
2019/01/31,287510
2019/02/01,284749
2019/02/02,281609
2019/02/03,272646
2019/02/04,256796
