Date,price
2018/06/04,602.107
2018/06/05,595.268
2018/06/06,605.064
2018/06/07,608.398
2018/06/08,601.928
2018/06/09,604.065
2018/06/10,558.971
2018/06/11,525.832
2018/06/12,521.061
2018/06/13,481.022
2018/06/14,492.603
2018/06/15,501.792
2018/06/16,496.537
2018/06/17,501.699
2018/06/18,502.428
2018/06/19,527.798
2018/06/20,529.553
2018/06/21,533.614
2018/06/22,490.26
2018/06/23,471.371
2018/06/24,451.302
2018/06/25,457.744
2018/06/26,450.846
2018/06/27,434.665
2018/06/28,435.865
2018/06/29,417.151
2018/06/30,449.963
2018/07/01,453.007
2018/07/02,461.591
2018/07/03,472.836
2018/07/04,467.609
2018/07/05,470.334
2018/07/06,467.227
2018/07/07,469.681
2018/07/08,487.68
2018/07/09,481.71
2018/07/10,449.73
2018/07/11,439.544
2018/07/12,434.059
2018/07/13,436.091
2018/07/14,434.064
2018/07/15,443.555
2018/07/16,464.55
2018/07/17,481.164
2018/07/18,495.013
2018/07/19,473.914
2018/07/20,458.668
2018/07/21,459.661
2018/07/22,463.305
2018/07/23,459.853
2018/07/24,467.81
2018/07/25,474.714
2018/07/26,476.029
2018/07/27,464.927
2018/07/28,467.496
2018/07/29,465.904
2018/07/30,459.605
2018/07/31,441.036
2018/08/01,420.923
2018/08/02,415.863
2018/08/03,410.039
2018/08/04,412.101
2018/08/05,406.868
2018/08/06,407.729
2018/08/07,403.193
2018/08/08,366.405
2018/08/09,361.315
2018/08/10,356.341
2018/08/11,318.651
2018/08/12,321.542
2018/08/13,308.434
2018/08/14,263.702
2018/08/15,287.24
2018/08/16,288.016
2018/08/17,299.95
2018/08/18,302.88
2018/08/19,297.009
2018/08/20,291.302
2018/08/21,278.005
2018/08/22,281.285
2018/08/23,273.504
2018/08/24,276.374
2018/08/25,279.654
2018/08/26,273.774
2018/08/27,276.849
2018/08/28,288.3
2018/08/29,292.25
2018/08/30,281.98
2018/08/31,281.008
2018/09/01,290.451
2018/09/02,294.518
2018/09/03,289.961
2018/09/04,287.556
2018/09/05,264.905
2018/09/06,226.147
2018/09/07,222.844
2018/09/08,212.06
2018/09/09,197.313
2018/09/10,196.245
2018/09/11,190.005
2018/09/12,176.072
2018/09/13,197.248
2018/09/14,213.086
2018/09/15,218.581
2018/09/16,218.053
2018/09/17,212.796
2018/09/18,203.297
2018/09/19,209.437
2018/09/20,210.605
2018/09/21,229.965
2018/09/22,240.704
2018/09/23,242.354
2018/09/24,236.38
2018/09/25,214.33
2018/09/26,215.064
2018/09/27,218.836
2018/09/28,225.946
2018/09/29,226.64
2018/09/30,232.889
2018/10/01,230.629
2018/10/02,228.564
2018/10/03,219.977
2018/10/04,223.753
2018/10/05,223.003
2018/10/06,225.822
2018/10/07,224.157
2018/10/08,227.439
2018/10/09,228.517
2018/10/10,225.622
2018/10/11,201.827
2018/10/12,196.354
2018/10/13,199.558
2018/10/14,200.705
2018/10/15,209.49
2018/10/16,210.881
2018/10/17,210.319
2018/10/18,207.491
2018/10/19,204.01
2018/10/20,206.083
2018/10/21,207.884
2018/10/22,205.705
2018/10/23,203.783
2018/10/24,204.735
2018/10/25,202.807
2018/10/26,203.227
2018/10/27,203.71
2018/10/28,204.054
2018/10/29,200.635
2018/10/30,196.55
2018/10/31,196.904
2018/11/01,198.251
2018/11/02,200.748
2018/11/03,200.281
2018/11/04,204.127
2018/11/05,209.288
2018/11/06,213.392
2018/11/07,219.677
2018/11/08,215.126
2018/11/09,211.482
2018/11/10,212.522
2018/11/11,211.684
2018/11/12,211.986
2018/11/13,209.794
2018/11/14,197.907
2018/11/15,178.889
2018/11/16,178.525
2018/11/17,174.96
2018/11/18,177.237
2018/11/19,160.029
2018/11/20,139.783
