Date,difficulty90var
2016/11/15,1.6173114100534E+26
2016/11/16,1.6001845899224E+26
2016/11/17,1.5898960347044E+26
2016/11/18,1.5826094381211E+26
2016/11/19,1.5660069384779E+26
2016/11/20,1.5514774081953E+26
2016/11/21,1.5465963631405E+26
2016/11/22,1.5355685538691E+26
2016/11/23,1.5261470356477E+26
2016/11/24,1.5293801563653E+26
2016/11/25,1.5355182730339E+26
2016/11/26,1.5351436135807E+26
2016/11/27,1.5408250966352E+26
2016/11/28,1.541918288002E+26
2016/11/29,1.5419992602165E+26
2016/11/30,1.5439262670409E+26
2016/12/01,1.5436734095082E+26
2016/12/02,1.5395869070968E+26
2016/12/03,1.5273658489774E+26
2016/12/04,1.5183796593361E+26
2016/12/05,1.5112314387345E+26
2016/12/06,1.5072248596809E+26
2016/12/07,1.5005653456315E+26
2016/12/08,1.4922259465483E+26
2016/12/09,1.4868263024043E+26
2016/12/10,1.4844833567794E+26
2016/12/11,1.4839773490077E+26
2016/12/12,1.4816687756929E+26
2016/12/13,1.4814275888349E+26
2016/12/14,1.4810440087653E+26
2016/12/15,1.4807984885186E+26
2016/12/16,1.4846240748742E+26
2016/12/17,1.485876142199E+26
2016/12/18,1.470421174389E+26
2016/12/19,1.4813755938901E+26
2016/12/20,1.4973812307548E+26
2016/12/21,1.5059401354235E+26
2016/12/22,1.5121191393019E+26
2016/12/23,1.5106980151907E+26
2016/12/24,1.5097743799223E+26
2016/12/25,1.5083234845874E+26
2016/12/26,1.5031247372345E+26
2016/12/27,1.5029374601002E+26
2016/12/28,1.5006697396314E+26
2016/12/29,1.4987636419377E+26
2016/12/30,1.497883675665E+26
2016/12/31,1.4971794652923E+26
2017/01/01,1.4966077616172E+26
2017/01/02,1.490801879969E+26
2017/01/03,1.490713012118E+26
2017/01/04,1.495721204038E+26
2017/01/05,1.4990651910041E+26
2017/01/06,1.514928490173E+26
2017/01/07,1.5330666992762E+26
2017/01/08,1.5525202893446E+26
2017/01/09,1.5760604113477E+26
2017/01/10,1.6134317626487E+26
2017/01/11,1.6531569749042E+26
2017/01/12,1.6811531451258E+26
2017/01/13,1.704917800519E+26
2017/01/14,1.7351086110095E+26
2017/01/15,1.779609439783E+26
2017/01/16,1.8242820539206E+26
2017/01/17,1.8685228996495E+26
2017/01/18,1.9025850654382E+26
2017/01/19,1.929134468848E+26
2017/01/20,1.9457256634482E+26
2017/01/21,1.9782815643103E+26
2017/01/22,2.0165286584541E+26
2017/01/23,2.0547953073897E+26
2017/01/24,2.0844020637234E+26
2017/01/25,2.1154638268347E+26
2017/01/26,2.1713077363867E+26
2017/01/27,2.2777111859346E+26
2017/01/28,2.3721742400269E+26
2017/01/29,2.4617736803818E+26
2017/01/30,2.5413020308851E+26
2017/01/31,2.6011466293209E+26
2017/02/01,2.6330774067106E+26
2017/02/02,2.6490513226807E+26
2017/02/03,2.6195374029486E+26
2017/02/04,2.5732349459095E+26
2017/02/05,2.6015647497214E+26
2017/02/06,2.6753472301204E+26
2017/02/07,2.7491374598884E+26
2017/02/08,2.7921105505888E+26
2017/02/09,2.8211016202385E+26
2017/02/10,2.8645822641685E+26
2017/02/11,2.9262283675742E+26
2017/02/12,3.0112115381337E+26
2017/02/13,3.1037389196587E+26
2017/02/14,3.1990868801777E+26
2017/02/15,3.273679936976E+26
2017/02/16,3.3411147123868E+26
2017/02/17,3.4566629976179E+26
2017/02/18,3.6063477711871E+26
2017/02/19,3.7873490386761E+26
2017/02/20,3.9501431093241E+26
2017/02/21,4.1116799237538E+26
2017/02/22,4.2224722203433E+26
2017/02/23,4.2984167348021E+26
2017/02/24,4.3867050822205E+26
2017/02/25,4.4614281704351E+26
2017/02/26,4.581497856288E+26
2017/02/27,4.7311585880675E+26
2017/02/28,4.9079272020311E+26
2017/03/01,5.0533680363928E+26
2017/03/02,5.1908178890894E+26
2017/03/03,5.4179194759951E+26
2017/03/04,5.6189815441371E+26
2017/03/05,5.8504806830268E+26
2017/03/06,6.072636910913E+26
2017/03/07,6.2872879938113E+26
2017/03/08,6.5614801954583E+26
2017/03/09,6.8806531027397E+26
2017/03/10,7.1774352820464E+26
2017/03/11,7.4966622416428E+26
2017/03/12,7.8151366050485E+26
2017/03/13,8.1555635973332E+26
2017/03/14,8.4625497209609E+26
2017/03/15,8.8132623561844E+26
2017/03/16,9.1764540081306E+26
2017/03/17,9.6234433931707E+26
2017/03/18,1.0145147869212E+27
2017/03/19,1.0539434298451E+27
2017/03/20,1.1054977557831E+27
2017/03/21,1.154179640114E+27
2017/03/22,1.2018920358779E+27
2017/03/23,1.256449998821E+27
2017/03/24,1.3013059660224E+27
2017/03/25,1.3442455724302E+27
2017/03/26,1.4057322228784E+27
2017/03/27,1.4820903235923E+27
2017/03/28,1.5465916252343E+27
2017/03/29,1.6113827229233E+27
2017/03/30,1.6794498004148E+27
2017/03/31,1.7510045613875E+27
2017/04/01,1.8123351572766E+27
2017/04/02,1.8747687363847E+27
2017/04/03,1.8991212759445E+27
2017/04/04,1.9559304326479E+27
2017/04/05,2.0225493620632E+27
2017/04/06,2.0904747937164E+27
2017/04/07,2.156533592241E+27
2017/04/08,2.2242558781508E+27
2017/04/09,2.2911439953386E+27
2017/04/10,2.3598112457032E+27
2017/04/11,2.4339288812375E+27
2017/04/12,2.5025879081141E+27
2017/04/13,2.5539752853809E+27
2017/04/14,2.6375400689872E+27
2017/04/15,2.7175663206226E+27
2017/04/16,2.7916997272804E+27
2017/04/17,2.8650850791796E+27
2017/04/18,2.9453726987847E+27
2017/04/19,3.0404089704921E+27
2017/04/20,3.1152244756222E+27
2017/04/21,3.2011323943195E+27
2017/04/22,3.2952724860867E+27
2017/04/23,3.3878188432547E+27
2017/04/24,3.4616502392013E+27
2017/04/25,3.5347400607927E+27
2017/04/26,3.6287925047863E+27
2017/04/27,3.7277246156817E+27
2017/04/28,3.8566997279763E+27
2017/04/29,4.0136511155604E+27
2017/04/30,4.1288580527954E+27
2017/05/01,4.2460417229253E+27
2017/05/02,4.3456393890183E+27
2017/05/03,4.4501668033002E+27
2017/05/04,4.5300406449656E+27
2017/05/05,4.6371805520728E+27
2017/05/06,4.7409985595307E+27
2017/05/07,4.8468876783525E+27
2017/05/08,4.9403045719479E+27
2017/05/09,5.0578122917894E+27
