Date,mining_profitability
2018/02/19,8.17E-8
2018/02/20,8.29E-8
2018/02/21,7.71E-8
2018/02/22,7.17E-8
2018/02/23,7.33E-8
2018/02/24,7.29E-8
2018/02/25,6.97E-8
2018/02/26,7.27E-8
2018/02/27,7.58E-8
2018/02/28,7.36E-8
2018/03/01,7.17E-8
2018/03/02,7.25E-8
2018/03/03,6.93E-8
2018/03/04,7.0E-8
2018/03/05,7.1E-8
2018/03/06,6.85E-8
2018/03/07,6.3E-8
2018/03/08,5.87E-8
2018/03/09,5.58E-8
2018/03/10,5.83E-8
2018/03/11,5.69E-8
2018/03/12,5.75E-8
2018/03/13,5.57E-8
2018/03/14,5.37E-8
2018/03/15,4.85E-8
2018/03/16,4.75E-8
2018/03/17,4.55E-8
2018/03/18,3.98E-8
2018/03/19,4.2E-8
2018/03/20,4.24E-8
2018/03/21,4.48E-8
2018/03/22,4.36E-8
2018/03/23,4.1E-8
2018/03/24,4.28E-8
2018/03/25,4.09E-8
2018/03/26,3.85E-8
2018/03/27,3.61E-8
2018/03/28,3.54E-8
2018/03/29,3.32E-8
2018/03/30,3.05E-8
2018/03/31,3.22E-8
2018/04/01,3.01E-8
2018/04/02,3.08E-8
2018/04/03,3.28E-8
2018/04/04,3.15E-8
2018/04/05,3.1E-8
2018/04/06,2.93E-8
2018/04/07,3.04E-8
2018/04/08,3.17E-8
2018/04/09,3.34E-8
2018/04/10,3.28E-8
2018/04/11,3.41E-8
2018/04/12,3.68E-8
2018/04/13,4.18E-8
2018/04/14,4.07E-8
2018/04/15,4.22E-8
2018/04/16,4.18E-8
2018/04/17,4.15E-8
2018/04/18,4.27E-8
2018/04/19,4.47E-8
2018/04/20,4.86E-8
2018/04/21,4.86E-8
2018/04/22,5.05E-8
2018/04/23,5.12E-8
2018/04/24,5.62E-8
2018/04/25,5.26E-8
2018/04/26,5.02E-8
2018/04/27,5.38E-8
2018/04/28,5.53E-8
2018/04/29,5.48E-8
2018/04/30,5.46E-8
2018/05/01,5.36E-8
2018/05/02,5.53E-8
2018/05/03,5.91E-8
2018/05/04,6.22E-8
2018/05/05,6.33E-8
2018/05/06,6.15E-8
2018/05/07,5.69E-8
2018/05/08,5.71E-8
2018/05/09,5.77E-8
2018/05/10,5.92E-8
2018/05/11,5.48E-8
2018/05/12,5.08E-8
2018/05/13,5.3E-8
2018/05/14,5.54E-8
2018/05/15,5.7E-8
2018/05/16,5.45E-8
2018/05/17,5.5E-8
2018/05/18,5.38E-8
2018/05/19,5.48E-8
2018/05/20,5.48E-8
2018/05/21,5.44E-8
2018/05/22,5.28E-8
2018/05/23,4.86E-8
2018/05/24,4.68E-8
2018/05/25,4.76E-8
2018/05/26,4.69E-8
2018/05/27,4.57E-8
2018/05/28,4.31E-8
2018/05/29,4.35E-8
2018/05/30,4.56E-8
2018/05/31,4.59E-8
2018/06/01,4.73E-8
2018/06/02,4.68E-8
2018/06/03,4.84E-8
2018/06/04,4.85E-8
2018/06/05,4.68E-8
2018/06/06,4.89E-8
2018/06/07,4.87E-8
2018/06/08,4.76E-8
2018/06/09,4.58E-8
2018/06/10,4.33E-8
2018/06/11,4.08E-8
2018/06/12,3.95E-8
2018/06/13,3.74E-8
2018/06/14,3.84E-8
2018/06/15,3.94E-8
2018/06/16,3.86E-8
2018/06/17,3.86E-8
2018/06/18,3.76E-8
2018/06/19,3.91E-8
2018/06/20,3.99E-8
2018/06/21,3.94E-8
2018/06/22,3.71E-8
2018/06/23,3.53E-8
2018/06/24,3.34E-8
2018/06/25,3.41E-8
2018/06/26,3.38E-8
2018/06/27,3.16E-8
2018/06/28,3.24E-8
2018/06/29,3.13E-8
2018/06/30,3.54E-8
2018/07/01,3.88E-8
2018/07/02,4.36E-8
2018/07/03,4.06E-8
2018/07/04,3.87E-8
2018/07/05,3.7E-8
2018/07/06,3.86E-8
2018/07/07,3.8E-8
2018/07/08,3.73E-8
2018/07/09,3.58E-8
2018/07/10,3.32E-8
2018/07/11,3.41E-8
2018/07/12,3.38E-8
2018/07/13,3.42E-8
2018/07/14,3.65E-8
2018/07/15,3.83E-8
2018/07/16,3.47E-8
2018/07/17,3.57E-8
2018/07/18,3.62E-8
2018/07/19,3.52E-8
2018/07/20,3.44E-8
2018/07/21,3.67E-8
2018/07/22,3.52E-8
2018/07/23,3.36E-8
2018/07/24,3.48E-8
2018/07/25,3.47E-8
2018/07/26,3.45E-8
2018/07/27,3.38E-8
2018/07/28,3.4E-8
2018/07/29,3.35E-8
2018/07/30,3.3E-8
2018/07/31,3.18E-8
2018/08/01,3.1E-8
2018/08/02,2.97E-8
2018/08/03,2.99E-8
2018/08/04,2.96E-8
2018/08/05,2.89E-8
2018/08/06,2.9E-8
2018/08/07,3.0E-8
2018/08/08,2.91E-8
2018/08/09,2.81E-8
2018/08/10,2.68E-8
2018/08/11,2.3E-8
2018/08/12,2.33E-8
2018/08/13,2.26E-8
2018/08/14,1.93E-8
2018/08/15,2.12E-8
2018/08/16,2.16E-8
2018/08/17,2.36E-8
2018/08/18,2.26E-8
2018/08/19,2.2E-8
2018/08/20,2.14E-8
2018/08/21,2.03E-8
2018/08/22,2.06E-8
2018/08/23,2.05E-8
2018/08/24,2.13E-8
2018/08/25,2.05E-8
2018/08/26,2.03E-8
2018/08/27,2.03E-8
2018/08/28,2.12E-8
2018/08/29,2.19E-8
2018/08/30,2.11E-8
2018/08/31,2.09E-8
2018/09/01,2.17E-8
2018/09/02,2.23E-8
2018/09/03,2.18E-8
2018/09/04,2.18E-8
2018/09/05,1.98E-8
2018/09/06,1.72E-8
2018/09/07,1.7E-8
2018/09/08,1.62E-8
2018/09/09,1.58E-8
2018/09/10,1.57E-8
2018/09/11,1.54E-8
2018/09/12,1.46E-8
2018/09/13,1.68E-8
2018/09/14,1.75E-8
2018/09/15,1.79E-8
2018/09/16,1.8E-8
2018/09/17,1.75E-8
2018/09/18,1.66E-8
2018/09/19,1.73E-8
2018/09/20,1.72E-8
