Date,sentbyaddress90trx
2019/01/22,-0.166
2019/01/23,-0.166
2019/01/24,-0.165
2019/01/25,-0.165
2019/01/26,-0.164
2019/01/27,-0.164
2019/01/28,-0.164
2019/01/29,-0.163
2019/01/30,-0.163
2019/01/31,-0.162
2019/02/01,-0.162
2019/02/02,-0.162
2019/02/03,-0.162
2019/02/04,-0.162
2019/02/05,-0.163
2019/02/06,-0.164
2019/02/07,-0.164
2019/02/08,-0.165
2019/02/09,-0.166
2019/02/10,-0.168
2019/02/11,-0.169
2019/02/12,-0.17
2019/02/13,-0.172
2019/02/14,-0.173
2019/02/15,-0.174
2019/02/16,-0.176
2019/02/17,-0.177
2019/02/18,-0.178
2019/02/19,-0.179
2019/02/20,-0.18
2019/02/21,-0.181
2019/02/22,-0.182
2019/02/23,-0.183
2019/02/24,-0.184
2019/02/25,-0.185
2019/02/26,-0.186
2019/02/27,-0.186
2019/02/28,-0.187
2019/03/01,-0.187
2019/03/02,-0.187
2019/03/03,-0.187
2019/03/04,-0.187
2019/03/05,-0.187
2019/03/06,-0.187
2019/03/07,-0.187
2019/03/08,-0.186
2019/03/09,-0.185
2019/03/10,-0.185
2019/03/11,-0.184
2019/03/12,-0.183
2019/03/13,-0.183
2019/03/14,-0.182
2019/03/15,-0.181
2019/03/16,-0.18
2019/03/17,-0.179
2019/03/18,-0.178
2019/03/19,-0.176
2019/03/20,-0.175
2019/03/21,-0.173
2019/03/22,-0.172
2019/03/23,-0.17
2019/03/24,-0.168
2019/03/25,-0.166
2019/03/26,-0.164
2019/03/27,-0.162
2019/03/28,-0.16
2019/03/29,-0.157
2019/03/30,-0.154
2019/03/31,-0.152
2019/04/01,-0.149
2019/04/02,-0.145
2019/04/03,-0.141
2019/04/04,-0.137
2019/04/05,-0.133
2019/04/06,-0.129
2019/04/07,-0.125
2019/04/08,-0.121
2019/04/09,-0.117
2019/04/10,-0.113
2019/04/11,-0.108
2019/04/12,-0.103
2019/04/13,-0.098
2019/04/14,-0.093
2019/04/15,-0.089
2019/04/16,-0.084
2019/04/17,-0.08
2019/04/18,-0.075
2019/04/19,-0.07
2019/04/20,-0.065
2019/04/21,-0.06
2019/04/22,-0.054
2019/04/23,-0.049
2019/04/24,-0.044
2019/04/25,-0.038
2019/04/26,-0.033
2019/04/27,-0.028
2019/04/28,-0.023
2019/04/29,-0.019
2019/04/30,-0.014
2019/05/01,-0.01
2019/05/02,-0.006
2019/05/03,-0.001
2019/05/04,0.002
2019/05/05,0.006
2019/05/06,0.009
2019/05/07,0.013
2019/05/08,0.016
2019/05/09,0.019
2019/05/10,0.023
2019/05/11,0.026
2019/05/12,0.029
2019/05/13,0.032
2019/05/14,0.036
2019/05/15,0.04
2019/05/16,0.044
2019/05/17,0.049
2019/05/18,0.053
2019/05/19,0.058
2019/05/20,0.062
2019/05/21,0.067
2019/05/22,0.071
2019/05/23,0.076
2019/05/24,0.081
2019/05/25,0.086
2019/05/26,0.09
2019/05/27,0.095
2019/05/28,0.1
2019/05/29,0.105
2019/05/30,0.11
2019/05/31,0.115
2019/06/01,0.121
2019/06/02,0.127
2019/06/03,0.133
2019/06/04,0.139
2019/06/05,0.144
2019/06/06,0.15
2019/06/07,0.156
2019/06/08,0.161
2019/06/09,0.166
2019/06/10,0.17
2019/06/11,0.175
2019/06/12,0.181
2019/06/13,0.187
2019/06/14,0.192
2019/06/15,0.197
2019/06/16,0.203
2019/06/17,0.208
2019/06/18,0.213
