Date,size
2017/12/31,25040
2018/01/01,24025
2018/01/02,30157
2018/01/03,32473
2018/01/04,33681
2018/01/05,33416
2018/01/06,32655
2018/01/07,31266
2018/01/08,32502
2018/01/09,33037
2018/01/10,30646
2018/01/11,31298
2018/01/12,30655
2018/01/13,31264
2018/01/14,29323
2018/01/15,31846
2018/01/16,32767
2018/01/17,32427
2018/01/18,31705
2018/01/19,28846
2018/01/20,27414
2018/01/21,26798
2018/01/22,25864
2018/01/23,25079
2018/01/24,24566
2018/01/25,23671
2018/01/26,26059
2018/01/27,22451
2018/01/28,24197
2018/01/29,25248
2018/01/30,25224
2018/01/31,24902
2018/02/01,26328
2018/02/02,26185
2018/02/03,22592
2018/02/04,22745
2018/02/05,24175
2018/02/06,24934
2018/02/07,22972
2018/02/08,20093
2018/02/09,22095
2018/02/10,22121
2018/02/11,20982
2018/02/12,22178
2018/02/13,20434
2018/02/14,21848
2018/02/15,21805
2018/02/16,20711
2018/02/17,21891
2018/02/18,20735
2018/02/19,21811
2018/02/20,24413
2018/02/21,23307
2018/02/22,21747
2018/02/23,20793
2018/02/24,21265
2018/02/25,20566
2018/02/26,21652
2018/02/27,20964
2018/02/28,21593
2018/03/01,20663
2018/03/02,22550
2018/03/03,21173
2018/03/04,20794
2018/03/05,22566
2018/03/06,21623
2018/03/07,22824
2018/03/08,21478
2018/03/09,20374
2018/03/10,18862
2018/03/11,18612
2018/03/12,21668
2018/03/13,20946
2018/03/14,20106
2018/03/15,20056
2018/03/16,19502
2018/03/17,17376
2018/03/18,20197
2018/03/19,20642
2018/03/20,20067
2018/03/21,20630
2018/03/22,17883
2018/03/23,18847
2018/03/24,16599
2018/03/25,14982
2018/03/26,17841
2018/03/27,17230
2018/03/28,17283
2018/03/29,17508
2018/03/30,18457
2018/03/31,17025
2018/04/01,15893
2018/04/02,16871
2018/04/03,19077
2018/04/04,18676
2018/04/05,19496
2018/04/06,17769
2018/04/07,15831
2018/04/08,17233
2018/04/09,18630
2018/04/10,17582
2018/04/11,18496
2018/04/12,21244
2018/04/13,21136
2018/04/14,18148
2018/04/15,18672
2018/04/16,20768
2018/04/17,22300
2018/04/18,22474
2018/04/19,25206
2018/04/20,26386
2018/04/21,21672
2018/04/22,23074
2018/04/23,24241
2018/04/24,25602
2018/04/25,25145
2018/04/26,24705
2018/04/27,24120
2018/04/28,24555
2018/04/29,24654
2018/04/30,25891
2018/05/01,24618
2018/05/02,25626
2018/05/03,26338
2018/05/04,27766
2018/05/05,24103
2018/05/06,22388
2018/05/07,23088
2018/05/08,23859
2018/05/09,24510
2018/05/10,26750
2018/05/11,25118
2018/05/12,23752
2018/05/13,23520
2018/05/14,25931
2018/05/15,24792
2018/05/16,24743
2018/05/17,24608
2018/05/18,24643
2018/05/19,24459
2018/05/20,23759
2018/05/21,25580
2018/05/22,25326
2018/05/23,25965
2018/05/24,25467
2018/05/25,24930
2018/05/26,23053
2018/05/27,23497
2018/05/28,25414
2018/05/29,25332
2018/05/30,25507
2018/05/31,27435
2018/06/01,25131
2018/06/02,24617
2018/06/03,25077
2018/06/04,26427
