Date,difficulty3sma
2017/04/27,3.0697815632476E+14
2017/04/28,3.1708636483849E+14
2017/04/29,3.2814024921221E+14
2017/04/30,334436284795150
2017/05/01,3.3694974375234E+14
2017/05/02,3.3465226122215E+14
2017/05/03,336950793381260
2017/05/04,3.3703332311094E+14
2017/05/05,3.4189613032949E+14
2017/05/06,3.4515633498816E+14
2017/05/07,3.5088053094092E+14
2017/05/08,3.5222719057323E+14
2017/05/09,3.5766375570296E+14
2017/05/10,3.6102555484120E+14
2017/05/11,3.661700060255E+14
2017/05/12,3.7073032739667E+14
2017/05/13,3.7566781113166E+14
2017/05/14,3.8750676002763E+14
2017/05/15,3.9910580117949E+14
2017/05/16,4.1196864485798E+14
2017/05/17,4.1307710560582E+14
2017/05/18,4.1321062270512E+14
2017/05/19,4.1806742607855E+14
2017/05/20,4.286042147922E+14
2017/05/21,4.4089714894354E+14
2017/05/22,4.5138134032256E+14
2017/05/23,4.5438219191974E+14
2017/05/24,4.569325031625E+14
2017/05/25,4.5513544616351E+14
2017/05/26,4.5774389330426E+14
2017/05/27,4.6250713150629E+14
2017/05/28,4.6632902462084E+14
2017/05/29,4.7671931222238E+14
2017/05/30,4.9003558094368E+14
2017/05/31,5.0688447488183E+14
2017/06/01,5.3131384064701E+14
2017/06/02,5.5174359913098E+14
2017/06/03,5.7041922266572E+14
2017/06/04,5.8264496424264E+14
2017/06/05,5.910284460626E+14
2017/06/06,6.0414380364943E+14
2017/06/07,6.1576237027754E+14
2017/06/08,6.2942853811418E+14
2017/06/09,6.3772573591274E+14
2017/06/10,6.4762544330467E+14
2017/06/11,6.6169296584256E+14
2017/06/12,6.7380734164664E+14
2017/06/13,6.8460204600072E+14
2017/06/14,6.94712778915E+14
2017/06/15,7.1201912122055E+14
2017/06/16,7.2618826650168E+14
2017/06/17,742301593276671
2017/06/18,7.5619231578636E+14
2017/06/19,768972731518411
2017/06/20,797524494614086
2017/06/21,8.3231986576337E+14
2017/06/22,8.646376319704E+14
2017/06/23,8.7608683468714E+14
2017/06/24,8.8087723464948E+14
2017/06/25,8.916219678005E+14
2017/06/26,905728903348848
2017/06/27,919621982391430
2017/06/28,9.3475792199253E+14
2017/06/29,9.4772319256480E+14
2017/06/30,961606459583221
2017/07/01,9.7579817026398E+14
2017/07/02,9.8895128433332E+14
2017/07/03,1.0025954530918E+15
2017/07/04,1014134665795399
2017/07/05,1021050548180122
2017/07/06,1029142315483138
2017/07/07,1.0327863208467E+15
2017/07/08,1.0437886081129E+15
2017/07/09,1.0550855143044E+15
2017/07/10,1.1086017892427E+15
2017/07/11,1.1613484225807E+15
2017/07/12,1.1996320849915E+15
2017/07/13,1202701969955953
2017/07/14,1.1921529442612E+15
2017/07/15,1.1994817724664E+15
2017/07/16,1.2114275564836E+15
2017/07/17,1.2187403499424E+15
2017/07/18,1220724468795499
2017/07/19,1.2174634695587E+15
2017/07/20,1239771540464779
2017/07/21,1270129388954480
2017/07/22,1.2848830393039E+15
2017/07/23,1.2994195530443E+15
2017/07/24,1.2985987526294E+15
2017/07/25,1.3153055582295E+15
2017/07/26,1.3207821986451E+15
2017/07/27,1327186228544841
2017/07/28,1328515419709824
2017/07/29,1.3287556090435E+15
2017/07/30,1.3414825731668E+15
2017/07/31,1.372877033875E+15
2017/08/01,1.4643942557322E+15
2017/08/02,1.5466019067149E+15
2017/08/03,1.5897098816903E+15
2017/08/04,1.5843558505188E+15
2017/08/05,1.5774106895762E+15
2017/08/06,1.5917629617418E+15
2017/08/07,1.6015294917411E+15
2017/08/08,1.6183852659734E+15
2017/08/09,1639186198456028
2017/08/10,1.6492392702056E+15
2017/08/11,1.6505376742865E+15
2017/08/12,1.660935111293E+15
2017/08/13,1674509919174546
2017/08/14,1.704077772456E+15
2017/08/15,1.718018262885E+15
2017/08/16,1.7255781533946E+15
2017/08/17,1728768235851949
2017/08/18,1.7324672204892E+15
2017/08/19,1.759908127355E+15
2017/08/20,1.7779640541041E+15
2017/08/21,1791177945554465
2017/08/22,1.7940259515254E+15
2017/08/23,1810847246082492
2017/08/24,1.8252144671003E+15
2017/08/25,1941972971425562
2017/08/26,2060956111637542
2017/08/27,2.1782708421304E+15
2017/08/28,2.1711392814151E+15
2017/08/29,2.1725026977123E+15
2017/08/30,2.1895084708933E+15
2017/08/31,2.2169280780129E+15
2017/09/01,2.2267521905107E+15
2017/09/02,2.2267887809298E+15
2017/09/03,2.2383727936813E+15
2017/09/04,2.2418373914927E+15
2017/09/05,2.2417644972993E+15
2017/09/06,2.2358680790772E+15
2017/09/07,2.2391610198564E+15
2017/09/08,2.2792050441573E+15
2017/09/09,2.3088067553139E+15
2017/09/10,2320825015950446
2017/09/11,2.3080159629504E+15
2017/09/12,2.3259775690455E+15
2017/09/13,2.337391432523E+15
2017/09/14,2340467894767612
2017/09/15,2337403649610302
2017/09/16,2.3460629430145E+15
2017/09/17,2369031360636330
2017/09/18,2.3642165803508E+15
2017/09/19,2374436122130078
2017/09/20,2.3711280318541E+15
2017/09/21,2.3890382366058E+15
2017/09/22,2574859063878460
2017/09/23,2.7681409392456E+15
2017/09/24,2.9482171883517E+15
2017/09/25,2939611995733434
2017/09/26,2.9150500160717E+15
2017/09/27,2.9051936403782E+15
2017/09/28,2.8997437911208E+15
2017/09/29,2.8716952778405E+15
2017/09/30,2.8243125630537E+15
2017/10/01,2.8141717105724E+15
2017/10/02,2.833571724033E+15
2017/10/03,2.855215272126E+15
2017/10/04,2.8654502864541E+15
2017/10/05,2901308964683046
2017/10/06,2.9258600036012E+15
2017/10/07,2.9128879290651E+15
2017/10/08,2.8951460140568E+15
2017/10/09,2901304987593306
2017/10/10,2.9199872062802E+15
2017/10/11,2.9472754931288E+15
2017/10/12,2940866133847432
2017/10/13,2.9800418346919E+15
2017/10/14,2.9535792211865E+15
2017/10/15,2970500404197065
2017/10/16,2.6009376383089E+15
2017/10/17,2.1052029338435E+15
2017/10/18,1.5885732374988E+15
2017/10/19,1.4345669042482E+15
2017/10/20,1440318312644252
2017/10/21,1.4597626779879E+15
2017/10/22,1466288705194447
2017/10/23,1.4688791490929E+15
2017/10/24,1.4775409717082E+15
2017/10/25,1478981760869518
2017/10/26,1472714395138928
2017/10/27,9.7374086895487E+14
2017/10/28,4.790058732442E+14
2017/10/29,1.167
2017/10/30,1.167
2017/10/31,1.167
2017/11/01,5.0215444372133E+14
2017/11/02,983262881562970
2017/11/03,1.4564530578533E+15
2017/11/04,1422705908575177
2017/11/05,1.4214416759271E+15
2017/11/06,1426186452894122
2017/11/07,1.4285175184714E+15
2017/11/08,1433519148637398
2017/11/09,1.4291152145134E+15
2017/11/10,1434907405981463
2017/11/11,1.4293095319169E+15
2017/11/12,1.4515555860505E+15
2017/11/13,1.4606181011502E+15
2017/11/14,1.4642884808516E+15
2017/11/15,1.4432981643834E+15
2017/11/16,1.4234168326822E+15
2017/11/17,1.4082371386325E+15
2017/11/18,1.3966964607038E+15
2017/11/19,1.3984236687447E+15
2017/11/20,1.4270897714533E+15
2017/11/21,1.4543312690803E+15
2017/11/22,1.4745082877592E+15
2017/11/23,1.4844015875466E+15
2017/11/24,1.5103655996445E+15
2017/11/25,1543440434594572
2017/11/26,1.5549355831324E+15
2017/11/27,1550885717963296
2017/11/28,1.5328758726148E+15
2017/11/29,1522009477384400
2017/11/30,1.5238564060231E+15
2017/12/01,1.5368253076002E+15
2017/12/02,1.5533295502205E+15
2017/12/03,1.5423313146192E+15
2017/12/04,1.5369635949089E+15
2017/12/05,1506029902570624
2017/12/06,1492262756005724
2017/12/07,1.4755536735451E+15
2017/12/08,1.5006864668282E+15
2017/12/09,1.5289372488127E+15
2017/12/10,1.5518397977237E+15
2017/12/11,1.5594470406697E+15
2017/12/12,1.5604666394992E+15
2017/12/13,1.5815702064079E+15
2017/12/14,1603432525024960
2017/12/15,1.6567719930046E+15
2017/12/16,1699303642019786
2017/12/17,1.7371007095591E+15
2017/12/18,1.7595919167523E+15
2017/12/19,1.7583027599359E+15
2017/12/20,1745455810367337
2017/12/21,1.731384965951E+15
2017/12/22,1.7278309777113E+15
2017/12/23,1753233326595174
2017/12/24,1780268144750672
2017/12/25,1.8227436040323E+15
2017/12/26,1847235188277092
2017/12/27,1.8610275438693E+15
2017/12/28,1.8820923513619E+15
2017/12/29,1.8836654875614E+15
2017/12/30,1.8872048391591E+15
2017/12/31,1.8882506842029E+15
2018/01/01,1.9097576978996E+15
2018/01/02,1.9264543138E+15
2018/01/03,1.9213815322971E+15
2018/01/04,1.9081743160269E+15
2018/01/05,1.9109523602755E+15
2018/01/06,1.9092154433324E+15
2018/01/07,1927614275419758
2018/01/08,1951862876380328
2018/01/09,1.9886577904217E+15
2018/01/10,2007077421849886
2018/01/11,2.0302815526284E+15
2018/01/12,2.0603416208277E+15
2018/01/13,2.1053071856733E+15
2018/01/14,2136555944594716
2018/01/15,2.1664475169171E+15
2018/01/16,2.1867623471615E+15
2018/01/17,2216097594756026
2018/01/18,2244802409112820
2018/01/19,2.2671467313698E+15
2018/01/20,2.3026962712333E+15
2018/01/21,2.3351390314517E+15
2018/01/22,2.3772648881702E+15
2018/01/23,2.3890862976863E+15
2018/01/24,2418137138636578
2018/01/25,2.4556192079045E+15
2018/01/26,2.4894743697918E+15
2018/01/27,2.4979334130125E+15
2018/01/28,2495530115384966
2018/01/29,2525706513623370
2018/01/30,2562675075443983
2018/01/31,2.6047987425334E+15
2018/02/01,2.6297113259733E+15
2018/02/02,2.6681181439011E+15
2018/02/03,2.7144184168011E+15
2018/02/04,2.7455202341766E+15
2018/02/05,2770445855715292
2018/02/06,2.7775830507312E+15
2018/02/07,2.8035139142427E+15
2018/02/08,2.8153383058474E+15
2018/02/09,2.8453919408421E+15
2018/02/10,2844472485542248
2018/02/11,2887482046521206
2018/02/12,2.9096470655288E+15
2018/02/13,2955347393647742
2018/02/14,2.9560365499098E+15
2018/02/15,2938892941964198
2018/02/16,2945447388904424
2018/02/17,2.9524148101548E+15
2018/02/18,2.9895880680387E+15
2018/02/19,2.9848327930732E+15
2018/02/20,2.9712181877389E+15
