Date,transactionfees90rsiUSD
2017/09/29,50.069
2017/09/30,50.709
2017/10/01,50.715
2017/10/02,50.471
2017/10/03,50.406
2017/10/04,50.619
2017/10/05,50.801
2017/10/06,50.965
2017/10/07,50.338
2017/10/08,50.662
2017/10/09,50.445
2017/10/10,50.514
2017/10/11,54.123
2017/10/12,50.382
2017/10/13,50.78
2017/10/14,50.783
2017/10/15,50.637
2017/10/16,49.8
2017/10/17,49.251
2017/10/18,49.149
2017/10/19,49.029
2017/10/20,49.79
2017/10/21,48.829
2017/10/22,48.719
2017/10/23,48.964
2017/10/24,49.403
2017/10/25,49.147
2017/10/26,49.056
2017/10/27,47.734
2017/10/28,47.734
2017/10/29,47.734
2017/10/30,47.734
2017/10/31,47.734
2017/11/01,49.488
2017/11/02,49.391
2017/11/03,49.138
2017/11/04,49.063
2017/11/05,48.93
2017/11/06,49.048
2017/11/07,49.397
2017/11/08,49.731
2017/11/09,49.591
2017/11/10,49.398
2017/11/11,49.258
2017/11/12,49.522
2017/11/13,49.591
2017/11/14,49.691
2017/11/15,49.909
2017/11/16,49.736
2017/11/17,49.798
2017/11/18,49.287
2017/11/19,49.558
2017/11/20,49.897
2017/11/21,49.903
2017/11/22,49.827
2017/11/23,50.052
2017/11/24,49.922
2017/11/25,49.788
2017/11/26,50.346
2017/11/27,50.233
2017/11/28,50.457
2017/11/29,50.495
2017/11/30,50.151
2017/12/01,50.305
2017/12/02,49.881
2017/12/03,50.092
2017/12/04,52.528
2017/12/05,54.767
2017/12/06,55.327
2017/12/07,59.753
2017/12/08,58.898
2017/12/09,59.4
2017/12/10,57.111
2017/12/11,54.13
2017/12/12,55.118
2017/12/13,55.48
2017/12/14,57.024
2017/12/15,55.271
2017/12/16,55.63
2017/12/17,54.235
2017/12/18,53.515
2017/12/19,55.181
2017/12/20,56.9
2017/12/21,56.334
2017/12/22,53.971
2017/12/23,53.572
2017/12/24,53.115
2017/12/25,51.894
2017/12/26,51.614
2017/12/27,51.606
2017/12/28,51.198
2017/12/29,51.603
2017/12/30,51.048
2017/12/31,51.453
2018/01/01,51.25
2018/01/02,52.186
2018/01/03,52.917
2018/01/04,53.905
2018/01/05,61.288
2018/01/06,63.424
2018/01/07,61.866
2018/01/08,62.131
2018/01/09,62.946
2018/01/10,67.043
2018/01/11,61.766
2018/01/12,58.092
2018/01/13,58.812
2018/01/14,58.878
2018/01/15,57.238
2018/01/16,55.007
2018/01/17,53.116
2018/01/18,54.292
2018/01/19,54.33
2018/01/20,54.876
2018/01/21,52.359
2018/01/22,51.706
2018/01/23,52.662
2018/01/24,52.302
2018/01/25,52.306
2018/01/26,50.796
2018/01/27,50.817
2018/01/28,51.289
2018/01/29,52.865
2018/01/30,51.755
2018/01/31,51.769
2018/02/01,53.076
2018/02/02,50.925
2018/02/03,50.569
2018/02/04,50.261
2018/02/05,49.598
2018/02/06,49.36
2018/02/07,49.808
2018/02/08,49.636
2018/02/09,49.479
2018/02/10,49.638
2018/02/11,49.294
2018/02/12,49.202
2018/02/13,49.403
2018/02/14,49.573
2018/02/15,49.574
2018/02/16,49.718
2018/02/17,49.92
2018/02/18,50.346
2018/02/19,49.573
2018/02/20,49.686
2018/02/21,49.56
2018/02/22,49.215
2018/02/23,49.429
2018/02/24,49.426
2018/02/25,49.206
2018/02/26,49.085
2018/02/27,49.408
2018/02/28,50.206
2018/03/01,49.453
2018/03/02,49.989
2018/03/03,49.166
2018/03/04,49.521
2018/03/05,49.481
2018/03/06,48.976
2018/03/07,48.999
2018/03/08,48.874
2018/03/09,48.663
2018/03/10,48.488
2018/03/11,48.194
2018/03/12,48.754
2018/03/13,48.113
2018/03/14,48.229
2018/03/15,48.004
2018/03/16,48.14
2018/03/17,47.784
2018/03/18,47.622
2018/03/19,47.709
2018/03/20,47.821
2018/03/21,48.055
2018/03/22,48.134
2018/03/23,48.001
2018/03/24,47.937
2018/03/25,47.926
2018/03/26,48.002
2018/03/27,47.721
2018/03/28,47.721
2018/03/29,47.672
2018/03/30,47.381
2018/03/31,47.279
2018/04/01,47.197
2018/04/02,47.32
2018/04/03,47.362
2018/04/04,47.213
2018/04/05,47.705
2018/04/06,47.389
2018/04/07,47.247
2018/04/08,47.322
2018/04/09,47.415
2018/04/10,47.431
2018/04/11,47.536
2018/04/12,47.662
2018/04/13,48.007
2018/04/14,47.763
2018/04/15,47.686
2018/04/16,47.754
2018/04/17,47.702
2018/04/18,48.07
2018/04/19,48.005
2018/04/20,48.101
2018/04/21,47.924
2018/04/22,48.021
2018/04/23,48.108
2018/04/24,48.694
2018/04/25,48.473
2018/04/26,48.482
2018/04/27,48.835
2018/04/28,49.021
2018/04/29,49.288
2018/04/30,49.305
2018/05/01,48.759
2018/05/02,48.762
2018/05/03,49.34
2018/05/04,48.888
2018/05/05,48.972
2018/05/06,48.972
2018/05/07,48.828
2018/05/08,49.072
2018/05/09,49.153
2018/05/10,50.405
2018/05/11,50.137
2018/05/12,48.906
2018/05/13,49.295
2018/05/14,50.071
2018/05/15,50.252
2018/05/16,50.204
2018/05/17,50.495
2018/05/18,50.142
2018/05/19,49.708
2018/05/20,49.756
2018/05/21,50.095
2018/05/22,50.342
2018/05/23,49.91
2018/05/24,49.521
2018/05/25,49.458
2018/05/26,49.147
2018/05/27,48.721
2018/05/28,49.686
2018/05/29,49.776
2018/05/30,50.097
2018/05/31,51.094
2018/06/01,50.571
2018/06/02,49.14
2018/06/03,49.027
2018/06/04,49.776
2018/06/05,49.309
2018/06/06,50.468
2018/06/07,49.404
2018/06/08,49.15
2018/06/09,48.387
2018/06/10,48.209
2018/06/11,48.249
2018/06/12,48.195
2018/06/13,48.043
2018/06/14,48.361
2018/06/15,48.796
2018/06/16,49.175
2018/06/17,47.742
2018/06/18,47.736
2018/06/19,48.305
2018/06/20,48.117
2018/06/21,48.167
2018/06/22,50.118
2018/06/23,47.929
2018/06/24,48.666
2018/06/25,48.283
2018/06/26,47.957
2018/06/27,47.821
2018/06/28,47.807
2018/06/29,47.851
2018/06/30,55.483
2018/07/01,60.091
2018/07/02,70.552
2018/07/03,59.543
2018/07/04,58.553
2018/07/05,55.431
2018/07/06,58.612
2018/07/07,56.835
2018/07/08,50.921
2018/07/09,50.191
2018/07/10,49.264
2018/07/11,49.534
2018/07/12,50.843
2018/07/13,51.224
2018/07/14,54.553
2018/07/15,56.778
2018/07/16,49.102
2018/07/17,49.022
2018/07/18,48.956
2018/07/19,48.871
2018/07/20,49.108
2018/07/21,49.239
2018/07/22,48.821
2018/07/23,49.025
2018/07/24,48.899
2018/07/25,48.862
2018/07/26,48.837
2018/07/27,48.738
2018/07/28,49.049
2018/07/29,48.71
2018/07/30,48.738
2018/07/31,48.744
2018/08/01,49.263
2018/08/02,48.685
2018/08/03,48.709
2018/08/04,48.818
2018/08/05,48.625
2018/08/06,48.879
2018/08/07,50.424
2018/08/08,52.842
2018/08/09,52.317
2018/08/10,50.41
2018/08/11,48.929
2018/08/12,48.783
2018/08/13,48.908
2018/08/14,48.897
2018/08/15,48.976
2018/08/16,48.857
2018/08/17,50.653
2018/08/18,48.921
2018/08/19,48.88
2018/08/20,48.841
2018/08/21,48.83
2018/08/22,49.432
2018/08/23,49.084
2018/08/24,49.609
2018/08/25,48.836
2018/08/26,49.543
2018/08/27,48.859
2018/08/28,48.902
2018/08/29,49.159
2018/08/30,48.984
2018/08/31,49.004
2018/09/01,48.863
2018/09/02,48.858
2018/09/03,48.893
2018/09/04,49.031
2018/09/05,48.852
2018/09/06,48.967
2018/09/07,48.96
2018/09/08,48.867
2018/09/09,48.85
2018/09/10,48.864
2018/09/11,48.915
2018/09/12,48.877
2018/09/13,48.961
2018/09/14,48.886
2018/09/15,48.923
2018/09/16,48.925
2018/09/17,48.907
2018/09/18,49.058
2018/09/19,49.262
2018/09/20,49.031
2018/09/21,49.267
2018/09/22,49.053
2018/09/23,48.984
2018/09/24,49.427
2018/09/25,49.06
2018/09/26,49.125
2018/09/27,49.17
2018/09/28,49.274
2018/09/29,49.484
2018/09/30,49.195
2018/10/01,49.334
2018/10/02,49.35
2018/10/03,48.945
2018/10/04,48.95
2018/10/05,48.9
2018/10/06,48.733
2018/10/07,48.842
2018/10/08,48.979
2018/10/09,48.925
2018/10/10,49.034
2018/10/11,48.936
2018/10/12,49.112
2018/10/13,48.798
2018/10/14,48.764
2018/10/15,48.9
2018/10/16,48.815
2018/10/17,48.852
2018/10/18,48.832
2018/10/19,48.861
2018/10/20,48.862
2018/10/21,48.842
2018/10/22,48.869
2018/10/23,48.896
2018/10/24,49.025
2018/10/25,49.123
2018/10/26,49.013
2018/10/27,48.88
2018/10/28,48.837
2018/10/29,48.863
2018/10/30,48.852
2018/10/31,48.877
2018/11/01,48.854
2018/11/02,48.967
2018/11/03,48.945
2018/11/04,48.875
2018/11/05,49.056
2018/11/06,49.06
2018/11/07,49.061
2018/11/08,49.202
2018/11/09,48.96
2018/11/10,48.826
2018/11/11,48.74
2018/11/12,49.001
2018/11/13,49.081
2018/11/14,49.157
2018/11/15,49.173
2018/11/16,49.057
2018/11/17,48.89
2018/11/18,49.026
2018/11/19,48.999
2018/11/20,48.913
2018/11/21,48.796
2018/11/22,48.775
2018/11/23,48.766
2018/11/24,48.754
2018/11/25,48.737
2018/11/26,48.71
2018/11/27,48.636
2018/11/28,48.806
2018/11/29,49.015
2018/11/30,49.093
2018/12/01,48.86
2018/12/02,48.821
2018/12/03,48.818
2018/12/04,48.801
2018/12/05,48.789
2018/12/06,48.602
2018/12/07,48.544
2018/12/08,48.442
2018/12/09,48.475
2018/12/10,48.502
2018/12/11,48.484
2018/12/12,48.472
2018/12/13,48.516
2018/12/14,48.649
2018/12/15,48.413
2018/12/16,48.414
2018/12/17,48.483
2018/12/18,48.837
2018/12/19,48.607
2018/12/20,48.621
2018/12/21,48.617
2018/12/22,48.574
2018/12/23,48.668
2018/12/24,48.804
2018/12/25,48.814
2018/12/26,48.907
2018/12/27,48.608
2018/12/28,48.621
2018/12/29,48.645
2018/12/30,49.311
2018/12/31,48.709
2019/01/01,48.746
2019/01/02,48.715
2019/01/03,48.684
2019/01/04,48.815
2019/01/05,49.238
2019/01/06,48.796
2019/01/07,48.786
2019/01/08,48.717
2019/01/09,48.686
2019/01/10,48.721
2019/01/11,48.659
2019/01/12,48.589
2019/01/13,48.576
2019/01/14,48.917
2019/01/15,48.854
2019/01/16,48.895
2019/01/17,48.672
2019/01/18,48.723
2019/01/19,48.658
2019/01/20,48.602
2019/01/21,48.623
2019/01/22,48.836
2019/01/23,48.674
2019/01/24,48.706
2019/01/25,48.663
2019/01/26,48.604
2019/01/27,48.559
2019/01/28,48.622
2019/01/29,48.539
2019/01/30,48.606
2019/01/31,48.744
2019/02/01,48.696
2019/02/02,48.616
2019/02/03,48.58
2019/02/04,48.622
2019/02/05,48.631
2019/02/06,48.619
2019/02/07,48.679
2019/02/08,48.707
2019/02/09,48.783
2019/02/10,48.804
2019/02/11,48.865
2019/02/12,48.828
2019/02/13,48.848
2019/02/14,48.995
2019/02/15,49.047
2019/02/16,48.948
2019/02/17,48.99
2019/02/18,49.403
2019/02/19,59.828
2019/02/20,49.449
2019/02/21,49.393
2019/02/22,49.378
2019/02/23,49.408
2019/02/24,49.496
2019/02/25,49.445
2019/02/26,49.472
2019/02/27,49.398
2019/02/28,49.543
2019/03/01,49.206
2019/03/02,49.147
2019/03/03,49.136
2019/03/04,49.12
2019/03/05,49.179
2019/03/06,49.216
2019/03/07,49.222
2019/03/08,49.219
2019/03/09,49.131
2019/03/10,49.124
2019/03/11,49.115
2019/03/12,49.086
2019/03/13,49.047
2019/03/14,48.992
2019/03/15,49.059
2019/03/16,49.015
2019/03/17,49.126
2019/03/18,54.125
2019/03/19,49.288
2019/03/20,49.219
2019/03/21,49.569
2019/03/22,49.347
2019/03/23,49.219
2019/03/24,49.229
2019/03/25,49.275
2019/03/26,49.327
2019/03/27,49.45
2019/03/28,49.308
2019/03/29,49.423
2019/03/30,49.193
2019/03/31,49.229
2019/04/01,49.378
2019/04/02,49.499
2019/04/03,49.863
2019/04/04,49.564
2019/04/05,49.4
2019/04/06,49.386
2019/04/07,49.406
2019/04/08,49.582
2019/04/09,49.44
2019/04/10,49.822
2019/04/11,49.441
2019/04/12,49.329
2019/04/13,49.26
2019/04/14,49.297
2019/04/15,49.315
2019/04/16,49.409
2019/04/17,49.44
2019/04/18,49.504
2019/04/19,49.302
2019/04/20,49.096
2019/04/21,49.21
2019/04/22,49.228
2019/04/23,49.312
2019/04/24,49.298
2019/04/25,49.127
2019/04/26,49.358
2019/04/27,49.102
2019/04/28,49.099
2019/04/29,49.134
2019/04/30,49.112
2019/05/01,49.173
2019/05/02,50.639
2019/05/03,49.367
2019/05/04,49.236
2019/05/05,49.237
2019/05/06,49.372
2019/05/07,49.775
2019/05/08,49.433
2019/05/09,49.35
2019/05/10,49.469
2019/05/11,49.359
2019/05/12,49.43
2019/05/13,49.726
2019/05/14,49.879
2019/05/15,50.518
2019/05/16,51.52
2019/05/17,50.958
2019/05/18,50.469
2019/05/19,50.23
2019/05/20,50.261
2019/05/21,50.003
2019/05/22,50.54
2019/05/23,50.158
2019/05/24,50.255
2019/05/25,49.836
2019/05/26,49.644
2019/05/27,50.409
2019/05/28,50.436
2019/05/29,50.587
2019/05/30,50.924
2019/05/31,50.504
2019/06/01,50.275
2019/06/02,49.715
2019/06/03,50.131
2019/06/04,50.006
2019/06/05,50.146
2019/06/06,49.961
2019/06/07,50.019
2019/06/08,50.456
2019/06/09,49.556
2019/06/10,50.604
2019/06/11,50.116
2019/06/12,49.503
2019/06/13,49.834
2019/06/14,50.149
2019/06/15,50.518
2019/06/16,49.574
2019/06/17,50.828
2019/06/18,50.063
2019/06/19,50.32
2019/06/20,50.889
