Date,transactionvalue3wmaUSD
2018/09/11,840.781
2018/09/12,1012
2018/09/13,947.165
2018/09/14,914.479
2018/09/15,761.913
2018/09/16,656.088
2018/09/17,676.662
2018/09/18,715.473
2018/09/19,691.01
2018/09/20,736.529
2018/09/21,988.253
2018/09/22,945.111
2018/09/23,832.927
2018/09/24,839.028
2018/09/25,818.75
2018/09/26,816.197
2018/09/27,759.319
2018/09/28,757.238
2018/09/29,747.805
2018/09/30,703.862
2018/10/01,646.38
2018/10/02,567.598
2018/10/03,586.997
2018/10/04,615.382
2018/10/05,596.189
2018/10/06,496.947
2018/10/07,449.227
2018/10/08,556.35
2018/10/09,603.538
2018/10/10,640.583
2018/10/11,865.801
2018/10/12,826.537
2018/10/13,637.575
2018/10/14,491.229
2018/10/15,849.289
2018/10/16,903.925
2018/10/17,832.471
2018/10/18,802.144
2018/10/19,688.49
2018/10/20,610.725
2018/10/21,681.663
2018/10/22,644.619
2018/10/23,637.122
2018/10/24,619.498
2018/10/25,732.49
2018/10/26,702.18
2018/10/27,554.664
2018/10/28,445.034
2018/10/29,527.416
2018/10/30,553.508
2018/10/31,581.229
2018/11/01,558.505
2018/11/02,624.57
2018/11/03,537.886
2018/11/04,564.589
2018/11/05,699.068
2018/11/06,717.343
2018/11/07,778.118
2018/11/08,722.638
2018/11/09,681.646
2018/11/10,566.263
2018/11/11,492.207
2018/11/12,576.514
2018/11/13,628.75
2018/11/14,838.194
2018/11/15,948.619
2018/11/16,866.524
2018/11/17,650.818
2018/11/18,629.092
2018/11/19,934.82
2018/11/20,1162
2018/11/21,1072
2018/11/22,816.447
2018/11/23,690.755
2018/11/24,608.649
2018/11/25,713.796
2018/11/26,717.38
2018/11/27,639.397
2018/11/28,613.53
2018/11/29,691.291
2018/11/30,2041
2018/12/01,2965
2018/12/02,1873
2018/12/03,918.43
2018/12/04,434.503
2018/12/05,486.487
2018/12/06,570.799
2018/12/07,678.204
2018/12/08,582.625
2018/12/09,494.615
2018/12/10,430.65
2018/12/11,428.805
2018/12/12,412.576
2018/12/13,442.177
