Date,mediantransactionvalue3momUSD
2017/05/30,16.142
2017/05/31,190.975
2017/06/01,41.586
2017/06/02,-44.419
2017/06/03,-147.598
2017/06/04,-38.659
2017/06/05,52.478
2017/06/06,12.58
2017/06/07,-5.466
2017/06/08,-41.758
2017/06/09,-32.551
2017/06/10,57.818
2017/06/11,66.702
2017/06/12,169.173
2017/06/13,20.913
2017/06/14,-7.468
2017/06/15,-90.681
2017/06/16,-52.184
2017/06/17,-34.422
2017/06/18,-63.439
2017/06/19,-6.349
2017/06/20,278.448
2017/06/21,261.322
2017/06/22,44.939
2017/06/23,-262.578
2017/06/24,-235.609
2017/06/25,-58.68
2017/06/26,34.741
2017/06/27,-44.478
2017/06/28,-14.226
2017/06/29,-77.969
2017/06/30,3.714
2017/07/01,6.269
2017/07/02,-20.828
2017/07/03,-26.269
2017/07/04,-18.902
2017/07/05,-2.38
2017/07/06,2.362
2017/07/07,-34.567
2017/07/08,-3.361
2017/07/09,-8.676
2017/07/10,24.768
2017/07/11,11.094
2017/07/12,0.545
2017/07/13,-3.634
2017/07/14,-14.219
2017/07/15,10.243
2017/07/16,4.514
2017/07/17,3.249
2017/07/18,-5.014
2017/07/19,3.006
2017/07/20,-1.251
2017/07/21,-5.649
2017/07/22,-4.235
2017/07/23,-3.632
2017/07/24,-2.322
2017/07/25,8.585
2017/07/26,4.62
2017/07/27,8.44
2017/07/28,-8.627
2017/07/29,6.072
2017/07/30,-9.679
2017/07/31,5.017
2017/08/01,9.406
2017/08/02,20.733
2017/08/03,0.568
2017/08/04,-19.184
2017/08/05,-11.738
2017/08/06,-2.97
2017/08/07,11.82
2017/08/08,0.159
2017/08/09,28.723
2017/08/10,-3.255
2017/08/11,-1.163
2017/08/12,-25.123
2017/08/13,-1.733
2017/08/14,-11.394
2017/08/15,15.83
2017/08/16,11.954
2017/08/17,16.508
2017/08/18,13.284
2017/08/19,-25.629
2017/08/20,-5.944
2017/08/21,-22.05
2017/08/22,12.137
2017/08/23,5.185
2017/08/24,-4.056
2017/08/25,5.216
2017/08/26,-15.002
2017/08/27,-16.896
2017/08/28,-0.685
2017/08/29,16.894
2017/08/30,21.007
2017/08/31,32.78
2017/09/01,2.584
2017/09/02,-1.487
2017/09/03,-33.134
2017/09/04,-6.244
2017/09/05,-5.8
2017/09/06,-17.125
2017/09/07,-17.675
2017/09/08,-20.056
2017/09/09,-10.759
2017/09/10,-0.304
2017/09/11,19.275
2017/09/12,24.454
2017/09/13,10.254
2017/09/14,-4.102
2017/09/15,6.3
2017/09/16,0.284
