Date,hashrate7var
2017/08/14,4.849240301854E+24
2017/08/15,6.3605012361285E+24
2017/08/16,7.7007799874986E+24
2017/08/17,6.4595760687299E+24
2017/08/18,3.5461317825227E+24
2017/08/19,5.051284397937E+24
2017/08/20,3.0558445405391E+24
2017/08/21,3.288832633038E+24
2017/08/22,3.3680479567772E+24
2017/08/23,4.4680498380512E+24
2017/08/24,4.2464945362005E+24
2017/08/25,2.1305359528502E+24
2017/08/26,2.094552640536E+24
2017/08/27,9.930094689276E+23
2017/08/28,2.7173024475024E+24
2017/08/29,4.1440712297255E+24
2017/08/30,5.1735235761811E+24
2017/08/31,5.3873430354082E+24
2017/09/01,5.67710871011E+24
2017/09/02,5.7570806738787E+24
2017/09/03,5.0955647135601E+24
2017/09/04,4.1724066746322E+23
2017/09/05,6.7958930568934E+23
2017/09/06,6.6902517437195E+23
2017/09/07,1.1031299231983E+24
2017/09/08,6.7768308641657E+24
2017/09/09,7.1660062075031E+24
2017/09/10,5.5459423660736E+24
2017/09/11,4.7702059113426E+24
2017/09/12,7.4087585355284E+24
2017/09/13,4.7942297292597E+24
2017/09/14,3.9623805100953E+24
2017/09/15,6.1884651720151E+24
2017/09/16,6.4770366305364E+24
2017/09/17,5.4389737293808E+24
2017/09/18,3.1789474499697E+24
2017/09/19,3.427049846384E+24
2017/09/20,1.5939094589118E+24
2017/09/21,1.3737126660623E+24
2017/09/22,1.151344083156E+24
2017/09/23,3.0420142739553E+24
2017/09/24,3.0037386700578E+24
2017/09/25,6.9155872375212E+24
2017/09/26,7.4977613973704E+24
2017/09/27,7.047731514377E+24
2017/09/28,5.6880943543832E+24
2017/09/29,7.5564896798353E+24
2017/09/30,1.1095318122561E+25
2017/10/01,7.3768218706183E+24
2017/10/02,7.3727940497977E+24
2017/10/03,6.8937682195969E+24
2017/10/04,5.2866758545081E+24
2017/10/05,1.1219769685363E+25
2017/10/06,8.6879384502811E+24
2017/10/07,5.1046345484123E+24
2017/10/08,5.056312242725E+24
2017/10/09,4.7475442461918E+24
2017/10/10,4.3743371641711E+24
2017/10/11,7.364193237282E+24
2017/10/12,6.2597290447673E+24
2017/10/13,8.7761735413812E+24
2017/10/14,4.7190345197652E+24
2017/10/15,4.2100874155218E+24
2017/10/16,5.540383309714E+24
2017/10/17,9.4423331505103E+24
2017/10/18,1.1945286548141E+25
2017/10/19,1.5306488752155E+25
2017/10/20,1.8325041371545E+25
2017/10/21,9.61011275532E+24
2017/10/22,5.6730064242421E+24
2017/10/23,3.0768665225173E+24
2017/10/24,4.8368194927388E+24
2017/10/25,2.2526388909647E+24
2017/10/26,3.9037766565928E+24
2017/10/27,1.7107263491965E+27
2017/10/28,2.8618175180393E+27
2017/10/29,3.4254750105156E+27
2017/10/30,3.4343525520126E+27
2017/10/31,2.7815673965993E+27
2017/11/01,2.8384854051935E+27
2017/11/02,2.8567908402195E+27
2017/11/03,3.3460387621523E+27
2017/11/04,3.2791832498032E+27
2017/11/05,2.7477219692561E+27
2017/11/06,1.6453383592761E+27
2017/11/07,7.2760354577746E+24
2017/11/08,2.451298683071E+24
2017/11/09,2.3639956123513E+24
2017/11/10,2.4627469039674E+24
2017/11/11,1.141243000093E+24
2017/11/12,1.9097927189087E+24
2017/11/13,2.1732977808545E+24
2017/11/14,1.7936124640111E+24
2017/11/15,1.8451847530355E+24
2017/11/16,3.8269139269609E+24
2017/11/17,4.8647471261604E+24
2017/11/18,6.2968125322162E+24
2017/11/19,4.0624731580839E+24
2017/11/20,7.8704582662266E+24
2017/11/21,1.0542649879012E+25
2017/11/22,1.2214207606966E+25
2017/11/23,1.5212094519898E+25
2017/11/24,1.9318193074742E+25
2017/11/25,1.549998841204E+25
2017/11/26,7.9303677174788E+24
2017/11/27,7.4373502090558E+24
2017/11/28,5.4391803799546E+24
2017/11/29,1.9889099836424E+24
2017/11/30,1.706872862729E+24
2017/12/01,1.91556867114E+24
2017/12/02,2.0218067469722E+24
2017/12/03,2.4379736360241E+24
2017/12/04,2.9551386429044E+24
2017/12/05,1.8954215127164E+24
2017/12/06,1.8433243255842E+24
2017/12/07,1.8994543624107E+24
2017/12/08,2.8603867926341E+24
2017/12/09,4.4461838769255E+24
2017/12/10,2.8666079976933E+24
2017/12/11,3.6694807895816E+24
2017/12/12,3.1804453947201E+24
2017/12/13,6.6667990994035E+24
2017/12/14,1.4114471153697E+25
2017/12/15,3.3656671682442E+25
2017/12/16,4.0028973754677E+25
2017/12/17,3.6215176042758E+25
2017/12/18,3.4527187904798E+25
2017/12/19,1.7500165530286E+25
2017/12/20,7.5996419545649E+24
2017/12/21,2.4728694236654E+24
2017/12/22,2.5521925428165E+24
2017/12/23,5.2031233611578E+24
2017/12/24,5.9212607171543E+24
2017/12/25,8.5804803270337E+24
2017/12/26,1.0955116455669E+25
2017/12/27,1.1386573581916E+25
2017/12/28,1.4105466005561E+25
2017/12/29,5.9737459267448E+24
2017/12/30,5.7544465747429E+24
2017/12/31,5.0599166906516E+24
2018/01/01,6.5769180963271E+24
2018/01/02,5.9041826481455E+24
2018/01/03,4.2427185399827E+24
2018/01/04,7.8732130880602E+24
2018/01/05,1.2336671835902E+25
2018/01/06,9.0505658974263E+24
2018/01/07,1.3162665768079E+25
2018/01/08,1.5296044631105E+25
2018/01/09,1.5857495314044E+25
2018/01/10,1.4989185411166E+25
2018/01/11,2.5234230050833E+25
2018/01/12,3.358755938382E+25
2018/01/13,2.6008119860007E+25
2018/01/14,3.1396701933027E+25
2018/01/15,2.0522331764783E+25
2018/01/16,1.4783362389751E+25
2018/01/17,1.5148762041673E+25
2018/01/18,1.5474205223003E+25
2018/01/19,1.270381663705E+25
2018/01/20,1.8981603379977E+25
2018/01/21,1.8712340832663E+25
2018/01/22,1.2612787293026E+25
2018/01/23,1.0997952802242E+25
2018/01/24,1.8460176654592E+25
2018/01/25,2.153233194524E+25
2018/01/26,1.4938506377833E+25
2018/01/27,1.5230009018852E+25
2018/01/28,8.9725118437792E+24
2018/01/29,2.0918671914117E+25
2018/01/30,1.6676798326122E+25
2018/01/31,2.5651296230887E+25
2018/02/01,4.248012054587E+25
2018/02/02,5.6369470370795E+25
2018/02/03,4.5668024083177E+25
2018/02/04,2.7689821155624E+25
2018/02/05,3.3163326633494E+25
2018/02/06,1.555355813438E+25
2018/02/07,1.2344981273528E+25
2018/02/08,9.4909154355328E+24
2018/02/09,1.1859100432192E+25
2018/02/10,1.2108460081789E+25
2018/02/11,9.6320767498293E+24
2018/02/12,1.8983219199004E+25
2018/02/13,1.9859318284642E+25
2018/02/14,1.7742436820401E+25
2018/02/15,1.0531804541278E+25
2018/02/16,9.8962764507881E+24
2018/02/17,8.3903705135219E+24
