Date,transactionfees7rocUSD
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,14.182
2017/11/02,14.81
2017/11/03,0
2017/11/04,0
2017/11/05,0
2017/11/06,0
2017/11/07,0
2017/11/08,11.674
2017/11/09,10.188
2017/11/10,17.399
2017/11/11,13.865
2017/11/12,48.521
2017/11/13,40.255
2017/11/14,16.657
2017/11/15,7.512
2017/11/16,6.817
2017/11/17,22.773
2017/11/18,2.422
2017/11/19,1.715
2017/11/20,15.025
2017/11/21,9.605
2017/11/22,-4.221
2017/11/23,13.956
2017/11/24,5.053
2017/11/25,29.83
2017/11/26,39.317
2017/11/27,14.041
2017/11/28,23.059
2017/11/29,28.838
2017/11/30,4.248
2017/12/01,16.102
2017/12/02,5.17
2017/12/03,-8.423
2017/12/04,84.326
2017/12/05,152.934
2017/12/06,171.2
2017/12/07,416.624
2017/12/08,360.024
2017/12/09,466.923
2017/12/10,336.265
2017/12/11,62.197
2017/12/12,27.11
2017/12/13,23.202
2017/12/14,-11.304
2017/12/15,-21.042
2017/12/16,-21.298
2017/12/17,-20.021
2017/12/18,0.658
2017/12/19,11.815
2017/12/20,32.682
2017/12/21,3.208
2017/12/22,-5.941
2017/12/23,-15.342
2017/12/24,-6.743
2017/12/25,-16.888
2017/12/26,-39.288
2017/12/27,-51.467
2017/12/28,-53.229
2017/12/29,-32.675
2017/12/30,-37.06
2017/12/31,-25.787
2018/01/01,-11.94
2018/01/02,14.036
2018/01/03,30.861
2018/01/04,68.369
2018/01/05,259.517
2018/01/06,390.865
2018/01/07,311.419
2018/01/08,340.247
2018/01/09,286.213
2018/01/10,366.816
2018/01/11,212.692
2018/01/12,4.76
2018/01/13,-6.331
2018/01/14,2.212
2018/01/15,-12.032
2018/01/16,-33.927
2018/01/17,-62.696
2018/01/18,-42.857
2018/01/19,-26.885
2018/01/20,-26.792
2018/01/21,-48.804
2018/01/22,-48.54
2018/01/23,-22.877
2018/01/24,-7.162
2018/01/25,-23.001
2018/01/26,-43.808
2018/01/27,-47.716
2018/01/28,-16.947
2018/01/29,28.032
2018/01/30,-12.528
2018/01/31,-6.774
2018/02/01,18.781
2018/02/02,8.059
2018/02/03,-1.711
2018/02/04,-19.256
2018/02/05,-52.18
2018/02/06,-46.981
2018/02/07,-38.032
2018/02/08,-54.161
2018/02/09,-35.105
2018/02/10,-24.967
2018/02/11,-28.034
2018/02/12,-14.173
2018/02/13,1.241
2018/02/14,-8.353
2018/02/15,-2.793
2018/02/16,7.803
2018/02/17,8.503
2018/02/18,38.81
2018/02/19,14.504
2018/02/20,10.131
2018/02/21,-0.407
2018/02/22,-11.874
2018/02/23,-9.359
2018/02/24,-14.931
2018/02/25,-30.204
2018/02/26,-16.166
2018/02/27,-9.501
2018/02/28,19.463
2018/03/01,7.816
2018/03/02,17.784
2018/03/03,-9.839
2018/03/04,10.147
2018/03/05,13.773
2018/03/06,-15.536
2018/03/07,-32.732
2018/03/08,-19.941
2018/03/09,-37.937
2018/03/10,-25.258
2018/03/11,-43.341
2018/03/12,-25.425
2018/03/13,-35.476
2018/03/14,-31.844
2018/03/15,-37.464
2018/03/16,-25.94
2018/03/17,-36.628
2018/03/18,-35.123
2018/03/19,-46.635
2018/03/20,-19.772
2018/03/21,-12.963
2018/03/22,4.286
2018/03/23,-11.081
2018/03/24,8.241
2018/03/25,22.591
2018/03/26,19.993
2018/03/27,-8.343
2018/03/28,-20.761
2018/03/29,-26.906
2018/03/30,-38.328
2018/03/31,-42.112
2018/04/01,-46.889
2018/04/02,-42.658
2018/04/03,-27.886
2018/04/04,-38.358
2018/04/05,-3.727
2018/04/06,-5.647
2018/04/07,-9.845
2018/04/08,6.499
2018/04/09,2.551
2018/04/10,0.021
2018/04/11,27.42
2018/04/12,-7.249
2018/04/13,50.911
2018/04/14,49.404
2018/04/15,31.205
2018/04/16,26.226
2018/04/17,20.074
2018/04/18,37.289
2018/04/19,20.548
2018/04/20,2.28
2018/04/21,8.285
2018/04/22,20.834
2018/04/23,20.89
2018/04/24,62.943
2018/04/25,18.894
2018/04/26,24.028
2018/04/27,35.529
2018/04/28,60.647
2018/04/29,66.281
2018/04/30,59.754
2018/05/01,1.446
2018/05/02,11.858
2018/05/03,35.187
2018/05/04,0.789
2018/05/05,-2.912
2018/05/06,-11.079
2018/05/07,-15.996
2018/05/08,10.569
2018/05/09,13.315
2018/05/10,30.579
2018/05/11,42.98
2018/05/12,-3.475
2018/05/13,9.605
2018/05/14,43.273
2018/05/15,37.973
2018/05/16,32.926
2018/05/17,1.731
2018/05/18,-0.086
2018/05/19,28.727
2018/05/20,14.812
2018/05/21,0.665
2018/05/22,1.999
2018/05/23,-6.811
2018/05/24,-21.376
2018/05/25,-16.219
2018/05/26,-14.56
2018/05/27,-26.692
2018/05/28,-10.427
2018/05/29,-13.487
2018/05/30,3.56
2018/05/31,41.864
2018/06/01,30.248
2018/06/02,-0.976
2018/06/03,9.919
2018/06/04,2.136
2018/06/05,-12.323
2018/06/06,8.795
2018/06/07,-32.897
2018/06/08,-31.209
2018/06/09,-25.407
2018/06/10,-28.618
2018/06/11,-41.253
2018/06/12,-34.74
2018/06/13,-54.786
2018/06/14,-32.065
2018/06/15,-13.71
2018/06/16,29.564
2018/06/17,-24.484
2018/06/18,-26.053
2018/06/19,-0.044
2018/06/20,-1.67
2018/06/21,-12.272
