Date,size90wma
2017/12/07,15658
2017/12/08,15771
2017/12/09,15854
2017/12/10,15958
2017/12/11,16119
2017/12/12,16324
2017/12/13,16540
2017/12/14,16751
2017/12/15,16963
2017/12/16,17177
2017/12/17,17379
2017/12/18,17622
2017/12/19,17940
2017/12/20,18166
2017/12/21,18450
2017/12/22,18708
2017/12/23,18897
2017/12/24,18960
2017/12/25,19048
2017/12/26,19151
2017/12/27,19304
2017/12/28,19484
2017/12/29,19740
2017/12/30,19991
2017/12/31,20145
2018/01/01,20275
2018/01/02,20540
2018/01/03,20853
2018/01/04,21190
2018/01/05,21518
2018/01/06,21826
2018/01/07,22101
2018/01/08,22399
2018/01/09,22707
2018/01/10,22958
2018/01/11,23222
2018/01/12,23470
2018/01/13,23728
2018/01/14,23940
2018/01/15,24205
2018/01/16,24486
2018/01/17,24754
2018/01/18,25002
2018/01/19,25183
2018/01/20,25329
2018/01/21,25457
2018/01/22,25561
2018/01/23,25644
2018/01/24,25714
2018/01/25,25762
2018/01/26,25856
2018/01/27,25865
2018/01/28,25907
2018/01/29,25966
2018/01/30,26018
2018/01/31,26060
2018/02/01,26132
2018/02/02,26198
2018/02/03,26182
2018/02/04,26167
2018/02/05,26180
2018/02/06,26208
2018/02/07,26190
2018/02/08,26107
2018/02/09,26066
2018/02/10,26024
2018/02/11,25954
2018/02/12,25909
2018/02/13,25824
2018/02/14,25769
2018/02/15,25712
2018/02/16,25628
2018/02/17,25570
2018/02/18,25484
2018/02/19,25421
2018/02/20,25414
2018/02/21,25380
2018/02/22,25310
2018/02/23,25218
2018/02/24,25135
2018/02/25,25035
2018/02/26,24960
2018/02/27,24869
2018/02/28,24791
2018/03/01,24691
2018/03/02,24633
2018/03/03,24543
2018/03/04,24445
2018/03/05,24385
2018/03/06,24303
2018/03/07,24248
2018/03/08,24163
2018/03/09,24053
2018/03/10,23909
2018/03/11,23761
2018/03/12,23681
2018/03/13,23586
2018/03/14,23473
2018/03/15,23362
2018/03/16,23239
2018/03/17,23072
2018/03/18,22968
2018/03/19,22876
2018/03/20,22775
2018/03/21,22687
2018/03/22,22541
2018/03/23,22420
2018/03/24,22250
2018/03/25,22046
2018/03/26,21907
2018/03/27,21755
2018/03/28,21607
2018/03/29,21465
2018/03/30,21347
2018/03/31,21201
2018/04/01,21031
2018/04/02,20885
2018/04/03,20791
2018/04/04,20691
2018/04/05,20612
2018/04/06,20500
2018/04/07,20348
2018/04/08,20231
2018/04/09,20148
2018/04/10,20046
2018/04/11,19967
2018/04/12,19951
2018/04/13,19936
2018/04/14,19857
2018/04/15,19793
2018/04/16,19778
2018/04/17,19799
2018/04/18,19827
2018/04/19,19917
2018/04/20,20034
2018/04/21,20047
2018/04/22,20093
2018/04/23,20165
2018/04/24,20267
2018/04/25,20358
2018/04/26,20440
2018/04/27,20509
2018/04/28,20587
2018/04/29,20668
2018/04/30,20775
2018/05/01,20855
2018/05/02,20957
2018/05/03,21074
2018/05/04,21223
2018/05/05,21291
2018/05/06,21320
2018/05/07,21365
2018/05/08,21427
2018/05/09,21504
2018/05/10,21628
2018/05/11,21716
2018/05/12,21773
2018/05/13,21824
2018/05/14,21928
2018/05/15,22005
2018/05/16,22081
2018/05/17,22153
2018/05/18,22224
2018/05/19,22291
2018/05/20,22342
2018/05/21,22432
2018/05/22,22517
2018/05/23,22615
2018/05/24,22701
2018/05/25,22774
2018/05/26,22805
2018/05/27,22845
2018/05/28,22926
2018/05/29,23005
2018/05/30,23087
2018/05/31,23210
2018/06/01,23281
2018/06/02,23340
2018/06/03,23408
2018/06/04,23505
2018/06/05,23588
2018/06/06,23638
2018/06/07,23688
2018/06/08,23739
2018/06/09,23781
2018/06/10,23831
2018/06/11,23878
2018/06/12,23907
2018/06/13,23974
2018/06/14,24011
2018/06/15,24013
2018/06/16,24096
2018/06/17,24037
2018/06/18,24025
2018/06/19,24076
2018/06/20,24139
2018/06/21,24155
2018/06/22,24191
2018/06/23,24140
2018/06/24,24095
2018/06/25,24144
2018/06/26,24160
2018/06/27,24190
2018/06/28,24205
2018/06/29,24202
2018/06/30,24173
2018/07/01,24152
2018/07/02,24066
2018/07/03,24033
2018/07/04,23931
2018/07/05,23885
2018/07/06,23788
2018/07/07,23702
2018/07/08,23673
2018/07/09,23643
2018/07/10,23635
2018/07/11,23598
2018/07/12,23541
2018/07/13,23474
2018/07/14,23379
2018/07/15,23265
2018/07/16,23256
2018/07/17,23250
2018/07/18,23243
2018/07/19,23240
2018/07/20,23183
2018/07/21,23081
2018/07/22,23015
2018/07/23,23000
2018/07/24,23011
2018/07/25,23021
2018/07/26,23017
2018/07/27,22997
2018/07/28,22907
2018/07/29,22868
2018/07/30,22874
2018/07/31,22882
2018/08/01,22908
2018/08/02,22932
2018/08/03,22908
2018/08/04,22859
2018/08/05,22832
2018/08/06,22829
2018/08/07,22749
2018/08/08,22592
2018/08/09,22422
2018/08/10,22322
2018/08/11,22259
