Date,difficulty30mom
2017/08/18,5.1144659855733E+14
2017/08/19,5.2443522354362E+14
2017/08/20,4.8762217334793E+14
2017/08/21,5.0682732186017E+14
2017/08/22,489369700235323
2017/08/23,540548458263889
2017/08/24,4.998085681131E+14
2017/08/25,8.232152919643E+14
2017/08/26,8.7828578920071E+14
2017/08/27,8.4776518609672E+14
2017/08/28,8.011000418173E+14
2017/08/29,8.4419514572247E+14
2017/08/30,8.0459912351489E+14
2017/08/31,6.0880719760464E+14
2017/09/01,6.2704453026783E+14
2017/09/02,675384969845910
2017/09/03,6.5962132937388E+14
2017/09/04,6.5827380652958E+14
2017/09/05,632109470768871
2017/09/06,612632484709849
2017/09/07,617585306170196
2017/09/08,6.8983874622384E+14
2017/09/09,6.712784029306E+14
2017/09/10,6.4974487583749E+14
2017/09/11,6.2021927620416E+14
2017/09/12,6.8443879757121E+14
2017/09/13,5.9528290642563E+14
2017/09/14,5.8762719165112E+14
2017/09/15,6.5256639057044E+14
2017/09/16,6.1169053926599E+14
2017/09/17,6.4543549060499E+14
2017/09/18,555799329116440
2017/09/19,5.8818138435648E+14
2017/09/20,5.9586954542596E+14
2017/09/21,6.0098592545872E+14
2017/09/22,1.0951799825032E+15
2017/09/23,1.1326135084741E+15
2017/09/24,7.9093915980111E+14
2017/09/25,7.1241498401246E+14
2017/09/26,7.0698337801044E+14
2017/09/27,7.8276471486667E+14
2017/09/28,6.9197518734839E+14
2017/09/29,571820518626580
2017/09/30,5.5835774914753E+14
2017/10/01,6.3208029241112E+14
2017/10/02,629910787751058
2017/10/03,5.8853635517172E+14
2017/10/04,6.5239154196162E+14
2017/10/05,7.3770550501802E+14
2017/10/06,6.7987872659248E+14
2017/10/07,603596496015540
2017/10/08,5.6434768709046E+14
2017/10/09,609550513732368
2017/10/10,623588370166468
2017/10/11,6.8463970663641E+14
2017/10/12,536437617602914
2017/10/13,706873882267603
2017/10/14,5.9602247938624E+14
2017/10/15,5.9639390210644E+14
2017/10/16,-427792295609487
2017/10/17,-9.6008688687546E+14
2017/10/18,-9.3905084607089E+14
2017/10/19,-9.2046992069926E+14
2017/10/20,-9.3290839085938E+14
2017/10/21,-9.3444836429506E+14
2017/10/22,-1458354320897597
2017/10/23,-1.5049826852655E+15
2017/10/24,-1.4486916437675E+15
2017/10/25,-1.4282163755588E+15
2017/10/26,-1.4500988434721E+15
2017/10/27,-2.9160430952392E+15
2017/10/28,-2896071814918466
2017/10/29,-2802970923363752
2017/10/30,-2773894950878984
2017/10/31,-2865649257474530
2017/11/01,-1.3547076325815E+15
2017/11/02,-1.395500281633E+15
2017/11/03,-1.4767837715879E+15
2017/11/04,-1.5635251151027E+15
2017/11/05,-1.4729460963319E+15
2017/11/06,-1.4236332170783E+15
2017/11/07,-1.5033061733459E+15
2017/11/08,-1.4764181264435E+15
2017/11/09,-1.4928916755109E+15
2017/11/10,-1.5677944594875E+15
2017/11/11,-1.4739836707931E+15
2017/11/12,-1543680615643760
2017/11/13,-1461219073672253
2017/11/14,-1.5137360807205E+15
2017/11/15,-4.9796326738362E+14
2017/11/16,-33658955379682
2017/11/17,-9386073835524
2017/11/18,-70566301417946
2017/11/19,-45731556445060
2017/11/20,18279138259056
2017/11/21,-8419890156293
2017/11/22,7028167896019
2017/11/23,21973569775475
2017/11/24,65149778653552
2017/11/25,125054769937908
2017/11/26,1.5533795939411E+15
2017/11/27,1.5372051702782E+15
2017/11/28,1.5080428536249E+15
2017/11/29,1520780408250060
2017/11/30,1542745956194406
2017/12/01,40486227192133
2017/12/02,1.2696782258605E+14
2017/12/03,90180720519435
2017/12/04,1.2562451589569E+14
2017/12/05,37959443515582
2017/12/06,34644949923538
2017/12/07,68504071781704
2017/12/08,98352932867113
2017/12/09,132609098248832
2017/12/10,1.1983514411066E+14
2017/12/11,137968283898695
2017/12/12,68929732336870
2017/12/13,155958299537488
2017/12/14,1.9254410064582E+14
2017/12/15,291919085680317
2017/12/16,3.4319724168651E+14
2017/12/17,351474385412797
2017/12/18,3.9401474104615E+14
2017/12/19,334148147114664
2017/12/20,2.2693522858142E+14
2017/12/21,2.7007771491589E+14
2017/12/22,2.6295512635905E+14
2017/12/23,273462375870833
2017/12/24,2.7329013308854E+14
2017/12/25,2.9115699935391E+14
2017/12/26,3.1245168299162E+14
2017/12/27,3.2681679537236E+14
2017/12/28,4.0838095787732E+14
2017/12/29,3.4977027728144E+14
2017/12/30,3.3189406424929E+14
2017/12/31,3.7261178827745E+14
2018/01/01,3.6477859051047E+14
2018/01/02,4.1497861875455E+14
2018/01/03,373496602899502
2018/01/04,417958018714799
2018/01/05,4.6461419119504E+14
2018/01/06,4.1841309945213E+14
2018/01/07,397756135127558
2018/01/08,4.5260764812332E+14
2018/01/09,4.6009019484334E+14
2018/01/10,4.3019330057403E+14
2018/01/11,5.191612439703E+14
2018/01/12,4.8695969871506E+14
2018/01/13,4.9950303925959E+14
2018/01/14,4.5288911679562E+14
2018/01/15,4.4903946863663E+14
2018/01/16,4.4705632737496E+14
2018/01/17,4.7342123799955E+14
2018/01/18,5.3902138215612E+14
2018/01/19,5.5263014285176E+14
2018/01/20,6.2228239083889E+14
2018/01/21,647011627530542
2018/01/22,6.0280066635566E+14
2018/01/23,576642164920667
2018/01/24,606737772536407
2018/01/25,641772121425139
2018/01/26,6.3683058380614E+14
2018/01/27,5.689204797208E+14
2018/01/28,6.2984281994364E+14
2018/01/29,7.1674172372826E+14
2018/01/30,6.7668863005128E+14
2018/01/31,6.9169278012211E+14
2018/02/01,741389626346504
2018/02/02,807127428343472
2018/02/03,870215247632589
2018/02/04,8.2636094572715E+14
2018/02/05,887115043789002
2018/02/06,836430336418162
2018/02/07,8.3140773338003E+14
2018/02/08,812203476478827
2018/02/09,8.7133234711768E+14
2018/02/10,7.5903697514491E+14
2018/02/11,8.5105195481807E+14
2018/02/12,8.0293070960353E+14
2018/02/13,8.0239168273748E+14
2018/02/14,7.6344470663720E+14
2018/02/15,6.9055539503343E+14
2018/02/16,734049280774558
2018/02/17,6.9823252731794E+14
2018/02/18,7.3504220191413E+14
2018/02/19,6.1313483628775E+14
2018/02/20,5.6006043065975E+14
2018/02/21,5.1627906749096E+14
2018/02/22,581909711203440
2018/02/23,5.0774453350203E+14
2018/02/24,4.6732118620089E+14
2018/02/25,5.9559348632352E+14
2018/02/26,545189048287245
2018/02/27,478373648426816
2018/02/28,4.6118652086860E+14
2018/03/01,506808410133692
2018/03/02,450479808531916
2018/03/03,5.2469586056074E+14
2018/03/04,428694010866043
2018/03/05,369560690308948
2018/03/06,3.5898605534436E+14
2018/03/07,408001751401056
2018/03/08,4.5078557830588E+14
2018/03/09,318666421746310
2018/03/10,3.4501421702945E+14
2018/03/11,271653534948563
2018/03/12,356522166341229
2018/03/13,225939613588525
2018/03/14,1.9196514484525E+14
2018/03/15,1.8936449855311E+14
2018/03/16,3.2059513924312E+14
2018/03/17,369260229216203
2018/03/18,2.7433271505171E+14
2018/03/19,3.1352478957396E+14
2018/03/20,2.7761552724612E+14
2018/03/21,284321614895539
2018/03/22,292570169054378
2018/03/23,3.7290905430836E+14
2018/03/24,237552228896985
2018/03/25,296856720187235
2018/03/26,358516890935844
2018/03/27,178139846683335
2018/03/28,227769554195887
2018/03/29,2.0472435260228E+14
2018/03/30,1.5938302959691E+14
2018/03/31,86017232054987
2018/04/01,162373917771881
2018/04/02,7063572534543
2018/04/03,-9845599087730
2018/04/04,41755787035328
2018/04/05,32814898302630
2018/04/06,61950491747657
2018/04/07,-1977182837904
2018/04/08,35489171483363
2018/04/09,-77770426614500
2018/04/10,-13032947061060
2018/04/11,-44366637086343
2018/04/12,-45175164799545
2018/04/13,-49711764192091
2018/04/14,-28609656662688
2018/04/15,-1.3594483060412E+14
2018/04/16,-1.4784995885895E+14
2018/04/17,-1.3276057618258E+14
2018/04/18,-209085096769999
2018/04/19,-1.8307644208319E+14
2018/04/20,-1.9116761318979E+14
2018/04/21,-57199216945744
2018/04/22,-137609018985935
2018/04/23,-37508282146191
2018/04/24,-1.3250266944036E+14
2018/04/25,-204135384693474
2018/04/26,-61404776278283
2018/04/27,-1.0601761528567E+14
2018/04/28,-54635113401494
2018/04/29,-21121593632753
2018/04/30,7239940726082
2018/05/01,-1.2564570950327E+14
2018/05/02,-86545804101588
2018/05/03,34275615154618
2018/05/04,25812642880042
2018/05/05,90969914766264
2018/05/06,15782664529115
2018/05/07,91894940061377
2018/05/08,152195434927282
2018/05/09,1.7946509729906E+14
2018/05/10,143905308567419
2018/05/11,1.3859721247372E+14
2018/05/12,2.3556847485294E+14
2018/05/13,311023933823858
2018/05/14,189843235335478
2018/05/15,125167195065837
2018/05/16,172632864546663
2018/05/17,148130002638155
2018/05/18,1.584686308459E+14
2018/05/19,151850821342737
2018/05/20,237852850745019
2018/05/21,1.7347601145151E+14
2018/05/22,176545120669557
2018/05/23,70931804721264
2018/05/24,91544320509136
2018/05/25,73685578928314
2018/05/26,39946669486253
2018/05/27,62828418018509
2018/05/28,1.0353564269001E+14
2018/05/29,28123238942555
2018/05/30,-19057416026559
2018/05/31,1.3533057846408E+14
2018/06/01,40321007126343
2018/06/02,29534461116632
2018/06/03,-201544565327
2018/06/04,-83049144725115
2018/06/05,-39137655688501
2018/06/06,-164387305231693
2018/06/07,-1.8185091917417E+14
2018/06/08,-71571332158552
2018/06/09,23733571774118
2018/06/10,-33070983873721
2018/06/11,-131144549412232
2018/06/12,-63967577316784
2018/06/13,-52595150375941
2018/06/14,14278272934437
2018/06/15,-29292730267091
2018/06/16,12347365344147
2018/06/17,58661289591695
2018/06/18,1.4679969635544E+14
2018/06/19,127064988840107
2018/06/20,34016325133977
2018/06/21,133258655242388
2018/06/22,1.7667095682884E+14
2018/06/23,170858798216765
2018/06/24,251868812643608
2018/06/25,1.4355273698853E+14
2018/06/26,1.4771315734379E+14
2018/06/27,2.5426885924446E+14
2018/06/28,187548502220561
2018/06/29,2.0169160980452E+14
2018/06/30,220782287546354
2018/07/01,2.09862665394E+14
2018/07/02,197982013871157
2018/07/03,2.5332429961515E+14
2018/07/04,2.776426118465E+14
2018/07/05,3.2756200163368E+14
2018/07/06,3.4850437606856E+14
2018/07/07,3.6370915814563E+14
2018/07/08,255887451971687
2018/07/09,227676915045957
2018/07/10,2.4694969499548E+14
2018/07/11,121134097291284
2018/07/12,1.0894031920209E+14
2018/07/13,1.7667539850992E+14
2018/07/14,1.476289681861E+14
2018/07/15,165043838272407
2018/07/16,1.5226778946984E+14
2018/07/17,1.5560022133191E+14
2018/07/18,81366852881963
2018/07/19,-1214106408205
2018/07/20,52155035413566
2018/07/21,-2.201148001019E+14
2018/07/22,-83132037962867
2018/07/23,121509306986639
2018/07/24,-28932993454275
2018/07/25,78907388052763
2018/07/26,166294575963357
2018/07/27,16459574881000
2018/07/28,138414540085436
2018/07/29,1.7852542513209E+14
2018/07/30,92838654134304
2018/07/31,168222350563953
2018/08/01,123166844484690
2018/08/02,98163675591873
2018/08/03,40545693987362
2018/08/04,5275829838320
2018/08/05,55721531715544
2018/08/06,69900506675008
2018/08/07,113616075703845
2018/08/08,60026645052361
2018/08/09,106945564411335
2018/08/10,225309409646341
2018/08/11,111805585308477
2018/08/12,44702443904719
2018/08/13,75871350274263
2018/08/14,123200969422879
2018/08/15,61366262347767
2018/08/16,-14213484242414
