Date,transactionvalue3trxUSD
2018/02/12,-5.175
2018/02/13,1.649
2018/02/14,2.258
2018/02/15,3.229
2018/02/16,1.513
2018/02/17,-0.924
2018/02/18,-2.236
2018/02/19,-4.203
2018/02/20,-4.247
2018/02/21,-4.161
2018/02/22,0.642
2018/02/23,-2.619
2018/02/24,-5.816
2018/02/25,-9.876
2018/02/26,-9.938
2018/02/27,-11.4
2018/02/28,-11.923
2018/03/01,-10.016
2018/03/02,-9.084
2018/03/03,-10.327
2018/03/04,-10.056
2018/03/05,-6.284
2018/03/06,0.44
2018/03/07,2.121
2018/03/08,0.714
2018/03/09,0.382
2018/03/10,-3.128
2018/03/11,-6.021
2018/03/12,-4.644
2018/03/13,5.896
2018/03/14,5.186
2018/03/15,1.718
2018/03/16,-3.394
2018/03/17,-6.457
2018/03/18,-0.561
2018/03/19,1.334
2018/03/20,-0.036
2018/03/21,-1.995
2018/03/22,-3.47
2018/03/23,-2.313
2018/03/24,-5.149
2018/03/25,-7.313
2018/03/26,-2.584
2018/03/27,5.203
2018/03/28,7.859
2018/03/29,6.483
2018/03/30,1.331
2018/03/31,-4.575
2018/04/01,-8.583
2018/04/02,-9.631
2018/04/03,-7.827
2018/04/04,-6.13
2018/04/05,-7.596
2018/04/06,-7.626
2018/04/07,-8.292
2018/04/08,-5.237
2018/04/09,0.748
2018/04/10,1.961
2018/04/11,3.567
2018/04/12,10.208
2018/04/13,12.577
2018/04/14,2.496
2018/04/15,-1.44
2018/04/16,-1.595
2018/04/17,-1.908
2018/04/18,1.426
2018/04/19,2.547
2018/04/20,6.03
2018/04/21,5.323
2018/04/22,0.507
2018/04/23,11.793
2018/04/24,14.556
2018/04/25,10.156
2018/04/26,3.236
2018/04/27,0.909
2018/04/28,-1.67
2018/04/29,-3.293
2018/04/30,-1.78
2018/05/01,-0.56
2018/05/02,4.222
2018/05/03,7.717
2018/05/04,4.706
2018/05/05,0.546
2018/05/06,-1.874
2018/05/07,3.793
2018/05/08,1.76
2018/05/09,0.004
2018/05/10,-1.388
2018/05/11,-2.11
2018/05/12,-5.206
2018/05/13,-8.5
2018/05/14,-3.661
2018/05/15,-0.085
2018/05/16,-1.283
2018/05/17,-2.56
2018/05/18,-3.521
2018/05/19,-6.44
2018/05/20,-6.387
2018/05/21,-2.509
2018/05/22,3.922
2018/05/23,8.367
2018/05/24,4.64
2018/05/25,0.075
2018/05/26,-4.748
2018/05/27,-3.423
2018/05/28,0.712
2018/05/29,1.215
2018/05/30,0.835
2018/05/31,0.986
2018/06/01,3.668
2018/06/02,-2.412
2018/06/03,-7.544
2018/06/04,-3.8
2018/06/05,0.676
2018/06/06,4.921
2018/06/07,5.088
2018/06/08,6.13
2018/06/09,-2.112
2018/06/10,-4.154
2018/06/11,-2.436
2018/06/12,3.75
2018/06/13,10.479
2018/06/14,12.612
2018/06/15,9.076
2018/06/16,-0.972
2018/06/17,-8.547
2018/06/18,-10.497
2018/06/19,-8.673
2018/06/20,-5.612
2018/06/21,-3.463
2018/06/22,-0.172
2018/06/23,-4.05
2018/06/24,-2.526
2018/06/25,-0.843
2018/06/26,-1.067
2018/06/27,-2.341
2018/06/28,-3.233
2018/06/29,-1.444
2018/06/30,-3.651
2018/07/01,-6.666
2018/07/02,-0.719
2018/07/03,5.543
2018/07/04,9.067
2018/07/05,7.24
2018/07/06,6.352
2018/07/07,0.204
2018/07/08,-4.301
2018/07/09,-3.188
2018/07/10,-1.916
2018/07/11,-3.686
2018/07/12,-4.337
2018/07/13,-4.463
2018/07/14,-5.911
2018/07/15,-6.539
2018/07/16,-1.446
2018/07/17,3.398
2018/07/18,6.76
2018/07/19,3.656
2018/07/20,2.638
2018/07/21,-2.41
2018/07/22,-6.314
2018/07/23,-4.405
2018/07/24,-1.464
2018/07/25,-1.039
2018/07/26,-2.409
2018/07/27,-3.266
2018/07/28,-7.024
2018/07/29,-9.376
2018/07/30,-2.507
2018/07/31,15.344
2018/08/01,8.316
2018/08/02,2.213
2018/08/03,-2.642
2018/08/04,-7.096
2018/08/05,-9.432
2018/08/06,-6.496
2018/08/07,-0.492
2018/08/08,11.049
2018/08/09,10.424
2018/08/10,7.144
2018/08/11,1.09
2018/08/12,-6.082
2018/08/13,-1.41
2018/08/14,4.22
2018/08/15,4.05
2018/08/16,-2.524
2018/08/17,-2.427
2018/08/18,-6.449
2018/08/19,-10.833
2018/08/20,-8.744
