Date,hashrate7wma
2017/09/15,1.0588228406821E+14
2017/09/16,1.0640835115038E+14
2017/09/17,1.0703829343341E+14
2017/09/18,1.0691376323E+14
2017/09/19,1.0737756282786E+14
2017/09/20,1.0751671864772E+14
2017/09/21,1.0800475102556E+14
2017/09/22,1.0811594668122E+14
2017/09/23,107142399239277
2017/09/24,1.069815437535E+14
2017/09/25,1.0556996057553E+14
2017/09/26,1.0467273087329E+14
2017/09/27,1.04647596411E+14
2017/09/28,1.0373473928494E+14
2017/09/29,1.0205931463532E+14
2017/09/30,1.0064083006951E+14
2017/10/01,1.0061260987926E+14
2017/10/02,1.0066445558184E+14
2017/10/03,1.0068012604154E+14
2017/10/04,1.0149236316149E+14
2017/10/05,1.0321546470262E+14
2017/10/06,1.0350224684354E+14
2017/10/07,1.0307035373686E+14
2017/10/08,1.033656832862E+14
2017/10/09,1.0373921936062E+14
2017/10/10,1.0435366348178E+14
2017/10/11,1.0559140720811E+14
2017/10/12,1.0569152053712E+14
2017/10/13,1.0703387040948E+14
2017/10/14,1.0686961029237E+14
2017/10/15,1.0742038917806E+14
2017/10/16,1.0859244887574E+14
2017/10/17,1.1019458189828E+14
2017/10/18,1.113233824177E+14
2017/10/19,1.1334985307311E+14
2017/10/20,1.1474060869029E+14
2017/10/21,1.1573353664002E+14
2017/10/22,1.1687007340016E+14
2017/10/23,1.1735174285764E+14
2017/10/24,1.1859222758483E+14
2017/10/25,1.1883417055579E+14
2017/10/26,1.1792550376675E+14
2017/10/27,88438404327821
2017/10/28,63138405644277
2017/10/29,42005150517885
2017/10/30,25118163440403
2017/10/31,12436430480240
2017/11/01,34344451835034
2017/11/02,54814638160939
2017/11/03,74846777632443
2017/11/04,90316099936808
2017/11/05,1.0306581069211E+14
2017/11/06,1.1101715957308E+14
2017/11/07,1.1470816924167E+14
2017/11/08,1.148838159038E+14
2017/11/09,1.1473028265042E+14
2017/11/10,1.1504053323431E+14
2017/11/11,1.1527335569898E+14
2017/11/12,1.1600573940099E+14
2017/11/13,1.1649657605197E+14
2017/11/14,1.1619976649024E+14
2017/11/15,1.1603045931927E+14
2017/11/16,1.14971330174E+14
2017/11/17,1.1423273629813E+14
2017/11/18,1.1333444046863E+14
2017/11/19,1.1295117528613E+14
2017/11/20,1.145603378444E+14
2017/11/21,1.1571623536412E+14
2017/11/22,1.166315912128E+14
2017/11/23,1.183784333677E+14
2017/11/24,1.2041577046599E+14
2017/11/25,1.2214526117541E+14
2017/11/26,1.2334086040316E+14
2017/11/27,1.2366835869821E+14
2017/11/28,1.2336903914147E+14
2017/11/29,1.2348528026476E+14
2017/11/30,1.2377402970574E+14
2017/12/01,1.2413733745447E+14
2017/12/02,1.2450301910841E+14
2017/12/03,1.2392148811353E+14
2017/12/04,1.2445427771108E+14
2017/12/05,1.2429941580025E+14
2017/12/06,1.2411736829162E+14
2017/12/07,1.2431068271067E+14
2017/12/08,1.2503246775265E+14
2017/12/09,1.2593268738178E+14
2017/12/10,1.263409755175E+14
2017/12/11,1.2697840657148E+14
2017/12/12,1.2769299534445E+14
2017/12/13,1.2947334759016E+14
2017/12/14,1.3177591573433E+14
2017/12/15,1.3516193488525E+14
2017/12/16,1.3752373842068E+14
2017/12/17,1.3963339909715E+14
2017/12/18,1.4227784961908E+14
2017/12/19,1.4358391974219E+14
2017/12/20,1.4408688581642E+14
2017/12/21,1.4427685128694E+14
2017/12/22,1.440670413339E+14
2017/12/23,1.4545463143552E+14
2017/12/24,1.4641652521674E+14
2017/12/25,1.4759523849322E+14
2017/12/26,1.4886610683511E+14
2017/12/27,1.5015919121154E+14
2017/12/28,1.5215911770882E+14
2017/12/29,1.5296537773925E+14
2017/12/30,1.5366855248216E+14
2017/12/31,1.5473476230385E+14
2018/01/01,1.5613778578296E+14
2018/01/02,1.5714495964881E+14
2018/01/03,1.5779782537413E+14
2018/01/04,1.5918124147662E+14
2018/01/05,1.6130428416517E+14
2018/01/06,1.621537894861E+14
2018/01/07,1.6417131015391E+14
2018/01/08,1.6570173279486E+14
2018/01/09,1.6741612205911E+14
2018/01/10,1.6958681463083E+14
2018/01/11,1.7256066275123E+14
2018/01/12,1.7508225943122E+14
2018/01/13,1.7728461072672E+14
2018/01/14,1.7991832113965E+14
2018/01/15,1.8101310002133E+14
2018/01/16,1.8304283700716E+14
2018/01/17,1.8544662529016E+14
2018/01/18,1.8685852139611E+14
2018/01/19,1.877792758473E+14
2018/01/20,1.9035479543999E+14
2018/01/21,1.9133785153562E+14
2018/01/22,1.9320103294701E+14
2018/01/23,1.943977594746E+14
2018/01/24,1.9653765078048E+14
2018/01/25,198738886817381
2018/01/26,2.0044048807611E+14
2018/01/27,2.0125968203914E+14
2018/01/28,2.0256826043103E+14
2018/01/29,2.0551080594613E+14
2018/01/30,2.0722356732291E+14
2018/01/31,2.0980512757849E+14
2018/02/01,2.1314536984928E+14
2018/02/02,2.1670868613367E+14
2018/02/03,2.1937827379161E+14
2018/02/04,2.2122400060358E+14
2018/02/05,223842001211564
2018/02/06,2.2520241436964E+14
2018/02/07,2.2732961848276E+14
2018/02/08,2.2826324053289E+14
2018/02/09,2.2972264597937E+14
2018/02/10,2.3126512014554E+14
2018/02/11,2.3294003897854E+14
2018/02/12,2.3531759370719E+14
2018/02/13,2.376497719399E+14
2018/02/14,2.3783108545407E+14
2018/02/15,2.383967649144E+14
2018/02/16,2.3980209704322E+14
2018/02/17,2.4097000222554E+14
2018/02/18,2.418016231514E+14
2018/02/19,2.4220541746235E+14
2018/02/20,2.4174416576963E+14
2018/02/21,2.4188657212327E+14
2018/02/22,2.4233251722752E+14
2018/02/23,2.4317912350385E+14
2018/02/24,2.4355451553599E+14
2018/02/25,2.4534123811045E+14
2018/02/26,2.4619782000001E+14
2018/02/27,2.4584410737241E+14
2018/02/28,2.4754573861868E+14
2018/03/01,2.4916630987342E+14
2018/03/02,2.5088663657555E+14
2018/03/03,2.5363200975058E+14
2018/03/04,2.5408910218412E+14
2018/03/05,2.5467658442113E+14
2018/03/06,2.5516660813997E+14
2018/03/07,2.5731730991486E+14
2018/03/08,2.5884578818441E+14
2018/03/09,2.5853199286926E+14
2018/03/10,2.5881642371420E+14
2018/03/11,2.5884221892325E+14
2018/03/12,2.5916448431521E+14
2018/03/13,2.5915352122731E+14
2018/03/14,2.5833061419358E+14
2018/03/15,2.5852781388435E+14
2018/03/16,2.6112372080373E+14
2018/03/17,2.6283559861436E+14
2018/03/18,2.637308560918E+14
2018/03/19,2.6464101955327E+14
2018/03/20,2.6564405242418E+14
2018/03/21,2.654988309648E+14
2018/03/22,2.6496289511402E+14
2018/03/23,2.6461033279841E+14
2018/03/24,2.6397965652247E+14
2018/03/25,2.6381619315706E+14
2018/03/26,2.6547680126657E+14
2018/03/27,2.6540704826473E+14
2018/03/28,2.6531608925776E+14
2018/03/29,2.6405042332983E+14
2018/03/30,2.6366158751698E+14
2018/03/31,2.6241957931452E+14
2018/04/01,2.6139657212758E+14
2018/04/02,2.6056844872732E+14
2018/04/03,2.586596578901E+14
2018/04/04,2.5773094691312E+14
2018/04/05,2.5747971023517E+14
2018/04/06,2.5892145843448E+14
2018/04/07,2.5920937849372E+14
2018/04/08,2.5901663484057E+14
2018/04/09,2.5679774595748E+14
2018/04/10,2.5651628485768E+14
2018/04/11,2.5554516802949E+14
2018/04/12,2.5432877551499E+14
2018/04/13,2.5399451795832E+14
2018/04/14,2.5407016977353E+14
2018/04/15,2.5430445718238E+14
2018/04/16,2.5487479852312E+14
2018/04/17,2.5514408334047E+14
2018/04/18,2.5381353818115E+14
2018/04/19,2.5443623941187E+14
2018/04/20,2.5333742762056E+14
2018/04/21,2.5479835152811E+14
2018/04/22,2.5529192904353E+14
2018/04/23,2.5676877943854E+14
2018/04/24,2.5677372573264E+14
2018/04/25,2.5733704937442E+14
2018/04/26,2.5998165247261E+14
2018/04/27,2.5986891900467E+14
2018/04/28,2.5857287650995E+14
2018/04/29,2.6032256221777E+14
2018/04/30,2.6138347959296E+14
2018/05/01,2.6040408225769E+14
2018/05/02,2.6076909740911E+14
2018/05/03,2.6123684477112E+14
2018/05/04,2.6261246513412E+14
2018/05/05,2.647881681185E+14
2018/05/06,2.665043117917E+14
2018/05/07,2.6945850965698E+14
2018/05/08,2.7127241177704E+14
2018/05/09,2.7157590851522E+14
2018/05/10,2.7157631506947E+14
2018/05/11,2.7205092265473E+14
2018/05/12,2.7375483331628E+14
2018/05/13,2.750269604876E+14
2018/05/14,2.7468516528667E+14
2018/05/15,2.7358447486767E+14
2018/05/16,2.7272529485864E+14
2018/05/17,2.7258249006494E+14
2018/05/18,2.7182813826776E+14
2018/05/19,2.7148949764342E+14
2018/05/20,2.7237201073436E+14
2018/05/21,2.7396229122258E+14
2018/05/22,2.7455931838744E+14
2018/05/23,2.7476831048434E+14
2018/05/24,2.7234532054202E+14
2018/05/25,2.7073729251052E+14
2018/05/26,2.7036420560354E+14
2018/05/27,2.6842766257954E+14
2018/05/28,2.680589053617E+14
2018/05/29,2.6778537209681E+14
2018/05/30,2.6720631219831E+14
2018/05/31,2.6851376912296E+14
2018/06/01,2.6676935013158E+14
2018/06/02,2.6694617768232E+14
2018/06/03,2.6673403941390E+14
2018/06/04,2.6677363567562E+14
2018/06/05,2.6667602726821E+14
2018/06/06,2.6624131814079E+14
2018/06/07,2.6645011911087E+14
2018/06/08,2.6716348288652E+14
2018/06/09,2.7044666123474E+14
2018/06/10,2.7065489238663E+14
2018/06/11,2.7186971959318E+14
2018/06/12,2.7376194124128E+14
2018/06/13,2.7335870977419E+14
2018/06/14,2.7265439971375E+14
2018/06/15,2.7167129212178E+14
2018/06/16,2.7136178685269E+14
2018/06/17,2.7082340680621E+14
2018/06/18,2.7283735078686E+14
2018/06/19,2.7529708271604E+14
2018/06/20,2.7675913947363E+14
2018/06/21,2.7882114641582E+14
2018/06/22,2.8087340576303E+14
2018/06/23,2.813733228926E+14
2018/06/24,2.818237311262E+14
2018/06/25,2.8210786487901E+14
2018/06/26,2.8163519766854E+14
2018/06/27,2.832551119642E+14
2018/06/28,2.8236944655965E+14
2018/06/29,2.8104301411026E+14
2018/06/30,282624679807772
2018/07/01,2.810758152753E+14
2018/07/02,2.8092177873583E+14
2018/07/03,2.8191420021052E+14
2018/07/04,2.8211748085864E+14
2018/07/05,2.8484063199114E+14
2018/07/06,2.859203880945E+14
2018/07/07,2.8746923376725E+14
2018/07/08,2.8747339058718E+14
2018/07/09,2.8903198536425E+14
2018/07/10,288361154336859
2018/07/11,2.8572493874714E+14
2018/07/12,2.840688561702E+14
2018/07/13,2.8213451695154E+14
2018/07/14,2.8065951037283E+14
2018/07/15,2.8004971434397E+14
2018/07/16,2.7969078988802E+14
2018/07/17,2.8129315851497E+14
2018/07/18,2.8226648370263E+14
2018/07/19,2.821798480168E+14
2018/07/20,2.809301373115E+14
2018/07/21,2.7701438833785E+14
2018/07/22,2.7670791005691E+14
2018/07/23,2.7885936683261E+14
2018/07/24,2.7956294230425E+14
2018/07/25,2.822415284099E+14
2018/07/26,2.8409561377544E+14
2018/07/27,2.8558920557308E+14
2018/07/28,2.8703183425656E+14
2018/07/29,2.8796599604369E+14
2018/07/30,2.8836909444306E+14
2018/07/31,2.8902414831542E+14
2018/08/01,2.8860997059095E+14
2018/08/02,2.8969286028797E+14
2018/08/03,2.8882591012088E+14
2018/08/04,2.898128247322E+14
2018/08/05,2.9066653805181E+14
2018/08/06,2.9147017262883E+14
2018/08/07,2.9178187005131E+14
2018/08/08,2.9278969540302E+14
2018/08/09,2.9374374556719E+14
2018/08/10,2.9364516021133E+14
2018/08/11,2.9362466032524E+14
2018/08/12,2.9158628787976E+14
