Date,mediantransactionvalue90varUSD
2017/08/24,3475
2017/08/25,3480
2017/08/26,3491
2017/08/27,3512
2017/08/28,3507
2017/08/29,3197
2017/08/30,3181
2017/08/31,3181
2017/09/01,3178
2017/09/02,3182
2017/09/03,3166
2017/09/04,3156
2017/09/05,3162
2017/09/06,3177
2017/09/07,3193
2017/09/08,3172
2017/09/09,3136
2017/09/10,2795
2017/09/11,2716
2017/09/12,2665
2017/09/13,2576
2017/09/14,2564
2017/09/15,2549
2017/09/16,2542
2017/09/17,2541
2017/09/18,1409
2017/09/19,422.907
2017/09/20,342.178
2017/09/21,299.585
2017/09/22,252.85
2017/09/23,245.243
2017/09/24,134.018
2017/09/25,129.846
2017/09/26,129.323
2017/09/27,124.582
2017/09/28,117.155
2017/09/29,114.036
2017/09/30,117.38
2017/10/01,119.057
2017/10/02,119.591
2017/10/03,120.892
2017/10/04,121.633
2017/10/05,115.08
2017/10/06,116.87
2017/10/07,118.326
2017/10/08,119.707
2017/10/09,122.884
2017/10/10,124.365
2017/10/11,127.097
2017/10/12,131.086
2017/10/13,130.255
2017/10/14,130.849
2017/10/15,131.877
2017/10/16,138.964
2017/10/17,146.09
2017/10/18,153.127
2017/10/19,160.041
2017/10/20,166.813
2017/10/21,173.429
2017/10/22,179.809
2017/10/23,185.053
2017/10/24,190.947
2017/10/25,196.021
2017/10/26,201.803
2017/10/27,205.947
2017/10/28,211.434
2017/10/29,216.162
2017/10/30,215.919
2017/10/31,215.388
2017/11/01,219.157
2017/11/02,222.971
2017/11/03,225.986
2017/11/04,229.719
2017/11/05,230.741
2017/11/06,232.976
2017/11/07,221.399
2017/11/08,222.102
2017/11/09,222.892
2017/11/10,222.347
2017/11/11,222.93
2017/11/12,223.526
2017/11/13,214.518
2017/11/14,206.983
2017/11/15,202.777
2017/11/16,182.99
2017/11/17,182.962
2017/11/18,182.199
2017/11/19,177.067
2017/11/20,176.663
2017/11/21,172.159
2017/11/22,168.138
2017/11/23,163.638
2017/11/24,163.938
2017/11/25,165.186
2017/11/26,161.532
2017/11/27,156.684
2017/11/28,151.264
2017/11/29,124.826
2017/11/30,118.216
2017/12/01,111.978
2017/12/02,106.777
2017/12/03,101.876
2017/12/04,99.771
2017/12/05,102.032
2017/12/06,193.565
2017/12/07,199.142
2017/12/08,199.483
2017/12/09,199.461
2017/12/10,196.481
2017/12/11,193.236
2017/12/12,195.866
2017/12/13,213.113
2017/12/14,257.288
2017/12/15,284.404
2017/12/16,295.911
2017/12/17,308.849
2017/12/18,343.836
2017/12/19,421.844
2017/12/20,648.418
2017/12/21,873.782
2017/12/22,1133
2017/12/23,1169
2017/12/24,1189
2017/12/25,1201
2017/12/26,1229
2017/12/27,1271
2017/12/28,1302
2017/12/29,1489
2017/12/30,1911
2017/12/31,1942
2018/01/01,1962
2018/01/02,2095
2018/01/03,2678
2018/01/04,6011
2018/01/05,7451
2018/01/06,7871
2018/01/07,8162
2018/01/08,8587
2018/01/09,9527
2018/01/10,10539
2018/01/11,11188
2018/01/12,11340
2018/01/13,11366
2018/01/14,11348
2018/01/15,11696
2018/01/16,12392
2018/01/17,12986
2018/01/18,13204
2018/01/19,13137
2018/01/20,13069
2018/01/21,13170
2018/01/22,13096
2018/01/23,13014
2018/01/24,12928
2018/01/25,12854
2018/01/26,12771
2018/01/27,12680
2018/01/28,12591
2018/01/29,12503
2018/01/30,12409
2018/01/31,12313
2018/02/01,12325
2018/02/02,12233
2018/02/03,12132
2018/02/04,12045
2018/02/05,11938
2018/02/06,11833
2018/02/07,11736
2018/02/08,11676
2018/02/09,11602
2018/02/10,11592
2018/02/11,11593
2018/02/12,11583
2018/02/13,11572
2018/02/14,11498
2018/02/15,11444
2018/02/16,11387
2018/02/17,11384
2018/02/18,11348
2018/02/19,11370
2018/02/20,11405
2018/02/21,11431
2018/02/22,11461
2018/02/23,11452
2018/02/24,11461
2018/02/25,11509
2018/02/26,11539
2018/02/27,11589
2018/02/28,11599
2018/03/01,11609
2018/03/02,11635
2018/03/03,11657
2018/03/04,11706
2018/03/05,11745
2018/03/06,11838
2018/03/07,11831
2018/03/08,11862
2018/03/09,11863
2018/03/10,11876
2018/03/11,11909
2018/03/12,11964
2018/03/13,12054
2018/03/14,12148
2018/03/15,12234
2018/03/16,12312
2018/03/17,12392
2018/03/18,12492
2018/03/19,12590
2018/03/20,12646
2018/03/21,12694
2018/03/22,12705
2018/03/23,12785
2018/03/24,12843
2018/03/25,12916
2018/03/26,12992
2018/03/27,13071
2018/03/28,13148
2018/03/29,13157
2018/03/30,13013
2018/03/31,13087
2018/04/01,13160
2018/04/02,13189
2018/04/03,12875
2018/04/04,10014
2018/04/05,8807
2018/04/06,8495
2018/04/07,8272
2018/04/08,7903
2018/04/09,6982
2018/04/10,5923
2018/04/11,5211
2018/04/12,5001
2018/04/13,4928
2018/04/14,4877
2018/04/15,4358
2018/04/16,3393
2018/04/17,2489
2018/04/18,2005
2018/04/19,1945
2018/04/20,1943
2018/04/21,1571
2018/04/22,1488
2018/04/23,1431
2018/04/24,1380
2018/04/25,1373
2018/04/26,1279
2018/04/27,1228
2018/04/28,1199
2018/04/29,1085
2018/04/30,981.383
2018/05/01,881.552
2018/05/02,494.231
2018/05/03,316.591
2018/05/04,357.093
2018/05/05,337.95
2018/05/06,287.442
2018/05/07,240.423
2018/05/08,204.241
2018/05/09,192.698
2018/05/10,179.725
2018/05/11,173.499
2018/05/12,173.824
2018/05/13,173.244
2018/05/14,170.019
2018/05/15,153.669
2018/05/16,134.392
2018/05/17,125.741
2018/05/18,125.617
2018/05/19,123.815
2018/05/20,123.817
2018/05/21,123.904
2018/05/22,123.935
2018/05/23,123.925
2018/05/24,123.921
2018/05/25,123.921
2018/05/26,123.946
2018/05/27,123.781
2018/05/28,123.54
2018/05/29,121.221
2018/05/30,120.831
2018/05/31,120.836
2018/06/01,120.829
2018/06/02,120.861
2018/06/03,120.822
2018/06/04,120.111
2018/06/05,103.842
2018/06/06,103.685
2018/06/07,102.29
2018/06/08,102.186
2018/06/09,102.186
2018/06/10,102.217
2018/06/11,102.227
2018/06/12,102.034
2018/06/13,101.938
2018/06/14,101.945
2018/06/15,101.953
2018/06/16,101.963
2018/06/17,101.981
2018/06/18,101.991
2018/06/19,102.011
2018/06/20,101.897
2018/06/21,101.795
2018/06/22,100.347
2018/06/23,100.362
2018/06/24,100.251
2018/06/25,100.21
2018/06/26,100.179
2018/06/27,99.361
2018/06/28,99.303
2018/06/29,99.309
2018/06/30,99.318
2018/07/01,99.327
2018/07/02,102.724
2018/07/03,102.725
2018/07/04,106.239
2018/07/05,106.266
2018/07/06,107.681
2018/07/07,107.654
2018/07/08,107.657
2018/07/09,107.675
2018/07/10,107.677
2018/07/11,107.681
2018/07/12,107.689
2018/07/13,107.689
2018/07/14,107.676
2018/07/15,107.685
2018/07/16,107.686
2018/07/17,107.687
2018/07/18,107.687
2018/07/19,107.687
2018/07/20,107.69
2018/07/21,107.693
2018/07/22,107.706
2018/07/23,107.712
2018/07/24,107.715
2018/07/25,107.715
2018/07/26,107.715
2018/07/27,107.715
2018/07/28,107.715
2018/07/29,107.734
2018/07/30,107.745
2018/07/31,107.764
2018/08/01,107.791
2018/08/02,9.953
2018/08/03,9.96
2018/08/04,9.944
2018/08/05,9.947
2018/08/06,9.948
2018/08/07,9.971
2018/08/08,15.075
2018/08/09,18.223
2018/08/10,18.661
2018/08/11,18.663
2018/08/12,18.675
2018/08/13,18.684
2018/08/14,18.69
2018/08/15,18.7
2018/08/16,18.713
2018/08/17,18.994
2018/08/18,18.994
2018/08/19,19.004
2018/08/20,19.004
2018/08/21,19.013
2018/08/22,19.023
2018/08/23,19.021
2018/08/24,19.016
2018/08/25,19.014
2018/08/26,19.026
2018/08/27,19.026
2018/08/28,19.03
2018/08/29,19.043
2018/08/30,19.049
2018/08/31,19.043
2018/09/01,19.043
2018/09/02,19.046
2018/09/03,19.044
2018/09/04,19.041
2018/09/05,19.031
2018/09/06,19.012
2018/09/07,19.008
2018/09/08,19.008
2018/09/09,19.01
2018/09/10,19.002
2018/09/11,18.998
2018/09/12,18.999
2018/09/13,18.991
2018/09/14,18.982
2018/09/15,18.98
2018/09/16,18.977
2018/09/17,18.975
2018/09/18,18.969
2018/09/19,18.951
2018/09/20,18.932
2018/09/21,18.931
2018/09/22,18.915
2018/09/23,18.906
2018/09/24,18.883
2018/09/25,18.866
2018/09/26,18.851
2018/09/27,18.829
2018/09/28,18.804
2018/09/29,18.778
2018/09/30,15.41
2018/10/01,15.39
2018/10/02,11.737
2018/10/03,11.662
2018/10/04,10.027
2018/10/05,9.997
2018/10/06,10
2018/10/07,10
2018/10/08,9.999
2018/10/09,9.999
2018/10/10,9.997
2018/10/11,9.996
