Date,activeaddresses30trx
2017/08/12,0.344
2017/08/13,0.358
2017/08/14,0.384
2017/08/15,0.418
2017/08/16,0.457
2017/08/17,0.502
2017/08/18,0.552
2017/08/19,0.596
2017/08/20,0.63
2017/08/21,0.663
2017/08/22,0.689
2017/08/23,0.715
2017/08/24,0.734
2017/08/25,0.75
2017/08/26,0.756
2017/08/27,0.754
2017/08/28,0.751
2017/08/29,0.752
2017/08/30,0.756
2017/08/31,0.763
2017/09/01,0.771
2017/09/02,0.772
2017/09/03,0.766
2017/09/04,0.767
2017/09/05,0.772
2017/09/06,0.784
2017/09/07,0.795
2017/09/08,0.805
2017/09/09,0.81
2017/09/10,0.805
2017/09/11,0.797
2017/09/12,0.791
2017/09/13,0.781
2017/09/14,0.773
2017/09/15,0.769
2017/09/16,0.76
2017/09/17,0.741
2017/09/18,0.722
2017/09/19,0.699
2017/09/20,0.673
2017/09/21,0.643
2017/09/22,0.606
2017/09/23,0.563
2017/09/24,0.517
2017/09/25,0.472
2017/09/26,0.426
2017/09/27,0.381
2017/09/28,0.34
2017/09/29,0.301
2017/09/30,0.263
2017/10/01,0.223
2017/10/02,0.185
2017/10/03,0.151
2017/10/04,0.118
2017/10/05,0.086
2017/10/06,0.056
2017/10/07,0.026
2017/10/08,-0.003
2017/10/09,-0.03
2017/10/10,-0.05
2017/10/11,-0.066
2017/10/12,-0.077
2017/10/13,-0.082
2017/10/14,-0.086
2017/10/15,-0.09
2017/10/16,-0.094
2017/10/17,-0.092
2017/10/18,-0.086
2017/10/19,-0.08
2017/10/20,-0.071
2017/10/21,-0.06
2017/10/22,-0.046
2017/10/23,-0.03
2017/10/24,-0.013
2017/10/25,0.003
2017/10/26,0.018
2017/10/27,0.032
2017/10/28,0.017
2017/10/29,-0.023
2017/10/30,-0.082
2017/10/31,-0.124
2017/11/01,-0.148
2017/11/02,-0.155
2017/11/03,-0.152
2017/11/04,-0.149
2017/11/05,-0.146
2017/11/06,-0.139
2017/11/07,-0.127
2017/11/08,-0.109
2017/11/09,-0.085
2017/11/10,-0.058
2017/11/11,-0.032
2017/11/12,-0.003
2017/11/13,0.026
