Date,size90roc
2018/07/12,0.483
2018/07/13,14.573
2018/07/14,4.875
2018/07/15,-10.071
2018/07/16,5.081
2018/07/17,4.934
2018/07/18,-6.41
2018/07/19,-10.075
2018/07/20,-2.041
2018/07/21,-16.924
2018/07/22,-14.224
2018/07/23,-9.904
2018/07/24,-3.649
2018/07/25,-2.211
2018/07/26,-2.554
2018/07/27,-7.284
2018/07/28,-20.557
2018/07/29,-15.517
2018/07/30,-3.124
2018/07/31,-6.662
2018/08/01,-6.115
2018/08/02,-11.396
2018/08/03,-7.089
2018/08/04,-4.982
2018/08/05,-3.821
2018/08/06,-2.273
2018/08/07,-19.202
2018/08/08,-39.205
2018/08/09,-38.12
2018/08/10,-21.708
2018/08/11,-13.756
2018/08/12,-23.821
2018/08/13,-11.448
2018/08/14,-11.646
2018/08/15,-19.682
2018/08/16,-9.393
2018/08/17,-16.131
2018/08/18,-5.248
2018/08/19,-13.936
2018/08/20,-0.76
2018/08/21,-2.759
2018/08/22,-10.347
2018/08/23,-2.496
2018/08/24,-0.842
2018/08/25,6.127
2018/08/26,-4.804
2018/08/27,-1.841
2018/08/28,1.868
2018/08/29,-10.511
2018/08/30,-5.82
2018/08/31,-10.15
2018/09/01,-5.301
2018/09/02,-12.735
2018/09/03,-3.261
2018/09/04,-5.287
2018/09/05,4.224
2018/09/06,-4.22
2018/09/07,3.929
2018/09/08,2.64
2018/09/09,-9.611
2018/09/10,-0.662
2018/09/11,-12.304
2018/09/12,-0.066
2018/09/13,6.319
2018/09/14,-0.165
2018/09/15,29.248
2018/09/16,23.153
2018/09/17,3.677
2018/09/18,2.303
2018/09/19,-14.885
2018/09/20,-1.047
2018/09/21,27.453
2018/09/22,19.328
2018/09/23,2.111
2018/09/24,20.231
2018/09/25,14.774
2018/09/26,24.312
2018/09/27,26.956
2018/09/28,27.106
2018/09/29,-9.209
2018/09/30,21.506
2018/10/01,11.55
2018/10/02,27.446
2018/10/03,-0.322
2018/10/04,17.864
2018/10/05,5.781
2018/10/06,-21.266
2018/10/07,-31.125
2018/10/08,-27.289
2018/10/09,-17.465
2018/10/10,-20.583
2018/10/11,-12.634
2018/10/12,3.16
2018/10/13,-7.267
2018/10/14,-34.953
2018/10/15,-25.453
2018/10/16,-25.196
2018/10/17,-25.127
2018/10/18,-16.301
2018/10/19,-3.258
2018/10/20,-24.243
2018/10/21,-30.132
2018/10/22,-19.222
2018/10/23,-27.079
2018/10/24,-12.071
2018/10/25,-3.904
2018/10/26,2.697
2018/10/27,-30.446
2018/10/28,-34.698
2018/10/29,-17.725
2018/10/30,-22.825
2018/10/31,-27.375
2018/11/01,-19.241
2018/11/02,-19.302
2018/11/03,-28.839
2018/11/04,-31.861
2018/11/05,-11.319
2018/11/06,16.177
2018/11/07,14.492
2018/11/08,-1.165
2018/11/09,-13.88
2018/11/10,-17.105
2018/11/11,-22.135
2018/11/12,-15.747
2018/11/13,-10.44
2018/11/14,-15.66
2018/11/15,-13.979
2018/11/16,-24.037
2018/11/17,-29.582
2018/11/18,-41.59
2018/11/19,-24.742
2018/11/20,-13.473
2018/11/21,-26.144
2018/11/22,-22.17
2018/11/23,-29.183
2018/11/24,-35.439
2018/11/25,-33.596
2018/11/26,-33.584
2018/11/27,-27.057
2018/11/28,-15.934
2018/11/29,-19.457
2018/11/30,-21.5
2018/12/01,-29.482
2018/12/02,-38.882
2018/12/03,-21.939
2018/12/04,-29.281
2018/12/05,-19.233
2018/12/06,-23.686
2018/12/07,-26.994
2018/12/08,-21.682
2018/12/09,-28.266
2018/12/10,-18.465
2018/12/11,-26.559
2018/12/12,-30.646
2018/12/13,-32.947
2018/12/14,-27.638
2018/12/15,-38.213
2018/12/16,-38.737
2018/12/17,-27.84
2018/12/18,-1.761
2018/12/19,-19.035
2018/12/20,-25.361
2018/12/21,-21.419
2018/12/22,-35.51
2018/12/23,-39.72
2018/12/24,-32.476
2018/12/25,-44.677
2018/12/26,-37.262
2018/12/27,-37.43
2018/12/28,-12.324
2018/12/29,-29.055
2018/12/30,-40.858
2018/12/31,-31.543
2019/01/01,-36.208
2019/01/02,-19.99
2019/01/03,-7.213
2019/01/04,7.169
2019/01/05,12.657
2019/01/06,-6.93
2019/01/07,-0.224
2019/01/08,6.222
2019/01/09,-1.655
2019/01/10,-5.203
2019/01/11,7.878
