Date,difficulty14rsi
2018/09/08,41.873
2018/09/09,30.939
2018/09/10,32.243
2018/09/11,30.937
2018/09/12,27.657
2018/09/13,24.096
2018/09/14,34.267
2018/09/15,34.668
2018/09/16,33.703
2018/09/17,34.905
2018/09/18,39.249
2018/09/19,38.66
2018/09/20,39.36
2018/09/21,34.686
2018/09/22,50.872
2018/09/23,48.597
2018/09/24,49.898
2018/09/25,46.497
2018/09/26,51.646
2018/09/27,51.049
2018/09/28,51.821
2018/09/29,49.922
2018/09/30,49.373
2018/10/01,47.417
2018/10/02,44.615
2018/10/03,46.299
2018/10/04,50.393
2018/10/05,52.075
2018/10/06,49.201
2018/10/07,51.861
2018/10/08,55.848
2018/10/09,52.955
2018/10/10,53.601
2018/10/11,44.655
2018/10/12,46.877
2018/10/13,42.588
2018/10/14,45.778
2018/10/15,45.188
2018/10/16,44.052
2018/10/17,42.228
2018/10/18,49.107
2018/10/19,46.135
2018/10/20,40.002
2018/10/21,37.269
2018/10/22,36.013
2018/10/23,34.659
2018/10/24,42.195
2018/10/25,39.595
2018/10/26,34.373
2018/10/27,43.213
2018/10/28,40.312
2018/10/29,36.534
2018/10/30,42.701
2018/10/31,43.805
2018/11/01,39.512
2018/11/02,35.008
2018/11/03,34.733
2018/11/04,39.29
2018/11/05,35.67
2018/11/06,38.97
2018/11/07,38.036
2018/11/08,45.821
2018/11/09,40.393
2018/11/10,40.061
2018/11/11,49.702
2018/11/12,43.017
2018/11/13,45.623
2018/11/14,48.724
2018/11/15,49.441
2018/11/16,51.451
2018/11/17,44.084
2018/11/18,42.162
2018/11/19,42.71
2018/11/20,36.813
2018/11/21,28.666
2018/11/22,27.096
2018/11/23,28.107
2018/11/24,27.71
2018/11/25,25.17
2018/11/26,24.573
2018/11/27,17.936
2018/11/28,15.073
2018/11/29,17.424
2018/11/30,18.252
2018/12/01,28.507
2018/12/02,25.107
2018/12/03,24.973
2018/12/04,29.945
2018/12/05,27.043
2018/12/06,31.717
2018/12/07,28.094
2018/12/08,26.107
2018/12/09,25.351
2018/12/10,32.714
2018/12/11,32.274
2018/12/12,28.116
2018/12/13,26.559
2018/12/14,26.459
2018/12/15,27.146
2018/12/16,27.186
2018/12/17,29.672
2018/12/18,28.477
2018/12/19,33.147
2018/12/20,32.282
2018/12/21,35.322
2018/12/22,35.892
2018/12/23,40.564
2018/12/24,50.442
2018/12/25,56.822
2018/12/26,62.059
2018/12/27,59.029
2018/12/28,54.16
2018/12/29,52.837
2018/12/30,57.434
2018/12/31,58.329
2019/01/01,47.99
2019/01/02,50.327
2019/01/03,62.055
2019/01/04,62.109
