Date,size3rsi
2018/01/27,25.609
2018/01/28,47.333
2018/01/29,58.318
2018/01/30,57.91
2018/01/31,50.666
2018/02/01,73.041
2018/02/02,68.375
2018/02/03,20.069
2018/02/04,23.527
2018/02/05,52.364
2018/02/06,63.361
2018/02/07,33.426
2018/02/08,16.39
2018/02/09,45.416
2018/02/10,45.78
2018/02/11,31.757
2018/02/12,53.959
2018/02/13,31.527
2018/02/14,54.527
2018/02/15,53.694
2018/02/16,34.074
2018/02/17,58.572
2018/02/18,37.891
2018/02/19,58.404
2018/02/20,81.073
2018/02/21,60.168
2018/02/22,38.925
2018/02/23,29.401
2018/02/24,40.252
2018/02/25,30.018
2018/02/26,56.059
2018/02/27,41.405
2018/02/28,56.876
2018/03/01,35.883
2018/03/02,69.797
2018/03/03,44.204
2018/03/04,38.39
2018/03/05,67.948
2018/03/06,49.13
2018/03/07,66.74
2018/03/08,42.197
2018/03/09,29.051
2018/03/10,17.715
2018/03/11,16.155
2018/03/12,67.969
2018/03/13,55.76
2018/03/14,42.45
2018/03/15,41.563
2018/03/16,30.857
2018/03/17,12.43
2018/03/18,59.99
2018/03/19,64.544
2018/03/20,52.877
2018/03/21,62.767
2018/03/22,24.75
2018/03/23,42.945
2018/03/24,23.271
2018/03/25,15.575
2018/03/26,55.027
2018/03/27,47.853
2018/03/28,48.73
2018/03/29,53.647
2018/03/30,71.155
2018/03/31,38.353
2018/04/01,24.807
2018/04/02,48.421
2018/04/03,75.003
2018/04/04,65.749
2018/04/05,75.142
2018/04/06,40.266
2018/04/07,22.607
2018/04/08,47.561
2018/04/09,64.62
2018/04/10,47.303
2018/04/11,60.979
2018/04/12,82.022
2018/04/13,79.482
2018/04/14,34.889
2018/04/15,43.266
2018/04/16,67.972
2018/04/17,78.326
2018/04/18,79.459
2018/04/19,90.784
2018/04/20,93.21
2018/04/21,36.166
2018/04/22,49.854
2018/04/23,60.447
2018/04/24,71.12
2018/04/25,62.613
2018/04/26,53.389
2018/04/27,41.265
