Date,sentinusd14momUSD
2018/10/01,-125223952
2018/10/02,-118936164
2018/10/03,27811630
2018/10/04,-40775652
2018/10/05,-339030868
2018/10/06,-133152221
2018/10/07,-118569752
2018/10/08,-76101985
2018/10/09,-78498796
2018/10/10,-60905688
2018/10/11,260920896
2018/10/12,14180491
2018/10/13,-85520222
2018/10/14,-82083877
2018/10/15,412998124
2018/10/16,222976359
2018/10/17,53501227
2018/10/18,130739843
2018/10/19,10732957
2018/10/20,51511053
2018/10/21,189550738
2018/10/22,-42576321
2018/10/23,23914341
2018/10/24,383951
2018/10/25,-177020813
2018/10/26,-45262708
2018/10/27,-35319342
2018/10/28,-25074828
2018/10/29,-303611277
2018/10/30,-145829338
2018/10/31,-62197369
2018/11/01,-166876629
2018/11/02,36667099
2018/11/03,-77109584
2018/11/04,-96873080
2018/11/05,165073885
2018/11/06,49237190
2018/11/07,131980057
2018/11/08,-76402367
2018/11/09,-589173
2018/11/10,33227134
2018/11/11,29755673
2018/11/12,-2855416
2018/11/13,29511496
2018/11/14,247102146
2018/11/15,244407150
2018/11/16,21744360
2018/11/17,25230184
2018/11/18,25028211
2018/11/19,282780967
2018/11/20,391887559
2018/11/21,46352130
2018/11/22,-19430539
2018/11/23,25722438
2018/11/24,43630161
2018/11/25,201114436
2018/11/26,-8272804
2018/11/27,-52417832
2018/11/28,-194972201
2018/11/29,-133306761
2018/11/30,1607385975
2018/12/01,1561643863
2018/12/02,-169930610
2018/12/03,-520577769
2018/12/04,-538250798
2018/12/05,-204380530
2018/12/06,29014315
2018/12/07,54168359
2018/12/08,-31788037
2018/12/09,-215234768
2018/12/10,-154723507
2018/12/11,-73675716
2018/12/12,-183577127
2018/12/13,-163869809
2018/12/14,-1774517879
2018/12/15,-1651766648
2018/12/16,-11716591
2018/12/17,57209882
2018/12/18,56936390
2018/12/19,143574654
2018/12/20,100154146
2018/12/21,84860049
2018/12/22,-11678448
2018/12/23,162918526
2018/12/24,346292754
2018/12/25,82921606
2018/12/26,70161289
2018/12/27,85137037
2018/12/28,139192584
2018/12/29,371742602
2018/12/30,69986004
2018/12/31,-24782083
2019/01/01,-81528582
2019/01/02,-43679903
2019/01/03,-101473785
2019/01/04,69267393
2019/01/05,428221987
2019/01/06,-11124033
2019/01/07,-172027071
2019/01/08,39661253
2019/01/09,51668835
2019/01/10,78050485
