Date,price7wmaUSD
2018/11/09,212.839
2018/11/10,213.349
2018/11/11,213.212
2018/11/12,212.881
2018/11/13,211.906
2018/11/14,208.087
2018/11/15,200.291
2018/11/16,193.699
2018/11/17,187.392
2018/11/18,182.996
2018/11/19,175.528
2018/11/20,164.855
2018/11/21,155.339
2018/11/22,147.948
2018/11/23,139.556
2018/11/24,133.005
2018/11/25,125.247
2018/11/26,120.482
2018/11/27,115.927
2018/11/28,115.139
2018/11/29,115.392
2018/11/30,115.24
2018/12/01,115.594
2018/12/02,116.452
2018/12/03,115.629
2018/12/04,114.556
2018/12/05,112.503
2018/12/06,108.929
2018/12/07,103.015
2018/12/08,99.009
2018/12/09,96.584
2018/12/10,94.638
2018/12/11,92.685
2018/12/12,91.646
2018/12/13,90.975
2018/12/14,89.743
2018/12/15,88.212
2018/12/16,87.591
2018/12/17,88.01
2018/12/18,89.804
2018/12/19,93.63
2018/12/20,98.121
2018/12/21,103.197
2018/12/22,106.734
2018/12/23,113.806
2018/12/24,123.646
2018/12/25,127.132
2018/12/26,129.821
2018/12/27,129.824
2018/12/28,129.082
2018/12/29,131.682
2018/12/30,133.146
2018/12/31,133.974
2019/01/01,134.995
2019/01/02,139.086
2019/01/03,143.226
2019/01/04,146.572
2019/01/05,150.438
2019/01/06,152.766
2019/01/07,154.208
2019/01/08,154.103
2019/01/09,153.743
2019/01/10,149.436
2019/01/11,143.328
2019/01/12,137.942
2019/01/13,132.606
2019/01/14,128.425
2019/01/15,126.746
2019/01/16,124.755
2019/01/17,123.627
2019/01/18,122.969
2019/01/19,122.984
2019/01/20,122.561
2019/01/21,121.153
2019/01/22,120.042
2019/01/23,119.434
2019/01/24,118.553
2019/01/25,117.782
2019/01/26,117.268
2019/01/27,116.554
2019/01/28,113.994
2019/01/29,111.453
2019/01/30,109.869
2019/01/31,108.867
2019/02/01,107.821
2019/02/02,107.301
2019/02/03,107.342
2019/02/04,107.361
2019/02/05,107.293
2019/02/06,106.315
2019/02/07,105.769
2019/02/08,106.742
2019/02/09,109.791
2019/02/10,112.317
2019/02/11,115.106
2019/02/12,117.294
2019/02/13,119.459
2019/02/14,120.814
2019/02/15,121.476
2019/02/16,121.963
2019/02/17,123.166
2019/02/18,127.888
2019/02/19,133.354
2019/02/20,137.409
2019/02/21,140.748
2019/02/22,143.664
2019/02/23,146.523
2019/02/24,149.172
2019/02/25,146.978
2019/02/26,144.425
2019/02/27,142.178
2019/02/28,140.3
2019/03/01,138.654
2019/03/02,136.706
2019/03/03,135.195
2019/03/04,132.94
2019/03/05,132.139
2019/03/06,133.089
2019/03/07,134.145
2019/03/08,134.849
2019/03/09,135.603
2019/03/10,135.991
2019/03/11,135.76
2019/03/12,135.15
2019/03/13,134.237
2019/03/14,133.461
2019/03/15,133.618
2019/03/16,135.386
2019/03/17,136.47
2019/03/18,137.295
2019/03/19,137.88
2019/03/20,138.292
2019/03/21,138.323
2019/03/22,137.822
2019/03/23,137.443
2019/03/24,137.047
2019/03/25,136.453
2019/03/26,135.672
2019/03/27,136.046
2019/03/28,136.56
2019/03/29,137.536
2019/03/30,139.016
2019/03/31,139.936
2019/04/01,140.827
2019/04/02,144.214
2019/04/03,151.072
2019/04/04,154.446
2019/04/05,157.732
2019/04/06,160.73
2019/04/07,163.793
2019/04/08,168.703
2019/04/09,171.473
2019/04/10,174.008
2019/04/11,173.294
2019/04/12,171.423
2019/04/13,169.517
2019/04/14,167.596
2019/04/15,166.134
2019/04/16,164.792
2019/04/17,164.658
2019/04/18,166.557
2019/04/19,168.297
2019/04/20,170.036
2019/04/21,170.508
2019/04/22,170.915
2019/04/23,171.812
2019/04/24,170.464
2019/04/25,168.481
2019/04/26,164.853
2019/04/27,162.295
2019/04/28,160.484
2019/04/29,158.566
2019/04/30,157.878
2019/05/01,158.379
2019/05/02,158.892
2019/05/03,160.941
2019/05/04,162.075
2019/05/05,162.668
2019/05/06,164.105
2019/05/07,167.53
2019/05/08,168.628
2019/05/09,169.439
2019/05/10,170.664
2019/05/11,175.079
2019/05/12,179.887
2019/05/13,184.322
2019/05/14,191.038
2019/05/15,203.046
2019/05/16,219.932
2019/05/17,227.948
2019/05/18,233.545
2019/05/19,241.002
2019/05/20,245.272
2019/05/21,248.516
2019/05/22,250.214
2019/05/23,248.03
2019/05/24,248.687
2019/05/25,249.501
2019/05/26,249.947
2019/05/27,254.608
2019/05/28,259.076
2019/05/29,262.575
2019/05/30,267.06
2019/05/31,265.853
2019/06/01,266.968
2019/06/02,267.606
2019/06/03,266.233
2019/06/04,260.653
2019/06/05,255.699
2019/06/06,251.711
2019/06/07,250.008
2019/06/08,248.074
2019/06/09,244.776
2019/06/10,242.809
2019/06/11,242.746
2019/06/12,244.561
2019/06/13,248.21
2019/06/14,250.654
2019/06/15,255.183
2019/06/16,260.288
2019/06/17,264.342
2019/06/18,266.308
2019/06/19,267.368
2019/06/20,268.274
2019/06/21,273.394
2019/06/22,282.251
2019/06/23,290.948
2019/06/24,297.104
