Date,difficulty3roc
2017/08/13,2.468
2017/08/14,5.408
2017/08/15,2.471
2017/08/16,1.341
2017/08/17,0.554
2017/08/18,0.64
2017/08/19,4.804
2017/08/20,3.116
2017/08/21,2.271
2017/08/22,0.476
2017/08/23,2.815
2017/08/24,2.415
2017/08/25,19.412
2017/08/26,19.367
2017/08/27,19.251
2017/08/28,-0.993
2017/08/29,0.186
2017/08/30,2.34
2017/08/31,3.856
2017/09/01,1.337
2017/09/02,0.005
2017/09/03,1.569
2017/09/04,0.465
2017/09/05,-0.01
2017/09/06,-0.786
2017/09/07,0.44
2017/09/08,5.385
2017/09/09,3.978
2017/09/10,1.6
2017/09/11,-1.634
2017/09/12,2.321
2017/09/13,1.495
2017/09/14,0.399
2017/09/15,-0.387
2017/09/16,1.118
2017/09/17,2.968
2017/09/18,-0.61
2017/09/19,1.305
2017/09/20,-0.415
2017/09/21,2.285
2017/09/22,23.415
2017/09/23,24.353
2017/09/24,22.459
2017/09/25,-0.879
2017/09/26,-2.489
2017/09/27,-1.004
2017/09/28,-0.561
2017/09/29,-2.915
2017/09/30,-4.875
2017/10/01,-1.05
2017/10/02,2.076
2017/10/03,2.341
2017/10/04,1.071
2017/10/05,3.76
2017/10/06,2.594
2017/10/07,-1.344
2017/10/08,-1.793
2017/10/09,0.634
2017/10/10,1.961
2017/10/11,2.808
2017/10/12,-0.656
2017/10/13,4.034
2017/10/14,-2.649
2017/10/15,1.743
2017/10/16,-36.578
2017/10/17,-50.967
2017/10/18,-52.317
2017/10/19,-24.034
2017/10/20,1.206
2017/10/21,4.129
2017/10/22,1.341
2017/10/23,0.537
2017/10/24,1.767
2017/10/25,0.292
2017/10/26,-1.292
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,0
2017/10/31,0
2017/11/01,0
2017/11/02,0
2017/11/03,0
2017/11/04,-6.72
2017/11/05,-0.263
2017/11/06,1.003
2017/11/07,0.498
2017/11/08,1.042
2017/11/09,-0.921
2017/11/10,1.23
2017/11/11,-1.155
2017/11/12,4.698
2017/11/13,1.902
2017/11/14,0.766
2017/11/15,-4.234
2017/11/16,-4.094
2017/11/17,-3.143
2017/11/18,-2.431
2017/11/19,0.371
2017/11/20,6.129
2017/11/21,5.881
2017/11/22,4.317
2017/11/23,1.993
2017/11/24,5.294
2017/11/25,6.783
2017/11/26,2.27
2017/11/27,-0.784
2017/11/28,-3.459
2017/11/29,-2.099
2017/11/30,0.36
2017/12/01,2.58
2017/12/02,3.256
2017/12/03,-2.139
2017/12/04,-1.041
2017/12/05,-5.91
2017/12/06,-2.736
2017/12/07,-3.274
2017/12/08,5.103
2017/12/09,5.772
2017/12/10,4.64
2017/12/11,1.47
2017/12/12,0.197
2017/12/13,4.086
2017/12/14,4.162
2017/12/15,10.282
2017/12/16,7.912
2017/12/17,6.909
2017/12/18,3.931
2017/12/19,-0.222
2017/12/20,-2.196
2017/12/21,-2.367
2017/12/22,-0.614
2017/12/23,4.441
2017/12/24,4.657
2017/12/25,7.384
2017/12/26,4.099
2017/12/27,2.27
2017/12/28,3.41
2017/12/29,0.253
