Date,confirmationtime7rsi
2018/04/01,43.101
2018/04/02,35.465
2018/04/03,48.584
2018/04/04,48.221
2018/04/05,41.633
2018/04/06,42.46
2018/04/07,42.838
2018/04/08,41.41
2018/04/09,54.035
2018/04/10,41.233
2018/04/11,57.889
2018/04/12,64.799
2018/04/13,60.263
2018/04/14,61.024
2018/04/15,56.412
2018/04/16,57.599
2018/04/17,70.716
2018/04/18,74.588
2018/04/19,70.493
2018/04/20,79.093
2018/04/21,49.624
2018/04/22,47.369
2018/04/23,61.246
2018/04/24,66.112
2018/04/25,52.779
2018/04/26,47.399
2018/04/27,61.831
2018/04/28,61.913
2018/04/29,47.845
2018/04/30,57.951
2018/05/01,65.519
2018/05/02,55.259
2018/05/03,57.882
2018/05/04,62.044
2018/05/05,49.487
2018/05/06,47.284
2018/05/07,40.512
2018/05/08,51.855
2018/05/09,52.283
2018/05/10,57.508
2018/05/11,48.564
2018/05/12,48.183
2018/05/13,47.318
2018/05/14,63.368
2018/05/15,49.667
2018/05/16,59.102
2018/05/17,51.436
2018/05/18,58.658
2018/05/19,61.921
2018/05/20,55.849
2018/05/21,49.421
2018/05/22,59.81
2018/05/23,51.949
2018/05/24,61.956
2018/05/25,52.028
2018/05/26,42.922
2018/05/27,52.697
2018/05/28,45.234
2018/05/29,51.512
2018/05/30,55.976
2018/05/31,50.906
2018/06/01,53.85
2018/06/02,52.412
2018/06/03,54.463
2018/06/04,45.251
2018/06/05,57.985
2018/06/06,50.789
2018/06/07,49.769
2018/06/08,43.089
2018/06/09,55.241
2018/06/10,49.647
2018/06/11,46.816
2018/06/12,37.939
2018/06/13,33.134
2018/06/14,31.552
2018/06/15,29.422
2018/06/16,20.94
2018/06/17,18.013
2018/06/18,15.765
2018/06/19,46.632
2018/06/20,43.976
2018/06/21,38.134
2018/06/22,46.876
2018/06/23,35.495
2018/06/24,42.027
2018/06/25,64.879
2018/06/26,54.945
2018/06/27,45.543
2018/06/28,53.495
2018/06/29,53.278
2018/06/30,42.766
2018/07/01,46.549
2018/07/02,38.381
2018/07/03,51.416
2018/07/04,48.575
2018/07/05,51.794
2018/07/06,47.493
2018/07/07,50.673
2018/07/08,64.031
2018/07/09,45.625
2018/07/10,52.74
2018/07/11,40.266
2018/07/12,36.225
2018/07/13,40.689
2018/07/14,36.724
2018/07/15,32.546
2018/07/16,54.498
2018/07/17,50.99
2018/07/18,61.262
2018/07/19,57.373
2018/07/20,52.572
2018/07/21,39.434
2018/07/22,41.731
2018/07/23,52.722
2018/07/24,56.866
2018/07/25,48.109
2018/07/26,52.81
2018/07/27,46.929
2018/07/28,39.683
2018/07/29,38.198
2018/07/30,44.428
2018/07/31,50.124
2018/08/01,57.018
2018/08/02,57.847
2018/08/03,48.305
2018/08/04,38.235
2018/08/05,48.441
2018/08/06,49.687
2018/08/07,56.319
2018/08/08,44.654
2018/08/09,48.698
2018/08/10,49.341
2018/08/11,46.144
2018/08/12,62.717
2018/08/13,55.885
2018/08/14,44.024
2018/08/15,42.347
2018/08/16,46.895
2018/08/17,61.408
2018/08/18,53.941
2018/08/19,46.795
2018/08/20,46.492
2018/08/21,41.921
2018/08/22,49.868
2018/08/23,60.724
2018/08/24,45.179
2018/08/25,48.449
2018/08/26,45.151
2018/08/27,46.365
2018/08/28,54.8
2018/08/29,56.305
2018/08/30,51.331
2018/08/31,42.102
2018/09/01,57.363
2018/09/02,35.593
2018/09/03,54.681
2018/09/04,45.491
2018/09/05,47.012
2018/09/06,37.72
2018/09/07,53.551
2018/09/08,50.929
2018/09/09,55.068
2018/09/10,42.981
2018/09/11,43.512
2018/09/12,39.173
2018/09/13,45.373
2018/09/14,38.238
2018/09/15,40.803
2018/09/16,34.038
2018/09/17,40.169
2018/09/18,56.656
2018/09/19,39.325
2018/09/20,51.359
2018/09/21,44.677
2018/09/22,49.677
2018/09/23,45.312
2018/09/24,45.967
2018/09/25,41.574
2018/09/26,41.744
2018/09/27,47.314
2018/09/28,44.732
2018/09/29,45.168
2018/09/30,41.55
2018/10/01,46.545
2018/10/02,32.295
2018/10/03,53.07
2018/10/04,42.681
2018/10/05,50.183
