Date,transactionvalue14varUSD
2017/11/22,2013071
2017/11/23,1840016
2017/11/24,1839657
2017/11/25,2449733
2017/11/26,2746478
2017/11/27,3579697
2017/11/28,5258193
2017/11/29,8855538
2017/11/30,9690207
2017/12/01,9236593
2017/12/02,8439274
2017/12/03,7032248
2017/12/04,6461645
2017/12/05,10124242
2017/12/06,12191644
2017/12/07,15124374
2017/12/08,19383174
2017/12/09,24273260
2017/12/10,28901619
2017/12/11,31928660
2017/12/12,28534424
2017/12/13,22035416
2017/12/14,17492258
2017/12/15,14465030
2017/12/16,9322129
2017/12/17,5848228
2017/12/18,2514659
2017/12/19,2775523
2017/12/20,3704243
2017/12/21,4365920
2017/12/22,4325925
2017/12/23,3702032
2017/12/24,2850205
2017/12/25,1886420
2017/12/26,1873261
2017/12/27,1888581
2017/12/28,1941288
2017/12/29,2194142
2017/12/30,2214783
2017/12/31,2146082
2018/01/01,2062286
2018/01/02,2305875
2018/01/03,2176296
2018/01/04,4302479
2018/01/05,6304950
2018/01/06,6787819
2018/01/07,6279317
2018/01/08,6252738
2018/01/09,7438653
2018/01/10,11407013
2018/01/11,12282501
2018/01/12,11957955
2018/01/13,11694642
2018/01/14,30423794
2018/01/15,26273741
2018/01/16,24869181
2018/01/17,23712643
2018/01/18,24376401
2018/01/19,26647532
2018/01/20,28623703
2018/01/21,30870521
2018/01/22,32339196
2018/01/23,33461416
2018/01/24,31288113
2018/01/25,33209934
2018/01/26,32953240
2018/01/27,33671799
2018/01/28,4231297
2018/01/29,3557922
2018/01/30,2541428
2018/01/31,2148141
2018/02/01,1657905
2018/02/02,1773102
2018/02/03,2034937
2018/02/04,2763228
2018/02/05,3209657
2018/02/06,3466422
2018/02/07,3602489
2018/02/08,4200369
2018/02/09,4195244
2018/02/10,4458049
2018/02/11,4929149
2018/02/12,4750830
2018/02/13,3752742
2018/02/14,2845587
2018/02/15,2312930
2018/02/16,925802
2018/02/17,807705
2018/02/18,832987
2018/02/19,915879
2018/02/20,852950
2018/02/21,762878
2018/02/22,736973
2018/02/23,951396
2018/02/24,1164141
2018/02/25,1666801
2018/02/26,1962484
2018/02/27,1974220
2018/02/28,2240515
2018/03/01,2018064
2018/03/02,1982728
2018/03/03,2071335
2018/03/04,1994821
2018/03/05,1930288
2018/03/06,1673824
2018/03/07,1452370
2018/03/08,420684
2018/03/09,259523
2018/03/10,153683
2018/03/11,170883
2018/03/12,91999
2018/03/13,151242
2018/03/14,151293
2018/03/15,142350
2018/03/16,158151
2018/03/17,165726
2018/03/18,167513
2018/03/19,167467
2018/03/20,150002
2018/03/21,149701
2018/03/22,155621
2018/03/23,151129
2018/03/24,171200
2018/03/25,190062
2018/03/26,190143
2018/03/27,108091
2018/03/28,108947
2018/03/29,112273
2018/03/30,108763
2018/03/31,120028
2018/04/01,118599
2018/04/02,127096
2018/04/03,132393
2018/04/04,140877
2018/04/05,165819
2018/04/06,175835
2018/04/07,197482
2018/04/08,203653
2018/04/09,193406
2018/04/10,142263
2018/04/11,86085
2018/04/12,52108
2018/04/13,60867
2018/04/14,62901
2018/04/15,62471
2018/04/16,63007
2018/04/17,62768
2018/04/18,68773
2018/04/19,64360
2018/04/20,73012
2018/04/21,60855
2018/04/22,54107
2018/04/23,163591
2018/04/24,219968
2018/04/25,238571
2018/04/26,240589
2018/04/27,250207
2018/04/28,215630
2018/04/29,193467
2018/04/30,177518
2018/05/01,149297
2018/05/02,162947
2018/05/03,177709
2018/05/04,172931
2018/05/05,155735
2018/05/06,103823
2018/05/07,134342
2018/05/08,125851
2018/05/09,125354
2018/05/10,117615
2018/05/11,117174
2018/05/12,131003
2018/05/13,167648
2018/05/14,166019
2018/05/15,164011
2018/05/16,166944
2018/05/17,146116
2018/05/18,153910
2018/05/19,190580
2018/05/20,208622
2018/05/21,110774
2018/05/22,106146
2018/05/23,108386
2018/05/24,99290
2018/05/25,92168
2018/05/26,104927
2018/05/27,94367
2018/05/28,82832
2018/05/29,73142
2018/05/30,73281
2018/05/31,73986
2018/06/01,84353
2018/06/02,84635
2018/06/03,106579
2018/06/04,106638
2018/06/05,98196
2018/06/06,83856
2018/06/07,87215
2018/06/08,101238
2018/06/09,108770
2018/06/10,111209
2018/06/11,107175
2018/06/12,127165
2018/06/13,189472
2018/06/14,262290
2018/06/15,292851
2018/06/16,272214
2018/06/17,264239
2018/06/18,283245
2018/06/19,291800
2018/06/20,295718
2018/06/21,301674
2018/06/22,292999
2018/06/23,296730
2018/06/24,295478
2018/06/25,299543
2018/06/26,291040
2018/06/27,226122
2018/06/28,116220
2018/06/29,29144
2018/06/30,36048
2018/07/01,45434
2018/07/02,47182
2018/07/03,52318
2018/07/04,62831
2018/07/05,66621
2018/07/06,71402
2018/07/07,64758
2018/07/08,68674
2018/07/09,68351
2018/07/10,68325
2018/07/11,71533
2018/07/12,72923
2018/07/13,76882
2018/07/14,81464
2018/07/15,78689
2018/07/16,77057
2018/07/17,69977
2018/07/18,56951
2018/07/19,48413
2018/07/20,29017
2018/07/21,33928
2018/07/22,41743
2018/07/23,36914
2018/07/24,33128
2018/07/25,33539
2018/07/26,35815
2018/07/27,38102
2018/07/28,49566
2018/07/29,61677
2018/07/30,58511
2018/07/31,92051
2018/08/01,80055
2018/08/02,78445
2018/08/03,72953
2018/08/04,79636
2018/08/05,86010
2018/08/06,84912
2018/08/07,81740
2018/08/08,100206
2018/08/09,103991
2018/08/10,106538
2018/08/11,98065
2018/08/12,97647
2018/08/13,100676
2018/08/14,62608
2018/08/15,64281
2018/08/16,68782
2018/08/17,67283
2018/08/18,67839
2018/08/19,75491
2018/08/20,77597
2018/08/21,79987
2018/08/22,61776
2018/08/23,57555
2018/08/24,52354
2018/08/25,55705
2018/08/26,57105
2018/08/27,46275
2018/08/28,27219
2018/08/29,19510
2018/08/30,19487
2018/08/31,14692
2018/09/01,15005
2018/09/02,13488
2018/09/03,15600
2018/09/04,55093
2018/09/05,61961
2018/09/06,74248
2018/09/07,76456
2018/09/08,71093
2018/09/09,62508
2018/09/10,61069
2018/09/11,59102
2018/09/12,65509
2018/09/13,62792
2018/09/14,60941
2018/09/15,54673
2018/09/16,46310
2018/09/17,47744
2018/09/18,28551
2018/09/19,28962
2018/09/20,20444
2018/09/21,30558
2018/09/22,30595
2018/09/23,31088
2018/09/24,31772
2018/09/25,31878
2018/09/26,22705
2018/09/27,22930
2018/09/28,22228
2018/09/29,21188
2018/09/30,19313
2018/10/01,21512
2018/10/02,26312
2018/10/03,26488
2018/10/04,27377
2018/10/05,11610
2018/10/06,16329
2018/10/07,19807
2018/10/08,14210
2018/10/09,12775
2018/10/10,10448
2018/10/11,25412
2018/10/12,24620
2018/10/13,26155
2018/10/14,27709
2018/10/15,55517
2018/10/16,55904
2018/10/17,55828
2018/10/18,58017
2018/10/19,57785
2018/10/20,53350
2018/10/21,48489
2018/10/22,50104
2018/10/23,49774
2018/10/24,49989
2018/10/25,40475
2018/10/26,40747
2018/10/27,42042
2018/10/28,43822
2018/10/29,19861
2018/10/30,18097
2018/10/31,17785
2018/11/01,13420
2018/11/02,13895
2018/11/03,15740
2018/11/04,12503
2018/11/05,17051
2018/11/06,17291
2018/11/07,20610
2018/11/08,17352
2018/11/09,17365
2018/11/10,15545
2018/11/11,14406
2018/11/12,14734
2018/11/13,14255
2018/11/14,23899
2018/11/15,30515
2018/11/16,30588
2018/11/17,28917
2018/11/18,28337
2018/11/19,47059
2018/11/20,65075
2018/11/21,65764
2018/11/22,66706
2018/11/23,66157
2018/11/24,63209
2018/11/25,54678
2018/11/26,54640
2018/11/27,57895
2018/11/28,55929
2018/11/29,51895
2018/11/30,496359
2018/12/01,879050
2018/12/02,911008
2018/12/03,938726
2018/12/04,961304
2018/12/05,977098
2018/12/06,975761
2018/12/07,972507
2018/12/08,980494
2018/12/09,999589
2018/12/10,1015251
2018/12/11,1022228
2018/12/12,1036220
2018/12/13,1048425
2018/12/14,591365
2018/12/15,12911
2018/12/16,13691
2018/12/17,14218
2018/12/18,14704
2018/12/19,20101
2018/12/20,25098
2018/12/21,29231
2018/12/22,29044
2018/12/23,31168
2018/12/24,40969
2018/12/25,39579
2018/12/26,37586
2018/12/27,36829
2018/12/28,34230
2018/12/29,32680
2018/12/30,25231
2018/12/31,25177
2019/01/01,26169
2019/01/02,25663
2019/01/03,24388
2019/01/04,33315
2019/01/05,55111
2019/01/06,55157
2019/01/07,51973
2019/01/08,51153
2019/01/09,48777
2019/01/10,48198
2019/01/11,49458
2019/01/12,53129
2019/01/13,54466
2019/01/14,52382
2019/01/15,50822
2019/01/16,51315
2019/01/17,54091
2019/01/18,50676
2019/01/19,25930
2019/01/20,26517
2019/01/21,26974
2019/01/22,28612
2019/01/23,28739
2019/01/24,24981
2019/01/25,12043
2019/01/26,13313
2019/01/27,13343
2019/01/28,9669
2019/01/29,8797
2019/01/30,5904
2019/01/31,5739
2019/02/01,5680
2019/02/02,6418
2019/02/03,6965
2019/02/04,8525
2019/02/05,10105
2019/02/06,10059
2019/02/07,8991
2019/02/08,9556
2019/02/09,9493
2019/02/10,9567
2019/02/11,7781
2019/02/12,7779
2019/02/13,7713
2019/02/14,7098
2019/02/15,7081
2019/02/16,7062
2019/02/17,7457
2019/02/18,17578
2019/02/19,21209
2019/02/20,22115
2019/02/21,20979
2019/02/22,21384
2019/02/23,18914
2019/02/24,24122
2019/02/25,32166
2019/02/26,31375
2019/02/27,31577
2019/02/28,29324
2019/03/01,28067
2019/03/02,24603
2019/03/03,25334
2019/03/04,22480
2019/03/05,20648
2019/03/06,20747
2019/03/07,20984
2019/03/08,20982
2019/03/09,21492
2019/03/10,16715
2019/03/11,7487
2019/03/12,7319
2019/03/13,3927
2019/03/14,3385
2019/03/15,3301
2019/03/16,1985
2019/03/17,1763
2019/03/18,2461
2019/03/19,3378
2019/03/20,4188
2019/03/21,4191
2019/03/22,4429
2019/03/23,4566
2019/03/24,4987
2019/03/25,4805
2019/03/26,4766
2019/03/27,4589
2019/03/28,4631
2019/03/29,4709
2019/03/30,4709
2019/03/31,4846
2019/04/01,4224
2019/04/02,9036
2019/04/03,19029
2019/04/04,19835
2019/04/05,19150
2019/04/06,19302
2019/04/07,17974
2019/04/08,28601
2019/04/09,31659
2019/04/10,29740
2019/04/11,27164
2019/04/12,26698
2019/04/13,30775
2019/04/14,29597
2019/04/15,26751
2019/04/16,27270
2019/04/17,23472
2019/04/18,23424
2019/04/19,23743
2019/04/20,25256
2019/04/21,25658
2019/04/22,14197
2019/04/23,7656
2019/04/24,11034
2019/04/25,12432
2019/04/26,26692
2019/04/27,23876
2019/04/28,22694
2019/04/29,23530
2019/04/30,22716
2019/05/01,21989
2019/05/02,23057
2019/05/03,22616
2019/05/04,21505
2019/05/05,22887
2019/05/06,22371
2019/05/07,26058
2019/05/08,24340
2019/05/09,23915
2019/05/10,12481
2019/05/11,26488
2019/05/12,26451
2019/05/13,32791
2019/05/14,34149
2019/05/15,46712
2019/05/16,142780
2019/05/17,151241
2019/05/18,141491
2019/05/19,126480
2019/05/20,121444
2019/05/21,121789
2019/05/22,120105
2019/05/23,113457
2019/05/24,112776
2019/05/25,124550
2019/05/26,123659
2019/05/27,123597
2019/05/28,125988
2019/05/29,122764
2019/05/30,37629
2019/05/31,22623
2019/06/01,29432
2019/06/02,38348
2019/06/03,37768
2019/06/04,37971
2019/06/05,41378
2019/06/06,44627
2019/06/07,44905
2019/06/08,57702
2019/06/09,60205
2019/06/10,59940
2019/06/11,62161
2019/06/12,53034
2019/06/13,44449
2019/06/14,38008
2019/06/15,42612
2019/06/16,39208
2019/06/17,38925
2019/06/18,39024
2019/06/19,34319
2019/06/20,33731
2019/06/21,42879
2019/06/22,34482
2019/06/23,30504
2019/06/24,27129
2019/06/25,20705
2019/06/26,38899
2019/06/27,52873
2019/06/28,53585
2019/06/29,53974
2019/06/30,54122
2019/07/01,51096
2019/07/02,55202
2019/07/03,56865
2019/07/04,54698
2019/07/05,64376
2019/07/06,76433
2019/07/07,78219
2019/07/08,80257
2019/07/09,129485
2019/07/10,106455
2019/07/11,87217
2019/07/12,88688
2019/07/13,92834
2019/07/14,93103
2019/07/15,93879
2019/07/16,97989
2019/07/17,98393
2019/07/18,97540
2019/07/19,98262
2019/07/20,93877
2019/07/21,100792
2019/07/22,103327
2019/07/23,37893
2019/07/24,36804
2019/07/25,28741
2019/07/26,32748
2019/07/27,33929
2019/07/28,31334
2019/07/29,21794
2019/07/30,21909
2019/07/31,19428
2019/08/01,17205
2019/08/02,17228
2019/08/03,19054
2019/08/04,20238
2019/08/05,31088
2019/08/06,33361
2019/08/07,30891
2019/08/08,29794
2019/08/09,23383
2019/08/10,22922
2019/08/11,21128
2019/08/12,21888
2019/08/13,21968
2019/08/14,22214
2019/08/15,21972
2019/08/16,22023
2019/08/17,22103
2019/08/18,22118
2019/08/19,12907
2019/08/20,11514
2019/08/21,11766
2019/08/22,9490
2019/08/23,9314
2019/08/24,10655
2019/08/25,11865
2019/08/26,11807
2019/08/27,12226
2019/08/28,10552
2019/08/29,6364
2019/08/30,5972
2019/08/31,7001
2019/09/01,8298
2019/09/02,8455
2019/09/03,7565
2019/09/04,7601
2019/09/05,7959
2019/09/06,7985
2019/09/07,7370
2019/09/08,6587
2019/09/09,6574
2019/09/10,6697
2019/09/11,6654
2019/09/12,6959
2019/09/13,7774
2019/09/14,6517
2019/09/15,5312
