Date,sentinusd30rsiUSD
2017/09/24,46.703
2017/09/25,47.519
2017/09/26,47.642
2017/09/27,47.932
2017/09/28,48.321
2017/09/29,47.524
2017/09/30,46.819
2017/10/01,45.948
2017/10/02,47.279
2017/10/03,54.185
2017/10/04,50.78
2017/10/05,48.48
2017/10/06,48.581
2017/10/07,47.854
2017/10/08,48.377
2017/10/09,49.113
2017/10/10,49.431
2017/10/11,48.875
2017/10/12,49.487
2017/10/13,51.487
2017/10/14,49.619
2017/10/15,49.017
2017/10/16,48.121
2017/10/17,50.021
2017/10/18,51.45
2017/10/19,50.357
2017/10/20,49.751
2017/10/21,49.081
2017/10/22,48.421
2017/10/23,50.144
2017/10/24,50.433
2017/10/25,48.912
2017/10/26,48.682
2017/10/27,43.621
2017/10/28,43.621
2017/10/29,43.621
2017/10/30,43.621
2017/10/31,43.621
2017/11/01,52.121
2017/11/02,52.674
2017/11/03,51.191
2017/11/04,48.953
2017/11/05,48.646
2017/11/06,49.656
2017/11/07,48.66
2017/11/08,50.738
2017/11/09,55.148
2017/11/10,51.897
2017/11/11,51.229
2017/11/12,53.773
2017/11/13,50.466
2017/11/14,50.547
2017/11/15,53.947
2017/11/16,52.913
2017/11/17,53.073
2017/11/18,51.438
2017/11/19,51.841
2017/11/20,54.56
2017/11/21,54.395
2017/11/22,54.611
2017/11/23,55.187
2017/11/24,54.093
2017/11/25,56.944
2017/11/26,56.109
2017/11/27,59.724
2017/11/28,62.629
2017/11/29,64.711
2017/11/30,60.785
2017/12/01,57.247
2017/12/02,58.585
2017/12/03,57.658
2017/12/04,56.91
2017/12/05,48.31
2017/12/06,50.941
2017/12/07,48.538
2017/12/08,47.711
2017/12/09,46.397
2017/12/10,45.973
2017/12/11,46.319
2017/12/12,52.824
2017/12/13,52.497
2017/12/14,54.633
2017/12/15,51.735
2017/12/16,50.244
2017/12/17,50.284
2017/12/18,51.168
2017/12/19,55.212
2017/12/20,56.632
2017/12/21,57.049
2017/12/22,55.513
2017/12/23,51.056
2017/12/24,48.231
2017/12/25,47.651
2017/12/26,50.663
2017/12/27,52.04
2017/12/28,53.782
2017/12/29,56.148
2017/12/30,56.931
2017/12/31,49.923
2018/01/01,49.499
2018/01/02,56.077
2018/01/03,56.603
2018/01/04,62.76
2018/01/05,61.327
2018/01/06,57.815
2018/01/07,55.396
2018/01/08,58.993
2018/01/09,60.681
2018/01/10,63.111
2018/01/11,59.018
2018/01/12,55.054
2018/01/13,52.696
2018/01/14,65.353
2018/01/15,52.647
2018/01/16,53.543
2018/01/17,52.33
2018/01/18,51.805
2018/01/19,49.025
2018/01/20,48.568
2018/01/21,48.182
2018/01/22,48.86
2018/01/23,48.434
2018/01/24,48.607
2018/01/25,45.988
2018/01/26,49.875
2018/01/27,47.815
2018/01/28,48.908
2018/01/29,49.397
2018/01/30,49.525
2018/01/31,49.113
2018/02/01,49.228
2018/02/02,50.015
2018/02/03,47.108
2018/02/04,46.25
2018/02/05,46.977
2018/02/06,47.318
2018/02/07,47.019
2018/02/08,45.223
2018/02/09,46.278
2018/02/10,46.881
2018/02/11,45.65
2018/02/12,46.234
2018/02/13,47.464
2018/02/14,46.613
2018/02/15,47.306
2018/02/16,46.479
2018/02/17,46.463
2018/02/18,46.366
2018/02/19,46.081
2018/02/20,46.674
2018/02/21,46.321
2018/02/22,47.28
2018/02/23,45.43
2018/02/24,45.237
2018/02/25,44.442
2018/02/26,45.062
2018/02/27,44.346
2018/02/28,44.35
2018/03/01,44.486
2018/03/02,44.353
2018/03/03,43.884
2018/03/04,43.916
2018/03/05,44.534
2018/03/06,44.914
2018/03/07,44.825
2018/03/08,44.441
2018/03/09,44.453
2018/03/10,43.917
2018/03/11,43.836
2018/03/12,44.357
2018/03/13,45.763
2018/03/14,44.882
2018/03/15,44.676
2018/03/16,44.256
2018/03/17,44.073
2018/03/18,45.467
2018/03/19,45.152
2018/03/20,44.801
2018/03/21,44.756
2018/03/22,44.476
2018/03/23,44.931
2018/03/24,44.19
2018/03/25,43.961
2018/03/26,45.028
2018/03/27,45.441
2018/03/28,45.36
2018/03/29,45.27
2018/03/30,44.905
2018/03/31,44.282
2018/04/01,44.024
2018/04/02,44.223
2018/04/03,44.562
2018/04/04,44.425
2018/04/05,44.121
2018/04/06,44.121
2018/04/07,43.73
2018/04/08,44.25
2018/04/09,44.717
2018/04/10,44.38
2018/04/11,44.786
2018/04/12,46.214
2018/04/13,46.582
2018/04/14,44.615
2018/04/15,45.079
2018/04/16,45.488
2018/04/17,45.589
2018/04/18,46.228
2018/04/19,46.578
2018/04/20,47.751
2018/04/21,46.839
2018/04/22,45.942
2018/04/23,50.74
2018/04/24,50.34
2018/04/25,49.368
2018/04/26,48.038
2018/04/27,48.54
2018/04/28,47.808
2018/04/29,47.492
2018/04/30,48.553
2018/05/01,47.985
2018/05/02,50.529
2018/05/03,51.777
2018/05/04,51.407
2018/05/05,48.653
2018/05/06,47.817
2018/05/07,52.115
2018/05/08,49.494
2018/05/09,49.781
2018/05/10,49.646
2018/05/11,49.275
2018/05/12,47.27
2018/05/13,46.238
2018/05/14,49.634
2018/05/15,49.052
