Date,sentinusd90smaUSD
2018/05/15,1440793257
2018/05/16,1396846286
2018/05/17,1364920660
2018/05/18,1332471029
2018/05/19,1298214145
2018/05/20,1268366524
2018/05/21,1234895663
2018/05/22,1209581845
2018/05/23,1175938750
2018/05/24,1160092993
2018/05/25,1144823034
2018/05/26,1136068935
2018/05/27,1125095051
2018/05/28,1126336676
2018/05/29,1124672900
2018/05/30,1121858885
2018/05/31,1121360296
2018/06/01,1127261613
2018/06/02,1125537197
2018/06/03,1118001551
2018/06/04,1113474514
2018/06/05,1109877044
2018/06/06,1111183568
2018/06/07,1111852368
2018/06/08,1118202638
2018/06/09,1117718167
2018/06/10,1116988126
2018/06/11,1108682128
2018/06/12,1111747052
2018/06/13,1121087332
2018/06/14,1134014744
2018/06/15,1145976870
2018/06/16,1138691321
2018/06/17,1131307196
2018/06/18,1128617277
2018/06/19,1128715075
2018/06/20,1131463195
2018/06/21,1130729208
2018/06/22,1136673768
2018/06/23,1137657941
2018/06/24,1136795278
2018/06/25,1136260058
2018/06/26,1133623766
2018/06/27,1131096639
2018/06/28,1129868136
2018/06/29,1133216815
2018/06/30,1134041091
2018/07/01,1132921590
2018/07/02,1132729492
2018/07/03,1135367590
2018/07/04,1137974876
2018/07/05,1141155869
2018/07/06,1145688293
2018/07/07,1146027721
2018/07/08,1145902251
2018/07/09,1149589324
2018/07/10,1152208898
2018/07/11,1147817156
2018/07/12,1141643599
2018/07/13,1142283767
2018/07/14,1139997275
2018/07/15,1135950804
2018/07/16,1136631566
2018/07/17,1136185819
2018/07/18,1136471753
2018/07/19,1131063832
2018/07/20,1128658714
2018/07/21,1125498200
2018/07/22,1108860122
2018/07/23,1096382363
2018/07/24,1087312660
2018/07/25,1081140402
2018/07/26,1072141509
2018/07/27,1065654450
2018/07/28,1057163038
2018/07/29,1045867710
2018/07/30,1040052619
2018/07/31,1033828673
2018/08/01,1017519427
2018/08/02,1002422375
2018/08/03,992831265
2018/08/04,983768268
2018/08/05,963389282
2018/08/06,951354194
2018/08/07,939188070
2018/08/08,929590102
2018/08/09,918952783
2018/08/10,914214825
2018/08/11,910816985
2018/08/12,897091299
2018/08/13,889777915
2018/08/14,885937026
2018/08/15,880097137
2018/08/16,872521364
2018/08/17,869327388
2018/08/18,863028096
2018/08/19,852589301
2018/08/20,840545155
2018/08/21,826364457
2018/08/22,817961330
2018/08/23,810392264
2018/08/24,805979734
2018/08/25,796697352
2018/08/26,783282057
2018/08/27,774719304
2018/08/28,765773855
2018/08/29,756390237
2018/08/30,744999694
2018/08/31,741187453
2018/09/01,737342537
2018/09/02,726745271
2018/09/03,718828281
2018/09/04,713104949
2018/09/05,705862977
2018/09/06,697964021
2018/09/07,696314221
2018/09/08,690139863
2018/09/09,682145818
2018/09/10,670280420
2018/09/11,653622752
2018/09/12,638697473
2018/09/13,623831622
2018/09/14,619991638
2018/09/15,616897829
2018/09/16,610970412
2018/09/17,604207358
2018/09/18,596128209
2018/09/19,588695830
2018/09/20,580015954
2018/09/21,580713930
2018/09/22,574923613
2018/09/23,566399989
2018/09/24,561638782
2018/09/25,556774175
2018/09/26,552455128
2018/09/27,546439814
2018/09/28,544470444
2018/09/29,543010460
2018/09/30,539220211
2018/10/01,532956213
2018/10/02,527681032
2018/10/03,522960316
2018/10/04,518634025
2018/10/05,516483053
2018/10/06,512325754
2018/10/07,505396982
2018/10/08,499966645
2018/10/09,496628434
2018/10/10,494057139
2018/10/11,494966425
2018/10/12,494889213
2018/10/13,493625507
2018/10/14,487287091
2018/10/15,485522826
2018/10/16,479538942
2018/10/17,475310732
2018/10/18,471725504
2018/10/19,469957556
2018/10/20,467908768
2018/10/21,464092402
2018/10/22,458745687
2018/10/23,454571778
2018/10/24,451741316
2018/10/25,449704619
2018/10/26,449468260
2018/10/27,447738126
2018/10/28,442079286
2018/10/29,432579237
2018/10/30,429123781
2018/10/31,425528127
2018/11/01,423064934
2018/11/02,422874629
2018/11/03,421267911
2018/11/04,419157046
2018/11/05,418448250
2018/11/06,414461667
2018/11/07,413223622
2018/11/08,410116786
2018/11/09,408133756
2018/11/10,407132615
2018/11/11,401199131
2018/11/12,396371152
