Date,hashrate3trx
2017/09/16,0.68
2017/09/17,0.587
2017/09/18,0.206
2017/09/19,0.287
2017/09/20,0.205
2017/09/21,0.346
2017/09/22,0.287
2017/09/23,-0.32
2017/09/24,-0.329
2017/09/25,-0.823
2017/09/26,-0.866
2017/09/27,-0.406
2017/09/28,-0.511
2017/09/29,-1.068
2017/09/30,-1.341
2017/10/01,-0.719
2017/10/02,-0.244
2017/10/03,-0.012
2017/10/04,0.439
2017/10/05,1.06
2017/10/06,0.648
2017/10/07,-0.023
2017/10/08,0.025
2017/10/09,0.211
2017/10/10,0.466
2017/10/11,0.925
2017/10/12,0.598
2017/10/13,0.816
2017/10/14,0.298
2017/10/15,0.324
2017/10/16,0.73
2017/10/17,1.199
2017/10/18,1.2
2017/10/19,1.468
2017/10/20,1.355
2017/10/21,1.015
2017/10/22,0.935
2017/10/23,0.682
2017/10/24,0.868
2017/10/25,0.585
2017/10/26,-0.098
2017/10/27,-12.634
2017/10/28,-21.524
2017/10/29,-27.339
2017/10/30,-31.297
2017/10/31,-34.126
2017/11/01,20.605
2017/11/02,48.563
2017/11/03,36.364
2017/11/04,22.695
2017/11/05,14.689
2017/11/06,9.147
2017/11/07,5.532
2017/11/08,3.56
2017/11/09,2.088
2017/11/10,1.347
2017/11/11,0.891
2017/11/12,0.865
2017/11/13,0.706
2017/11/14,0.226
2017/11/15,-0.013
2017/11/16,-0.497
2017/11/17,-0.61
2017/11/18,-0.664
2017/11/19,-0.442
2017/11/20,0.555
2017/11/21,0.92
2017/11/22,0.861
2017/11/23,1.075
2017/11/24,1.357
2017/11/25,1.379
2017/11/26,1.163
2017/11/27,0.701
2017/11/28,0.147
2017/11/29,0.048
2017/11/30,0.191
2017/12/01,0.338
2017/12/02,0.38
2017/12/03,-0.038
2017/12/04,0.102
2017/12/05,-0.013
2017/12/06,-0.082
2017/12/07,0.054
2017/12/08,0.358
2017/12/09,0.583
2017/12/10,0.451
2017/12/11,0.446
2017/12/12,0.467
2017/12/13,0.919
2017/12/14,1.424
2017/12/15,2.076
2017/12/16,1.965
2017/12/17,1.65
2017/12/18,1.663
2017/12/19,1.254
2017/12/20,0.759
2017/12/21,0.42
2017/12/22,0.157
2017/12/23,0.566
2017/12/24,0.725
2017/12/25,0.828
2017/12/26,0.837
2017/12/27,0.812
2017/12/28,1.033
2017/12/29,0.792
2017/12/30,0.606
2017/12/31,0.622
2018/01/01,0.779
2018/01/02,0.746
2018/01/03,0.585
2018/01/04,0.719
2018/01/05,1.03
2018/01/06,0.815
2018/01/07,0.996
2018/01/08,0.987
2018/01/09,0.99
2018/01/10,1.129
2018/01/11,1.472
2018/01/12,1.518
2018/01/13,1.358
2018/01/14,1.387
2018/01/15,0.974
2018/01/16,0.984
2018/01/17,1.177
2018/01/18,1.033
2018/01/19,0.75
2018/01/20,1.023
2018/01/21,0.816
2018/01/22,0.852
2018/01/23,0.759
2018/01/24,0.933
2018/01/25,1.044
2018/01/26,0.957
2018/01/27,0.677
2018/01/28,0.601
2018/01/29,1.026
2018/01/30,1.001
2018/01/31,1.138
2018/02/01,1.382
2018/02/02,1.534
2018/02/03,1.362
2018/02/04,1.051
2018/02/05,1.078
2018/02/06,0.839
2018/02/07,0.884
2018/02/08,0.689
2018/02/09,0.66
2018/02/10,0.667
2018/02/11,0.701
2018/02/12,0.883
2018/02/13,0.957
2018/02/14,0.522
2018/02/15,0.293
2018/02/16,0.411
2018/02/17,0.487
2018/02/18,0.456
2018/02/19,0.334
2018/02/20,0.053
2018/02/21,-0.01
2018/02/22,0.089
2018/02/23,0.268
2018/02/24,0.258
2018/02/25,0.493
2018/02/26,0.436
2018/02/27,0.104
2018/02/28,0.336
2018/03/01,0.538
2018/03/02,0.655
2018/03/03,0.889
2018/03/04,0.562
2018/03/05,0.31
2018/03/06,0.185
2018/03/07,0.524
2018/03/08,0.641
2018/03/09,0.296
2018/03/10,0.157
2018/03/11,0.035
2018/03/12,0.06
2018/03/13,0.055
2018/03/14,-0.087
2018/03/15,-0.015
2018/03/16,0.493
2018/03/17,0.65
2018/03/18,0.499
2018/03/19,0.373
2018/03/20,0.325
2018/03/21,0.107
2018/03/22,-0.062
2018/03/23,-0.075
2018/03/24,-0.134
2018/03/25,-0.094
2018/03/26,0.289
2018/03/27,0.193
2018/03/28,0.043
2018/03/29,-0.261
2018/03/30,-0.257
2018/03/31,-0.356
2018/04/01,-0.356
2018/04/02,-0.291
2018/04/03,-0.498
2018/04/04,-0.462
2018/04/05,-0.282
2018/04/06,0.176
2018/04/07,0.204
2018/04/08,0.05
2018/04/09,-0.458
2018/04/10,-0.397
2018/04/11,-0.365
2018/04/12,-0.374
2018/04/13,-0.204
2018/04/14,-0.056
2018/04/15,0.02
2018/04/16,0.093
2018/04/17,0.103
2018/04/18,-0.228
2018/04/19,-0.054
2018/04/20,-0.204
2018/04/21,0.177
2018/04/22,0.255
2018/04/23,0.427
2018/04/24,0.216
2018/04/25,0.145
2018/04/26,0.573
2018/04/27,0.314
2018/04/28,-0.113
2018/04/29,0.215
2018/04/30,0.375
2018/05/01,0.017
2018/05/02,0.036
2018/05/03,0.136
2018/05/04,0.323
2018/05/05,0.594
2018/05/06,0.684
2018/05/07,0.888
2018/05/08,0.756
2018/05/09,0.388
2018/05/10,0.126
2018/05/11,0.126
2018/05/12,0.416
2018/05/13,0.52
2018/05/14,0.236
2018/05/15,-0.143
2018/05/16,-0.31
2018/05/17,-0.2
2018/05/18,-0.181
2018/05/19,-0.099
2018/05/20,0.141
2018/05/21,0.376
2018/05/22,0.297
2018/05/23,0.147
2018/05/24,-0.406
2018/05/25,-0.59
2018/05/26,-0.364
2018/05/27,-0.448
2018/05/28,-0.26
2018/05/29,-0.142
2018/05/30,-0.177
2018/05/31,0.105
2018/06/01,-0.245
2018/06/02,-0.145
2018/06/03,-0.112
2018/06/04,-0.031
2018/06/05,-0.017
2018/06/06,-0.09
2018/06/07,-0.01
2018/06/08,0.112
2018/06/09,0.698
2018/06/10,0.463
2018/06/11,0.398
2018/06/12,0.506
2018/06/13,0.168
2018/06/14,-0.096
2018/06/15,-0.244
2018/06/16,-0.148
2018/06/17,-0.148
2018/06/18,0.329
2018/06/19,0.703
2018/06/20,0.633
2018/06/21,0.629
2018/06/22,0.637
2018/06/23,0.383
2018/06/24,0.224
2018/06/25,0.175
2018/06/26,0.026
2018/06/27,0.293
2018/06/28,0.053
2018/06/29,-0.235
2018/06/30,0.112
2018/07/01,-0.159
2018/07/02,-0.139
2018/07/03,0.118
2018/07/04,0.154
2018/07/05,0.539
2018/07/06,0.496
2018/07/07,0.506
2018/07/08,0.204
2018/07/09,0.317
2018/07/10,0.069
2018/07/11,-0.448
2018/07/12,-0.55
2018/07/13,-0.602
2018/07/14,-0.528
2018/07/15,-0.334
2018/07/16,-0.168
2018/07/17,0.205
2018/07/18,0.286
2018/07/19,0.107
2018/07/20,-0.233
2018/07/21,-0.88
2018/07/22,-0.578
2018/07/23,0.195
2018/07/24,0.401
2018/07/25,0.71
2018/07/26,0.673
2018/07/27,0.505
2018/07/28,0.401
2018/07/29,0.36
2018/07/30,0.282
2018/07/31,0.258
2018/08/01,0.082
2018/08/02,0.207
2018/08/03,-0.024
2018/08/04,0.132
2018/08/05,0.247
2018/08/06,0.281
2018/08/07,0.194
2018/08/08,0.241
2018/08/09,0.29
2018/08/10,0.117
2018/08/11,0.042
2018/08/12,-0.33
2018/08/13,-0.52
2018/08/14,-0.474
2018/08/15,-0.495
2018/08/16,-0.645
2018/08/17,-0.401
2018/08/18,-0.375
2018/08/19,-0.275
2018/08/20,-0.099
2018/08/21,0.113
2018/08/22,0.368
2018/08/23,-0.014
2018/08/24,-0.112
2018/08/25,-0.087
2018/08/26,0.184
2018/08/27,0.172
2018/08/28,0.004
2018/08/29,-0.315
2018/08/30,-0.386
2018/08/31,-0.309
2018/09/01,-0.337
2018/09/02,-0.444
2018/09/03,-0.45
2018/09/04,-0.3
2018/09/05,-0.158
2018/09/06,-0.072
2018/09/07,-0.236
2018/09/08,-0.368
2018/09/09,-0.997
2018/09/10,-1.125
2018/09/11,-1.227
2018/09/12,-1.271
2018/09/13,-1.431
2018/09/14,-1.006
2018/09/15,-0.549
2018/09/16,-0.301
2018/09/17,-0.119
2018/09/18,-0.053
2018/09/19,0.174
2018/09/20,0.234
2018/09/21,0.151
2018/09/22,0.44
2018/09/23,0.451
2018/09/24,0.431
2018/09/25,0.249
2018/09/26,0.461
2018/09/27,0.497
2018/09/28,0.38
2018/09/29,0.042
2018/09/30,0.022
2018/10/01,-0.176
2018/10/02,-0.255
2018/10/03,-0.313
2018/10/04,-0.148
2018/10/05,-0.084
2018/10/06,0.037
2018/10/07,0.194
2018/10/08,0.361
2018/10/09,0.278
2018/10/10,0.184
2018/10/11,-0.088
2018/10/12,-0.25
2018/10/13,-0.4
2018/10/14,-0.313
2018/10/15,-0.309
2018/10/16,-0.265
2018/10/17,-0.267
2018/10/18,-0.025
2018/10/19,-0.036
2018/10/20,-0.214
2018/10/21,-0.448
2018/10/22,-0.64
2018/10/23,-0.511
2018/10/24,-0.276
2018/10/25,-0.313
2018/10/26,-0.382
2018/10/27,-0.289
2018/10/28,-0.28
2018/10/29,-0.365
2018/10/30,-0.314
2018/10/31,0.007
2018/11/01,-0.149
2018/11/02,-0.557
2018/11/03,-0.736
2018/11/04,-0.499
2018/11/05,-0.356
2018/11/06,-0.241
2018/11/07,-0.068
2018/11/08,0.139
2018/11/09,-0.031
2018/11/10,-0.044
2018/11/11,0.23
2018/11/12,0.047
2018/11/13,-0.009
2018/11/14,0.013
2018/11/15,-0.03
2018/11/16,0.168
2018/11/17,-0.192
2018/11/18,-0.386
2018/11/19,-0.558
2018/11/20,-0.799
2018/11/21,-1.292
2018/11/22,-1.736
2018/11/23,-1.606
2018/11/24,-1.403
2018/11/25,-1.332
2018/11/26,-1.161
2018/11/27,-1.894
2018/11/28,-2.611
2018/11/29,-2.504
2018/11/30,-2.104
2018/12/01,-1.307
2018/12/02,-1.214
2018/12/03,-1.142
2018/12/04,-0.705
2018/12/05,-0.651
2018/12/06,-0.375
2018/12/07,-0.72
2018/12/08,-1.134
2018/12/09,-1.323
2018/12/10,-0.562
2018/12/11,-0.455
2018/12/12,-0.771
2018/12/13,-1.002
2018/12/14,-1.215
2018/12/15,-0.889
2018/12/16,-0.727
2018/12/17,-0.766
2018/12/18,-0.973
2018/12/19,-0.843
2018/12/20,-0.704
2018/12/21,-0.403
2018/12/22,-0.016
2018/12/23,0.265
2018/12/24,0.943
2018/12/25,1.606
2018/12/26,2.233
2018/12/27,1.86
2018/12/28,1.106
2018/12/29,0.597
2018/12/30,0.367
2018/12/31,0.411
2019/01/01,-0.32
2019/01/02,-0.33
2019/01/03,-0.177
2019/01/04,-0.114
2019/01/05,0.271
2019/01/06,0.582
2019/01/07,0.869
2019/01/08,0.533
2019/01/09,0.578
2019/01/10,0.307
2019/01/11,0.132
2019/01/12,-0.339
2019/01/13,-0.478
2019/01/14,-0.284
2019/01/15,0.146
2019/01/16,-0.249
2019/01/17,-0.641
2019/01/18,-0.76
2019/01/19,-0.229
2019/01/20,0.152
2019/01/21,-0.134
2019/01/22,-0.216
2019/01/23,-1
2019/01/24,-0.896
2019/01/25,-0.593
2019/01/26,-0.669
2019/01/27,-0.841
2019/01/28,-1.75
2019/01/29,-2.774
2019/01/30,-3.136
2019/01/31,-2.517
2019/02/01,-2.309
2019/02/02,-1.995
2019/02/03,-1.904
2019/02/04,-1.501
2019/02/05,-1.025
2019/02/06,-0.835
2019/02/07,-0.673
2019/02/08,-0.246
2019/02/09,-0.08
2019/02/10,0.329
2019/02/11,0.266
2019/02/12,0.611
2019/02/13,0.317
2019/02/14,-0.142
2019/02/15,-0.408
2019/02/16,-0.112
2019/02/17,-0.184
2019/02/18,0.131
2019/02/19,1.137
2019/02/20,1.466
2019/02/21,1.276
2019/02/22,0.792
2019/02/23,1.25
2019/02/24,1.106
2019/02/25,0.652
2019/02/26,0.499
2019/02/27,0.369
2019/02/28,0.388
2019/03/01,-0.01
2019/03/02,-0.251
2019/03/03,-0.448
2019/03/04,-0.575
2019/03/05,-0.368
2019/03/06,-0.295
2019/03/07,-0.194
2019/03/08,0.015
2019/03/09,-0.265
2019/03/10,-0.134
2019/03/11,-0.295
2019/03/12,-0.439
2019/03/13,-0.58
2019/03/14,-0.484
2019/03/15,-0.364
2019/03/16,0.228
2019/03/17,0.364
2019/03/18,0.142
2019/03/19,-0.398
2019/03/20,-0.159
2019/03/21,-0.102
2019/03/22,-0.19
2019/03/23,-0.174
2019/03/24,-0.147
2019/03/25,-0.135
2019/03/26,-0.497
2019/03/27,-0.741
2019/03/28,-0.775
2019/03/29,-0.623
2019/03/30,-0.897
2019/03/31,-0.894
2019/04/01,-0.105
2019/04/02,0.26
2019/04/03,0.24
2019/04/04,0.554
2019/04/05,0.573
2019/04/06,0.576
2019/04/07,0.427
2019/04/08,0.351
2019/04/09,0.377
2019/04/10,0.64
2019/04/11,0.663
2019/04/12,0.47
2019/04/13,0.52
2019/04/14,0.66
2019/04/15,0.697
2019/04/16,0.397
2019/04/17,-0.153
2019/04/18,-0.475
2019/04/19,-0.281
2019/04/20,-0.201
2019/04/21,-0.054
2019/04/22,0.17
2019/04/23,0.129
