Date,sentbyaddress30var
2018/12/28,143784559
2018/12/29,149147303
2018/12/30,155925599
2018/12/31,141064910
2019/01/01,136015318
2019/01/02,135334371
2019/01/03,148449058
2019/01/04,148425592
2019/01/05,149915900
2019/01/06,147928092
2019/01/07,125042993
2019/01/08,133021813
2019/01/09,137836177
2019/01/10,135437322
2019/01/11,135206659
2019/01/12,173800898
2019/01/13,198701758
2019/01/14,246708407
2019/01/15,253521481
2019/01/16,259714996
2019/01/17,258849324
2019/01/18,259585526
2019/01/19,266829746
2019/01/20,283660033
2019/01/21,265174798
2019/01/22,276099634
2019/01/23,276453420
2019/01/24,278720508
2019/01/25,279556909
2019/01/26,303995790
2019/01/27,303844593
2019/01/28,292847009
2019/01/29,288391283
2019/01/30,292815708
2019/01/31,287104179
2019/02/01,286062880
2019/02/02,282436759
2019/02/03,332812473
2019/02/04,398297998
2019/02/05,449262354
2019/02/06,477064046
2019/02/07,485734942
2019/02/08,462221273
2019/02/09,465116516
2019/02/10,482219000
2019/02/11,487041549
2019/02/12,495340026
2019/02/13,364534691
2019/02/14,304860675
2019/02/15,297382503
2019/02/16,290482076
2019/02/17,281223017
2019/02/18,300151369
2019/02/19,308452980
2019/02/20,302941689
2019/02/21,300297681
2019/02/22,287405101
2019/02/23,275282374
2019/02/24,264655761
2019/02/25,265646273
2019/02/26,265050599
2019/02/27,234406735
2019/02/28,215071503
2019/03/01,242679853
2019/03/02,241274855
2019/03/03,237099252
2019/03/04,254234853
2019/03/05,273536869
2019/03/06,274471456
2019/03/07,271245652
2019/03/08,259224800
2019/03/09,247905185
2019/03/10,247112774
2019/03/11,220936197
2019/03/12,183693237
2019/03/13,173216847
2019/03/14,159809415
2019/03/15,152748169
2019/03/16,152133521
2019/03/17,149371595
2019/03/18,146108154
2019/03/19,144742793
2019/03/20,160834833
2019/03/21,163162936
2019/03/22,165742410
2019/03/23,153862898
2019/03/24,147389316
2019/03/25,183188528
2019/03/26,206032632
2019/03/27,202602353
2019/03/28,209335707
2019/03/29,219980673
2019/03/30,215093553
2019/03/31,215337117
2019/04/01,277105380
2019/04/02,446476232
2019/04/03,548778855
2019/04/04,577510276
2019/04/05,591283893
2019/04/06,589209624
2019/04/07,584901186
2019/04/08,605999919
2019/04/09,573825714
2019/04/10,544345986
2019/04/11,606028828
2019/04/12,708918896
2019/04/13,693119021
2019/04/14,706168250
2019/04/15,625332827
2019/04/16,557307410
2019/04/17,547736781
2019/04/18,547056431
2019/04/19,566290812
2019/04/20,779285212
2019/04/21,764015503
2019/04/22,718394558
2019/04/23,679051954
2019/04/24,680651729
2019/04/25,676559811
2019/04/26,662078163
2019/04/27,693838988
2019/04/28,722161426
2019/04/29,713442264
2019/04/30,677568472
2019/05/01,675618028
2019/05/02,642518795
2019/05/03,621607958
2019/05/04,651201655
2019/05/05,664601313
2019/05/06,643644979
2019/05/07,637643340
2019/05/08,639116672
2019/05/09,635790459
2019/05/10,635973382
2019/05/11,608804320
2019/05/12,531838603
2019/05/13,557231155
2019/05/14,579903145
2019/05/15,681035976
2019/05/16,835654300
2019/05/17,876669197
2019/05/18,882030665
2019/05/19,881166142
2019/05/20,729439700
2019/05/21,790253739
2019/05/22,809458192
2019/05/23,820580738
2019/05/24,867261600
2019/05/25,875721837
2019/05/26,867616668
2019/05/27,892461812
2019/05/28,852033367
2019/05/29,851253055
2019/05/30,882093892
2019/05/31,969857459
2019/06/01,1342582449
2019/06/02,1319805080
2019/06/03,1182676760
2019/06/04,1078659010
2019/06/05,992635652
2019/06/06,990832866
2019/06/07,935709852
2019/06/08,943587243
2019/06/09,896292172
2019/06/10,855742768
2019/06/11,858859119
2019/06/12,1469884194
2019/06/13,1470367022
2019/06/14,1470450058
2019/06/15,1460542799
2019/06/16,1784372982
