Date,transactions3roc
2017/10/31,0
2017/11/01,0
2017/11/02,0
2017/11/03,0
2017/11/04,-23.669
2017/11/05,-21.825
2017/11/06,4.712
2017/11/07,17.971
2017/11/08,15.179
2017/11/09,-8.695
2017/11/10,-2.762
2017/11/11,-17.909
2017/11/12,-7.019
2017/11/13,-3.115
2017/11/14,20.692
2017/11/15,24.437
2017/11/16,10.9
2017/11/17,6.85
2017/11/18,-14.958
2017/11/19,-5.477
2017/11/20,4.237
2017/11/21,14.002
2017/11/22,17.635
2017/11/23,1.307
2017/11/24,0.268
2017/11/25,2.681
2017/11/26,1.008
2017/11/27,15.843
2017/11/28,13.874
2017/11/29,22.322
2017/11/30,7.682
2017/12/01,-2.546
2017/12/02,-5.394
2017/12/03,5.851
2017/12/04,12.705
2017/12/05,10.402
2017/12/06,14.116
2017/12/07,-6.093
2017/12/08,10.579
2017/12/09,-10.676
2017/12/10,8.726
2017/12/11,8.153
2017/12/12,23.347
2017/12/13,26.941
2017/12/14,13.712
2017/12/15,3.669
2017/12/16,-1.075
2017/12/17,-7.001
2017/12/18,8.81
2017/12/19,21.379
2017/12/20,12.495
2017/12/21,9.008
2017/12/22,1.034
2017/12/23,-6.817
2017/12/24,-29.313
2017/12/25,-31.822
2017/12/26,-11.467
2017/12/27,20.379
2017/12/28,26.203
2017/12/29,34.011
2017/12/30,24.531
2017/12/31,-0.271
2018/01/01,-16.625
2018/01/02,1.52
2018/01/03,30.742
2018/01/04,48.512
2018/01/05,10.195
2018/01/06,-0.938
2018/01/07,-14.606
2018/01/08,-4.412
2018/01/09,2.432
2018/01/10,2.166
2018/01/11,-3.415
2018/01/12,-10.944
2018/01/13,0.139
2018/01/14,-7.868
2018/01/15,7.836
2018/01/16,8.362
2018/01/17,18.074
2018/01/18,-0.102
2018/01/19,-18.364
2018/01/20,-22.911
2018/01/21,-16.483
2018/01/22,-6.743
2018/01/23,-5.688
2018/01/24,-9.226
2018/01/25,-18.953
2018/01/26,2.686
2018/01/27,-8.951
2018/01/28,12.757
2018/01/29,-1.739
2018/01/30,8.978
2018/01/31,-1.329
2018/02/01,7.676
2018/02/02,8.2
2018/02/03,-7.158
2018/02/04,-20.609
2018/02/05,-10.72
2018/02/06,9.053
2018/02/07,2.218
2018/02/08,-22.2
2018/02/09,-11.08
2018/02/10,3.636
2018/02/11,13.525
2018/02/12,4.965
2018/02/13,-12.097
2018/02/14,-3.505
2018/02/15,-6.237
2018/02/16,-5.498
2018/02/17,3.443
2018/02/18,-2.731
2018/02/19,15.129
2018/02/20,14.871
2018/02/21,12.487
2018/02/22,-6.1
2018/02/23,-17.343
2018/02/24,-13.832
2018/02/25,-9.36
2018/02/26,0.596
2018/02/27,-5.223
2018/02/28,4.313
2018/03/01,-7.194
2018/03/02,7.211
2018/03/03,-6.511
2018/03/04,-6.014
2018/03/05,1.086
2018/03/06,5.81
2018/03/07,21.845
2018/03/08,-8.318
2018/03/09,-8.775
2018/03/10,-24.546
2018/03/11,-11.772
2018/03/12,4.284
2018/03/13,18.214
2018/03/14,10.231
2018/03/15,-3.448
2018/03/16,-6.367
2018/03/17,-11.62
2018/03/18,4.497
2018/03/19,7.533
2018/03/20,11.562
2018/03/21,2.033
2018/03/22,-11.996
2018/03/23,2.314
2018/03/24,-12.132
2018/03/25,-15.026
2018/03/26,-7.456
2018/03/27,-4.753
2018/03/28,10.161
2018/03/29,-6.853
2018/03/30,8.486
2018/03/31,0.783
2018/04/01,-6.602
2018/04/02,-5.541
2018/04/03,10.528
2018/04/04,15.28
2018/04/05,16.268
2018/04/06,0.318
2018/04/07,-14.731
2018/04/08,-14.39
2018/04/09,-5.892
2018/04/10,6.629
2018/04/11,2.244
2018/04/12,13.579
2018/04/13,27.819
2018/04/14,0.342
2018/04/15,-10.485
2018/04/16,-9.029
2018/04/17,21.538
2018/04/18,13.437
2018/04/19,22.564
2018/04/20,12.035
2018/04/21,6.087
2018/04/22,-8.039
2018/04/23,-3.527
2018/04/24,9.406
2018/04/25,6.698
2018/04/26,-1.121
2018/04/27,-6.347
2018/04/28,-2.965
2018/04/29,-4.689
2018/04/30,1.786
2018/05/01,-7.93
2018/05/02,4.106
2018/05/03,7.897
2018/05/04,40.161
2018/05/05,0.195
2018/05/06,-17.665
2018/05/07,-21.055
2018/05/08,3.907
2018/05/09,20.231
2018/05/10,8.225
2018/05/11,0.732
2018/05/12,-5.13
2018/05/13,-10.808
2018/05/14,-2.96
2018/05/15,-1.177
2018/05/16,5.878
2018/05/17,4.255
2018/05/18,6.753
2018/05/19,4.835
2018/05/20,-6.997
2018/05/21,-3.561
2018/05/22,-2.822
2018/05/23,7.217
2018/05/24,1.116
2018/05/25,-2.623
2018/05/26,-8.573
2018/05/27,-4.332
2018/05/28,7.513
2018/05/29,6.595
2018/05/30,5.283
2018/05/31,-3.285
2018/06/01,-6.657
2018/06/02,-5.998
2018/06/03,-2.728
2018/06/04,6.47
2018/06/05,1.645
2018/06/06,-6.905
2018/06/07,-3.882
2018/06/08,-7.767
2018/06/09,2.037
2018/06/10,-0.586
2018/06/11,6.801
2018/06/12,0.1
2018/06/13,3.417
2018/06/14,-0.399
2018/06/15,-0.83
2018/06/16,-19.791
2018/06/17,-15.324
2018/06/18,-8.909
2018/06/19,21.725
2018/06/20,23.827
2018/06/21,8.089
2018/06/22,-1.067
2018/06/23,-15.834
2018/06/24,-10.643
2018/06/25,8.671
2018/06/26,8.322
2018/06/27,14.873
2018/06/28,-11.046
2018/06/29,0.399
2018/06/30,-18.001
2018/07/01,-16.401
2018/07/02,-33.402
2018/07/03,-9.392
2018/07/04,-28.19
2018/07/05,7.768
2018/07/06,-19.957
2018/07/07,8.274
2018/07/08,19.697
2018/07/09,42.009
2018/07/10,42.897
2018/07/11,1.966
2018/07/12,-13.171
2018/07/13,-18.569
2018/07/14,-20.961
2018/07/15,-19.848
2018/07/16,24.974
2018/07/17,37.792
2018/07/18,64.456
2018/07/19,4.361
2018/07/20,-4.233
2018/07/21,-16.821
2018/07/22,-8.078
2018/07/23,12.961
2018/07/24,26.462
2018/07/25,16.609
2018/07/26,-4.353
2018/07/27,0.491
2018/07/28,-10.61
2018/07/29,-1.285
2018/07/30,-3.931
2018/07/31,5.837
2018/08/01,5.787
2018/08/02,2.932
2018/08/03,1.091
2018/08/04,-4.911
2018/08/05,-9.703
2018/08/06,-7.124
2018/08/07,-11.686
2018/08/08,-19.679
2018/08/09,-23.016
2018/08/10,-3.528
2018/08/11,16.202
2018/08/12,19.2
2018/08/13,13.202
2018/08/14,5.026
2018/08/15,1.034
2018/08/16,3.136
2018/08/17,-12.034
2018/08/18,-3.245
2018/08/19,-16.334
2018/08/20,9.304
2018/08/21,-3.487
2018/08/22,-0.798
2018/08/23,-9.674
2018/08/24,-1.554
2018/08/25,-2.964
2018/08/26,-4.251
2018/08/27,8.33
2018/08/28,6.341
2018/08/29,-4.743
2018/08/30,-8.212
2018/08/31,-5.96
2018/09/01,20.008
2018/09/02,4.625
2018/09/03,9.384
2018/09/04,-10.169
2018/09/05,1.079
2018/09/06,-6.726
2018/09/07,-1.245
2018/09/08,-13.337
2018/09/09,-3.961
2018/09/10,-3.539
2018/09/11,2.573
2018/09/12,0.891
2018/09/13,-1.043
2018/09/14,-7.702
2018/09/15,-15.942
2018/09/16,-17.507
2018/09/17,7.645
2018/09/18,4.34
2018/09/19,10.65
2018/09/20,-10.036
2018/09/21,8.826
2018/09/22,-7.284
2018/09/23,-5.926
2018/09/24,-11.814
2018/09/25,10.376
2018/09/26,5.309
2018/09/27,4.936
2018/09/28,-3.61
2018/09/29,-11.994
2018/09/30,-4.9
2018/10/01,-4.809
2018/10/02,12.882
2018/10/03,16.617
2018/10/04,17.399
2018/10/05,21.437
2018/10/06,6.773
2018/10/07,-10.983
2018/10/08,-8.821
2018/10/09,-10.025
2018/10/10,3.818
2018/10/11,5.1
2018/10/12,4.676
2018/10/13,4.843
2018/10/14,-10.307
2018/10/15,-0.023
2018/10/16,6.206
2018/10/17,13.41
2018/10/18,0.673
2018/10/19,4.466
2018/10/20,-7.972
2018/10/21,-10.212
2018/10/22,-3.96
2018/10/23,4.148
2018/10/24,4.861
2018/10/25,-6.949
2018/10/26,-0.901
2018/10/27,-6.297
2018/10/28,-5.089
2018/10/29,11.516
2018/10/30,21.883
2018/10/31,14.876
2018/11/01,-4.165
2018/11/02,-9.839
2018/11/03,-13.779
2018/11/04,-13.283
2018/11/05,6.166
2018/11/06,18.25
2018/11/07,10.523
2018/11/08,-4.63
2018/11/09,-8.259
2018/11/10,-13.369
2018/11/11,-4.968
2018/11/12,4.256
2018/11/13,13.181
2018/11/14,10.304
2018/11/15,-1.42
2018/11/16,-0.281
2018/11/17,-13.157
2018/11/18,-13.897
2018/11/19,12.845
2018/11/20,23.769
2018/11/21,19.54
2018/11/22,-8.676
2018/11/23,-10.509
2018/11/24,-14.234
2018/11/25,-7.006
2018/11/26,-0.469
2018/11/27,13.839
2018/11/28,17.682
2018/11/29,-0.318
2018/11/30,5.87
2018/12/01,-15.569
2018/12/02,-11.372
2018/12/03,-8.503
2018/12/04,7.525
2018/12/05,21.025
2018/12/06,7.813
2018/12/07,1.277
2018/12/08,-7.274
2018/12/09,-14.108
2018/12/10,-2.977
2018/12/11,-3.001
2018/12/12,5.195
2018/12/13,1.856
2018/12/14,5.839
2018/12/15,3.371
2018/12/16,-8.661
2018/12/17,0.484
2018/12/18,0.798
2018/12/19,15.682
2018/12/20,5.68
2018/12/21,9.025
2018/12/22,-17.094
2018/12/23,-9.756
2018/12/24,1.488
2018/12/25,7.961
2018/12/26,3.015
2018/12/27,-10.907
2018/12/28,6.951
2018/12/29,-2.911
2018/12/30,-16.049
2018/12/31,-8.764
2019/01/01,-17.578
2019/01/02,28.142
2019/01/03,14.281
2019/01/04,22.588
2019/01/05,-13.352
2019/01/06,-18.307
2019/01/07,0.285
2019/01/08,8.251
2019/01/09,14.665
2019/01/10,5.785
2019/01/11,-2.083
2019/01/12,-18.993
2019/01/13,-17.413
2019/01/14,6.534
2019/01/15,19.259
2019/01/16,5.472
2019/01/17,-10.422
2019/01/18,-0.185
2019/01/19,6.192
2019/01/20,3.988
2019/01/21,8.137
2019/01/22,12.322
2019/01/23,-0.723
2019/01/24,-10.746
2019/01/25,-16.622
2019/01/26,-13.008
2019/01/27,-6.021
2019/01/28,12.609
2019/01/29,21.889
2019/01/30,13.611
2019/01/31,-9.059
2019/02/01,-11.867
2019/02/02,-18.913
2019/02/03,-17.924
2019/02/04,-16.53
2019/02/05,-7.883
2019/02/06,1.104
2019/02/07,2.95
2019/02/08,13.774
2019/02/09,-2.782
2019/02/10,-11.086
2019/02/11,-9.099
2019/02/12,5.03
2019/02/13,28.913
2019/02/14,10.67
2019/02/15,6.959
2019/02/16,-7.539
2019/02/17,-5.652
2019/02/18,9.359
2019/02/19,17.454
2019/02/20,18.378
2019/02/21,6.315
2019/02/22,-0.518
2019/02/23,-10.192
2019/02/24,-0.847
2019/02/25,8.085
2019/02/26,16.316
2019/02/27,-0.127
2019/02/28,-5.629
2019/03/01,-1.138
2019/03/02,-2.336
2019/03/03,-9.064
2019/03/04,13.255
2019/03/05,13.508
2019/03/06,17.578
2019/03/07,-7.663
2019/03/08,-5.973
2019/03/09,-3.993
2019/03/10,-15.479
2019/03/11,-4.614
2019/03/12,1.528
2019/03/13,18.437
2019/03/14,6.975
2019/03/15,-2.001
2019/03/16,-12.053
2019/03/17,-13.76
2019/03/18,3.784
2019/03/19,26.133
2019/03/20,27.369
2019/03/21,7.732
2019/03/22,-1.138
2019/03/23,-10.873
2019/03/24,-11.199
2019/03/25,3.176
2019/03/26,11.968
2019/03/27,14.001
2019/03/28,-2.205
2019/03/29,1.803
2019/03/30,6.713
2019/03/31,1.87
2019/04/01,7.374
2019/04/02,13.613
2019/04/03,15.532
2019/04/04,-2.044
2019/04/05,-18.049
2019/04/06,-25.123
2019/04/07,-14.942
2019/04/08,7.409
2019/04/09,17.501
2019/04/10,17.662
2019/04/11,9.137
2019/04/12,5.769
2019/04/13,-8.868
2019/04/14,-24.413
2019/04/15,-10.466
2019/04/16,6.865
2019/04/17,23.744
2019/04/18,12.152
2019/04/19,5.594
2019/04/20,0.723
2019/04/21,-9.526
2019/04/22,3.769
2019/04/23,6.18
2019/04/24,5.977
2019/04/25,-5.352
2019/04/26,-9.391
2019/04/27,-15.881
2019/04/28,-12.827
2019/04/29,-4.811
2019/04/30,25.784
2019/05/01,18.587
