Date,transactions3std
2017/07/29,39053
2017/07/30,41785
2017/07/31,45137
2017/08/01,36665
2017/08/02,25908
2017/08/03,14889
2017/08/04,22531
2017/08/05,21908
2017/08/06,6510
2017/08/07,17156
2017/08/08,45049
2017/08/09,35952
2017/08/10,48159
2017/08/11,65079
2017/08/12,17195
2017/08/13,20194
2017/08/14,70138
2017/08/15,74196
2017/08/16,3196
2017/08/17,13742
2017/08/18,24280
2017/08/19,56343
2017/08/20,108948
2017/08/21,72036
2017/08/22,68887
2017/08/23,23308
2017/08/24,18195
2017/08/25,20901
2017/08/26,43629
2017/08/27,38172
2017/08/28,47965
2017/08/29,57684
2017/08/30,32153
2017/08/31,13085
2017/09/01,12960
2017/09/02,52987
2017/09/03,73602
2017/09/04,120649
2017/09/05,133000
2017/09/06,49801
2017/09/07,47163
2017/09/08,40063
2017/09/09,69354
2017/09/10,113572
2017/09/11,48897
2017/09/12,65133
2017/09/13,37116
2017/09/14,32372
2017/09/15,65949
2017/09/16,61285
2017/09/17,124547
2017/09/18,74785
2017/09/19,60800
2017/09/20,31383
2017/09/21,17038
2017/09/22,47169
2017/09/23,49235
2017/09/24,17025
2017/09/25,38042
2017/09/26,23966
2017/09/27,2586
2017/09/28,20553
2017/09/29,17869
2017/09/30,30304
2017/10/01,35916
2017/10/02,18162
2017/10/03,35955
2017/10/04,20016
2017/10/05,17023
2017/10/06,10329
2017/10/07,25097
2017/10/08,24885
2017/10/09,32594
2017/10/10,43344
2017/10/11,18230
2017/10/12,16107
2017/10/13,28484
2017/10/14,39040
2017/10/15,45889
2017/10/16,73353
2017/10/17,144514
2017/10/18,80469
2017/10/19,29290
2017/10/20,63843
2017/10/21,69269
2017/10/22,94737
2017/10/23,28648
2017/10/24,46548
2017/10/25,27141
2017/10/26,27659
2017/10/27,436937
2017/10/28,439732
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,492528
2017/11/02,497865
2017/11/03,38188
2017/11/04,112080
2017/11/05,77553
2017/11/06,98941
2017/11/07,77418
2017/11/08,35135
2017/11/09,11270
2017/11/10,18840
2017/11/11,64529
2017/11/12,52096
2017/11/13,42472
2017/11/14,35806
2017/11/15,80885
2017/11/16,55024
2017/11/17,40653
2017/11/18,40532
2017/11/19,43993
2017/11/20,64254
2017/11/21,59163
2017/11/22,18953
2017/11/23,18405
2017/11/24,17213
2017/11/25,29728
2017/11/26,29153
2017/11/27,55751
2017/11/28,80595
2017/11/29,44893
2017/11/30,20459
2017/12/01,35322
2017/12/02,28776
2017/12/03,64767
2017/12/04,66355
2017/12/05,7927
2017/12/06,89178
2017/12/07,112534
2017/12/08,115022
2017/12/09,87799
2017/12/10,51959
2017/12/11,110573
2017/12/12,131261
2017/12/13,65981
2017/12/14,57370
2017/12/15,33813
2017/12/16,38319
2017/12/17,24345
2017/12/18,92305
2017/12/19,176086
2017/12/20,101057
2017/12/21,92230
2017/12/22,99403
2017/12/23,161513
2017/12/24,282154
2017/12/25,154303
2017/12/26,55092
2017/12/27,132184
2017/12/28,114879
2017/12/29,152939
2017/12/30,159136
2017/12/31,161496
2018/01/01,199215
2018/01/02,215320
2018/01/03,279197
2018/01/04,160530
2018/01/05,93740
2018/01/06,102019
2018/01/07,97973
2018/01/08,64939
2018/01/09,85155
2018/01/10,64155
2018/01/11,75877
2018/01/12,53890
2018/01/13,54750
2018/01/14,80553
2018/01/15,107221
2018/01/16,162271
2018/01/17,67027
2018/01/18,68193
2018/01/19,195578
2018/01/20,186643
2018/01/21,48481
2018/01/22,27889
2018/01/23,63919
2018/01/24,50343
2018/01/25,125569
2018/01/26,140540
2018/01/27,139602
2018/01/28,99294
2018/01/29,85813
2018/01/30,39444
2018/01/31,48634
2018/02/01,112714
2018/02/02,113139
2018/02/03,171551
2018/02/04,163713
2018/02/05,65148
2018/02/06,77159
2018/02/07,60601
2018/02/08,171900
2018/02/09,118210
2018/02/10,138404
2018/02/11,64316
2018/02/12,63481
2018/02/13,69231
2018/02/14,78205
2018/02/15,29463
2018/02/16,59459
2018/02/17,66079
2018/02/18,57437
2018/02/19,46465
2018/02/20,107226
2018/02/21,61670
2018/02/22,104992
2018/02/23,99932
2018/02/24,27267
2018/02/25,39967
2018/02/26,42193
2018/02/27,42430
2018/02/28,35243
2018/03/01,30272
2018/03/02,49510
2018/03/03,62613
2018/03/04,85036
2018/03/05,92362
2018/03/06,90471
2018/03/07,58267
2018/03/08,79814
2018/03/09,112044
2018/03/10,81114
2018/03/11,49191
2018/03/12,74705
2018/03/13,77017
2018/03/14,23776
2018/03/15,36768
2018/03/16,15689
2018/03/17,57846
2018/03/18,75626
2018/03/19,96348
2018/03/20,34391
2018/03/21,37181
2018/03/22,64097
2018/03/23,66347
2018/03/24,57526
2018/03/25,123545
2018/03/26,88865
2018/03/27,82158
2018/03/28,42244
2018/03/29,3790
2018/03/30,48984
2018/03/31,46750
2018/04/01,72392
2018/04/02,45155
2018/04/03,82337
2018/04/04,39160
2018/04/05,57144
2018/04/06,56655
2018/04/07,134107
