Date,sentinusd90varUSD
2019/09/22,48595013008733088
2019/09/23,46311726634976064
2019/09/24,39346719505493664
2019/09/25,33529481370493280
2019/09/26,31793968197545888
2019/09/27,30316560838746336
2019/09/28,30107986552112800
2019/09/29,29466873872147072
2019/09/30,28781401673008832
2019/10/01,28402152545089536
2019/10/02,28596216497138688
2019/10/03,29053984327180384
2019/10/04,29436311106639840
2019/10/05,30056868789630208
2019/10/06,30307773301000032
2019/10/07,20506805260475904
2019/10/08,18975790687824672
2019/10/09,14195436728017680
2019/10/10,14012784638029952
2019/10/11,14023877514606512
2019/10/12,13780935754004976
2019/10/13,12947967976713520
2019/10/14,12459627091969424
2019/10/15,11830386145631680
2019/10/16,11522796131920480
2019/10/17,11587670536987088
2019/10/18,11600840888330528
2019/10/19,11889250920528432
2019/10/20,12056119215256224
2019/10/21,12155636329631776
2019/10/22,12261759574022912
2019/10/23,12336274981781040
2019/10/24,11835554857802592
2019/10/25,11757556218804160
2019/10/26,11668655745446688
2019/10/27,11794884526588832
2019/10/28,12443090797752416
2019/10/29,12450764889952064
2019/10/30,11495101313115328
2019/10/31,11409792349092272
2019/11/01,11442556941419728
2019/11/02,11565940998666960
2019/11/03,10566446953926048
2019/11/04,10120972162987024
2019/11/05,10161387203149792
2019/11/06,9916525198765536
2019/11/07,9931787014388128
2019/11/08,9947337137214784
2019/11/09,10186581384718576
2019/11/10,10482262321708160
2019/11/11,10543408248896432
2019/11/12,10297798165726624
2019/11/13,10012530520823216
2019/11/14,10056667955844384
2019/11/15,9999502079713424
2019/11/16,10198903632820464
2019/11/17,10462912124809296
2019/11/18,10145704251706256
2019/11/19,10152838434126848
2019/11/20,10182960216019552
2019/11/21,10165440273569312
2019/11/22,10648594598842144
2019/11/23,10742537677770896
2019/11/24,10934368914508208
2019/11/25,11084017900035952
2019/11/26,11171330670136032
2019/11/27,11165352974080288
2019/11/28,11146461048363632
2019/11/29,11067345614936112
2019/11/30,11083464945243696
2019/12/01,11404051548299504
2019/12/02,11095022150822416
2019/12/03,11181897222749904
2019/12/04,11259196593501952
2019/12/05,11329896203538352
2019/12/06,11375015209774320
2019/12/07,11706890252162992
2019/12/08,12099289714075280
2019/12/09,12226765050623488
2019/12/10,12224863694514608
2019/12/11,12471694533922560
2019/12/12,12538646129797280
2019/12/13,12652565243620816
2019/12/14,12929221687067312
2019/12/15,12921205654439136
2019/12/16,12406811751074040
2019/12/17,11539184054640872
2019/12/18,11461104317601824
2019/12/19,11499766672064328
2019/12/20,11572224300380848
2019/12/21,11819576667582808
2019/12/22,11951899462848952
2019/12/23,10348075326387720
2019/12/24,9941026126255584
2019/12/25,9496112940472640
2019/12/26,9455732765077256
2019/12/27,9527909998138936
2019/12/28,9673630703791352
2019/12/29,9302579632390712
2019/12/30,9277247345200824
2019/12/31,9285675810072928
2020/01/01,9520521542562168
2020/01/02,9598818867330728
2020/01/03,9513106482560712
2020/01/04,9538133863875568
2020/01/05,9682294517416032
2020/01/06,9642356544741904
2020/01/07,9526824073998192
2020/01/08,9525357549136680
2020/01/09,9535026879120080
2020/01/10,9560328782661392
2020/01/11,9496086495136208
2020/01/12,9332347414583608
2020/01/13,9336879093469496
2020/01/14,9647579539832576
2020/01/15,9782665304558960
2020/01/16,9759732047076744
2020/01/17,9696910147567016
2020/01/18,9731079777766848
2020/01/19,9744196878757144
2020/01/20,9782873977994824
2020/01/21,9452175657595392
2020/01/22,9202893357118144
2020/01/23,9102580616146112
2020/01/24,8679972163826640
2020/01/25,8939690631911640
2020/01/26,7716524646132496
2020/01/27,7474771824691208
2020/01/28,7351468828898832
2020/01/29,7243577192746032
2020/01/30,7232836880452752
2020/01/31,7405418368240600
2020/02/01,7402566812148448
2020/02/02,7253124263273240
2020/02/03,6787322211709848
2020/02/04,6840098615998304
2020/02/05,6939417000985928
2020/02/06,7722960120416032
2020/02/07,8754845606129616
2020/02/08,8748617933315024
2020/02/09,8811084554724368
2020/02/10,9095192697623464
2020/02/11,9204373092351496
2020/02/12,11761621072548040
2020/02/13,13394682302947344
2020/02/14,14215368309707800
2020/02/15,15003308674556304
2020/02/16,15441835387683160
2020/02/17,17505155302386368
2020/02/18,18968115919094192
2020/02/19,19543525124736808
2020/02/20,19989848412617552
2020/02/21,20335732334702344
2020/02/22,20223716861708312
2020/02/23,20016735301274456
2020/02/24,20400343790117288
2020/02/25,20868965714393688
2020/02/26,22644733973334144
2020/02/27,23879384957830608
2020/02/28,24016834147776864
2020/02/29,23766147601823600
2020/03/01,23846803552481456
2020/03/02,24690955057323040
2020/03/03,24777589663632160
2020/03/04,24732802289646480
2020/03/05,24812668201356240
2020/03/06,24726475014847168
2020/03/07,24243476015739360
2020/03/08,24251705594911456
2020/03/09,26701540289622944
2020/03/10,26929448517988848
2020/03/11,27043483591723328
2020/03/12,40697464280038496
2020/03/13,45609836800127312
2020/03/14,45012915289982640
2020/03/15,44881171111392928
2020/03/16,46371905321149408
2020/03/17,46370255105793168
2020/03/18,46315107411144080
2020/03/19,46194139884838800
2020/03/20,45865360507764432
2020/03/21,45374236650256576
2020/03/22,45411430424856736
2020/03/23,44985464309194816
2020/03/24,45322284040198528
2020/03/25,44845675648455552
2020/03/26,44451192145129536
2020/03/27,44013969407280496
2020/03/28,43593726926706208
2020/03/29,43761280400508320
2020/03/30,43912484926750208
2020/03/31,43106154164059584
2020/04/01,42912029930457440
2020/04/02,42779686083296192
2020/04/03,42296719144932032
2020/04/04,42073389065103056
2020/04/05,42464591947782144
2020/04/06,42178222259838512
2020/04/07,42214233682691424
2020/04/08,41871267291088688
2020/04/09,41615956364633744
2020/04/10,41410826007952800
2020/04/11,41350861954739216
2020/04/12,41495678949493680
2020/04/13,41518792676899408
2020/04/14,41790760232780608
2020/04/15,41953434087775824
2020/04/16,41888047967659328
2020/04/17,41908590916488144
2020/04/18,41618739924668880
2020/04/19,41314479801335264
2020/04/20,40866510446886784
2020/04/21,40292974602484960
2020/04/22,39854273753184416
2020/04/23,39620573662736608
2020/04/24,39179933486604480
2020/04/25,38357984375593472
2020/04/26,38031972674214944
2020/04/27,37618261841621504
2020/04/28,37507202341140032
2020/04/29,37486905514782144
2020/04/30,38241281222349824
2020/05/01,37869878730533920
2020/05/02,37671442641127712
2020/05/03,37617176297704896
2020/05/04,37521106565989472
2020/05/05,37476174890670048
2020/05/06,37431993712218656
2020/05/07,37767765140668608
2020/05/08,37633533645345824
2020/05/09,37597146332767904
2020/05/10,38049014771875264
2020/05/11,37971601676360960
2020/05/12,37035514461901888
2020/05/13,36623091579956864
2020/05/14,36511377767962112
2020/05/15,36375926662852256
2020/05/16,36629881026410112
2020/05/17,35980440487326304
2020/05/18,35499934579319744
2020/05/19,35442761457252512
2020/05/20,35071944934949728
2020/05/21,35044450015173568
2020/05/22,34781611409443904
2020/05/23,34768792811274208
2020/05/24,34944344546370752
2020/05/25,34939424870113696
2020/05/26,34091438179691808
2020/05/27,33620704083209376
2020/05/28,33651525661949632
2020/05/29,33841597512501472
2020/05/30,34172778572096736
2020/05/31,33999077659573856
2020/06/01,34129897499153472
2020/06/02,37046966177769568
2020/06/03,37063393367238368
2020/06/04,37045696457089184
2020/06/05,36946777774805696
2020/06/06,37286775357151040
2020/06/07,35872092965789792
2020/06/08,35663482548051968
2020/06/09,35578066530638944
2020/06/10,23356363929498752
2020/06/11,19101274434029088
2020/06/12,19088685952034208
2020/06/13,19422739549992864
2020/06/14,18349213959094896
2020/06/15,18924422581871488
2020/06/16,18893534981538832
2020/06/17,18768490816100064
2020/06/18,18570146591963696
2020/06/19,18396117064160592
2020/06/20,18352211479698576
2020/06/21,18343541974422768
2020/06/22,18344296695026816
2020/06/23,18797354581194160
2020/06/24,23101353402408800
2020/06/25,32526542390710112
2020/06/26,32976443448193984
2020/06/27,32313579665224896
2020/06/28,32037518785715040
2020/06/29,31885996994893440
2020/06/30,31388673898869312
2020/07/01,31285315605379456
2020/07/02,31187024219393184
2020/07/03,30537067633712224
2020/07/04,29914527877678048
2020/07/05,30274764493082656
2020/07/06,30380750317476896
2020/07/07,30456534171927488
2020/07/08,31609729723637984
2020/07/09,31894589689022048
2020/07/10,31415507336327712
2020/07/11,30984511972018144
2020/07/12,31049298534491936
2020/07/13,31135948240304160
2020/07/14,31854989438920000
2020/07/15,31856446527691296
2020/07/16,31670125199304192
2020/07/17,31474221063541568
2020/07/18,31282606312749888
2020/07/19,31314952339230112
2020/07/20,31349170642450112
2020/07/21,31430412699364288
2020/07/22,32261817096204544
2020/07/23,41323894857102720
2020/07/24,42639708351504768
2020/07/25,43653063371635104
2020/07/26,47147061456940544
2020/07/27,60137367663369216
2020/07/28,63377918840990752
2020/07/29,65632843004404224
2020/07/30,69195766631490560
2020/07/31,73011009998217664
2020/08/01,76090605161562432
2020/08/02,81443168638806272
2020/08/03,86525376471772608
2020/08/04,92952228178394944
2020/08/05,94694855477051264
2020/08/06,96594724471937088
2020/08/07,99138425134610304
2020/08/08,99165254591523136
2020/08/09,99241736840480896
2020/08/10,104728181491779520
2020/08/11,108627455702715584
2020/08/12,119365654170388672
2020/08/13,128877526501504384
2020/08/14,147003431652467584
2020/08/15,146607915052793088
2020/08/16,146795858120244480
2020/08/17,149982044744663744
2020/08/18,152739583868185280
2020/08/19,155267811067547072
2020/08/20,157614543069874048
2020/08/21,159919574601594560
2020/08/22,157859377287278208
2020/08/23,156214502888757568
2020/08/24,157137487005899648
2020/08/25,156811703397547072
2020/08/26,157320967856379456
2020/08/27,157242310122256256
2020/08/28,160979106297688768
2020/08/29,161760803481555968
2020/08/30,166300130768024064
2020/08/31,194580159686532992
2020/09/01,255846137193998336
2020/09/02,305573923628181376
2020/09/03,342016029846147456
2020/09/04,366870828387767296
2020/09/05,384057642255694208
2020/09/06,389120196386649472
2020/09/07,388825032118769664
2020/09/08,387711346253122176
2020/09/09,389349538524559488
2020/09/10,400594257628944000
2020/09/11,401059608256960640
2020/09/12,398629141186566656
2020/09/13,401733003638081152
2020/09/14,407970511970575488
2020/09/15,406885366594361472
2020/09/16,407424816061370880
2020/09/17,421234324920617984
2020/09/18,437750583655453440
2020/09/19,431521330380766464
2020/09/20,428591046802445824
2020/09/21,429817572678004480
2020/09/22,429678713195818496
2020/09/23,430429109370420480
2020/09/24,427457370264148736
2020/09/25,421203639529305600
2020/09/26,414051311169957888
2020/09/27,407080319058085376
2020/09/28,400978247444112128
2020/09/29,394340403378844416
2020/09/30,387455345361551616
2020/10/01,380393718170346496
2020/10/02,370181249089510656
2020/10/03,362762487216033536
2020/10/04,361366703434993152
2020/10/05,357290288640270336
2020/10/06,355872189235312384
2020/10/07,351126826113388544
2020/10/08,346769087104329472
2020/10/09,335709574926553344
2020/10/10,326926086513272576
2020/10/11,325959960170427648
2020/10/12,323046594292131840
2020/10/13,316166954418511616
2020/10/14,309491327916116480
2020/10/15,302692316954680320
2020/10/16,292279205600287744
2020/10/17,289339203469698560
2020/10/18,289514831890148096
2020/10/19,285731370400185600
2020/10/20,283985461789167616
2020/10/21,284122614618594560
2020/10/22,282044810608348928
2020/10/23,279412067728165120
2020/10/24,282266958678030080
2020/10/25,287390101553518848
2020/10/26,286503315994306816
2020/10/27,285765035021462016
2020/10/28,285266684321626368
2020/10/29,287149065100648192
2020/10/30,286687886238488064
2020/10/31,289922068582317056
2020/11/01,295547824079377920
2020/11/02,295548434212931328
2020/11/03,294592819646052096
2020/11/04,293421679069737216
2020/11/05,294012155374580736
2020/11/06,292041490325394944
2020/11/07,288940709340371712
2020/11/08,293386568273902848
2020/11/09,293255814264664832
2020/11/10,292869497611246592
2020/11/11,292351708662526976
2020/11/12,290611445085381376
2020/11/13,289456340374386688
2020/11/14,289631823356194816
2020/11/15,293212033728125696
2020/11/16,293347676719096064
2020/11/17,297141903286390016
2020/11/18,301662236995624704
2020/11/19,301663872288591872
2020/11/20,301023560916679680
2020/11/21,304247536284174592
2020/11/22,306882470051076096
2020/11/23,323261885485169152
2020/11/24,353760448501324032
2020/11/25,351464189184099072
2020/11/26,367025772793731328
2020/11/27,366176947373135616
2020/11/28,369644625379799296
2020/11/29,362377459718615296
2020/11/30,330903573215798272
2020/12/01,315459441337045760
2020/12/02,296578034770262528
2020/12/03,282594562015568128
2020/12/04,273608151647524352
2020/12/05,272711157492979456
2020/12/06,274526009012660992
2020/12/07,275266361775262208
2020/12/08,275195779899903744
2020/12/09,271439499770868480
2020/12/10,270337091823062016
2020/12/11,270270241664132096
2020/12/12,270611596551829248
2020/12/13,267032609914364160
2020/12/14,266062424094319616
2020/12/15,264258618994946048
2020/12/16,256638672292797440
2020/12/17,276157569290473216
2020/12/18,280419912105377792
2020/12/19,284743550778453760
2020/12/20,282728673921835520
2020/12/21,289958499882828288
2020/12/22,292870203647574272
2020/12/23,294092717421547520
2020/12/24,294210958960997120
2020/12/25,291592908156464384
2020/12/26,289459067213873664
2020/12/27,297338645636153600
2020/12/28,313604901155827712
2020/12/29,340405676573952256
2020/12/30,358117611075478784
2020/12/31,364527757320104192
2021/01/01,358955922239808000
2021/01/02,353277821864046080
2021/01/03,486154053683233280
2021/01/04,903541522233460736
2021/01/05,1032037878582192640
2021/01/06,1278163279276032512
2021/01/07,1570306570969389568
2021/01/08,1878562242608100352
2021/01/09,1913001659103903744
2021/01/10,1979659344538237952
2021/01/11,2288800195013153280
2021/01/12,2329670414651182080
2021/01/13,2367578359059076096
2021/01/14,2717740361213986304
