Date,size14std
2018/03/23,2342
2018/03/24,2809
2018/03/25,3639
2018/03/26,3441
2018/03/27,3365
2018/03/28,3345
2018/03/29,3265
2018/03/30,3202
2018/03/31,3234
2018/04/01,3245
2018/04/02,2905
2018/04/03,2708
2018/04/04,2222
2018/04/05,2457
2018/04/06,2356
2018/04/07,2468
2018/04/08,2073
2018/04/09,2139
2018/04/10,2128
2018/04/11,2157
2018/04/12,2799
2018/04/13,3226
2018/04/14,3159
2018/04/15,2867
2018/04/16,2940
2018/04/17,3459
2018/04/18,3885
2018/04/19,4948
2018/04/20,5898
2018/04/21,5380
2018/04/22,5136
2018/04/23,5170
2018/04/24,5070
2018/04/25,4872
2018/04/26,4928
2018/04/27,4875
2018/04/28,4094
2018/04/29,3125
2018/04/30,2738
2018/05/01,2508
2018/05/02,2316
2018/05/03,2459
2018/05/04,2799
2018/05/05,2230
2018/05/06,2422
2018/05/07,2590
2018/05/08,2610
2018/05/09,2605
2018/05/10,2805
2018/05/11,2775
2018/05/12,2838
2018/05/13,2923
2018/05/14,2928
2018/05/15,2926
2018/05/16,2892
2018/05/17,2756
2018/05/18,2146
2018/05/19,2139
2018/05/20,1861
2018/05/21,1746
2018/05/22,1703
2018/05/23,1790
2018/05/24,1517
2018/05/25,1510
2018/05/26,1684
2018/05/27,1689
2018/05/28,1606
2018/05/29,1636
2018/05/30,1679
2018/05/31,2143
2018/06/01,2132
2018/06/02,2121
2018/06/03,1993
2018/06/04,2088
2018/06/05,2113
2018/06/06,2121
2018/06/07,2148
2018/06/08,2166
2018/06/09,1938
2018/06/10,1752
2018/06/11,1786
2018/06/12,1929
2018/06/13,1925
2018/06/14,1420
2018/06/15,1784
2018/06/16,2001
2018/06/17,3144
2018/06/18,3123
2018/06/19,3012
2018/06/20,3120
2018/06/21,3126
2018/06/22,3126
2018/06/23,3583
2018/06/24,3821
2018/06/25,3896
2018/06/26,3898
2018/06/27,3803
2018/06/28,3794
2018/06/29,3767
2018/06/30,3483
2018/07/01,3020
2018/07/02,3546
2018/07/03,3449
2018/07/04,3730
2018/07/05,3723
2018/07/06,3861
2018/07/07,3979
2018/07/08,3945
2018/07/09,3542
2018/07/10,3478
2018/07/11,3134
2018/07/12,2869
2018/07/13,2709
2018/07/14,2801
2018/07/15,2944
2018/07/16,3147
2018/07/17,3370
2018/07/18,3322
2018/07/19,3507
2018/07/20,3244
2018/07/21,3355
2018/07/22,3378
2018/07/23,3437
2018/07/24,3571
2018/07/25,3772
2018/07/26,3830
2018/07/27,3771
2018/07/28,3770
2018/07/29,3224
2018/07/30,3266
2018/07/31,3302
2018/08/01,3454
2018/08/02,3563
2018/08/03,3477
2018/08/04,2991
2018/08/05,2787
2018/08/06,2791
2018/08/07,3155
2018/08/08,4469
2018/08/09,5533
2018/08/10,5693
2018/08/11,5644
2018/08/12,5692
2018/08/13,5519
2018/08/14,5311
2018/08/15,4887
2018/08/16,4470
2018/08/17,4331
2018/08/18,4460
2018/08/19,4438
2018/08/20,4866
2018/08/21,5434
2018/08/22,4878
2018/08/23,3910
2018/08/24,3460
2018/08/25,3537
2018/08/26,3254
2018/08/27,3359
2018/08/28,3589
2018/08/29,3006
2018/08/30,2904
2018/08/31,2465
2018/09/01,2339
2018/09/02,2134
2018/09/03,2118
2018/09/04,2074
2018/09/05,2105
2018/09/06,2128
2018/09/07,2078
2018/09/08,2109
2018/09/09,2378
2018/09/10,2355
2018/09/11,2229
2018/09/12,2196
2018/09/13,2202
2018/09/14,2372
2018/09/15,2531
2018/09/16,2875
2018/09/17,2960
2018/09/18,2952
2018/09/19,3799
2018/09/20,3767
2018/09/21,3869
2018/09/22,3860
2018/09/23,3668
2018/09/24,4107
2018/09/25,4074
2018/09/26,4515
2018/09/27,4721
2018/09/28,4804
2018/09/29,5726
2018/09/30,5801
2018/10/01,5836
2018/10/02,5890
2018/10/03,5546
2018/10/04,5723
2018/10/05,6201
2018/10/06,7335
2018/10/07,8710
2018/10/08,8958
2018/10/09,8803
2018/10/10,8210
2018/10/11,7043
2018/10/12,5720
2018/10/13,5891
2018/10/14,5903
2018/10/15,5152
2018/10/16,4230
2018/10/17,3863
2018/10/18,2895
2018/10/19,2373
2018/10/20,2542
2018/10/21,2404
2018/10/22,2625
2018/10/23,2603
2018/10/24,3008
2018/10/25,3656
2018/10/26,3642
2018/10/27,3924
2018/10/28,3861
2018/10/29,3949
2018/10/30,3967
2018/10/31,3964
2018/11/01,3956
2018/11/02,3992
2018/11/03,3984
2018/11/04,4019
2018/11/05,3950
2018/11/06,3968
2018/11/07,3705
2018/11/08,3004
2018/11/09,2675
2018/11/10,2454
2018/11/11,2219
2018/11/12,1971
2018/11/13,1787
2018/11/14,1914
2018/11/15,1891
2018/11/16,1894
2018/11/17,1975
2018/11/18,2320
2018/11/19,2465
2018/11/20,2639
2018/11/21,2644
2018/11/22,2610
2018/11/23,2610
