Date,price7emaUSD
2017/12/24,714.11
2017/12/25,714.777
2017/12/26,722.328
2017/12/27,729.374
2017/12/28,723.97
2017/12/29,727.503
2017/12/30,721.753
2017/12/31,721.67
2018/01/01,728.996
2018/01/02,759.332
2018/01/03,791.336
2018/01/04,831.287
2018/01/05,868.534
2018/01/06,900.556
2018/01/07,945.788
2018/01/08,997.808
2018/01/09,1053
2018/01/10,1120
2018/01/11,1146
2018/01/12,1169
2018/01/13,1216
2018/01/14,1249
2018/01/15,1270
2018/01/16,1236
2018/01/17,1166
2018/01/18,1136
2018/01/19,1114
2018/01/20,1117
2018/01/21,1109
2018/01/22,1089
2018/01/23,1063
2018/01/24,1051
2018/01/25,1056
2018/01/26,1055
2018/01/27,1061
2018/01/28,1093
2018/01/29,1117
2018/01/30,1123
2018/01/31,1117
2018/02/01,1116
2018/02/02,1069
2018/02/03,1041
2018/02/04,1008
2018/02/05,950.341
2018/02/06,882.654
2018/02/07,861.757
2018/02/08,850.048
2018/02/09,845.677
2018/02/10,852.067
2018/02/11,845.404
2018/02/12,848.421
2018/02/13,848.05
2018/02/14,857.184
2018/02/15,875.998
2018/02/16,890.671
2018/02/17,909.448
2018/02/18,918.243
2018/02/19,924.028
2018/02/20,927.912
2018/02/21,913.296
2018/02/22,892.836
2018/02/23,881.211
2018/02/24,872.037
2018/02/25,864.137
2018/02/26,863.488
2018/02/27,867.492
2018/02/28,868.27
2018/03/01,867.835
2018/03/02,866.798
2018/03/03,865.525
2018/03/04,862.774
2018/03/05,862.63
2018/03/06,855.336
2018/03/07,837.076
2018/03/08,812.601
2018/03/09,781.009
2018/03/10,766.8
2018/03/11,750.633
2018/03/12,741.727
2018/03/13,730.065
2018/03/14,712.751
2018/03/15,685.114
2018/03/16,666.238
2018/03/17,646.168
2018/03/18,611.784
2018/03/19,593.709
2018/03/20,581.359
2018/03/21,578.382
2018/03/22,570.944
2018/03/23,559.137
2018/03/24,553.736
2018/03/25,545.962
2018/03/26,534.467
2018/03/27,516.778
2018/03/28,500.509
2018/03/29,479.077
2018/03/30,455.572
2018/03/31,442.107
2018/04/01,427.211
2018/04/02,416.837
2018/04/03,413.045
2018/04/04,407.657
2018/04/05,400.406
2018/04/06,393.439
2018/04/07,391.257
2018/04/08,392.347
2018/04/09,395.375
2018/04/10,397.309
2018/04/11,402.998
2018/04/12,414.891
2018/04/13,437.376
2018/04/14,453.503
2018/04/15,470.175
2018/04/16,480.644
2018/04/17,488.499
2018/04/18,495.111
2018/04/19,507.239
2018/04/20,526.614
2018/04/21,546.137
2018/04/22,565.254
2018/04/23,583.81
2018/04/24,610.237
2018/04/25,618.699
2018/04/26,621.832
2018/04/27,632.755
2018/04/28,643.7
2018/04/29,653.859
2018/04/30,661.071
2018/05/01,660.306
2018/05/02,664.946
2018/05/03,682.24
2018/05/04,707.451
2018/05/05,732.97
2018/05/06,747.924
2018/05/07,746.77
2018/05/08,747.362
2018/05/09,745.517
2018/05/10,747.68
2018/05/11,735.505
