Date,sentbyaddress30std
2018/03/20,64447
2018/03/21,63950
2018/03/22,61621
2018/03/23,63734
2018/03/24,63852
2018/03/25,67139
2018/03/26,66800
2018/03/27,67115
2018/03/28,68203
2018/03/29,68291
2018/03/30,67611
2018/03/31,68699
2018/04/01,70776
2018/04/02,71474
2018/04/03,70844
2018/04/04,70752
2018/04/05,69601
2018/04/06,48561
2018/04/07,48591
2018/04/08,48459
2018/04/09,48487
2018/04/10,47952
2018/04/11,47818
2018/04/12,48609
2018/04/13,47246
2018/04/14,46947
2018/04/15,46903
2018/04/16,46487
2018/04/17,46485
2018/04/18,45794
2018/04/19,47424
2018/04/20,48955
2018/04/21,50295
2018/04/22,49170
2018/04/23,55054
2018/04/24,57938
2018/04/25,59327
2018/04/26,60129
2018/04/27,58859
2018/04/28,58535
2018/04/29,58460
2018/04/30,56751
2018/05/01,52547
2018/05/02,51386
2018/05/03,54689
2018/05/04,119625
2018/05/05,121133
2018/05/06,120460
2018/05/07,118983
2018/05/08,118760
2018/05/09,118229
2018/05/10,116776
2018/05/11,115729
2018/05/12,115485
2018/05/13,115168
2018/05/14,113273
2018/05/15,111269
2018/05/16,109638
2018/05/17,108388
2018/05/18,106898
2018/05/19,107178
2018/05/20,106670
2018/05/21,105689
2018/05/22,106840
2018/05/23,107184
2018/05/24,107327
2018/05/25,106701
2018/05/26,105948
2018/05/27,104318
2018/05/28,102115
2018/05/29,98940
2018/05/30,96885
2018/05/31,92413
2018/06/01,91655
2018/06/02,91451
2018/06/03,34896
2018/06/04,34987
2018/06/05,32984
2018/06/06,34298
2018/06/07,34346
2018/06/08,35299
2018/06/09,35294
2018/06/10,35260
2018/06/11,34639
2018/06/12,34912
2018/06/13,37646
2018/06/14,40563
2018/06/15,40496
2018/06/16,46634
2018/06/17,49401
2018/06/18,50987
2018/06/19,50904
2018/06/20,51216
2018/06/21,48859
2018/06/22,48587
2018/06/23,50154
2018/06/24,50552
2018/06/25,65032
2018/06/26,64844
2018/06/27,63570
2018/06/28,62592
2018/06/29,62270
2018/06/30,71119
2018/07/01,87789
2018/07/02,96754
2018/07/03,103009
2018/07/04,109533
2018/07/05,112875
2018/07/06,119021
2018/07/07,123188
2018/07/08,124365
2018/07/09,123108
2018/07/10,120844
2018/07/11,120025
2018/07/12,121367
2018/07/13,123486
2018/07/14,125301
2018/07/15,125059
2018/07/16,125364
2018/07/17,125713
2018/07/18,130113
2018/07/19,129749
2018/07/20,126922
2018/07/21,124647
2018/07/22,121576
2018/07/23,125555
2018/07/24,130487
2018/07/25,119784
2018/07/26,119070
2018/07/27,121442
2018/07/28,120651
2018/07/29,119249
2018/07/30,119984
2018/07/31,116264
2018/08/01,114254
2018/08/02,112159
2018/08/03,109968
2018/08/04,107875
2018/08/05,101836
2018/08/06,95654
2018/08/07,93302
2018/08/08,92923
2018/08/09,94481
2018/08/10,93188
2018/08/11,89153
2018/08/12,82476
2018/08/13,74660
2018/08/14,64974
2018/08/15,65054
2018/08/16,64993
2018/08/17,62564
2018/08/18,63276
2018/08/19,64170
2018/08/20,60988
2018/08/21,63690
2018/08/22,62296
2018/08/23,58837
2018/08/24,53525
2018/08/25,53159
2018/08/26,48257
2018/08/27,48241
2018/08/28,48406
2018/08/29,49383
2018/08/30,50070
2018/08/31,48593
2018/09/01,46255
2018/09/02,40482
2018/09/03,39359
2018/09/04,39301
2018/09/05,38223
2018/09/06,38774
2018/09/07,38040
2018/09/08,35186
2018/09/09,35543
2018/09/10,35074
2018/09/11,36779
2018/09/12,37210
2018/09/13,37374
2018/09/14,39354
2018/09/15,42357
2018/09/16,47589
2018/09/17,48103
2018/09/18,50547
2018/09/19,51728
2018/09/20,53237
2018/09/21,53705
2018/09/22,55801
2018/09/23,56347
2018/09/24,57494
2018/09/25,56929
2018/09/26,55390
2018/09/27,55671
2018/09/28,56955
2018/09/29,59248
2018/09/30,59011
2018/10/01,57371
2018/10/02,54754
2018/10/03,50399
2018/10/04,47526
2018/10/05,46528
2018/10/06,47964
2018/10/07,45487
2018/10/08,43857
2018/10/09,42443
2018/10/10,40921
2018/10/11,41590
2018/10/12,41626
2018/10/13,41437
2018/10/14,41382
2018/10/15,41248
2018/10/16,41323
2018/10/17,43735
2018/10/18,43960
2018/10/19,43855
2018/10/20,43769
2018/10/21,43758
2018/10/22,44343
2018/10/23,44048
2018/10/24,43552
2018/10/25,43106
2018/10/26,41582
2018/10/27,40144
2018/10/28,38981
2018/10/29,35697
2018/10/30,36289
2018/10/31,33450
2018/11/01,28326
2018/11/02,30000
2018/11/03,31879
2018/11/04,31312
2018/11/05,29688
2018/11/06,28975
2018/11/07,30140
2018/11/08,31395
2018/11/09,31115
2018/11/10,31676
2018/11/11,31712
2018/11/12,31711
2018/11/13,31229
2018/11/14,31201
2018/11/15,30941
2018/11/16,29865
2018/11/17,31340
2018/11/18,33073
2018/11/19,36368
2018/11/20,36608
2018/11/21,35944
2018/11/22,35940
2018/11/23,35703
2018/11/24,37129
2018/11/25,37013
2018/11/26,37074
2018/11/27,36820
2018/11/28,34877
2018/11/29,32460
2018/11/30,30060
2018/12/01,30621
2018/12/02,31529
2018/12/03,31461
2018/12/04,31996
2018/12/05,31492
2018/12/06,31274
2018/12/07,31535
2018/12/08,33226
2018/12/09,32937
2018/12/10,32947
2018/12/11,32242
2018/12/12,31784
2018/12/13,31790
2018/12/14,31148
2018/12/15,31142
2018/12/16,31320
2018/12/17,30905
2018/12/18,30208
2018/12/19,23773
2018/12/20,22274
2018/12/21,22417
2018/12/22,23911
2018/12/23,23916
2018/12/24,23155
2018/12/25,23087
2018/12/26,23272
2018/12/27,23631
2018/12/28,23982
2018/12/29,24425
2018/12/30,24974
2018/12/31,23754
2019/01/01,23325
2019/01/02,23267
2019/01/03,24368
2019/01/04,24366
2019/01/05,24488
2019/01/06,24325
2019/01/07,22365
2019/01/08,23067
2019/01/09,23481
2019/01/10,23276
2019/01/11,23256
2019/01/12,26367
2019/01/13,28192
2019/01/14,31414
2019/01/15,31845
2019/01/16,32231
2019/01/17,32178
2019/01/18,32223
2019/01/19,32670
2019/01/20,33684
2019/01/21,32568
2019/01/22,33232
2019/01/23,33254
2019/01/24,33390
2019/01/25,33440
2019/01/26,34871
2019/01/27,34862
2019/01/28,34226
2019/01/29,33964
2019/01/30,34224
2019/01/31,33888
2019/02/01,33827
2019/02/02,33612
2019/02/03,36486
2019/02/04,39915
2019/02/05,42392
2019/02/06,43684
2019/02/07,44079
2019/02/08,42999
2019/02/09,43133
2019/02/10,43919
2019/02/11,44138
2019/02/12,44512
2019/02/13,38186
2019/02/14,34921
2019/02/15,34490
2019/02/16,34087
2019/02/17,33539
2019/02/18,34650
2019/02/19,35126
2019/02/20,34810
2019/02/21,34658
2019/02/22,33906
2019/02/23,33183
2019/02/24,32536
2019/02/25,32597
2019/02/26,32561
2019/02/27,30621
2019/02/28,29331
2019/03/01,31156
2019/03/02,31066
2019/03/03,30796
2019/03/04,31889
2019/03/05,33078
2019/03/06,33134
2019/03/07,32939
2019/03/08,32201
2019/03/09,31490
2019/03/10,31440
2019/03/11,29728
2019/03/12,27107
2019/03/13,26322
2019/03/14,25283
2019/03/15,24718
2019/03/16,24668
2019/03/17,24444
2019/03/18,24175
2019/03/19,24062
2019/03/20,25364
2019/03/21,25547
2019/03/22,25748
2019/03/23,24808
2019/03/24,24281
2019/03/25,27069
2019/03/26,28708
2019/03/27,28468
2019/03/28,28937
2019/03/29,29663
2019/03/30,29332
2019/03/31,29349
2019/04/01,33293
2019/04/02,42260
2019/04/03,46852
2019/04/04,48063
2019/04/05,48633
2019/04/06,48547
2019/04/07,48369
2019/04/08,49234
2019/04/09,47909
2019/04/10,46662
2019/04/11,49235
2019/04/12,53251
2019/04/13,52654
2019/04/14,53148
2019/04/15,50013
2019/04/16,47215
2019/04/17,46808
2019/04/18,46778
2019/04/19,47594
2019/04/20,55831
2019/04/21,55282
2019/04/22,53606
2019/04/23,52117
2019/04/24,52179
