Date,fee_to_rewardUSD
2017/12/04,3.444
2017/12/05,4.861
2017/12/06,6.235
2017/12/07,8.898
2017/12/08,9.287
2017/12/09,8.723
2017/12/10,7.99
2017/12/11,6.524
2017/12/12,6.489
2017/12/13,5.713
2017/12/14,6.963
2017/12/15,6.033
2017/12/16,6.138
2017/12/17,5.044
2017/12/18,4.939
2017/12/19,6.113
2017/12/20,7.076
2017/12/21,7.306
2017/12/22,6.813
2017/12/23,5.099
2017/12/24,4.462
2017/12/25,3.344
2017/12/26,3.309
2017/12/27,3.637
2017/12/28,3.679
2017/12/29,4.372
2017/12/30,4.199
2017/12/31,3.821
2018/01/01,3.371
2018/01/02,4.504
2018/01/03,5.14
2018/01/04,5.958
2018/01/05,11.041
2018/01/06,12.506
2018/01/07,10.462
2018/01/08,10.887
2018/01/09,11.329
2018/01/10,12.765
2018/01/11,11.125
2018/01/12,8.805
2018/01/13,9.224
2018/01/14,8.579
2018/01/15,8.888
2018/01/16,8.588
2018/01/17,8.179
2018/01/18,8.563
2018/01/19,7.527
2018/01/20,7.075
2018/01/21,5.674
2018/01/22,5.079
2018/01/23,5.863
2018/01/24,5.418
2018/01/25,4.603
2018/01/26,4.215
2018/01/27,3.616
2018/01/28,3.891
2018/01/29,5.32
2018/01/30,4.648
2018/01/31,4.604
2018/02/01,6.334
2018/02/02,5.057
2018/02/03,3.855
2018/02/04,3.718
2018/02/05,3.799
2018/02/06,4.063
2018/02/07,3.706
2018/02/08,2.866
2018/02/09,3.141
2018/02/10,3.324
2018/02/11,2.877
2018/02/12,2.849
2018/02/13,2.807
2018/02/14,2.913
2018/02/15,2.804
2018/02/16,2.692
2018/02/17,2.993
2018/02/18,3.418
2018/02/19,2.907
2018/02/20,3.305
2018/02/21,3.194
2018/02/22,2.744
2018/02/23,2.742
2018/02/24,2.782
2018/02/25,2.489
2018/02/26,2.451
2018/02/27,2.532
2018/02/28,3.274
2018/03/01,2.537
2018/03/02,3.133
2018/03/03,2.286
2018/03/04,2.404
2018/03/05,2.699
2018/03/06,2.312
2018/03/07,2.699
2018/03/08,2.443
2018/03/09,2.259
2018/03/10,1.804
2018/03/11,1.643
2018/03/12,2.317
2018/03/13,1.78
2018/03/14,1.891
2018/03/15,1.778
2018/03/16,1.713
2018/03/17,1.417
2018/03/18,1.668
2018/03/19,1.732
2018/03/20,1.7
2018/03/21,2.022
2018/03/22,1.923
2018/03/23,2.063
2018/03/24,1.728
2018/03/25,1.536
2018/03/26,1.801
2018/03/27,1.65
2018/03/28,1.671
2018/03/29,1.754
2018/03/30,1.605
2018/03/31,1.294
2018/04/01,1.178
2018/04/02,1.416
2018/04/03,1.52
2018/04/04,1.315
2018/04/05,2.174
2018/04/06,1.5
2018/04/07,1.134
2018/04/08,1.307
2018/04/09,1.415
2018/04/10,1.34
2018/04/11,1.509
2018/04/12,1.74
2018/04/13,1.958
2018/04/14,1.45
2018/04/15,1.349
2018/04/16,1.513
2018/04/17,1.626
2018/04/18,1.909
2018/04/19,1.975
2018/04/20,2.013
2018/04/21,1.574
2018/04/22,1.631
2018/04/23,1.764
2018/04/24,2.152
2018/04/25,2.035
2018/04/26,2.038
2018/04/27,2.18
2018/04/28,2.071
2018/04/29,2.409
2018/04/30,2.504
2018/05/01,1.991
2018/05/02,2.077
2018/05/03,2.495
2018/05/04,2.404
2018/05/05,1.902
2018/05/06,1.714
2018/05/07,1.96
2018/05/08,2.104
2018/05/09,2.315
2018/05/10,3.238
2018/05/11,3.132
2018/05/12,2.22
2018/05/13,2.35
2018/05/14,2.959
2018/05/15,2.965
2018/05/16,3.149
2018/05/17,3.404
2018/05/18,3.229
2018/05/19,2.859
2018/05/20,2.647
2018/05/21,2.988
2018/05/22,3.358
2018/05/23,3.332
2018/05/24,3.189
2018/05/25,2.979
2018/05/26,2.626
2018/05/27,2.439
2018/05/28,3.679
2018/05/29,3.566
2018/05/30,3.741
2018/05/31,4.56
2018/06/01,3.813
2018/06/02,2.633
2018/06/03,2.59
2018/06/04,3.17
2018/06/05,2.817
2018/06/06,3.431
2018/06/07,2.726
2018/06/08,2.394
2018/06/09,1.914
2018/06/10,1.959
2018/06/11,2.057
2018/06/12,2.062
2018/06/13,2.166
2018/06/14,2.333
2018/06/15,2.656
2018/06/16,1.714
2018/06/17,1.399
2018/06/18,1.499
2018/06/19,2.088
2018/06/20,1.959
2018/06/21,1.884
2018/06/22,2.78
2018/06/23,1.56
2018/06/24,1.745
2018/06/25,2.28
2018/06/26,1.73
2018/06/27,1.737
2018/06/28,1.675
2018/06/29,1.775
2018/06/30,7.207
2018/07/01,11.886
2018/07/02,18.736
2018/07/03,14.753
2018/07/04,11.463
2018/07/05,10.216
2018/07/06,12.979
2018/07/07,11.767
2018/07/08,5.802
2018/07/09,4.716
2018/07/10,3.263
2018/07/11,3.647
2018/07/12,5.817
2018/07/13,6.573
2018/07/14,11.539
2018/07/15,12.812
2018/07/16,2.628
2018/07/17,2.163
2018/07/18,2.152
2018/07/19,1.954
2018/07/20,2.537
2018/07/21,2.604
2018/07/22,1.631
2018/07/23,2.502
2018/07/24,2.117
2018/07/25,1.963
2018/07/26,1.777
2018/07/27,1.643
2018/07/28,1.961
2018/07/29,1.361
2018/07/30,1.567
2018/07/31,1.596
2018/08/01,1.51
2018/08/02,1.498
2018/08/03,1.557
2018/08/04,1.456
2018/08/05,1.191
2018/08/06,1.903
2018/08/07,5.527
2018/08/08,11.413
2018/08/09,9.984
2018/08/10,6.371
2018/08/11,2.239
2018/08/12,1.635
2018/08/13,2.238
2018/08/14,2.634
2018/08/15,2.645
2018/08/16,2.21
2018/08/17,7.27
2018/08/18,1.9
2018/08/19,1.687
2018/08/20,1.777
2018/08/21,1.72
2018/08/22,2.951
2018/08/23,2.129
2018/08/24,3.318
2018/08/25,1.515
2018/08/26,2.22
