Date,transactionvalue7smaUSD
2018/10/07,542.092
2018/10/08,552.937
2018/10/09,566.287
2018/10/10,569.082
2018/10/11,634.317
2018/10/12,655.709
2018/10/13,659.882
2018/10/14,661.97
2018/10/15,742.884
2018/10/16,774.07
2018/10/17,781.133
2018/10/18,747.841
2018/10/19,728.239
2018/10/20,744.733
2018/10/21,794.681
2018/10/22,697.407
2018/10/23,669.378
2018/10/24,659.639
2018/10/25,655.574
2018/10/26,665.442
2018/10/27,644.201
2018/10/28,587.464
2018/10/29,598.882
2018/10/30,586.293
2018/10/31,579.945
2018/11/01,538.663
2018/11/02,546.126
2018/11/03,550.118
2018/11/04,579.128
2018/11/05,607.501
2018/11/06,625.725
2018/11/07,660.372
2018/11/08,678.094
2018/11/09,671.038
2018/11/10,677.942
2018/11/11,655.011
2018/11/12,632.982
2018/11/13,630
2018/11/14,656.495
2018/11/15,704.392
2018/11/16,716.451
2018/11/17,716.605
2018/11/18,751.592
2018/11/19,830.589
2018/11/20,918.686
2018/11/21,900.564
2018/11/22,845.516
2018/11/23,838.036
2018/11/24,849.324
2018/11/25,868.493
2018/11/26,789.826
2018/11/27,686.499
2018/11/28,650.475
2018/11/29,673.174
2018/11/30,1056
2018/12/01,1466
2018/12/02,1396
2018/12/03,1364
2018/12/04,1350
2018/12/05,1334
2018/12/06,1315
2018/12/07,943.533
2018/12/08,516.748
2018/12/09,531.18
2018/12/10,524.454
2018/12/11,522.499
2018/12/12,504.927
2018/12/13,480.545
2018/12/14,431.717
2018/12/15,407.599
2018/12/16,387.655
2018/12/17,406.155
2018/12/18,423.747
2018/12/19,475.411
2018/12/20,521.781
2018/12/21,584.553
2018/12/22,612.678
2018/12/23,671.263
2018/12/24,727.283
2018/12/25,731.949
2018/12/26,695.531
2018/12/27,673.478
2018/12/28,644.958
2018/12/29,715.1
2018/12/30,683.471
2018/12/31,627.873
2019/01/01,616.354
2019/01/02,643.622
2019/01/03,642.495
2019/01/04,701.65
2019/01/05,749.097
2019/01/06,789.179
2019/01/07,815.921
2019/01/08,834.893
2019/01/09,820.987
2019/01/10,835.798
2019/01/11,814.307
2019/01/12,688.06
2019/01/13,642.576
2019/01/14,641.586
2019/01/15,630.584
2019/01/16,636.654
2019/01/17,603.454
2019/01/18,529.964
2019/01/19,518.383
2019/01/20,509.484
2019/01/21,457.829
2019/01/22,428.569
2019/01/23,399.755
2019/01/24,403.301
2019/01/25,411.104
2019/01/26,409.606
2019/01/27,416.897
2019/01/28,451.221
2019/01/29,460.73
2019/01/30,463.531
2019/01/31,457.609
2019/02/01,452.453
2019/02/02,447.663
2019/02/03,432.175
2019/02/04,382.79
2019/02/05,358.509
2019/02/06,353.631
2019/02/07,333.799
2019/02/08,345.93
2019/02/09,351.596
2019/02/10,368.731
2019/02/11,408.018
2019/02/12,432.25
2019/02/13,436.016
2019/02/14,446.822
2019/02/15,434.019
2019/02/16,428.549
2019/02/17,434.76
2019/02/18,476.254
2019/02/19,525.017
2019/02/20,548.323
2019/02/21,569.133
2019/02/22,593.929
2019/02/23,621.567
2019/02/24,668.356
2019/02/25,678.502
2019/02/26,635.642
2019/02/27,653.78
2019/02/28,656.835
2019/03/01,639.157
2019/03/02,623.68
2019/03/03,571.83
2019/03/04,516.584
2019/03/05,523.345
2019/03/06,492.344
2019/03/07,480.473
2019/03/08,498.027
2019/03/09,508.378
2019/03/10,511.792
2019/03/11,526.402
2019/03/12,532.971
2019/03/13,526.34
2019/03/14,528.254
2019/03/15,520.909
2019/03/16,533.799
2019/03/17,535.166
2019/03/18,536.695
2019/03/19,515.951
2019/03/20,538.501
2019/03/21,542.684
2019/03/22,530.707
2019/03/23,542.892
2019/03/24,535.82
2019/03/25,531.784
2019/03/26,550.293
2019/03/27,531.909
2019/03/28,525.25
2019/03/29,542.054
2019/03/30,529.884
2019/03/31,534.345
2019/04/01,521.112
2019/04/02,562.159
2019/04/03,625.179
2019/04/04,651.481
2019/04/05,671.29
2019/04/06,673.177
2019/04/07,706.703
2019/04/08,780.532
2019/04/09,790.886
2019/04/10,763.785
2019/04/11,761.474
2019/04/12,745.352
2019/04/13,725.48
2019/04/14,697.659
2019/04/15,648.291
2019/04/16,598.175
2019/04/17,567.762
2019/04/18,564.081
2019/04/19,561.388
2019/04/20,570.15
2019/04/21,573.993
2019/04/22,558.852
2019/04/23,573.402
2019/04/24,619.061
2019/04/25,634.284
2019/04/26,704.002
2019/04/27,712.62
2019/04/28,724.006
2019/04/29,751.382
2019/04/30,752.959
2019/05/01,715.138
2019/05/02,684.051
2019/05/03,621.682
2019/05/04,619.773
2019/05/05,599.423
2019/05/06,591.694
2019/05/07,626.587
2019/05/08,651.456
2019/05/09,670.207
2019/05/10,676.504
2019/05/11,763.757
2019/05/12,805.376
2019/05/13,848.898
2019/05/14,844.621
2019/05/15,906.247
2019/05/16,1100
2019/05/17,1198
2019/05/18,1142
2019/05/19,1147
2019/05/20,1133
2019/05/21,1133
2019/05/22,1081
2019/05/23,916.163
2019/05/24,820.081
2019/05/25,794.027
2019/05/26,794.168
2019/05/27,796.614
2019/05/28,779.007
2019/05/29,815.067
2019/05/30,850.902
2019/05/31,900.592
2019/06/01,895.796
2019/06/02,849.332
2019/06/03,837.674
2019/06/04,857.986
2019/06/05,851.529
2019/06/06,776.657
2019/06/07,724.911
2019/06/08,694.95
2019/06/09,712.311
2019/06/10,679.36
2019/06/11,632.633
2019/06/12,585.265
2019/06/13,633.556
2019/06/14,658.588
2019/06/15,760.003
2019/06/16,801.334
2019/06/17,809.018
2019/06/18,856.361
2019/06/19,883.708
2019/06/20,840.569
2019/06/21,879.757
2019/06/22,896.447
2019/06/23,892.7
2019/06/24,933.695
2019/06/25,941.709
2019/06/26,1023
2019/06/27,1134
2019/06/28,1090
2019/06/29,1080
2019/06/30,1082
2019/07/01,1052
2019/07/02,1019
2019/07/03,923.935
2019/07/04,820.369
2019/07/05,783.21
2019/07/06,693.444
2019/07/07,670.99
2019/07/08,660.081
2019/07/09,800.51
2019/07/10,830.081
2019/07/11,880.983
2019/07/12,901.759
2019/07/13,906.692
2019/07/14,932.159
2019/07/15,968.544
2019/07/16,802.833
2019/07/17,761.101
2019/07/18,723.684
2019/07/19,700.106
2019/07/20,709.108
2019/07/21,648.834
2019/07/22,597.266
2019/07/23,596.622
2019/07/24,544.937
2019/07/25,488.124
2019/07/26,535.261
2019/07/27,519.118
2019/07/28,501.485
2019/07/29,496.855
2019/07/30,489.835
2019/07/31,513.224
2019/08/01,559.986
2019/08/02,514.347
2019/08/03,504.586
2019/08/04,507.56
2019/08/05,561.205
2019/08/06,591.313
2019/08/07,593.839
2019/08/08,591.221
2019/08/09,592.332
