Date,transactions90wma
2018/08/18,679493
2018/08/19,677192
2018/08/20,676349
2018/08/21,674267
2018/08/22,672004
2018/08/23,669897
2018/08/24,667766
2018/08/25,665258
2018/08/26,662729
2018/08/27,661849
2018/08/28,660304
2018/08/29,657337
2018/08/30,655451
2018/08/31,653262
2018/09/01,652857
2018/09/02,651698
2018/09/03,650829
2018/09/04,649077
2018/09/05,648187
2018/09/06,646498
2018/09/07,644693
2018/09/08,642079
2018/09/09,640011
2018/09/10,637904
2018/09/11,635754
2018/09/12,633956
2018/09/13,631877
2018/09/14,628941
2018/09/15,625273
2018/09/16,621179
2018/09/17,619236
2018/09/18,616180
2018/09/19,613345
2018/09/20,610371
2018/09/21,608485
2018/09/22,604997
2018/09/23,601521
2018/09/24,598392
2018/09/25,596178
2018/09/26,593462
2018/09/27,591039
2018/09/28,588592
2018/09/29,584725
2018/09/30,581895
2018/10/01,578999
2018/10/02,576435
2018/10/03,575370
2018/10/04,574302
2018/10/05,574004
2018/10/06,573713
2018/10/07,571252
2018/10/08,569819
2018/10/09,568295
2018/10/10,566351
2018/10/11,565601
2018/10/12,564665
2018/10/13,563269
2018/10/14,561191
2018/10/15,560264
2018/10/16,559667
2018/10/17,559219
2018/10/18,558489
2018/10/19,558562
2018/10/20,557165
2018/10/21,555231
2018/10/22,554880
2018/10/23,554117
2018/10/24,552894
2018/10/25,551816
2018/10/26,551108
2018/10/27,549293
2018/10/28,547767
2018/10/29,548604
2018/10/30,549336
2018/10/31,549605
2018/11/01,549996
2018/11/02,549535
2018/11/03,548160
2018/11/04,546962
2018/11/05,547381
2018/11/06,548140
2018/11/07,548175
2018/11/08,548001
2018/11/09,547675
2018/11/10,546086
2018/11/11,545384
2018/11/12,545676
2018/11/13,545611
2018/11/14,546197
2018/11/15,546396
2018/11/16,546363
2018/11/17,545328
2018/11/18,543859
2018/11/19,545470
2018/11/20,547138
2018/11/21,547784
2018/11/22,548200
2018/11/23,548427
2018/11/24,547275
2018/11/25,546845
2018/11/26,547066
2018/11/27,547487
2018/11/28,549150
2018/11/29,549334
2018/11/30,550478
2018/12/01,550023
2018/12/02,548861
2018/12/03,548957
2018/12/04,549438
2018/12/05,550611
2018/12/06,551671
2018/12/07,552322
2018/12/08,552531
2018/12/09,551753
2018/12/10,552039
2018/12/11,551900
2018/12/12,551724
2018/12/13,552251
2018/12/14,552801
2018/12/15,552991
2018/12/16,552385
2018/12/17,552960
2018/12/18,553217
2018/12/19,554371
2018/12/20,555605
2018/12/21,556914
2018/12/22,555752
2018/12/23,555640
2018/12/24,557092
2018/12/25,556751
2018/12/26,556950
2018/12/27,556880
2018/12/28,557320
2018/12/29,557102
2018/12/30,555036
2018/12/31,554329
2019/01/01,551990
2019/01/02,552795
2019/01/03,553738
2019/01/04,553644
2019/01/05,552721
2019/01/06,551272
2019/01/07,551234
2019/01/08,551245
2019/01/09,551368
2019/01/10,552021
2019/01/11,551767
2019/01/12,549555
2019/01/13,547987
2019/01/14,548546
2019/01/15,548283
2019/01/16,547323
2019/01/17,546583
2019/01/18,546344
2019/01/19,546108
2019/01/20,545833
2019/01/21,546558
2019/01/22,547778
2019/01/23,547403
2019/01/24,546729
2019/01/25,545727
2019/01/26,543833
2019/01/27,542488
2019/01/28,542926
2019/01/29,543317
2019/01/30,543479
2019/01/31,542808
2019/02/01,541744
2019/02/02,539615
2019/02/03,536931
2019/02/04,534109
2019/02/05,531298
2019/02/06,528836
2019/02/07,526396
2019/02/08,524936
2019/02/09,522276
2019/02/10,518852
2019/02/11,516527
2019/02/12,514431
2019/02/13,513542
2019/02/14,512305
2019/02/15,510951
2019/02/16,509293
2019/02/17,507502
2019/02/18,507171
2019/02/19,507333
2019/02/20,507433
2019/02/21,507862
2019/02/22,507988
2019/02/23,506905
2019/02/24,507241
2019/02/25,508318
2019/02/26,508958
2019/02/27,509298
2019/02/28,509685
2019/03/01,510221
2019/03/02,510296
2019/03/03,509604
2019/03/04,511736
2019/03/05,513367
2019/03/06,514577
2019/03/07,515653
2019/03/08,516502
2019/03/09,517204
2019/03/10,516317
2019/03/11,516599
2019/03/12,517493
2019/03/13,518578
2019/03/14,519672
2019/03/15,520308
2019/03/16,519870
2019/03/17,519231
2019/03/18,520347
2019/03/19,522822
2019/03/20,525164
2019/03/21,527236
2019/03/22,529533
2019/03/23,530326
2019/03/24,530836
2019/03/25,533551
2019/03/26,535806
2019/03/27,537977
2019/03/28,540314
2019/03/29,542768
2019/03/30,545805
2019/03/31,548313
2019/04/01,551700
2019/04/02,556596
2019/04/03,561180
2019/04/04,564121
2019/04/05,565899
2019/04/06,566267
2019/04/07,566922
2019/04/08,569662
2019/04/09,572129
2019/04/10,574951
2019/04/11,578958
2019/04/12,582166
2019/04/13,583547
2019/04/14,583505
2019/04/15,585030
2019/04/16,587291
2019/04/17,590075
2019/04/18,593165
2019/04/19,596118
2019/04/20,598893
2019/04/21,600410
2019/04/22,603851
2019/04/23,607483
2019/04/24,609742
2019/04/25,612225
2019/04/26,614225
2019/04/27,614021
2019/04/28,614476
2019/04/29,615706
2019/04/30,618651
2019/05/01,621472
2019/05/02,622544
2019/05/03,624565
2019/05/04,625488
2019/05/05,626672
2019/05/06,629311
2019/05/07,630822
2019/05/08,632913
2019/05/09,635633
2019/05/10,638694
2019/05/11,641801
2019/05/12,644236
2019/05/13,647540
2019/05/14,652350
2019/05/15,657451
2019/05/16,663792
2019/05/17,667875
2019/05/18,670225
2019/05/19,672878
2019/05/20,677840
2019/05/21,681682
2019/05/22,686786
2019/05/23,691224
2019/05/24,696845
2019/05/25,700953
2019/05/26,703298
2019/05/27,709523
2019/05/28,714968
2019/05/29,721135
2019/05/30,725981
2019/05/31,730276
2019/06/01,736378
2019/06/02,740920
2019/06/03,745356
2019/06/04,749784
2019/06/05,752101
2019/06/06,754922
2019/06/07,756220
2019/06/08,762616
2019/06/09,762802
2019/06/10,768393
2019/06/11,773147
2019/06/12,776289
2019/06/13,776924
2019/06/14,779173
2019/06/15,783839
2019/06/16,787299
2019/06/17,791893
2019/06/18,794343
2019/06/19,797533
2019/06/20,802832
2019/06/21,803486
2019/06/22,803659
2019/06/23,804119
2019/06/24,805342
2019/06/25,809215
2019/06/26,811176
2019/06/27,812327
2019/06/28,817612
2019/06/29,816863
2019/06/30,815051
2019/07/01,819086
2019/07/02,821823
2019/07/03,821407
2019/07/04,820846
2019/07/05,822486
2019/07/06,821966
2019/07/07,817623
2019/07/08,818306
2019/07/09,818120
2019/07/10,817121
2019/07/11,821378
2019/07/12,820096
2019/07/13,815730
2019/07/14,811930
2019/07/15,810986
2019/07/16,815734
2019/07/17,816596
2019/07/18,813862
2019/07/19,814380
2019/07/20,809779
2019/07/21,803834
2019/07/22,800536
2019/07/23,796516
2019/07/24,799113
2019/07/25,802592
2019/07/26,799196
2019/07/27,794407
2019/07/28,789511
2019/07/29,786921
2019/07/30,785192
2019/07/31,782767
2019/08/01,784577
2019/08/02,783934
2019/08/03,783590
2019/08/04,778499
2019/08/05,776722
2019/08/06,775230
2019/08/07,773956
2019/08/08,771583
2019/08/09,769859
2019/08/10,766143
2019/08/11,761384
2019/08/12,759535
2019/08/13,757400
2019/08/14,756137
2019/08/15,753870
2019/08/16,752288
2019/08/17,749000
2019/08/18,745435
2019/08/19,744064
2019/08/20,742913
2019/08/21,741751
2019/08/22,740742
2019/08/23,739689
2019/08/24,737584
2019/08/25,735345
2019/08/26,734788
2019/08/27,734211
2019/08/28,733113
2019/08/29,732099
2019/08/30,730880
2019/08/31,728985
2019/09/01,727371
2019/09/02,727285
2019/09/03,727094
2019/09/04,726105
2019/09/05,726362
2019/09/06,726586
2019/09/07,724864
2019/09/08,723099
2019/09/09,723194
2019/09/10,721905
2019/09/11,720958
2019/09/12,720427
2019/09/13,717718
2019/09/14,715195
2019/09/15,712857
2019/09/16,712771
2019/09/17,711589
2019/09/18,711049
2019/09/19,710218
2019/09/20,709950
2019/09/21,707051
2019/09/22,703744
2019/09/23,701878
2019/09/24,701624
2019/09/25,700705
2019/09/26,699379
2019/09/27,697389
2019/09/28,695080
2019/09/29,692441
2019/09/30,691911
2019/10/01,690575
2019/10/02,688872
2019/10/03,686939
2019/10/04,684513
2019/10/05,682235
2019/10/06,679441
2019/10/07,677971
2019/10/08,678316
2019/10/09,679568
2019/10/10,679881
2019/10/11,680119
2019/10/12,678833
2019/10/13,676056
2019/10/14,675163
2019/10/15,675237
2019/10/16,675431
2019/10/17,675819
2019/10/18,676893
2019/10/19,676424
2019/10/20,674760
2019/10/21,674558
2019/10/22,675386
2019/10/23,676482
2019/10/24,677378
2019/10/25,678621
2019/10/26,679278
