Date,hashrate30sma
2017/07/26,67948772844450
2017/07/27,68524931108135
2017/07/28,69111559176008
2017/07/29,69613123279174
2017/07/30,70192681891547
2017/07/31,70802840995666
2017/08/01,71393764804754
2017/08/02,71882675386630
2017/08/03,72219810536464
2017/08/04,72717593505930
2017/08/05,73150744222916
2017/08/06,73582050044543
2017/08/07,74077547712356
2017/08/08,74585987112519
2017/08/09,75114086648512
2017/08/10,75606896997365
2017/08/11,76196170209703
2017/08/12,76853511650175
2017/08/13,77569444248703
2017/08/14,78268666943763
2017/08/15,78956072890702
2017/08/16,79774356816966
2017/08/17,80578701162684
2017/08/18,81265283565553
2017/08/19,81998499582287
2017/08/20,82668393939925
2017/08/21,83428002985243
2017/08/22,84103694453066
2017/08/23,84925682510120
2017/08/24,85594709523272
2017/08/25,86209867782355
2017/08/26,86888604446421
2017/08/27,87486793681523
2017/08/28,88019447788075
2017/08/29,88692271252710
2017/08/30,89318907344387
2017/08/31,89889581838298
2017/09/01,90532767884501
2017/09/02,91272642753472
2017/09/03,91895459162006
2017/09/04,92596245230233
2017/09/05,93277838196909
2017/09/06,93852670134251
2017/09/07,94467984686158
2017/09/08,95193589684946
2017/09/09,95881447230233
2017/09/10,96476943588015
2017/09/11,96983839765337
2017/09/12,97664880122523
2017/09/13,98130277327060
2017/09/14,98622112771144
2017/09/15,99221766284427
2017/09/16,99709636589437
2017/09/17,1.0025158540495E+14
2017/09/18,1.0059770097583E+14
2017/09/19,1.0110968940273E+14
2017/09/20,1.0149831657846E+14
2017/09/21,1.0194512311538E+14
2017/09/22,1.0228259928882E+14
2017/09/23,1.0250606498476E+14
2017/09/24,1.0288698914169E+14
2017/09/25,1.0307263428868E+14
2017/09/26,1.0332269909024E+14
2017/09/27,1.0375931572258E+14
2017/09/28,1.0384744595961E+14
2017/09/29,1.0378323131974E+14
2017/09/30,1.03759936068E+14
2017/10/01,1.0385624175422E+14
2017/10/02,1.0394304118127E+14
2017/10/03,1.0403929521724E+14
2017/10/04,1.0418203743458E+14
2017/10/05,1.0442387358909E+14
2017/10/06,1.0453137745124E+14
