Date,sentbyaddress7sma
2017/11/24,131136
2017/11/25,134010
2017/11/26,136838
2017/11/27,142849
2017/11/28,147557
2017/11/29,154280
2017/11/30,159037
2017/12/01,160752
2017/12/02,163705
2017/12/03,169702
2017/12/04,170745
2017/12/05,171942
2017/12/06,177402
2017/12/07,176445
2017/12/08,183610
2017/12/09,189791
2017/12/10,192126
2017/12/11,198930
2017/12/12,211358
2017/12/13,218395
2017/12/14,235623
2017/12/15,245468
2017/12/16,252675
2017/12/17,260014
2017/12/18,266578
2017/12/19,272934
2017/12/20,276856
2017/12/21,282332
2017/12/22,297167
2017/12/23,301573
2017/12/24,295771
2017/12/25,286043
2017/12/26,276803
2017/12/27,271311
2017/12/28,262893
2017/12/29,259804
2017/12/30,273202
2017/12/31,282727
2018/01/01,292957
2018/01/02,311974
2018/01/03,327255
2018/01/04,349597
2018/01/05,355681
2018/01/06,356660
2018/01/07,370928
2018/01/08,385131
2018/01/09,393915
2018/01/10,394741
2018/01/11,392031
2018/01/12,388202
2018/01/13,390713
2018/01/14,390035
2018/01/15,399314
2018/01/16,401670
2018/01/17,411682
2018/01/18,415377
2018/01/19,410289
2018/01/20,391618
2018/01/21,399297
2018/01/22,380456
2018/01/23,355844
2018/01/24,330500
2018/01/25,301534
2018/01/26,297221
2018/01/27,295911
2018/01/28,270658
2018/01/29,266755
2018/01/30,264301
2018/01/31,263531
2018/02/01,275890
2018/02/02,276398
2018/02/03,273146
2018/02/04,274950
2018/02/05,272087
2018/02/06,272424
2018/02/07,269708
2018/02/08,253672
2018/02/09,243121
2018/02/10,244127
2018/02/11,239622
2018/02/12,237810
2018/02/13,228723
2018/02/14,226261
2018/02/15,230517
2018/02/16,224792
2018/02/17,217126
2018/02/18,212759
2018/02/19,208492
2018/02/20,213761
2018/02/21,213160
2018/02/22,209471
2018/02/23,209835
2018/02/24,206215
2018/02/25,202388
2018/02/26,201852
2018/02/27,195781
2018/02/28,194262
2018/03/01,194466
2018/03/02,196269
2018/03/03,197267
2018/03/04,195208
2018/03/05,193688
2018/03/06,195996
2018/03/07,210355
2018/03/08,209739
2018/03/09,207373
2018/03/10,207331
2018/03/11,206921
2018/03/12,201437
2018/03/13,197167
2018/03/14,183407
2018/03/15,181855
2018/03/16,179026
2018/03/17,177299
2018/03/18,179941
2018/03/19,185005
2018/03/20,182997
2018/03/21,180124
2018/03/22,177295
2018/03/23,188908
2018/03/24,196063
2018/03/25,190924
2018/03/26,186658
2018/03/27,184944
2018/03/28,177951
2018/03/29,178122
2018/03/30,168640
2018/03/31,160053
2018/04/01,159808
2018/04/02,157310
2018/04/03,159023
2018/04/04,161080
2018/04/05,164848
2018/04/06,164162
2018/04/07,164451
2018/04/08,169229
2018/04/09,173173
2018/04/10,171716
2018/04/11,173764
2018/04/12,174596
2018/04/13,178711
2018/04/14,181885
2018/04/15,182121
2018/04/16,181559
2018/04/17,183524
2018/04/18,184690
2018/04/19,185564
2018/04/20,187138
2018/04/21,192551
2018/04/22,202951
2018/04/23,213845
2018/04/24,223774
2018/04/25,228783
2018/04/26,230389
2018/04/27,228796
2018/04/28,226692
2018/04/29,219416
2018/04/30,213356
2018/05/01,204438
2018/05/02,204826
2018/05/03,209436
2018/05/04,251277
2018/05/05,261202
2018/05/06,265622
2018/05/07,272103
2018/05/08,283497
2018/05/09,286995
2018/05/10,287064
2018/05/11,251451
2018/05/12,248365
2018/05/13,248750
2018/05/14,247427
2018/05/15,247007
2018/05/16,249769
2018/05/17,253707
2018/05/18,256947
2018/05/19,263408
2018/05/20,268739
2018/05/21,269505
2018/05/22,274052
2018/05/23,275145
2018/05/24,273420
2018/05/25,271879
2018/05/26,267511
2018/05/27,268267
2018/05/28,273268
2018/05/29,271477
2018/05/30,270317
2018/05/31,272490
2018/06/01,269236
2018/06/02,271586
2018/06/03,272170
2018/06/04,267744
2018/06/05,261212
2018/06/06,256678
2018/06/07,252670
2018/06/08,252388
2018/06/09,251854
2018/06/10,252547
2018/06/11,252333
2018/06/12,250302
2018/06/13,248152
2018/06/14,243079
2018/06/15,246170
2018/06/16,235033
2018/06/17,225613
2018/06/18,218759
2018/06/19,222610
2018/06/20,229402
2018/06/21,234681
2018/06/22,236616
2018/06/23,239465
2018/06/24,242157
2018/06/25,264558
2018/06/26,265739
2018/06/27,263023
2018/06/28,260437
2018/06/29,258200
2018/06/30,248640
2018/07/01,230412
2018/07/02,195701
2018/07/03,177185
2018/07/04,158973
2018/07/05,145961
2018/07/06,126019
2018/07/07,122468
2018/07/08,130957
2018/07/09,138597
2018/07/10,146237
2018/07/11,153282
2018/07/12,153156
2018/07/13,155450
2018/07/14,157083
