Date,size14mom
2018/04/17,3223
2018/04/18,3799
2018/04/19,5710
2018/04/20,8617
2018/04/21,5841
2018/04/22,5841
2018/04/23,5611
2018/04/24,8020
2018/04/25,6649
2018/04/26,3461
2018/04/27,2984
2018/04/28,6407
2018/04/29,5982
2018/04/30,5124
2018/05/01,2318
2018/05/02,3152
2018/05/03,1131
2018/05/04,1380
2018/05/05,2432
2018/05/06,-685.954
2018/05/07,-1152
2018/05/08,-1743
2018/05/09,-635.408
2018/05/10,2045
2018/05/11,998.074
2018/05/12,-802.928
2018/05/13,-1134
2018/05/14,40.181
2018/05/15,173.647
2018/05/16,-882.701
2018/05/17,-1729
2018/05/18,-3123
2018/05/19,355.74
2018/05/20,1372
2018/05/21,2492
2018/05/22,1467
2018/05/23,1455
2018/05/24,-1283
2018/05/25,-188.457
2018/05/26,-699.241
2018/05/27,-22.851
2018/05/28,-517.318
2018/05/29,540.449
2018/05/30,763.936
2018/05/31,2827
2018/06/01,487.6
2018/06/02,157.348
2018/06/03,1317
2018/06/04,846.471
2018/06/05,521.662
2018/06/06,-1589
2018/06/07,-1084
2018/06/08,-416.687
2018/06/09,1111
2018/06/10,1063
2018/06/11,-943.955
2018/06/12,-1651
2018/06/13,-59.259
2018/06/14,-3287
2018/06/15,-2516
2018/06/16,1736
2018/06/17,-5109
2018/06/18,-4353
2018/06/19,-847.665
2018/06/20,1211
2018/06/21,-857.56
2018/06/22,-12.667
2018/06/23,-3572
2018/06/24,-3591
2018/06/25,758.062
2018/06/26,178.78
2018/06/27,-868.149
2018/06/28,-222.936
2018/06/29,603.637
2018/06/30,-4268
2018/07/01,2532
2018/07/02,-2449
2018/07/03,-2953
2018/07/04,-6672
2018/07/05,-2034
2018/07/06,-5279
2018/07/07,-881.089
2018/07/08,1398
2018/07/09,-2866
2018/07/10,-431.046
2018/07/11,-2474
2018/07/12,-2688
2018/07/13,-2426
2018/07/14,-2502
2018/07/15,-3823
2018/07/16,3808
2018/07/17,1536
2018/07/18,4675
2018/07/19,2236
2018/07/20,2008
2018/07/21,-541.184
2018/07/22,-1573
2018/07/23,704.559
2018/07/24,798.16
2018/07/25,2053
2018/07/26,2266
2018/07/27,1973
2018/07/28,3.047
2018/07/29,3197
2018/07/30,416.11
2018/07/31,335.63
2018/08/01,1136
2018/08/02,874.061
2018/08/03,1165
2018/08/04,2104
2018/08/05,1413
2018/08/06,250.523
2018/08/07,-4424
2018/08/08,-7896
2018/08/09,-7961
2018/08/10,-4170
2018/08/11,698.928
2018/08/12,-2119
2018/08/13,-1896
2018/08/14,-2057
2018/08/15,-4962
2018/08/16,-2273
2018/08/17,-1881
2018/08/18,1240
2018/08/19,-190.908
2018/08/20,1817
2018/08/21,5445
2018/08/22,6570
2018/08/23,8764
2018/08/24,4263
2018/08/25,4652
2018/08/26,4439
2018/08/27,2912
2018/08/28,4122
2018/08/29,4787
2018/08/30,1340
2018/08/31,1604
2018/09/01,1235
2018/09/02,1046
2018/09/03,-128.957
2018/09/04,-2161
2018/09/05,2581
2018/09/06,-828.892
2018/09/07,2254
2018/09/08,271.377
2018/09/09,-2075
2018/09/10,-1341
2018/09/11,-3667
2018/09/12,-419.101
2018/09/13,375.944
2018/09/14,4191
2018/09/15,2060
2018/09/16,4123
2018/09/17,914.475
2018/09/18,3089
2018/09/19,-5389
2018/09/20,765.27
2018/09/21,1131
2018/09/22,-186.967
2018/09/23,3643
2018/09/24,5163
2018/09/25,5894
2018/09/26,5610
2018/09/27,5434
2018/09/28,1762
2018/09/29,-5380
2018/09/30,-3339
2018/10/01,-1326
2018/10/02,-2070
2018/10/03,1398
2018/10/04,-1589
2018/10/05,-5395
2018/10/06,-7411
2018/10/07,-10359
2018/10/08,-11652
2018/10/09,-9966
2018/10/10,-12876
2018/10/11,-11312
2018/10/12,-7870
2018/10/13,-3109
2018/10/14,-8603
2018/10/15,-7013
2018/10/16,-6460
2018/10/17,-3657
2018/10/18,-4886
2018/10/19,-2305
2018/10/20,-1858
2018/10/21,714.278
2018/10/22,2535
2018/10/23,-628.067
2018/10/24,3800
2018/10/25,3712
2018/10/26,-87.525
2018/10/27,-2105
2018/10/28,331.485
2018/10/29,2099
2018/10/30,1436
2018/10/31,101.426
2018/11/01,317.06
2018/11/02,-1378
2018/11/03,50.171
2018/11/04,-227.957
2018/11/05,-2009
2018/11/06,1277
2018/11/07,-2871
2018/11/08,-3498
2018/11/09,-2645
2018/11/10,1161
2018/11/11,1520
2018/11/12,-1260
2018/11/13,-1382
2018/11/14,964.662
2018/11/15,-439.825
2018/11/16,-65.36
2018/11/17,-299.402
2018/11/18,-1207
2018/11/19,1440
2018/11/20,862.46
2018/11/21,156.94
2018/11/22,-588.366
2018/11/23,190.269
2018/11/24,-755.731
2018/11/25,-582.331
2018/11/26,-1162
2018/11/27,207.213
2018/11/28,1065
2018/11/29,168.279
2018/11/30,1541
2018/12/01,759.607
2018/12/02,601.632
2018/12/03,-979.454
2018/12/04,-1784
2018/12/05,1010
2018/12/06,1374
2018/12/07,744.009
2018/12/08,1703
2018/12/09,363.588
2018/12/10,938.759
2018/12/11,-185.475
2018/12/12,-3221
2018/12/13,-173.13
2018/12/14,33.262
2018/12/15,533.991
2018/12/16,596.677
2018/12/17,866.606
2018/12/18,1699
2018/12/19,666.13
2018/12/20,423.893
2018/12/21,1258
2018/12/22,-709.44
2018/12/23,417.45
2018/12/24,853.311
2018/12/25,-1269
2018/12/26,1818
2018/12/27,-77.138
2018/12/28,-765.001
2018/12/29,120.846
2018/12/30,-1334
2018/12/31,-2386
2019/01/01,-6006
2019/01/02,-1503
2019/01/03,-242.916
2019/01/04,-789.765
2019/01/05,737.959
2019/01/06,-1438
2019/01/07,-845.504
2019/01/08,1462
2019/01/09,-628.444
2019/01/10,1586
2019/01/11,773.274
2019/01/12,-999.757
2019/01/13,1253
2019/01/14,1949
2019/01/15,4408
2019/01/16,-118.263
2019/01/17,-1445
2019/01/18,-1121
2019/01/19,511.784
2019/01/20,1976
2019/01/21,3153
2019/01/22,4795
2019/01/23,2845
2019/01/24,691.567
2019/01/25,-373.333
2019/01/26,1504
2019/01/27,2476
2019/01/28,3126
2019/01/29,4029
2019/01/30,3560
2019/01/31,2903
2019/02/01,2622
2019/02/02,-363.767
2019/02/03,-1234
2019/02/04,-5031
2019/02/05,-6110
2019/02/06,-3687
2019/02/07,-2410
2019/02/08,672.017
2019/02/09,-283.251
2019/02/10,324.267
2019/02/11,-877.681
2019/02/12,-1279
2019/02/13,1800
2019/02/14,2503
2019/02/15,2378
2019/02/16,4014
2019/02/17,5602
2019/02/18,7780
2019/02/19,7980
2019/02/20,7736
2019/02/21,7786
2019/02/22,5987
2019/02/23,4705
2019/02/24,5801
2019/02/25,5991
2019/02/26,5445
2019/02/27,1972
2019/02/28,1812
2019/03/01,-3808
2019/03/02,-5055
2019/03/03,-6862
2019/03/04,-4303
2019/03/05,-5841
2019/03/06,-7033
2019/03/07,-8101
2019/03/08,-6169
2019/03/09,-4294
2019/03/10,-9354
2019/03/11,-9631
2019/03/12,-8593
2019/03/13,-6206
2019/03/14,-6632
2019/03/15,-1021
2019/03/16,-189.87
2019/03/17,-6.149
2019/03/18,-421.45
2019/03/19,2429
2019/03/20,1955
2019/03/21,3111
2019/03/22,1022
2019/03/23,-193.207
2019/03/24,1893
2019/03/25,2962
2019/03/26,2718
2019/03/27,1060
2019/03/28,1234
2019/03/29,3027
2019/03/30,4446
2019/03/31,4624
2019/04/01,1110
2019/04/02,1894
2019/04/03,3465
2019/04/04,1566
2019/04/05,-561.923
2019/04/06,-341.455
2019/04/07,693.133
2019/04/08,204.102
2019/04/09,-773.904
2019/04/10,2410
2019/04/11,4401
2019/04/12,-608.319
2019/04/13,-3114
2019/04/14,-2953
2019/04/15,994.178
2019/04/16,-375.431
2019/04/17,-2271
2019/04/18,-580.131
2019/04/19,1551
2019/04/20,3154
2019/04/21,3238
2019/04/22,897.46
2019/04/23,2350
2019/04/24,-2596
2019/04/25,-3988
2019/04/26,-320.685
2019/04/27,-1184
2019/04/28,955.568
2019/04/29,-2271
2019/04/30,-1797
2019/05/01,-688.165
2019/05/02,2844
2019/05/03,1155
2019/05/04,-1705
2019/05/05,-1764
2019/05/06,3707
2019/05/07,6040
2019/05/08,4550
2019/05/09,2722
2019/05/10,2874
2019/05/11,6248
2019/05/12,3576
2019/05/13,3788
2019/05/14,3320
2019/05/15,5202
2019/05/16,2493
2019/05/17,3724
2019/05/18,4569
2019/05/19,2794
2019/05/20,120.897
2019/05/21,-4060
2019/05/22,1075
2019/05/23,2574
2019/05/24,2746
2019/05/25,390.093
2019/05/26,301.748
2019/05/27,3744
2019/05/28,1442
2019/05/29,682.818
2019/05/30,-838.327
2019/05/31,-2293
2019/06/01,2155
2019/06/02,2421
2019/06/03,384.107
2019/06/04,1348
2019/06/05,-2224
2019/06/06,-2041
2019/06/07,-2948
2019/06/08,5190
2019/06/09,-1446
2019/06/10,961.938
2019/06/11,1437
2019/06/12,-1426
2019/06/13,-3543
2019/06/14,297.727
2019/06/15,1032
2019/06/16,-810.816
2019/06/17,1388
2019/06/18,-817.318
2019/06/19,3381
2019/06/20,4765
2019/06/21,282.295
2019/06/22,-6312
2019/06/23,1955
2019/06/24,-3449
2019/06/25,-128.107
2019/06/26,2589
2019/06/27,3197
2019/06/28,4926
