Date,confirmationtime7roc
2018/02/12,1.346
2018/02/13,-0.637
2018/02/14,0.904
2018/02/15,0.603
2018/02/16,-0.369
2018/02/17,-0.232
2018/02/18,-0.485
2018/02/19,0.797
2018/02/20,2.58
2018/02/21,0.188
2018/02/22,1.584
2018/02/23,0.54
2018/02/24,3.179
2018/02/25,2.151
2018/02/26,1.637
2018/02/27,-0.87
2018/02/28,-0.831
2018/03/01,-0.102
2018/03/02,0.458
2018/03/03,-1.664
2018/03/04,-0.391
2018/03/05,-1.393
2018/03/06,-0.424
2018/03/07,-0.287
2018/03/08,0.393
2018/03/09,0.017
2018/03/10,0.95
2018/03/11,-1.276
2018/03/12,1.065
2018/03/13,0.426
2018/03/14,1.232
2018/03/15,-0.425
2018/03/16,-0.338
2018/03/17,0.632
2018/03/18,0.421
2018/03/19,-2.315
2018/03/20,-1.577
2018/03/21,-1.534
2018/03/22,-2.212
2018/03/23,-0.838
2018/03/24,-3.334
2018/03/25,-1.527
2018/03/26,-0.716
2018/03/27,0.608
2018/03/28,-0.252
2018/03/29,2.506
2018/03/30,0.505
2018/03/31,0.132
2018/04/01,0.133
2018/04/02,-1.477
2018/04/03,-1.25
2018/04/04,-0.867
2018/04/05,-3.121
2018/04/06,-1.867
2018/04/07,0.017
2018/04/08,-0.693
2018/04/09,1.651
2018/04/10,-1.235
2018/04/11,0.654
2018/04/12,2.679
2018/04/13,2.161
2018/04/14,2.231
2018/04/15,2.004
2018/04/16,1.062
2018/04/17,4.079
2018/04/18,2.882
2018/04/19,1.515
2018/04/20,3.64
2018/04/21,0.578
2018/04/22,0.627
2018/04/23,2.701
2018/04/24,2.028
2018/04/25,-0.395
2018/04/26,-0.972
2018/04/27,0.018
2018/04/28,2.976
2018/04/29,1.183
2018/04/30,0.908
2018/05/01,1.725
2018/05/02,1.856
2018/05/03,3.274
2018/05/04,1.456
2018/05/05,-0.488
2018/05/06,1.215
2018/05/07,-1.902
2018/05/08,-1.953
2018/05/09,-0.314
2018/05/10,-0.035
2018/05/11,-2.069
2018/05/12,-0.226
2018/05/13,0.052
2018/05/14,3.513
2018/05/15,0.035
2018/05/16,1.506
2018/05/17,-0.368
2018/05/18,2.04
2018/05/19,2.695
2018/05/20,2.091
2018/05/21,-0.879
2018/05/22,2.339
2018/05/23,-0.177
2018/05/24,2.535
2018/05/25,0.018
2018/05/26,-2.028
2018/05/27,0.142
2018/05/28,-0.298
2018/05/29,-0.85
2018/05/30,0.838
2018/05/31,-1.47
2018/06/01,0.213
2018/06/02,1.545
2018/06/03,0.267
2018/06/04,0.564
2018/06/05,1.037
2018/06/06,-0.444
2018/06/07,0.124
2018/06/08,-0.986
2018/06/09,0.392
2018/06/10,-0.39
2018/06/11,0.265
2018/06/12,-2.153
2018/06/13,-2.069
2018/06/14,-2.186
2018/06/15,-1.781
2018/06/16,-4.446
2018/06/17,-4.632
2018/06/18,-4.988
2018/06/19,-1.517
2018/06/20,-1.219
2018/06/21,-1.822
2018/06/22,-0.653
2018/06/23,-0.861
2018/06/24,0.578
2018/06/25,5.102
2018/06/26,0.939
2018/06/27,-0.41
2018/06/28,1.909
2018/06/29,0.972
2018/06/30,0.886
2018/07/01,0.754
2018/07/02,-4.453
2018/07/03,-1.05
2018/07/04,0.171
2018/07/05,-0.792
2018/07/06,-1.369
2018/07/07,0.859
2018/07/08,2.457
2018/07/09,1.264
2018/07/10,0.45
2018/07/11,-1.585
2018/07/12,-3.087
2018/07/13,-1.831
2018/07/14,-3.097
2018/07/15,-6.099
2018/07/16,0.068
2018/07/17,-1.8
2018/07/18,3.022
2018/07/19,3.452
2018/07/20,1.97
2018/07/21,0.15
2018/07/22,1.54
2018/07/23,-0.188
2018/07/24,1.29
2018/07/25,-2.424
2018/07/26,-1.008
2018/07/27,-1.202
2018/07/28,0.1
2018/07/29,-0.566
2018/07/30,-1.694
2018/07/31,-1.774
2018/08/01,0.665
2018/08/02,-0.034
2018/08/03,-0.118
2018/08/04,-0.2
2018/08/05,1.298
2018/08/06,0.675
2018/08/07,0.749
2018/08/08,-1.612
2018/08/09,-1.282
2018/08/10,-0.169
2018/08/11,0.976
2018/08/12,1.662
2018/08/13,0.869
2018/08/14,-1.294
2018/08/15,-0.134
2018/08/16,-0.168
2018/08/17,1.473
2018/08/18,1.054
2018/08/19,-1.602
2018/08/20,-1.011
2018/08/21,-0.151
2018/08/22,0.743
2018/08/23,1.486
2018/08/24,-1.783
2018/08/25,-0.726
2018/08/26,-0.286
2018/08/27,-0.151
2018/08/28,1.068
2018/08/29,0.526
2018/08/30,-0.964
2018/08/31,-0.118
2018/09/01,0.782
2018/09/02,-1.327
2018/09/03,0.917
2018/09/04,-1.173
2018/09/05,-1.108
2018/09/06,-2.282
2018/09/07,0.676
2018/09/08,-0.943
2018/09/09,2.17
2018/09/10,-1.981
2018/09/11,-0.566
2018/09/12,-1.44
2018/09/13,0.75
2018/09/14,-2.522
2018/09/15,-1.901
2018/09/16,-3.501
2018/09/17,-1.217
2018/09/18,0.587
2018/09/19,-1.307
2018/09/20,-0.183
2018/09/21,-0.296
2018/09/22,0.215
2018/09/23,0.543
2018/09/24,0.082
2018/09/25,-2.388
2018/09/26,0.18
2018/09/27,-1.102
2018/09/28,-0.213
2018/09/29,-0.935
2018/09/30,-0.556
2018/10/01,-0.328
2018/10/02,-1.084
2018/10/03,0.609
2018/10/04,-1.058
2018/10/05,-0.033
2018/10/06,-2.041
2018/10/07,-2.035
2018/10/08,-1.359
2018/10/09,0.504
2018/10/10,-1.508
2018/10/11,0.049
2018/10/12,-1.151
2018/10/13,0.745
2018/10/14,0.954
2018/10/15,1.378
2018/10/16,0.589
2018/10/17,0.636
2018/10/18,0.016
2018/10/19,1.731
2018/10/20,0.292
2018/10/21,0.947
2018/10/22,0.495
2018/10/23,-0.892
2018/10/24,0.082
2018/10/25,0.327
2018/10/26,-0.931
2018/10/27,0.951
2018/10/28,-0.212
2018/10/29,-0.753
2018/10/30,2.069
2018/10/31,-0.536
2018/11/01,0.873
2018/11/02,0.873
2018/11/03,-0.294
2018/11/04,0.458
2018/11/05,0.593
2018/11/06,-0.346
2018/11/07,0.212
2018/11/08,0.049
2018/11/09,-0.361
2018/11/10,0.082
2018/11/11,-0.196
2018/11/12,-1.556
2018/11/13,-0.509
2018/11/14,1.202
2018/11/15,-0.115
2018/11/16,-1.456
2018/11/17,0.016
2018/11/18,-0.617
2018/11/19,2.867
2018/11/20,1.111
2018/11/21,-1.059
2018/11/22,0.165
2018/11/23,1.013
2018/11/24,-0.098
2018/11/25,0.081
2018/11/26,-1.17
2018/11/27,0.55
2018/11/28,1.825
2018/11/29,-0.948
2018/11/30,1.207
2018/12/01,1.024
2018/12/02,1.534
2018/12/03,0.613
2018/12/04,-0.729
2018/12/05,0.15
2018/12/06,1.073
2018/12/07,1.239
2018/12/08,0.565
2018/12/09,-0.59
2018/12/10,-2.315
2018/12/11,0.919
2018/12/12,-0.971
2018/12/13,-0.672
2018/12/14,-0.698
2018/12/15,-1.521
2018/12/16,0.96
2018/12/17,4.838
2018/12/18,2.099
2018/12/19,3.899
2018/12/20,4.169
2018/12/21,3.032
2018/12/22,3.207
2018/12/23,2.967
2018/12/24,-0.607
2018/12/25,-1.776
2018/12/26,-1.896
2018/12/27,-0.679
2018/12/28,-1.185
2018/12/29,-0.587
2018/12/30,-0.357
2018/12/31,0.101
2019/01/01,1.635
2019/01/02,0.506
2019/01/03,5.628
2019/01/04,6.356
2019/01/05,6.05
2019/01/06,5.389
2019/01/07,5.544
2019/01/08,5.556
2019/01/09,5.722
2019/01/10,0.198
2019/01/11,-0.216
2019/01/12,1.426
2019/01/13,-0.887
2019/01/14,-0.338
2019/01/15,-1.014
2019/01/16,1.483
2019/01/17,0.126
2019/01/18,-0.943
2019/01/19,-2.499
2019/01/20,0.643
2019/01/21,10.503
2019/01/22,10.785
2019/01/23,10.759
2019/01/24,9.339
2019/01/25,10.047
2019/01/26,12.423
2019/01/27,11.69
2019/01/28,4.3
2019/01/29,4.148
