Date,transactionfeesUSD
2017/09/17,0.325
2017/09/18,0.321
2017/09/19,0.328
2017/09/20,0.58
2017/09/21,0.285
2017/09/22,0.297
2017/09/23,0.334
2017/09/24,0.447
2017/09/25,0.364
2017/09/26,0.369
2017/09/27,0.406
2017/09/28,0.343
2017/09/29,0.297
2017/09/30,0.379
2017/10/01,0.379
2017/10/02,0.349
2017/10/03,0.341
2017/10/04,0.368
2017/10/05,0.39
2017/10/06,0.411
2017/10/07,0.336
2017/10/08,0.375
2017/10/09,0.35
2017/10/10,0.358
2017/10/11,0.821
2017/10/12,0.355
2017/10/13,0.409
2017/10/14,0.409
2017/10/15,0.39
2017/10/16,0.28
2017/10/17,0.207
2017/10/18,0.194
2017/10/19,0.178
2017/10/20,0.275
2017/10/21,0.148
2017/10/22,0.133
2017/10/23,0.164
2017/10/24,0.22
2017/10/25,0.187
2017/10/26,0.175
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,0.213
2017/11/02,0.201
2017/11/03,0.169
2017/11/04,0.159
2017/11/05,0.143
2017/11/06,0.157
2017/11/07,0.198
2017/11/08,0.238
2017/11/09,0.221
2017/11/10,0.198
2017/11/11,0.181
2017/11/12,0.212
2017/11/13,0.22
2017/11/14,0.231
2017/11/15,0.256
2017/11/16,0.236
2017/11/17,0.243
2017/11/18,0.186
2017/11/19,0.215
2017/11/20,0.253
2017/11/21,0.253
2017/11/22,0.245
2017/11/23,0.269
2017/11/24,0.255
2017/11/25,0.241
2017/11/26,0.3
2017/11/27,0.288
2017/11/28,0.312
2017/11/29,0.316
2017/11/30,0.281
2017/12/01,0.297
2017/12/02,0.254
2017/12/03,0.275
2017/12/04,0.531
2017/12/05,0.789
2017/12/06,0.856
2017/12/07,1.45
2017/12/08,1.364
2017/12/09,1.438
2017/12/10,1.199
2017/12/11,0.862
2017/12/12,1.002
2017/12/13,1.055
2017/12/14,1.286
2017/12/15,1.077
2017/12/16,1.132
2017/12/17,0.959
2017/12/18,0.867
2017/12/19,1.121
2017/12/20,1.4
2017/12/21,1.328
2017/12/22,1.013
2017/12/23,0.958
2017/12/24,0.894
2017/12/25,0.721
2017/12/26,0.68
2017/12/27,0.679
2017/12/28,0.621
2017/12/29,0.682
2017/12/30,0.603
2017/12/31,0.664
2018/01/01,0.635
2018/01/02,0.776
2018/01/03,0.889
2018/01/04,1.045
2018/01/05,2.452
2018/01/06,2.959
2018/01/07,2.731
2018/01/08,2.795
2018/01/09,2.997
2018/01/10,4.15
2018/01/11,3.269
2018/01/12,2.569
2018/01/13,2.772
2018/01/14,2.791
2018/01/15,2.459
2018/01/16,1.98
2018/01/17,1.548
2018/01/18,1.868
2018/01/19,1.878
2018/01/20,2.029
2018/01/21,1.429
2018/01/22,1.265
2018/01/23,1.527
2018/01/24,1.437
2018/01/25,1.438
2018/01/26,1.055
2018/01/27,1.061
2018/01/28,1.187
2018/01/29,1.62
2018/01/30,1.336
2018/01/31,1.34
2018/02/01,1.708
2018/02/02,1.14
2018/02/03,1.043
2018/02/04,0.958
2018/02/05,0.775
2018/02/06,0.708
2018/02/07,0.83
2018/02/08,0.783
2018/02/09,0.74
2018/02/10,0.783
2018/02/11,0.69
2018/02/12,0.665
2018/02/13,0.717
2018/02/14,0.761
2018/02/15,0.761
2018/02/16,0.798
2018/02/17,0.849
2018/02/18,0.957
2018/02/19,0.761
2018/02/20,0.79
2018/02/21,0.758
2018/02/22,0.671
2018/02/23,0.723
2018/02/24,0.722
2018/02/25,0.668
2018/02/26,0.638
2018/02/27,0.715
2018/02/28,0.905
2018/03/01,0.723
2018/03/02,0.852
2018/03/03,0.651
2018/03/04,0.736
2018/03/05,0.726
2018/03/06,0.604
2018/03/07,0.609
2018/03/08,0.579
2018/03/09,0.529
2018/03/10,0.487
2018/03/11,0.417
2018/03/12,0.542
2018/03/13,0.389
2018/03/14,0.415
2018/03/15,0.362
2018/03/16,0.392
2018/03/17,0.308
2018/03/18,0.27
2018/03/19,0.289
2018/03/20,0.312
2018/03/21,0.361
2018/03/22,0.378
2018/03/23,0.348
2018/03/24,0.334
2018/03/25,0.332
2018/03/26,0.347
2018/03/27,0.286
2018/03/28,0.286
2018/03/29,0.276
2018/03/30,0.215
2018/03/31,0.193
2018/04/01,0.176
2018/04/02,0.199
2018/04/03,0.207
2018/04/04,0.176
2018/04/05,0.266
2018/04/06,0.203
2018/04/07,0.174
2018/04/08,0.188
2018/04/09,0.204
2018/04/10,0.207
2018/04/11,0.225
2018/04/12,0.246
2018/04/13,0.306
2018/04/14,0.26
2018/04/15,0.246
2018/04/16,0.257
2018/04/17,0.248
2018/04/18,0.309
2018/04/19,0.297
2018/04/20,0.313
2018/04/21,0.282
2018/04/22,0.297
2018/04/23,0.311
2018/04/24,0.404
2018/04/25,0.367
2018/04/26,0.369
2018/04/27,0.424
2018/04/28,0.453
2018/04/29,0.494
2018/04/30,0.497
2018/05/01,0.41
2018/05/02,0.411
2018/05/03,0.498
2018/05/04,0.427
2018/05/05,0.44
2018/05/06,0.44
2018/05/07,0.418
2018/05/08,0.453
2018/05/09,0.465
2018/05/10,0.651
2018/05/11,0.611
2018/05/12,0.424
2018/05/13,0.482
2018/05/14,0.598
2018/05/15,0.626
2018/05/16,0.618
2018/05/17,0.662
2018/05/18,0.61
2018/05/19,0.546
2018/05/20,0.553
2018/05/21,0.602
2018/05/22,0.638
2018/05/23,0.576
2018/05/24,0.52
2018/05/25,0.511
2018/05/26,0.467
2018/05/27,0.406
2018/05/28,0.539
2018/05/29,0.552
2018/05/30,0.597
2018/05/31,0.738
2018/06/01,0.666
2018/06/02,0.462
2018/06/03,0.446
2018/06/04,0.551
2018/06/05,0.484
2018/06/06,0.649
2018/06/07,0.495
2018/06/08,0.458
2018/06/09,0.345
2018/06/10,0.318
2018/06/11,0.324
2018/06/12,0.316
2018/06/13,0.294
2018/06/14,0.336
2018/06/15,0.395
2018/06/16,0.447
2018/06/17,0.24
2018/06/18,0.239
2018/06/19,0.316
2018/06/20,0.289
2018/06/21,0.295
2018/06/22,0.561
2018/06/23,0.242
2018/06/24,0.346
2018/06/25,0.288
2018/06/26,0.239
2018/06/27,0.219
2018/06/28,0.217
2018/06/29,0.223
2018/06/30,1.421
2018/07/01,2.355
2018/07/02,5.528
2018/07/03,3.315
2018/07/04,3.078
2018/07/05,2.283
2018/07/06,3.416
2018/07/07,2.925
2018/07/08,1.067
2018/07/09,0.81
2018/07/10,0.477
2018/07/11,0.573
2018/07/12,1.045
2018/07/13,1.186
2018/07/14,2.501
2018/07/15,3.482
2018/07/16,0.385
2018/07/17,0.348
2018/07/18,0.317
2018/07/19,0.279
2018/07/20,0.381
2018/07/21,0.438
2018/07/22,0.252
2018/07/23,0.339
2018/07/24,0.283
2018/07/25,0.267
2018/07/26,0.257
2018/07/27,0.214
2018/07/28,0.34
2018/07/29,0.197
2018/07/30,0.208
2018/07/31,0.211
2018/08/01,0.415
2018/08/02,0.178
2018/08/03,0.187
2018/08/04,0.23
2018/08/05,0.152
2018/08/06,0.249
2018/08/07,0.852
2018/08/08,1.864
2018/08/09,1.658
2018/08/10,0.883
2018/08/11,0.246
2018/08/12,0.182
2018/08/13,0.234
2018/08/14,0.229
2018/08/15,0.261
2018/08/16,0.211
2018/08/17,0.956
2018/08/18,0.213
2018/08/19,0.195
2018/08/20,0.178
2018/08/21,0.173
2018/08/22,0.421
2018/08/23,0.274
2018/08/24,0.489
2018/08/25,0.162
2018/08/26,0.453
2018/08/27,0.161
2018/08/28,0.179
2018/08/29,0.284
2018/08/30,0.21
2018/08/31,0.218
2018/09/01,0.16
2018/09/02,0.158
2018/09/03,0.171
2018/09/04,0.224
2018/09/05,0.153
2018/09/06,0.196
2018/09/07,0.194
2018/09/08,0.158
2018/09/09,0.151
2018/09/10,0.156
2018/09/11,0.175
2018/09/12,0.16
2018/09/13,0.19
2018/09/14,0.163
2018/09/15,0.176
2018/09/16,0.176
2018/09/17,0.17
2018/09/18,0.221
2018/09/19,0.288
2018/09/20,0.209
2018/09/21,0.287
2018/09/22,0.215
2018/09/23,0.192
2018/09/24,0.334
2018/09/25,0.213
2018/09/26,0.233
2018/09/27,0.247
2018/09/28,0.28
2018/09/29,0.346
2018/09/30,0.254
2018/10/01,0.296
2018/10/02,0.301
2018/10/03,0.175
2018/10/04,0.177
2018/10/05,0.161
2018/10/06,0.11
2018/10/07,0.141
2018/10/08,0.181
2018/10/09,0.165
2018/10/10,0.196
2018/10/11,0.167
2018/10/12,0.216
2018/10/13,0.126
2018/10/14,0.116
2018/10/15,0.153
2018/10/16,0.129
2018/10/17,0.139
2018/10/18,0.133
2018/10/19,0.141
2018/10/20,0.141
2018/10/21,0.136
2018/10/22,0.142
2018/10/23,0.149
2018/10/24,0.181
2018/10/25,0.205
2018/10/26,0.177
2018/10/27,0.144
2018/10/28,0.133
2018/10/29,0.139
2018/10/30,0.137
2018/10/31,0.142
2018/11/01,0.137
2018/11/02,0.162
2018/11/03,0.157
2018/11/04,0.141
2018/11/05,0.181
2018/11/06,0.182
2018/11/07,0.182
2018/11/08,0.212
2018/11/09,0.159
2018/11/10,0.13
2018/11/11,0.111
2018/11/12,0.165
2018/11/13,0.181
2018/11/14,0.197
2018/11/15,0.2
2018/11/16,0.176
2018/11/17,0.141
2018/11/18,0.168
2018/11/19,0.163
2018/11/20,0.145
2018/11/21,0.122
2018/11/22,0.118
2018/11/23,0.116
2018/11/24,0.114
2018/11/25,0.111
2018/11/26,0.106
2018/11/27,0.0918
2018/11/28,0.122
2018/11/29,0.158
2018/11/30,0.172
2018/12/01,0.13
2018/12/02,0.123
2018/12/03,0.123
2018/12/04,0.12
2018/12/05,0.118
2018/12/06,0.0853
2018/12/07,0.0755
2018/12/08,0.0581
2018/12/09,0.0633
2018/12/10,0.0675
2018/12/11,0.0647
2018/12/12,0.0627
2018/12/13,0.0694
2018/12/14,0.0892
2018/12/15,0.052
2018/12/16,0.0521
2018/12/17,0.0623
2018/12/18,0.114
2018/12/19,0.0786
2018/12/20,0.0807
2018/12/21,0.0801
2018/12/22,0.0737
2018/12/23,0.0867
2018/12/24,0.105
2018/12/25,0.107
2018/12/26,0.119
2018/12/27,0.0773
2018/12/28,0.079
2018/12/29,0.0821
2018/12/30,0.17
