Date,activeaddresses90wma
2019/02/08,285806
2019/02/09,284088
2019/02/10,282030
2019/02/11,280652
2019/02/12,279457
2019/02/13,278535
2019/02/14,277618
2019/02/15,276884
2019/02/16,275797
2019/02/17,274581
2019/02/18,274725
2019/02/19,274754
2019/02/20,274292
2019/02/21,273567
2019/02/22,273004
2019/02/23,272151
2019/02/24,271750
2019/02/25,271525
2019/02/26,271328
2019/02/27,271204
2019/02/28,271207
2019/03/01,271350
2019/03/02,271068
2019/03/03,270318
2019/03/04,270643
2019/03/05,271054
2019/03/06,271437
2019/03/07,271685
2019/03/08,272013
2019/03/09,272266
2019/03/10,271551
2019/03/11,271447
2019/03/12,271891
2019/03/13,272213
2019/03/14,272625
2019/03/15,272761
2019/03/16,272260
2019/03/17,272068
2019/03/18,272749
2019/03/19,273661
2019/03/20,274826
2019/03/21,275458
2019/03/22,276236
2019/03/23,276381
2019/03/24,276595
2019/03/25,278220
2019/03/26,279674
2019/03/27,280859
2019/03/28,282274
2019/03/29,283513
2019/03/30,284709
2019/03/31,285305
2019/04/01,287821
2019/04/02,291004
2019/04/03,293747
2019/04/04,295346
2019/04/05,296571
2019/04/06,297024
2019/04/07,297915
2019/04/08,299831
2019/04/09,301609
2019/04/10,303017
2019/04/11,305394
2019/04/12,307700
2019/04/13,308714
2019/04/14,308642
2019/04/15,309895
2019/04/16,311175
2019/04/17,312504
2019/04/18,313941
2019/04/19,315964
2019/04/20,318899
2019/04/21,320761
2019/04/22,323091
2019/04/23,325461
2019/04/24,327081
2019/04/25,328376
2019/04/26,329581
2019/04/27,329436
2019/04/28,329566
2019/04/29,330292
2019/04/30,331694
2019/05/01,333398
2019/05/02,333726
2019/05/03,334435
2019/05/04,334535
2019/05/05,334846
2019/05/06,335851
2019/05/07,336702
2019/05/08,337811
2019/05/09,339011
2019/05/10,340635
2019/05/11,341992
2019/05/12,342934
2019/05/13,345045
2019/05/14,347938
2019/05/15,351237
2019/05/16,355105
2019/05/17,357638
2019/05/18,359059
2019/05/19,360214
2019/05/20,362186
2019/05/21,364948
2019/05/22,367024
2019/05/23,369222
2019/05/24,371776
2019/05/25,373698
2019/05/26,374885
2019/05/27,378223
2019/05/28,381286
2019/05/29,384949
2019/05/30,387522
2019/05/31,390528
2019/06/01,396127
2019/06/02,399809
2019/06/03,402462
2019/06/04,404244
2019/06/05,405045
2019/06/06,407564
2019/06/07,407520
2019/06/08,406928
2019/06/09,407761
2019/06/10,407972
2019/06/11,409702
2019/06/12,413678
2019/06/13,415107
2019/06/14,416254
2019/06/15,417992
2019/06/16,422082
2019/06/17,422644
2019/06/18,424004
2019/06/19,424539
2019/06/20,424373
2019/06/21,425664
2019/06/22,426688
2019/06/23,426742
2019/06/24,427577
2019/06/25,428214
2019/06/26,430100
2019/06/27,431059
2019/06/28,431113
2019/06/29,430741
2019/06/30,429538
2019/07/01,429156
2019/07/02,430027
2019/07/03,430581
2019/07/04,430702
2019/07/05,430140
2019/07/06,428764
2019/07/07,426801
2019/07/08,426319
2019/07/09,426561
2019/07/10,426246
2019/07/11,425272
2019/07/12,424951
2019/07/13,422769
2019/07/14,421073
2019/07/15,420844
2019/07/16,418825
2019/07/17,418228
2019/07/18,417068
2019/07/19,415787
2019/07/20,413638
2019/07/21,410891
2019/07/22,409828
2019/07/23,408024
2019/07/24,405730
2019/07/25,403571
2019/07/26,402176
2019/07/27,400335
2019/07/28,398363
2019/07/29,397016
2019/07/30,396707
2019/07/31,395322
2019/08/01,393531
2019/08/02,392313
2019/08/03,389835
2019/08/04,386439
2019/08/05,386304
2019/08/06,386376
2019/08/07,385576
2019/08/08,384653
2019/08/09,384196
2019/08/10,383036
2019/08/11,381206
2019/08/12,381124
2019/08/13,380723
2019/08/14,380445
2019/08/15,379530
2019/08/16,379207
2019/08/17,377720
2019/08/18,375941
2019/08/19,375329
2019/08/20,375065
2019/08/21,374920
2019/08/22,374465
2019/08/23,374389
2019/08/24,373431
2019/08/25,372157
2019/08/26,371911
2019/08/27,371672
2019/08/28,371145
2019/08/29,370774
2019/08/30,370067
2019/08/31,368920
2019/09/01,367535
2019/09/02,367500
2019/09/03,367313
2019/09/04,366878
2019/09/05,367300
2019/09/06,367472
2019/09/07,366733
2019/09/08,365878
2019/09/09,366083
2019/09/10,365447
2019/09/11,365226
2019/09/12,365127
2019/09/13,363944
2019/09/14,362977
2019/09/15,362142
2019/09/16,362532
2019/09/17,362304
2019/09/18,362285
2019/09/19,361879
2019/09/20,362191
2019/09/21,360675
2019/09/22,358821
2019/09/23,357457
2019/09/24,357226
2019/09/25,356711
2019/09/26,355899
2019/09/27,355033
2019/09/28,353838
2019/09/29,352137
2019/09/30,351579
2019/10/01,350991
2019/10/02,350284
2019/10/03,348913
2019/10/04,347448
2019/10/05,346361
2019/10/06,344955
2019/10/07,344124
2019/10/08,343749
2019/10/09,344182
2019/10/10,344200
2019/10/11,344216
2019/10/12,343265
2019/10/13,341783
2019/10/14,341131
2019/10/15,340943
2019/10/16,340428
2019/10/17,339928
2019/10/18,340278
2019/10/19,339889
2019/10/20,338717
2019/10/21,338375
2019/10/22,338010
2019/10/23,337603
2019/10/24,337176
2019/10/25,337008
