Date,activeaddresses90rsi
2018/05/12,51.058
2018/05/13,50.716
2018/05/14,50.978
2018/05/15,50.816
2018/05/16,51.118
2018/05/17,51.459
2018/05/18,51.363
2018/05/19,51.879
2018/05/20,50.898
2018/05/21,50.75
2018/05/22,51.161
2018/05/23,51.297
2018/05/24,51.103
2018/05/25,50.741
2018/05/26,50.692
2018/05/27,51.016
2018/05/28,51.695
2018/05/29,51.076
2018/05/30,51.018
2018/05/31,50.916
2018/06/01,50.17
2018/06/02,50.572
2018/06/03,51.011
2018/06/04,50.591
2018/06/05,50.348
2018/06/06,50.249
2018/06/07,50.433
2018/06/08,49.757
2018/06/09,45.383
2018/06/10,44.074
2018/06/11,50.358
2018/06/12,49.761
2018/06/13,50.078
2018/06/14,49.985
2018/06/15,50.248
2018/06/16,49.13
2018/06/17,49.56
2018/06/18,49.658
2018/06/19,50.065
2018/06/20,50.288
2018/06/21,50.147
2018/06/22,50.321
2018/06/23,49.756
2018/06/24,49.736
2018/06/25,51.269
2018/06/26,49.811
2018/06/27,50.029
2018/06/28,50.248
2018/06/29,50.067
2018/06/30,48.238
2018/07/01,47.454
2018/07/02,47.967
2018/07/03,47.987
2018/07/04,47.929
2018/07/05,48.362
2018/07/06,47.884
2018/07/07,47.825
2018/07/08,48.643
2018/07/09,49.021
2018/07/10,49.08
2018/07/11,48.786
2018/07/12,48.455
2018/07/13,48.133
2018/07/14,47.911
2018/07/15,47.959
2018/07/16,49.937
2018/07/17,50.041
2018/07/18,50.986
2018/07/19,50.429
2018/07/20,49.785
2018/07/21,49.19
2018/07/22,49.982
2018/07/23,50.588
2018/07/24,50.93
2018/07/25,51.025
2018/07/26,50.426
2018/07/27,50.952
2018/07/28,50.314
2018/07/29,50.429
2018/07/30,50.712
2018/07/31,50.531
2018/08/01,50.543
2018/08/02,50.245
2018/08/03,50.749
2018/08/04,49.954
2018/08/05,49.797
2018/08/06,50.024
2018/08/07,49.476
2018/08/08,48.869
2018/08/09,48.923
2018/08/10,44.765
2018/08/11,44.765
2018/08/12,44.765
2018/08/13,50.182
2018/08/14,49.919
2018/08/15,49.733
2018/08/16,50.235
2018/08/17,49.416
2018/08/18,49.421
2018/08/19,49.323
2018/08/20,49.911
2018/08/21,49.272
2018/08/22,49.413
2018/08/23,49.302
2018/08/24,49.399
2018/08/25,49.352
2018/08/26,49.509
2018/08/27,49.774
2018/08/28,49.677
2018/08/29,48.852
2018/08/30,49.233
2018/08/31,49.19
2018/09/01,49.774
2018/09/02,49.983
2018/09/03,49.968
2018/09/04,49.513
2018/09/05,49.669
2018/09/06,49.424
2018/09/07,49.421
2018/09/08,49.167
2018/09/09,49.178
2018/09/10,49.147
2018/09/11,48.853
2018/09/12,48.886
2018/09/13,49.06
2018/09/14,48.696
2018/09/15,48.129
2018/09/16,48.091
2018/09/17,48.947
2018/09/18,48.438
2018/09/19,48.3
2018/09/20,48.591
2018/09/21,48.839
2018/09/22,48.29
2018/09/23,48.311
2018/09/24,48.314
