Date,sentinusd14emaUSD
2017/11/09,3055268518
2017/11/10,3208401785
2017/11/11,3293704790
2017/11/12,3563562999
2017/11/13,3559509987
2017/11/14,3562105088
2017/11/15,3831728321
2017/11/16,3991980206
2017/11/17,4143441581
2017/11/18,4160537430
2017/11/19,4205321583
2017/11/20,4453167348
2017/11/21,4657089519
2017/11/22,4850377336
2017/11/23,5061198880
2017/11/24,5177190147
2017/11/25,5493177534
2017/11/26,5717150424
2017/11/27,6206587635
2017/11/28,6900237921
2017/11/29,7714532719
2017/11/30,8181476036
2017/12/01,8351000719
2017/12/02,8624039523
2017/12/03,8798036614
2017/12/04,8898529644
2017/12/05,8318319431
2017/12/06,8044405624
2017/12/07,7591683160
2017/12/08,7122924505
2017/12/09,6593780318
2017/12/10,6095438132
2017/12/11,5690612928
2017/12/12,5904173947
2017/12/13,6061155736
2017/12/14,6403421935
2017/12/15,6451753791
2017/12/16,6359393925
2017/12/17,6282956453
2017/12/18,6295589888
2017/12/19,6693720354
2017/12/20,7186767264
2017/12/21,7657861443
2017/12/22,7944316726
2017/12/23,7810634482
2017/12/24,7425452774
2017/12/25,7034361218
2017/12/26,6976477945
2017/12/27,7061861722
2017/12/28,7312918553
2017/12/29,7784549828
2017/12/30,8280563488
2017/12/31,8047466619
2018/01/01,7800853379
2018/01/02,8347314382
2018/01/03,8889282044
2018/01/04,10271655144
2018/01/05,11324366429
2018/01/06,11863067142
2018/01/07,12054534606
2018/01/08,12778601818
2018/01/09,13693331772
2018/01/10,14930459275
2018/01/11,15520683235
2018/01/12,15514864886
2018/01/13,15176721405
2018/01/14,17630344980
2018/01/15,17361833824
2018/01/16,17358982476
2018/01/17,17084389516
2018/01/18,16728894679
2018/01/19,15778125033
2018/01/20,14845289865
2018/01/21,13946348282
2018/01/22,13313207852
2018/01/23,12669619609
2018/01/24,12147254566
2018/01/25,11113944568
2018/01/26,11026073920
2018/01/27,10482500040
2018/01/28,10245395044
2018/01/29,10144398696
2018/01/30,10083633114
2018/01/31,9945114531
2018/02/01,9847659184
2018/02/02,9915242310
2018/02/03,9388982316
2018/02/04,8752572396
2018/02/05,8332192872
2018/02/06,8028698978
2018/02/07,7707595044
2018/02/08,7076695520
2018/02/09,6705190500
2018/02/10,6483032931
2018/02/11,6058622240
2018/02/12,5783507809
2018/02/13,5740322239
2018/02/14,5552282348
2018/02/15,5496113214
2018/02/16,5305846030
2018/02/17,5138285355
2018/02/18,4977297278
2018/02/19,4792364709
2018/02/20,4711472932
2018/02/21,4588174859
2018/02/22,4604821831
2018/02/23,4347038337
2018/02/24,4094975887
2018/02/25,3759820559
2018/02/26,3541841696
2018/02/27,3251530186
2018/02/28,3000308610
2018/03/01,2797256072
2018/03/02,2603906703
2018/03/03,2376491826
2018/03/04,2182497737
2018/03/05,2073409683
2018/03/06,2014486390
2018/03/07,1953514689
2018/03/08,1858430630
2018/03/09,1777058423
2018/03/10,1650503281
2018/03/11,1532468471
2018/03/12,1470934207
2018/03/13,1527849004
2018/03/14,1494377831
2018/03/15,1446262577
2018/03/16,1366234513
2018/03/17,1280559113
2018/03/18,1304034316
2018/03/19,1297881038
2018/03/20,1263661090
2018/03/21,1230393472
2018/03/22,1179629774
2018/03/23,1163625883
2018/03/24,1094440648
2018/03/25,1017642957
2018/03/26,1012189080
2018/03/27,1030933942
2018/03/28,1041812365
2018/03/29,1045412438
2018/03/30,1025505294
2018/03/31,969390359
2018/04/01,904860605
2018/04/02,858310023
2018/04/03,833604594
2018/04/04,804509027
2018/04/05,762714155
2018/04/06,726487523
2018/04/07,674853259
2018/04/08,650720752
2018/04/09,647993681
2018/04/10,629682882
2018/04/11,628873677
2018/04/12,681124376
2018/04/13,740035845
2018/04/14,706179882
2018/04/15,693258911
2018/04/16,696287502
2018/04/17,702344211
2018/04/18,728825802
2018/04/19,763212875
2018/04/20,831210141
2018/04/21,857402582
2018/04/22,847764255
2018/04/23,998482004
2018/04/24,1115341984
2018/04/25,1183369256
2018/04/26,1196270353
2018/04/27,1223560911
2018/04/28,1222510703
2018/04/29,1211079390
2018/04/30,1232939422
2018/05/01,1233894562
2018/05/02,1311189064
2018/05/03,1417284807
2018/05/04,1498458403
2018/05/05,1486201681
2018/05/06,1449510489
2018/05/07,1549300198
2018/05/08,1554023266
2018/05/09,1567071586
2018/05/10,1574237915
2018/05/11,1569282274
2018/05/12,1503801341
2018/05/13,1414623240
2018/05/14,1434190754
2018/05/15,1433555063
2018/05/16,1399185914
2018/05/17,1372068187
2018/05/18,1339615648
2018/05/19,1274034262
2018/05/20,1224698639
2018/05/21,1217845343
2018/05/22,1256598466
2018/05/23,1313738479
2018/05/24,1304617019
2018/05/25,1274971237
2018/05/26,1210767339
2018/05/27,1200975639
2018/05/28,1237679102
2018/05/29,1235005688
2018/05/30,1233558698
2018/05/31,1242719241
2018/06/01,1267611831
2018/06/02,1200775417
2018/06/03,1132155915
2018/06/04,1144408679
2018/06/05,1156277699
2018/06/06,1183170195
2018/06/07,1199858314
2018/06/08,1226466431
2018/06/09,1159156210
2018/06/10,1138636418
2018/06/11,1140185622
2018/06/12,1195181981
2018/06/13,1299042866
2018/06/14,1393773038
2018/06/15,1447971350
2018/06/16,1361698334
2018/06/17,1259247026
2018/06/18,1197899251
2018/06/19,1174573444
2018/06/20,1164229859
2018/06/21,1141471448
2018/06/22,1146574858
2018/06/23,1074636014
2018/06/24,1051231105
2018/06/25,1058347730
2018/06/26,1033935473
2018/06/27,1008260280
2018/06/28,978564720
2018/06/29,968892678
2018/06/30,914320583
2018/07/01,853074669
